Hispanic American,Column1,Dollars,M/F,Contract,prime comment,Districts,Prime
LOGISTICAL ENTERPRISES,-4142.0,1677067.65,1.0,10.0,"BALDWIN CONTRACTING COMPANY
BAY CITIES PAVING & GRADING
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GHILOTTI CONSTRUCTION COMPANY
STUDEBAKER BROWN ELECTRIC INC
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",8.0,8.0
CONTERA CONSTRUCTION CORPORATION,-4142.0,3167532.8,0.0,2.0,"OHL USA
ORTIZ ENTERPRISES INC",5.0,2.0
FLASH TRAFFIC  INC,-4142.0,112075.0,1.0,8.0,"BORTOLUSSI & WATKIN, INC.
GEORGE REED INC
GOLDEN STATE BRIDGE, INC.
GORDON N. BALL
GRANITE CONSTRUCTION COMPANY
O.C. JONES & SONS INC",5.0,6.0
CHAVEZ TRUCKING,43.0,1834360.73,1.0,6.0,"BAY CITIES PAVING & GRADING, INC.
DESILVA GATES CONSTRUCTION 
GHILOTTI CONSTRUCTION COMPANY
O.C. JONES & SONS INC",4.0,4.0
M & S ENVIRONMENTAL ,-4142.0,974473.0,0.0,8.0,"GOLDEN STATE BRIDGE, INC.
HAT CREEK CONSTRUCTION
TEICHERT CONSTRUCTION
STEELHEAD CONSTRUCITON 
TULLIS, INC.
WEST COAST CONTRACTORS, INC. DBA OREGON WEST COAST CONTRACTORS",2.0,5.0
G & G ELECTRIC,-4142.0,1434890.0,0.0,4.0,"LANDSCAPE SUPPORT SERVICES
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION INC
POWELL CONSTRUCTORS INC
",11.0,3.0
SEALRIGHT PAVING,-4142.0,220276.0,0.0,1.0,LB CIVIL CONSTRUCTION INC,11.0,1.0
"LONE STAR LANDSCAPE, INC",-4142.0,353704.0,0.0,4.0,"GHILOTTI CONSTRUCTION CO. INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY",4.0,3.0
MIRANDA LOGISTIC ENTERPRISE LLC,-4142.0,2697483.96,0.0,4.0,"GRANITE CONSTRUCTION COMPANY
POWELL CONSTRUCTORS INC
WEST COAST PUBLIC WORKS INC
SECURITY PAVING COMPANY",6.0,4.0
VINTAGE PAVING COMPANY,-4142.0,2439247.0,0.0,3.0,"MCM CONSTRUCTION INC
AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC",0.0,2.0
TERRA WEST INC,-4142.0,20000.0,0.0,3.0,"HAZARD CONSTRUCTION COMPANY 
LB CIVIL CONSTRUCTION INC",11.0,2.0
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
",6.0,9.0
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
",11.0,9.0
AVISION CONSTRUCTION INC,-4142.0,374132.19,0.0,1.0,AVISION CONSTRUCTION INC,6.0,1.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",8.0,16.0
"ANCO IRON & CONSTRUCTION, INC.",-4142.0,1206045.56,0.0,1.0,"GOLDEN STATE BRIDGE, INC.
",3.0,1.0
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
",5.0,9.0
EIGHTEEN TRUCKING COMPANY,43.0,115000.0,1.0,2.0,GORDON N. BALL INC,4.0,1.0
VALDIVIA TRUCKING,43.0,1116000.0,0.0,3.0,GHILOTTI CONSTRUCTION COMPANY INC,1.0,1.0
BLANCO CONSTRUCTION,-4142.0,5693130.0,0.0,3.0,"AUTOBAHN CONSTRUCTION INC
J. MCLOUGHLIN ENGINEERING CO INC",8.0,2.0
D.B. ELECTRIC INC,-4142.0,407510.0,0.0,3.0,"BAY CITIES PAVING & GRADING, INC.
COFFMAN SPECIALTIES
SEMA CONSTRUCTION",4.0,3.0
MIRANDA LOGISTIC ENTERPRISE LLC,-4142.0,2697483.96,0.0,4.0,"GRANITE CONSTRUCTION COMPANY
POWELL CONSTRUCTORS INC
WEST COAST PUBLIC WORKS INC
SECURITY PAVING COMPANY",12.0,4.0
