"Owner-occupied housing unit rate, 2011-2015","Total merchant wholesaler sales, 2012 ($1,000)","Persons under 18 years, percent, July 1, 2016,  (V2016)","Households, 2011-2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Women-owned firms, 2012","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","High school graduate or higher, percent of persons age 25 years+, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Foreign born persons, percent, 2011-2015","Total annual payroll, 2015 ($1,000)","Total accommodation and food services sales, 2012 ($1,000)","Housing units, April 1, 2010","Housing units,  July 1, 2016,  (V2016)","Total employment, percent change, 2014-2015","Nonminority-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Total employer establishments, 2015","Persons under 5 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","In civilian labor force, female, percent of population age 16 years+, 2011-2015",Fact,"Two or More Races, percent, July 1, 2016,  (V2016)","Land area in square miles, 2010","Median gross rent, 2011-2015","Population, Census, April 1, 2010","With a disability, under age 65 years, percent, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Total employment, 2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Persons  without health insurance, under age 65 years, percent","Minority-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Female persons, percent,  July 1, 2016,  (V2016)","Median value of owner-occupied housing units, 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Total nonemployer establishments, 2015","Female persons, percent, April 1, 2010","Total retail sales, 2012 ($1,000)","Median household income (in 2015 dollars), 2011-2015","Nonveteran-owned firms, 2012","Persons per household, 2011-2015","Veteran-owned firms, 2012","Total manufacturers shipments, 2012 ($1,000)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","All firms, 2012","Building permits, 2016","Population estimates base, April 1, 2010,  (V2016)","Total retail sales per capita, 2012","Population per square mile, 2010","Population estimates, July 1, 2016,  (V2016)","Persons in poverty, percent","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)"
65.10%,"105,275,586",22.70%,"3,775,581",6.00%,"287,058",6.40%,85.80%,63.50%,"$1,248 ",23.9,0.10%,"696,119",71.00%,7.70%,"164,936,258","18,622,258","4,327,528","4,540,498",3.10%,"603,182",23.90%,"223,209",6.60%,15.50%,57.70%,North Carolina,2.20%,"48,617.91",$797 ,"9,535,483",9.60%,1.60%,12.90%,"3,670,284",61.80%,84.70%,"55,227,505",11.20%,12.20%,"183,380",22.20%,51.40%,"$154,900 ","$25,920 ",$373 ,"722,639",51.30%,"120,691,007","$46,868 ","684,743",2.54,"86,571","202,344,646",28.40%,"805,985","60,550","9,535,688","$12,376 ",196.10,"10,146,788",15.40%,9.20%,2.90%
64.10%,"28,150,837",23.30%,"299,638",7.30%,"20,316",12.70%,91.70%,85.00%,"$1,243 ",17.2,0.10%,"51,179",87.90%,3.20%,"17,184,756","2,045,123","317,498","368,624",1.40%,"62,271",22.30%,"24,848",6.60%,14.50%,65.00%,North Dakota,2.10%,"69,000.80",$709 ,"672,591",6.80%,5.50%,14.50%,"365,893",69.30%,82.20%,"5,418,355",5.60%,8.10%,"3,190",2.90%,48.70%,"$153,800 ","$32,035 ",$423 ,"53,263",49.50%,"15,519,816","$57,181 ","56,904",2.32,"6,584","14,427,360",27.70%,"68,270","3,981","672,591","$22,183 ",9.70,"757,952",10.70%,3.60%,1.50%
66.30%,"155,426,023",22.50%,"4,585,084",6.00%,"306,824",0.70%,89.10%,79.50%,"$1,246 ",23.2,0.10%,"806,531",82.50%,4.10%,"213,161,303","20,652,777","5,127,508","5,164,361",1.80%,"759,569",23.70%,"251,668",6.20%,16.20%,59.00%,Ohio,2.20%,"40,860.69",$730 ,"11,536,504",9.90%,0.30%,14.10%,"4,719,985",63.30%,85.30%,"80,915,693",6.70%,6.60%,"122,653",12.80%,51.00%,"$129,900 ","$26,953 ",$444 ,"763,418",51.20%,"153,553,997","$49,429 ","776,193",2.46,"91,316","313,629,976",26.10%,"904,814","22,816","11,536,727","$13,301 ",282.30,"11,614,373",14.60%,3.70%,2.20%
66.10%,"71,892,946",24.50%,"1,455,321",6.80%,"105,168",4.60%,86.90%,66.20%,"$1,147 ",21.3,0.20%,"295,847",74.60%,5.80%,"59,124,620","7,121,153","1,664,378","1,721,045",0.80%,"249,027",24.80%,"93,093",7.00%,15.00%,55.70%,Oklahoma,6.10%,"68,594.92",$727 ,"3,751,351",11.30%,9.20%,13.50%,"1,370,988",61.10%,82.60%,"22,795,438",9.80%,16.10%,"64,875",7.80%,50.50%,"$117,900 ","$25,032 ",$370 ,"276,218",50.50%,"50,256,231","$46,879 ","273,491",2.57,"36,273","74,295,394",24.10%,"327,229","12,092","3,751,615","$13,174 ",54.70,"3,923,561",16.30%,10.30%,2.20%
61.30%,"48,325,261",21.20%,"1,533,430",5.80%,"123,015",6.80%,89.80%,76.40%,"$1,557 ",22.9,0.40%,"306,723",87.40%,9.90%,"71,006,598","8,466,788","1,675,562","1,732,786",3.80%,"285,028",22.60%,"112,393",6.20%,16.80%,57.60%,Oregon,3.80%,"95,988.01",$907 ,"3,831,074",10.20%,1.80%,13.90%,"1,498,727",62.10%,81.90%,"24,956,816",15.10%,7.30%,"41,456",2.10%,50.50%,"$237,300 ","$27,684 ",$469 ,"278,839",50.50%,"49,481,054","$51,243 ","288,790",2.51,"30,918","51,349,948",30.80%,"339,305","19,586","3,831,072","$12,690 ",39.90,"4,093,465",13.30%,12.80%,4.50%
69.20%,"191,170,147",20.90%,"4,958,859",5.60%,"304,803",0.60%,89.20%,77.00%,"$1,425 ",26.3,0.10%,"870,770",82.40%,6.30%,"257,626,942","23,504,192","5,567,315","5,612,002",1.00%,"818,858",22.00%,"299,695",5.70%,17.40%,58.30%,Pennsylvania,1.90%,"44,742.70",$840 ,"12,702,379",9.50%,0.40%,15.40%,"5,306,896",62.80%,88.00%,"96,329,248",10.60%,6.70%,"131,512",11.80%,51.00%,"$166,000 ","$29,291 ",$498 ,"811,890",51.30%,"178,794,945","$53,599 ","837,792",2.49,"97,969","231,396,178",28.60%,"975,453","23,303","12,702,857","$14,008 ",283.90,"12,784,227",12.90%,7.00%,3.50%
60.10%,"22,310,389",19.70%,"410,602",5.20%,"30,484",0.30%,86.20%,73.30%,"$1,815 ",24.2,0.20%,"66,076",84.40%,13.30%,"19,704,826","2,481,314","463,388","462,589",1.00%,"77,042",21.30%,"28,387",5.50%,16.50%,61.60%,Rhode Island,2.70%,"1,033.81",$925 ,"1,052,567",8.90%,1.00%,14.40%,"425,748",65.50%,86.60%,"8,223,005",21.40%,5.10%,"14,737",8.10%,51.40%,"$238,000 ","$31,118 ",$682 ,"76,747",51.70%,"12,063,865","$56,852 ","79,837",2.46,"9,904","11,262,158",31.90%,"94,642","1,226","1,052,940","$11,486 ","1,018.10","1,056,426",12.80%,14.90%,3.60%
68.60%,"45,520,900",22.10%,"1,815,094",5.90%,"131,856",7.30%,85.60%,63.90%,"$1,183 ",23.9,0.10%,"378,959",68.50%,4.80%,"66,120,263","9,763,818","2,137,683","2,236,153",2.80%,"276,269",23.40%,"103,973",6.50%,16.70%,56.20%,South Carolina,1.80%,"30,060.70",$790 ,"4,625,364",10.30%,0.50%,13.70%,"1,662,251",60.10%,84.70%,"22,941,292",6.90%,11.90%,"83,233",27.50%,51.50%,"$139,900 ","$24,604 ",$347 ,"329,431",51.40%,"58,093,824","$45,483 ","303,137",2.56,"47,987","99,160,840",25.80%,"367,726","32,165","4,625,410","$12,298 ",153.90,"4,961,119",15.30%,5.50%,1.60%
68.10%,"20,411,059",24.60%,"330,858",7.10%,"23,722",6.30%,90.90%,82.50%,"$1,210 ",16.9,0.10%,"63,742",85.20%,3.00%,"13,812,997","1,873,699","363,438","383,838",1.60%,"74,228",24.90%,"26,511",7.30%,16.00%,64.60%,South Dakota,2.30%,"75,811.00",$655 ,"814,180",8.40%,9.00%,14.30%,"353,540",68.60%,83.40%,"6,211,731",6.50%,10.30%,"4,101",2.00%,49.60%,"$140,500 ","$26,747 ",$433 ,"64,006",50.00%,"13,791,827","$50,957 ","66,219",2.45,"8,604","16,882,647",27.00%,"81,314","5,686","814,195","$16,550 ",10.70,"865,454",13.30%,3.70%,1.50%
66.80%,"111,718,421",22.60%,"2,504,556",6.10%,"195,694",4.80%,85.50%,74.20%,"$1,181 ",24.5,0.10%,"462,414",78.70%,4.80%,"110,481,280","12,499,013","2,812,133","2,919,671",2.20%,"434,025",23.60%,"133,344",6.40%,15.70%,56.30%,Tennessee,1.90%,"41,234.90",$764 ,"6,346,105",11.20%,0.40%,13.40%,"2,507,205",61.00%,84.70%,"42,383,683",6.90%,10.60%,"105,234",17.10%,51.20%,"$142,100 ","$25,227 ",$359 ,"495,703",51.30%,"91,641,605","$45,219 ","469,392",2.53,"59,379","139,960,482",24.90%,"550,453","36,157","6,346,298","$14,194 ",153.90,"6,651,194",15.80%,5.20%,1.80%
62.20%,"691,242,607",26.20%,"9,149,196",7.20%,"866,678",10.80%,81.90%,42.60%,"$1,432 ",25.6,0.10%,"1,539,655",79.40%,16.60%,"521,095,797","54,480,811","9,977,436","10,753,629",3.20%,"1,224,845",27.30%,"569,091",7.70%,12.00%,57.70%,Texas,1.90%,"261,231.71",$882 ,"25,145,561",8.10%,1.00%,10.30%,"10,239,710",64.30%,83.30%,"145,035,130",35.00%,18.60%,"1,070,392",12.60%,50.40%,"$136,000 ","$26,999 ",$460 ,"2,205,149",50.40%,"356,116,376","$53,207 ","2,057,218",2.84,"213,590","702,603,073",27.60%,"2,356,748","165,853","25,146,100","$13,666 ",96.3,"27,862,596",15.60%,39.10%,4.80%
69.50%,"30,927,885",30.20%,"906,292",8.30%,"76,269",10.40%,91.20%,78.80%,"$1,428 ",21.6,1.00%,"134,332",91.10%,8.40%,"51,453,266","4,789,281","979,709","1,054,164",4.90%,"218,826",31.50%,"75,463",9.50%,10.50%,59.50%,Utah,2.50%,"82,169.62",$887 ,"2,763,885",6.60%,1.60%,9.00%,"1,203,954",67.70%,82.90%,"14,521,857",14.70%,9.70%,"24,423",1.40%,49.70%,"$215,900 ","$24,686 ",$388 ,"216,280",49.80%,"38,024,486","$60,727 ","219,807",3.15,"18,754","50,046,429",31.10%,"251,419","22,662","2,763,888","$13,317 ",33.6,"3,051,217",10.20%,13.80%,2.50%
71.00%,"6,450,076",19.00%,"257,167",4.90%,"23,417",-0.20%,91.80%,93.10%,"$1,535 ",22.5,Z,"44,708",94.60%,4.30%,"10,615,093","1,564,272","322,539","329,525",2.00%,"70,491",20.70%,"21,121",5.10%,18.10%,63.60%,Vermont,1.90%,"9,216.66",$895 ,"625,741",10.00%,0.40%,14.60%,"266,363",66.60%,86.50%,"4,457,996",5.40%,4.50%,"2,354",1.30%,50.60%,"$217,500 ","$29,894 ",$641 ,"60,312",50.70%,"9,933,751","$55,176 ","63,317",2.34,"8,237","9,315,494",36.00%,"75,827","1,771","625,741","$15,868 ",67.9,"624,594",11.90%,1.90%,1.80%
66.20%,"86,613,641",22.20%,"3,062,783",6.10%,"236,290",5.10%,88.30%,62.40%,"$1,711 ",27.9,0.10%,"706,539",70.00%,11.70%,"165,788,897","17,795,901","3,364,939","3,491,054",1.20%,"450,109",23.20%,"197,384",6.40%,14.60%,60.80%,Virginia,2.90%,"39,490.09","$1,116 ","8,001,024",7.70%,0.50%,12.20%,"3,198,718",64.70%,84.40%,"47,705,003",15.40%,10.10%,"185,043",19.80%,50.80%,"$245,000 ","$34,152 ",$433 ,"576,446",50.90%,"110,002,385","$65,015 ","548,439",2.62,"76,434","96,389,872",36.30%,"653,193","31,132","8,001,041","$13,438 ",202.6,"8,411,808",11.00%,9.10%,6.60%
62.50%,"83,313,366",22.40%,"2,668,912",6.20%,"187,677",8.40%,90.40%,69.50%,"$1,731 ",26.3,0.80%,"564,864",80.00%,13.40%,"149,258,789","14,297,278","2,885,677","3,025,685",2.90%,"426,697",23.50%,"182,913",6.50%,14.80%,58.50%,Washington,4.60%,"66,455.52","$1,014 ","6,724,540",8.90%,1.90%,12.30%,"2,602,408",63.50%,82.50%,"43,966,889",18.90%,6.90%,"92,807",4.10%,50.00%,"$259,500 ","$31,762 ",$511 ,"444,135",50.20%,"118,924,049","$61,062 ","461,401",2.56,"49,331","131,530,601",32.90%,"541,522","44,077","6,724,545","$17,243 ",101.2,"7,288,000",11.30%,12.40%,8.60%
72.50%,"14,295,437",20.50%,"740,890",5.50%,"39,065",-1.20%,85.00%,92.30%,$966 ,25.6,Z,"150,021",93.60%,1.50%,"22,159,084","4,036,333","881,917","886,640",-1.70%,"104,785",20.90%,"36,993",5.60%,18.80%,49.20%,West Virginia,1.70%,"24,038.21",$643 ,"1,852,994",14.40%,0.20%,16.00%,"565,435",53.90%,88.20%,"12,259,395",2.50%,6.50%,"5,777",3.60%,50.50%,"$103,800 ","$23,450 ",$293 ,"88,136",50.70%,"22,637,923","$41,751 ","94,960",2.43,"12,912","24,553,072",19.20%,"114,435","2,544","1,853,011","$12,201 ",77.1,"1,831,102",17.90%,1.50%,0.80%
67.30%,"77,066,883",22.30%,"2,299,107",5.80%,"133,859",1.60%,91.00%,81.70%,"$1,402 ",21.9,0.10%,"381,940",87.50%,4.80%,"112,406,494","10,303,256","2,624,358","2,668,444",2.20%,"379,934",23.60%,"139,500",6.30%,16.10%,63.50%,Wisconsin,1.90%,"54,157.80",$776 ,"5,686,986",8.20%,1.10%,13.70%,"2,503,532",67.10%,85.80%,"40,680,625",8.70%,6.20%,"40,507",6.60%,50.30%,"$165,800 ","$28,340 ",$532 ,"341,935",50.40%,"78,201,822","$53,357 ","370,755",2.43,"39,830","177,728,926",27.80%,"432,980","19,274","5,687,289","$13,656 ",105,"5,778,708",11.80%,6.70%,2.80%
69.10%,"5,597,891",23.70%,"226,865",6.50%,"19,344",3.90%,92.30%,84.10%,"$1,348 ",18.3,0.10%,"48,505",92.80%,3.60%,"10,094,010","1,644,844","261,868","270,600",FN,"55,397",24.00%,"21,040",7.10%,15.00%,62.70%,Wyoming,2.10%,"97,093.14",$789 ,"563,626",8.50%,2.70%,12.40%,"219,881",67.70%,81.90%,"3,291,478",7.10%,13.40%,"4,077",1.30%,48.90%,"$194,800 ","$29,803 ",$386 ,"48,140",49.00%,"9,446,043","$58,840 ","51,353",2.49,"6,470","10,783,794",25.70%,"62,427","1,727","563,767","$16,388 ",5.8,"585,501",11.30%,10.00%,1.00%
