Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"University of Phoenix, Northern Virginia Campus, Reston",,,,,
University of Oklahoma,,,,,
"Devry University, Louisville Campus",,,,,
Golden Gate University,,,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,,
"Devry University, Bellevue (Seattle) Center",,,,,
Illinois State University,,,,,
Davenport University,,,,,
"Pennsylvania State University, University Park",,,,,
"Auburn University, Auburn",,,,,
"University of Arkansas, Fayetteville",,,,,
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,,
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,,
Marywood University,,,,,
"University of Colorado, Boulder",,,,,
,46,5.0,,114,24
Massachusetts Institute of Technology,,,,,
University of Portland,,,,,
Washington University in St. Louis,,,,,
"University of Maryland, Baltimore",,,,,
Loma Linda University,,,,,
"Brigham Young University, Utah",,,,,
"University of Nevada, Las Vegas",,,,,
University of New Haven,,,,,
"University of Colorado, Boulder",,,,,
"Devry University, Paramus Center",,,,,
New York University,,,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,,
"Devry University, Oakland Center",,,,,
Vanderbilt University,,,,,
University of Virginia,,,,,
University of Baltimore,,,,,
"University of Phoenix, Visalia Learning Center, Visalia",,,,,
"City University of Seattle, Calgary",,,,,
Xavier University,,,,,
University of Iowa,,,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,,
Carnegie Mellon University,,,,,
"University of Phoenix, Lathrop Learning Center, Lathrop",,,,,
American University,,,,,
"University of Phoenix, Southlands Learning Center, Aurora",,,,,
Stetson University,,,,,
Winthrop University,,,,,
"Texas A&M University, Commerce",,,,,
"Devry University, Pomona Campus",,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
"University of Phoenix, Las Colinas Learning Center, Irving",,,,,
Washington University in St. Louis,,,,,
Massachusetts Institute of Technology,,,,,
University of Virginia,,,,,
"Texas A&M University, Commerce",,,,,
University of Denver,,,,,
University of New Haven,,,,,
Alverno College,,,,,
"University of Houston, Victoria",,,,,
Tulane University,,,,,
George Washington University,,,,,
"University of Phoenix, Whichita Student Resource Center, Whichita",,,,,
DePaul University,,,,,
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,,,,
New York Medical College,,,,,
"University of Phoenix, Little Rock Campus, Little Rock",,,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,,
Upper Iowa University,,,,,
"University of Phoenix, Nashville Campus, Nashville",,,,,
Ohio Dominican University,,,,,
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,,
University of South Carolina,,,,,
Ohio State University,,,,,
University of Pennsylvania,,,,,
University of Rhode Island,,,,,
"Devry University, Henderson Campus",,,,,
Columbia University,,,,,
"Devry University, Naperville Center",,,,,
"Devry University, Addison Campus",,,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,,
Massachusetts Institute of Technology,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Utah Campus, Salt Lake City",,,,,
"University of Phoenix, Manassas Learning Center, Manassas",,,,,
Georgia State University,,,,,
"University of Colorado, Boulder",,,,,
University of South Carolina,,,,,
Carnegie Mellon University,,,,,
"Texas A&M University, Commerce",,,,,
University of Pennsylvania,,,,,
Clark University,,,,,
Massachusetts Institute of Technology,,,,,
Carnegie Mellon University,,,,,
"University of Phoenix, Washington Learning Center, Washington",,,,,
"Devry University, Bethesda Center",,,,,
Vanderbilt University,,,,,
University of Denver,,,,,
Henderson State University,,,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,,
Pacific University,,,,,
Johns Hopkins University,,,,,
University of Portland,,,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,,
"Wheaton College, Illinois",,,,,
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,,
Upper Iowa University,,,,,
"University of Phoenix, Detroit Campus, Troy",,,,,
Massachusetts Institute of Technology,,,,,
Columbia University,,,,,
Manhattan School of Music,,,,,
"Devry University, Columbus Campus",,,,,
"Devry University, Columbus North Center",,,,,
"University of Phoenix, Salem Learning Center, Salem",,,,,
"University of Phoenix, Whichita Campus, Whichita",,,,,
Boston University,,,,,
Yale University,,,,,
"University of Phoenix, Southern Arizona Center",,,,,
Metropolitan State University,,,,,
University of Rhode Island,,,,,
Northwestern University,,,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,,
Vanderbilt University,,,,,
Bloomfield College,,,,,
University of Houston,,,,,
"Devry University, Federal Way Campus",,,,,
"Devry University, Elgin Center",,,,,
"Devry University, Tampa East Center",,,,,
San Diego State University,,,,,
University of Central Oklahoma,,,,,
"California State University, Fullerton",,,,,
Eastern University,,,,,
Virginia Polytechnic Institute and State University,,,,,
University of Pittsburgh,,,,,
University of Pennsylvania,,,,,
Columbia University,,,,,
"Devry University, Manassas Center",,,,,
"University of Phoenix, Western Washington Campus, Tukwila",,,,,
George Washington University,,,,,
Loyola University Chicago,,,,,
Northwestern University,,,,,
Tufts University,,,,,
Loma Linda University,,,,,
"Devry University, Fremont Campus",,,,,
"University of Phoenix, Madison Campus, Madison",,,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,,
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
"University of Phoenix, San Antonio Campus, San Antonio",,,,,
Keuka College,,,,,
Washington University in St. Louis,,,,,
"University of Phoenix, Tulsa Campus, Tulsa",,,,,
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,,
Syracuse University,,,,,
"University of Phoenix, Washington D.C. Campus, Washington",,,,,
University of New Hampshire,,,,,
University of Georgia,,,,,
University of Pittsburgh,,,,,
University of Virginia,,,,,
Massachusetts Institute of Technology,,,,,
University of Southern Mississippi,,,,,
"University of Phoenix, Las Vegas Campus, Las Vegas",,,,,
"University of Colorado, Boulder",,,,,
Virginia Polytechnic Institute and State University,,,,,
University of Pittsburgh-Carnegie Mellon University,,,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,,
University of Oregon,,,,,
Ohio State University,,,,,
"University of Phoenix, Miramar Learning Center, Miramar",,,,,
Mississippi State University,,,,,
"Texas A&M University, Kingsville",,,,,
"University of Phoenix, Puerto Rico Campus, Guaynabo",,,,,
Gonzaga University,,,,,
Lake Erie College,,,,,
University of Houston,,,,,
"Devry University, Cherry Hill Center",,,,,
Western Kentucky University,,,,,
"University of Phoenix, Rockville Learning Center, Rockville",,,,,
Boston University,,,,,
Chamberlain College of Nursing (online),,,,,
Massachusetts Institute of Technology,,,,,
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,,
Pace University,,,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,,
Pace University,,,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,,
Marywood University,,,,,
"Colorado State University, Pueblo",,,,,
University of Redlands,,,,,
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,,
"University of Phoenix, South Austin Student Resource Center, Austin",,,,,
"University of Phoenix, Palm Beach Gardens Learning Center",,,,,
Capella University (online),,,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,,
"Devry University, Oklahoma City Campus",,,,,
University of Scranton,,,,,
"City University of Seattle, Vysoka Skola Financni a Spravni",,,,,
"Texas A&M University, Commerce",,,,,
Claremont Graduate University,,,,,
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,,
Monterey Institute of International Studies,,,,,
Rollins College,,,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,,
University of Arizona,,,,,
"Colorado State University, Pueblo",,,,,
Massachusetts Institute of Technology,,,,,
Boston College,,,,,
Lewis & Clark College,,,,,
"University of Nevada, Reno",,,,,
"Devry University, Sandy Campus",,,,,
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,,,,
"Devry University, Philadelphia (Center City) Center",,,,,
Massachusetts Institute of Technology,,,,,
University of Central Oklahoma,,,,,
"Carnegie Mellon University, Australia",,,,,
"University of Massachusetts, Boston",,,,,
Michigan State University,,,,,
"University of Phoenix, Marietta Learning Center, Marietta",,,,,
George Washington University,,,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,,
Yale University,,,,,
University of Southern Mississippi,,,,,
Loma Linda University,,,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,,
"University of Phoenix, West Loop Learning Center, Houston",,,,,
Seattle University,,,,,
University of San Francisco,,,,,
Temple University,,,,,
University of Delaware,,,,,
Carnegie Mellon University,,,,,
University of Louisville,,,,,
