original_title,production_companies
Creed," Warner Bros., New Line Cinema,  Chartoff-Winkler Productions,  Metro-Goldwyn-Mayer (MGM)"
Crimson Peak,Legendary Pictures
Crocodile Dundee in Los Angeles,"Bungalow Productions,  Silver Lion Films,  Vision View Entertainment"
Crossroads," MTV Films, Paramount Pictures"
Curious George,"Imagine Entertainment,  Universal Animation Studios,  Universal Pictures"
Cursed," Kalis Productions GmbH & Co. Zweite KG, Craven-Maddalena Films,  Outerbanks Entertainment,  Dimension Films"
D-Tox,Universal Pictures
Daddy Day Camp,"Revolution Studios,  TriStar Pictures"
Daddy Day Care," Davis Entertainment, Columbia Pictures,  Revolution Studios"
Daddy's Home," Good Universe,  Gary Sanchez Productions, Paramount Pictures,  Red Granite Pictures"
Daddy's Little Girls," The,  Tyler Perry Company, Lions Gate Films"
Dallas Buyers Club," Universal Pictures,  Voltage Pictures,  Truth Entertainment, Universal Studios"
Dan in Real Life," Jon Shestack Productions,  Focus Features, Touchstone Pictures"
Dancer in the Dark," SVT Drama, Fine Line Features,  Zentropa Entertainments,  Danmarks Radio (DR),  Arte"
Daredevil," Regency Enterprises,  New Regency Pictures, Twentieth Century Fox Film Corporation,  Epsilon Motion Pictures,  Marvel Enterprises"
Dark Blue," IM Filmproduktion, United Artists,  Metro-Goldwyn-Mayer (MGM),  Cosmic Pictures,  Intermedia Films"
Dark Shadows," Infinitum Nihil,  Warner Bros.,  Tim Burton Productions,  GK Films, Village Roadshow Pictures"
Dark Water," Post No Bills Films,  Pandemonium Productions, Vertigo Entertainment,  Touchstone Pictures"
Date Movie,"Regency Enterprises,  Epsilon Motion Pictures,  New Regency Pictures"
Date Night," Dune Entertainment, Twentieth Century Fox Film Corporation,  21 Laps Entertainment"
Dawn of the Dead," Cruel and Unusual Films,  Strike Entertainment, New Amsterdam Entertainment,  Toho-Towa,  Metropolitan Filmexport"
Dawn of the Planet of the Apes,"Ingenious Media,  Chernin Entertainment,  TSG Entertainment"
Daybreakers," Australian Film Finance Corporation (AFFC), Lionsgate,  Furst Films,  Pictures in Paradise,  Pacific Film and Television Commission"
Dead Silence," Twisted Pictures,  Evolution Entertainment, Universal Pictures"
Dear John,Screen Gems
Death Race," Relativity Media,  Cruise/Wagner Productions, Universal Pictures,  Scion Films,  Impact Pictures"
Death Sentence," Baldwin Entertainment Group, Twentieth Century Fox Film Corporation,  Hyde Park Entertainment,  Dune Entertainment,  Brass Hat Films"
Death at a Funeral," Screen Gems, Parabolic Pictures"
Deception," Seed Productions, Rifkin-Eberts,  Dune Entertainment III"
Defiance," Pistachio Pictures,  Grosvenor Park Productions,  Bedford Falls Company,  Defiance Productions, Paramount Vantage,  The"
Delivery Man,"DreamWorks SKG,  Touchstone Pictures"
Derailed," Patalex V Productions Limited, Miramax Films,  Di Bonaventura Pictures"
Despicable Me," Illumination Entertainment, Universal Pictures"
Despicable Me 2,"Universal Pictures,  Illumination Entertainment"
Deux frÃ¨res," TF1 Films Production,  Canal+,  Pathe,  Two Brothers Productions, PathÃ© Renn Productions"
Devil," Night Chronicles, Universal Pictures,  Relativity Media,  Media Rights Capital"
Devil's Due," TSG Entertainment, Twentieth Century Fox Film Corporation,  Davis Entertainment"
Dhoom 2,Yash Raj Films
Diana," Scope Pictures,  Filmgate Films,  Film i VÃ¤st, Ecosse Films,  Le Pacte"
Diary of a Wimpy Kid,Color Force
Diary of a Wimpy Kid: Dog Days,Fox 2000 Pictures
Diary of a Wimpy Kid: Rodrick Rules,"Fox 2000 Pictures,  Color Force"
Did You Hear About The Morgans?," Relativity Media, Columbia Pictures,  Castle Rock Entertainment,  Banter"
Die Another Day,Eon Productions
Dinner for Schmucks," Everyman Pictures,  DreamWorks SKG,  Spyglass Entertainment, Paramount Pictures,  Reliance BIG Entertainment"
Dinosaur," Walt Disney Feature Animation, Walt Disney Pictures"
Dirty Dancing: Havana Nights," Lawrence Bender Productions,  Lions Gate Films, Miramax Films,  Havana Nights LLC,  Artisan Entertainment"
Disaster Movie,"Grosvenor Park Media Ltd.,  3 in the Box,  LionsGate"
Disconnect," LD Entertainment,  Exclusive Media Group, Lionsgate,  Liddell Entertainment,  Wonderful Films PLC"
District 9," Canadian Film or Video Production Tax Credit (CPTC),  TriStar Pictures,  Block / Hanson,  Key Creatives, WingNut Films"
Disturbia," Montecito Picture Company,  The,  Cold Spring Pictures, Paramount Pictures,  DreamWorks SKG"
Divergent," Red Wagon Entertainment, Summit Entertainment"
Django Unchained,"Columbia Pictures,  The Weinstein Company"
DodgeBall: A True Underdog Story," Red Hour Films, Twentieth Century Fox Film Corporation,  Mediastream Vierte Film GmbH & Co. Vermarktungs KG"
Dolphin Tale,"Alcon Entertainment,  Arc Productions"
Dolphin Tale 2," Color Force, Alcon Entertainment,  Boxing Cat Films"
Domestic Disturbance,Paramount Pictures
Domino," Scott Free Productions,  Metropolitan Filmexport,  Davis-Films, New Line Cinema,  Domino 17521"
Don't Be Afraid of the Dark," FilmDistrict, Miramax Films,  Gran Via Productions,  Necropia,  Tequila Gang"
Don't Say a Word," NPV Entertainment,  Regency Enterprises,  Kopelson Entertainment, 20th Century Fox,  Village Roadshow Pictures"
Doom," Stillking Films,  Reaper Productions,  Babelsberg Film,  John Wells Productions, Di Bonaventura Pictures"
Doomsday," Moonlighting Films, Rogue Pictures,  Internationale Filmproduktion Blackbird Dritte,  Intrepid Pictures,  Scion Films"
Doubt,Miramax Films
Down with Love," Jinks/Cohen Company,  Epsilon Motion Pictures,  Fox 2000 Pictures, Regency Enterprises,  Mediastream Dritte Film"
Dr. Dolittle 2,Twentieth Century Fox Film Corporation
Dracula 2000," Dimension Films, Neo Art & Logic,  Wes Craven Films"
Dracula Untold,"Universal Pictures,  Dentsu,  Legendary Pictures,  Fuji Television Network,  Michael De Luca Productions"
Drag Me to Hell," Mandate Pictures,  Ghost House Pictures, Universal Pictures,  Curse Productions,  Buckaroo Entertainment"
Dragonfly," Shady Acres Entertainment,  Spyglass Entertainment,  Gran Via Productions, Universal Pictures,  Kalima Productions GmbH & Co. KG"
Dream House,"Cliffjack Motion Pictures,  Morgan Creek Productions"
Dreamcatcher,"Village Roadshow Pictures,  Castle Rock Entertainment,  NPV Entertainment,  Kasdan Pictures,  WV Films II"
Dreamgirls,"Paramount Pictures,  Laurence Mark Productions,  DreamWorks SKG"
Dredd," IM Global, DNA Films,  Peach Trees,  Rena Film,  Reliance BIG Entertainment"
Drive," Motel Movies,  FilmDistrict, Bold Films,  Odd Lot Entertainment,  Marc Platt Productions"
Drive Angry," Saturn Films,  Michael De Luca Productions,  Nu Image Films,  Millennium Films, Summit Entertainment"
Driven," Mel's Cite du Cinema,  Trackform Film Productions,  Franchise Pictures, Epsilon Motion Pictures"
Drumline,Fox 2000 Pictures
"Dude, Whereâ€™s My Car?"," Alcon Entertainment, Twentieth Century Fox Film Corporation"
Due Date," Green Hat Films, Legendary Pictures,  Warner Bros."
Dumb and Dumber To," Universal Pictures,  Conundrum Entertainment, New Line Cinema,  Red Granite Pictures"
Dumb and Dumberer: When Harry Met Lloyd,New Line Cinema
Dungeons & Dragons,"New Line Cinema,  Sweetpea Entertainment,  Silver Pictures"
Duplicity," Medienproduktion Poseidon Filmgesellschaft,  Relativity Media, Universal Pictures,  Laura Bickford Productions"
Dylan Dog: Dead of Night," Long Distance Films, Hyde Park Films,  platinum studios"
DÃ©jÃ  Vu,"Jerry Bruckheimer Films,  Scott Free Productions,  Touchstone Pictures"
Eagle Eye,"DreamWorks SKG,  K/O Paper Products,  KMP Film Invest,  Goldcrest Pictures"
Earth,BBC
Earth to Echo,"Walt Disney Studios Motion Pictures,  Panay Films"
Eastern Promises," Astral Media,  Serendipity Point Films, BBC Films,  Scion Films,  TÃ©lÃ©film Canada"
Easy A," Olive Bridge Entertainment, Screen Gems"
Eat Pray Love,"Columbia Pictures,  Plan B Entertainment,  Red Om Films"
Edge of Darkness," BBC Films,  GK Films,  Warner Bros., Icon Productions"
Edge of Tomorrow," Province of British Columbia Production Services Tax Credit,  Viz Media,  Warner Bros., Village Roadshow Pictures,  3 Arts Entertainment"
Eight Below,"Walt Disney Pictures,  Vertigo Entertainment,  Kennedy/Marshall Company,  The,  Spyglass Entertainment,  Mandeville Films"
Elektra," Marvel Enterprises, Twentieth Century Fox Film Corporation,  Regency Enterprises,  New Regency Pictures,  Epsilon Motion Pictures"
Elf," Gold/Miller Productions,  Guy Walks into a Bar Productions, New Line Cinema"
Elizabeth: The Golden Age," Working Title Films,  StudioCanal, Universal Pictures"
Elizabethtown," Vinyl Films,  Cruise/Wagner Productions, Paramount Pictures,  KMP Film Invest"
Ella Enchanted,Miramax Films
Elysium," QED International, TriStar Pictures,  Alpha Core,  Media Rights Capital,  Sony Pictures Entertainment (SPE)"
Empire State," Cheetah Vision, Grindstone Entertainment Group,  Emmett/Furla Films,  Envision Entertainment Corporation,  Voltage Pictures"
Employee of the Month,Lionsgate
Enchanted," Right Coast Productions, Walt Disney Pictures,  Andalasia Productions,  Josephson Entertainment"
End of Watch,"Emmett/Furla Films,  Hedge Fund Film Partners,  Exclusive Media Group,  Crave Films,  Knightsbridge Entertainment"
Ender's Game," Chartoff Productions,  Digital Domain,  Odd Lot Entertainment, Summit Entertainment,  K/O Paper Products"
Endless Love," Fake Empire,  Bluegrass Films, Universal Pictures"
Enemy at the Gates," Little Bird,  Mandalay Pictures, Paramount Pictures,  KC Medien,  Swanford Films"
Enough,Columbia Pictures
Entourage," Closest to the Hole Productions, Warner Bros."
Epic," Twentieth Century Fox Animation, Blue Sky Studios"
Epic Movie," New Regency Pictures,  Paul Schiff Productions, Twentieth Century Fox Film Corporation,  Regency Enterprises"
Equilibrium," Blue Tulip Productions, Dimension Films"
Eragon,"Ingenious Film Partners,  Fox 2000 Pictures,  Twentieth Century Fox Film Corporation,  Major Studio Partners,  Dune Entertainment"
Erin Brockovich,Jersey Films
Escape Plan,"Summit Entertainment,  Mark Canton Productions,  Atmosphere Entertainment MM,  Envision Entertainment,  Emmett/Furla Films"
Escape from Planet Earth," Mainframe Entertainment, Rainmaker Entertainment,  Weinstein Company,  The"
Eternal Sunshine of the Spotless Mind,"Anonymous Content,  This Is That Productions,  Focus Features"
EuroTrip,"DreamWorks SKG,  Blue Sea Productions,  The Montecito Picture Company"
Evan Almighty," Universal Pictures,  Shady Acres Entertainment, Columbia Pictures,  Original Film,  Spyglass Entertainment"
Everest," Cross Creek Pictures,  Free State Pictures, Universal Pictures,  Working Title Films,  Walden Media"
Everything Must Go,"Birdsong Pictures,  IM Global"
Everything is Illuminated," Telegraph Films,  Warner Independent Pictures (WIP), Big Beach Productions,  Stillking Films"
Evil Dead,"TriStar Pictures,  Ghost House Pictures,  FilmDistrict"
Evolution," The,  Montecito Picture Company,  Columbia Pictures Corporation, DreamWorks SKG"
Ex Machina," Film4, DNA Films,  Universal Pictures International (UPI)"
Exit Wounds," Warner Bros., NPV Entertainment"
Exodus: Gods and Kings," Babieka, Scott Free Productions,  Volcano Films,  Chernin Entertainment"
Extract,Miramax Films
Extraordinary Measures," CBS Films, Double Feature Films"
Extremely Loud & Incredibly Close," Warner Bros., Paramount Pictures,  Scott Rudin Productions"
Eye in the Sky," Moonlighting Films, Entertainment One,  Raindog Films"
Fahrenheit 9/11," Fellowship Adventure Group, BIM Distribuzione"
Failure to Launch," Scott Rudin Productions, Paramount Pictures,  Failure to Launch Productions"
Fair Game," Participant Media, River Road Entertainment"
Fantastic Four," Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,  Constantin Film Produktion,  Marv Films,  Moving Picture Company (MPC), Twentieth Century Fox Film Corporation,  Marvel Entertainment,  Marvel Enterprises,  Constantin Film., Twentieth Century Fox Film Corporation,  1492 Pictures"
Fantastic Mr. Fox," American Empirical Pictures,  Regency Enterprises,  Indian Paintbrush, Twentieth Century Fox Film Corporation,  Twentieth Century Fox Animation"
Far from Heaven,Clear Blue Sky Productions
Fast & Furious," Dentsu Inc.,  Relativity Media,  One Race Productions, Universal Pictures,  Original Film"
Fast & Furious 6," Relativity Media, Universal Pictures,  Dentsu,  One Race Productions,  Original Film"
Fast Five,"Universal Pictures,  Original Film,  One Race Productions"
FearDotCom,"Milagro Films,  Franchise Pictures,  ApolloMedia Distribution,  Signature Pictures,  DoRo Fiction Film"
Femme Fatale," Quinta Communications, Epsilon Motion Pictures"
Fever Pitch,"Fox 2000 Pictures,  Alan Greenspan Productions,  Mars Media Beteiligungs,  Wildgaze Films,  Flower Films (II)"
Fifty Shades of Grey," Michael De Luca Productions, Focus Features,  Trigger Street Productions"
Final Destination," Hard Eight Pictures,  Zide-Perry Productions, New Line Cinema"
Final Destination 2," Zide-Perry Productions, New Line Cinema"
Final Destination 3," Hard Eight Pictures,  Matinee Pictures, New Line Cinema,  Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG,  Zide-Perry Productions"
Final Destination 5," Parallel Zide, New Line Cinema,  Practical Pictures"
Final Fantasy: The Spirits Within," Square USA, Columbia Pictures,  Chris Lee Productions"
Finding Forrester,"Fountainbridge Films,  Laurence Mark Productions,  Finding Forrester Productions,  Columbia Pictures Corporation"
Finding Nemo," Pixar Animation Studios, Walt Disney Pictures,  Disney Enterprises"
Finding Neverland," Film Colony, Miramax Films"
Fire with Fire,"Industry Entertainment,  Grindstone Entertainment Group,  Mandalay Vision,  Paradox Entertainment,  Cheetah Vision"
Firewall,"Village Roadshow Pictures,  Beacon Pictures,  Jon Shestack Productions,  Thunder Road Pictures,  Warner Bros."
Flags of Our Fathers," Malpaso Productions,  Amblin Entertainment,  Warner Bros., DreamWorks SKG"
Flight of the Phoenix,"Twentieth Century Fox Film Corporation,  Davis Entertainment,  Aldrich Group,  Optional Pictures"
Flightplan,"Imagine Entertainment,  Touchstone Pictures"
Flushed Away," DreamWorks Animation, Aardman Animations"
Flyboys," Electric Entertainment,  Flyboys Films,  Skydance Productions, Ingenious Film Partners"
Focus," RatPac-Dune Entertainment, Kramer & Sigman Films,  Zaftig Films"
Fool's Gold," Warner Bros., De Line Pictures"
Footloose," MTV Films, Spyglass Entertainment"
For Greater Glory - The True Story of Cristiada,Dos Corazones
Forgetting Sarah Marshall," Apatow Productions, Universal Pictures"
Four Brothers," Di Bonaventura Pictures, Paramount Pictures"
Four Christmases," Ott Medien, New Line Cinema,  Wild West Picture Show Productions,  Spyglass Entertainment,  Type A Films"
Foxcatcher," Annapurna Pictures, Likely Story,  Media Rights Capital"
Frailty,"Cinerenta Medienbeteiligungs KG,  David Kirschner Productions,  American Entertainment Partners L.P."
Frankenweenie,"Walt Disney Pictures,  Tim Burton Productions,  Tim Burton Animation Company"
Freaky Friday,Walt Disney Pictures
Fred Claus," David Dobkin Productions,  Warner Bros.,  Jessie Nelson Productions, Silver Pictures"
Freddy vs. Jason," Avery Pix, New Line Cinema,  Cecchi Gori Group Tiger Cinematografica,  Sean S. Cunningham Films,  Crystal Lake Entertainment"
Free Birds," Relativity Media, Reel FX Creative Studios"
Freedom Writers," Jersey Films, Double Feature Films,  Kernos Filmproduktionsgesellschaft & Company"
Freedomland," Revolution Studios, Scott Rudin Productions"
Frequency,New Line Cinema
Frida," Ventanarosa Productions, Miramax Films,  Lions Gate Films,  Handprint Entertainment"
Friday After Next,New Line Cinema
Friday Night Lights," MDBF Filmgesellschaft mbH & Company KG,  Imagine Entertainment, Universal Studios,  Friday Night Lights LLC"
Friday the 13th,New Line Cinema
Friends with Benefits," Olive Bridge Entertainment, Castle Rock Entertainment,  Screen Gems"
Fright Night,Touchstone Pictures
From Hell,"Twentieth Century Fox Film Corporation,  Underworld Entertainment"
From Justin to Kelly,20th Century Fox
Frozen,"Walt Disney Pictures,  Walt Disney Animation Studios"
Fun Size," Anonymous Content,  Nickelodeon Movies,  Fake Empire, Paramount Pictures"
Fun with Dick and Jane," Columbia Pictures Corporation, Imagine Entertainment,  JC 23 Entertainment"
Funny Games,"Halcyon Pictures,  Kinematograf Wien"
Funny People," Relativity Media,  Happy Madison Productions,  Apatow Productions,  Universal Pictures, Columbia Pictures"
Fur: An Imaginary Portrait of Diane Arbus,"River Road Entertainment,  Iron Film,  Edward R. Pressman Film"
Furious 7," Original Film,  Media Rights Capital,  Dentsu,  One Race Films, Universal Pictures"
Furry Vengeance,"Summit Entertainment,  Imagenation Abu Dhabi FZ,  Robert Simonds Productions,  Furry Vengeance Productions,  Participant Media"
Fury," Crave Films,  LStar Capital,  Huayi Brothers Media, Columbia Pictures,  QED International"
G-Force," Whamaphram Productions, Walt Disney Pictures,  Jerry Bruckheimer Films"
G.I. Joe: The Rise of Cobra," Spyglass Entertainment,  Di Bonaventura Pictures, Paramount Pictures,  Kontsept Film Company,  Hasbro"
Gamer,"Lakeshore Entertainment,  Lionsgate"
Gangs of New York," Initial Entertainment Group (IEG), Miramax Films,  Alberto Grimaldi Productions"
Gangster Squad," Lin Pictures,  Langley Park Production,  Warner Bros., Village Roadshow Pictures"
Garfield," Davis Entertainment, Twentieth Century Fox Film Corporation"
Get Carter," The Canton Company,  Morgan Creek Productions,  Warner Bros., Franchise Pictures"
Get Hard,"Gary Sanchez Productions,  Warner Bros."
Get Him to the Greek," Apatow Productions,  Spyglass Entertainment, Universal Pictures,  Relativity Media"
Get Rich or Die Tryin',"Paramount Pictures,  MTV Films,  Cent Productions Inc."
Get Smart," Atlas Entertainment,  Mad Chance,  Warner Bros.,  Mosaic Media Group, Village Roadshow Pictures"
Getaway," Silver Reel,  Signature Pictures, Dark Castle Entertainment,  After Dark Films,  Saints LA"
Ghost Rider,"Columbia Pictures Corporation,  Crystal Sky Pictures,  Relativity Media,  Marvel Enterprises,  Michael De Luca Productions"
Ghost Rider: Spirit of Vengeance," Hyde Park Entertainment,  Marvel Knights,  Imagenation Abu Dhabi FZ, Columbia Pictures,  Marvel Entertainment"
Ghost Ship,"Village Roadshow Pictures,  Dark Castle Entertainment,  NPV Entertainment,  Warner Bros.,  Ghost Ship Films Pty. Ltd."
Ghosts of Mars," Animationwerks,  Storm King Productions, Screen Gems"
Ghosts of the Abyss," Walden Media, Walt Disney Pictures,  Earthship Productions"
Gigli,"City Light Films,  Revolution Studios,  Casey Silver Productions"
Gladiator," Mill Film,  Universal Pictures,  Scott Free Productions,  Red Wagon Entertainment, DreamWorks SKG"
Gnomeo & Juliet,"Starz Animation,  Touchstone Pictures"
Goal!: The Dream Begins," Milkshake Films, Touchstone Pictures,  Hargitay & Hargitay Pictures in Motion"
God's Not Dead,Pure Flix Entertainment
Gods and Generals," Antietam Filmworks, Turner Pictures"
Godsend,"Lions Gate Films,  Blue Productions,  2929 Productions,  Artists Production Group (APG)"
Godzilla,"Toho Company,  Disruption Entertainment,  Legendary Pictures,  Warner Bros.,  RatPac-Dune Entertainment"
Going the Distance," Offspring Entertainment, New Line Cinema"
Gone Baby Gone,"Miramax Films,  The Ladd Company"
Gone Girl," Regency Enterprises, Twentieth Century Fox Film Corporation,  Pacific Standard,  New Regency Pictures,  TSG Entertainment"
Gone In Sixty Seconds,"Jerry Bruckheimer Films,  Touchstone Pictures"
Good Luck Chuck,"Lionsgate,  Karz Entertainment"
"Good Night, and Good Luck.","Warner Independent Pictures (WIP),  Section Eight Productions"
Goosebumps," Scholastic Entertainment,  Original Film, Columbia Pictures"
Gosford Park,USA Films
Gossip,Warner Bros. Pictures
Gothika,"Columbia Pictures Corporation,  Warner Bros.,  Dark Castle Entertainment"
Gran Torino," Double Nickel Entertainment, Village Roadshow Pictures,  Malpaso Productions,  Warner Bros.,  Gerber Pictures"
Gravity,"Warner Bros.,  Esperanto Filmoj,  Heyday Films"
Green Lantern," DC Entertainment,  Warner Bros., De Line Pictures"
Green Zone," Relativity Media,  Dentsu, Universal Pictures,  StudioCanal,  Working Title Films"
Gridiron Gang,Columbia Pictures
Grindhouse," Dimension Films, Big Talk Productions,  The,  Weinstein Company,  Troublemaker Studios,  Yer Dead Productions"
Grown Ups," Relativity Media, Columbia Pictures,  Happy Madison Productions"
Grown Ups 2," Happy Madison Productions, Columbia Pictures,  Sony Pictures Entertainment (SPE)"
Grudge Match," Warner Bros., Gerber Pictures"
Guardians of the Galaxy," Revolution Sun Studios,  Moving Picture Company (MPC),  Bulletproof Cupid, Marvel Studios"
Guess Who," Regency Enterprises,  Tall Trees Productions, Columbia Pictures,  3 Arts Entertainment"
Gulliver's Travels," Dune Entertainment, Twentieth Century Fox Film Corporation,  Dune Entertainment III,  Davis Entertainment"
Hachi: A Dog's Tale," Hachiko,  Inferno Distribution,  Scion Films,  Stage 6 Films, Grand Army Entertainment"
Hairspray,New Line Cinema
Hall Pass," Conundrum Entertainment, New Line Cinema"
Halloween," Nightfall Productions,  Spectacle Entertainment Group, Dimension Films"
Halloween II," Trancas International Films,  Spectacle Entertainment Group, Dimension Films"
Halloween: Resurrection,Dimension Films
Hancock," Weed Road Pictures, Columbia Pictures,  Overbrook Entertainment,  Forward Pass,  Relativity Media"
Hanging Up,"Laurence Mark Productions,  Global Entertainment Productions GmbH & Company Medien KG,  Columbia Pictures Corporation,  Nora Ephron Productions"
Hanna," Neunte Babelsberg Film,  Focus Features, Focus Features,  Holleran Company,  Sechzehnte Babelsberg Film"
Hannah Montana: The Movie," Millar Gough Ink,  It's a Laugh Productions, Walt Disney Pictures"
Hannibal," Dino De Laurentiis Company, Universal Pictures,  Metro-Goldwyn-Mayer (MGM),  Scott Free Productions"
Hannibal Rising," ETIC Films, Ingenious Film Partners,  Dino De Laurentiis Company,  Quinta Communications,  Zephyr Films"
Hansel & Gretel: Witch Hunters,"Paramount Pictures,  Studio Babelsberg,  Gary Sanchez Productions,  MTV Films,  Metro-Goldwyn-Mayer (MGM)"
Happy Feet," Kennedy Miller Productions,  Animal Logic,  Kingdom Feature Productions,  Warner Bros., Village Roadshow Pictures"
Happy Feet Two," Dr D Studios, Village Roadshow Pictures,  Warner Bros.,  Kennedy Miller Mitchell"
Hardball," Nides/McCormick Productions,  GHS Productions KG, Paramount Pictures,  Munich Film Partners & Company (MFP) GHS Productions"
Hardcore Henry," Versus Pictures, Bazelevs Production"
Harold & Kumar Escape from Guantanamo Bay,New Line Cinema
Harold & Kumar Go to White Castle,New Line Cinema
Harry Brown," UK Film Council, HanWay Films,  Marv Films"
Harry Potter and the Chamber of Secrets,"1492 Pictures,  Heyday Films,  Warner Bros.,  MIRACLE Productions GmbH & Co. KG"
Harry Potter and the Deathly Hallows: Part 1,"Warner Bros.,  Heyday Films"
Harry Potter and the Deathly Hallows: Part 2," Moving Picture Company (MPC), Warner Bros.,  Heyday Films"
Harry Potter and the Goblet of Fire,"Patalex IV Productions Limited,  Warner Bros.,  Heyday Films"
Harry Potter and the Half-Blood Prince," Heyday Films, Warner Bros."
Harry Potter and the Order of the Phoenix," Heyday Films, Cool Music,  Harry Potter Publishing Rights,  Warner Bros."
Harry Potter and the Philosopher's Stone," Warner Bros.,  Heyday Films, 1492 Pictures"
Harry Potter and the Prisoner of Azkaban," P of A Productions Limited,  Warner Bros., 1492 Pictures,  Heyday Films"
Hart's War," David Ladd Films,  Metro-Goldwyn-Mayer (MGM),  Cheyenne Enterprises, David Foster Productions"
Haywire," Relativity Media, Irish Film Board"
He's Just Not That Into You," Internationale Filmproduktion Blackswan,  Flower Films (II), New Line Cinema"
Head Over Heels,Universal Studios
Hearts in Atlantis,Castle Rock Entertainment
Heaven is for Real," Roth Films, TriStar Pictures,  Screen Gems"
Hellboy," Lawrence Gordon Productions, Revolution Studios,  Dark Horse Entertainment,  Starlite Films"
Hellboy II: The Golden Army," Relativity Media,  Lawrence Gordon Productions, Universal Pictures,  Dark Horse Entertainment,  Mid Atlantic Films"
Her,Annapurna Pictures
Herbie Fully Loaded,"Walt Disney Pictures,  Robert Simonds Productions"
Hercules," Metro-Goldwyn-Mayer (MGM),  Radical Studios, Paramount Pictures,  Flynn Picture Company"
Hereafter," Kennedy/Marshall Company,  The, Amblin Entertainment,  Warner Bros.,  Malpaso Productions"
Hidalgo," Dune Films, Casey Silver Productions,  Touchstone Pictures"
Hide and Seek," MBC Beteiligungs Filmproduktion,  Fox 2000 Pictures, Twentieth Century Fox Film Corporation,  Josephson Entertainment"
High Crimes," Epsilon Motion Pictures, Twentieth Century Fox Film Corporation,  Monarch Pictures,  Regency Enterprises,  New Regency Pictures"
High Fidelity,"Buena Vista,  Touchstone Pictures"
Highlander: Endgame," Dimension Films, Davis-Panzer Productions"
Hitch," Overbrook Entertainment, Columbia Pictures Corporation"
Hitman," Daybreak Productions,  Anka Film,  Dune Entertainment,  EuropaCorp, Twentieth Century Fox Film Corporation"
Hitman: Agent 47," Infinite Frameworks Studios,  TSG Entertainment,  Fox International Productions, Twentieth Century Fox Film Corporation"
Hollow Man,"Columbia Pictures Corporation,  Global Entertainment Productions GmbH & Company Medien KG"
Home,"Twentieth Century Fox Film Corporation,  DreamWorks Animation"
Home on the Range," Walt Disney Feature Animation, Walt Disney Pictures"
Homefront," Open Road Films, Millennium Films"
Honey,"Universal Pictures,  Marc Platt Productions,  NuAmerica Entertainment"
Hoodwinked Too! Hood VS. Evil,HW Two
Hoodwinked!," Blue Yonder Films,  Kanbar Entertainment, The Weinstein Company"
Hop,"Universal Pictures,  Illumination Entertainment"
Hope Springs," Management 360,  Escape Artists,  Mandate Pictures, Columbia Pictures,  Metro-Goldwyn-Mayer (MGM)"
Horrible Bosses," Rat Entertainment, New Line Cinema"
Horrible Bosses 2,"New Line Cinema,  BenderSpink,  RatPac Entertainment"
Horton Hears a Who!,"Twentieth Century Fox Film Corporation,  Twentieth Century Fox Animation,  Blue Sky Studios"
Hostage,"Miramax Films,  Cheyenne Enterprises,  Yari Film Group,  Syndicate Films International,  Stratus Film Co."
Hostel: Part II,"Lions Gate Films,  Screen Gems,  Next Entertainment"
Hot Pursuit,"New Line Cinema,  Metro-Goldwyn-Mayer (MGM),  Warner Bros.,  Pacific Standard"
Hot Tub Time Machine,"United Artists,  New Crime Productions,  Metro-Goldwyn-Mayer (MGM)"
Hotel Rwanda," Endgame Entertainment, Lions Gate Films,  Industrial Development Corporation of South Africa,  Miracle Pictures,  United Artists"
Hotel Transylvania," Sony Pictures Animation, Columbia Pictures"
Hotel Transylvania 2," Sony Pictures Animation, Columbia Pictures"
Hotel for Dogs," Nickelodeon Movies, DreamWorks SKG"
House of 1000 Corpses,"Universal Pictures,  Spectacle Entertainment Group"
House of Wax,"Village Roadshow Pictures,  Dark Castle Entertainment,  Warner Bros."
House of the Dead," Mindfire Entertainment,  Brightlight Pictures,  Herold Productions, Boll Kino Beteiligungs GmbH & Co. KG"
How Do You Know," Gracie Films, Columbia Pictures,  Road Rebel"
How High," Native Pictures Productions, Universal Pictures,  Jersey Films"
How the Grinch Stole Christmas," Universal Pictures, Imagine Entertainment"
How to Lose Friends & Alienate People," Aramid Entertainment Fund, UK Film Council,  Lipsync Productions,  Intandem Films,  Film4"
How to Lose a Guy in 10 Days,Paramount Pictures
How to Train Your Dragon," Vertigo Entertainment, DreamWorks Animation,  Mad Hatter Entertainment"
How to Train Your Dragon 2,"DreamWorks Animation,  Mad Hatter Entertainment"
Hugo,"Paramount Pictures,  GK Films,  Infinitum Nihil"
Hulk," Valhalla Motion Pictures,  Good Machine, Universal Pictures,  Marvel Enterprises"
Hustle & Flow,MTV Films
I Am Legend," Weed Road Pictures,  Heyday Films,  Warner Bros., Village Roadshow Pictures,  Original Film"
I Am Number Four,"DreamWorks SKG,  Bay Films,  Reliance BIG Entertainment,  Touchstone Pictures"
I Am Sam,New Line Cinema
I Could Never Be Your Woman," I Could Never Ltd., Scott Rudin Productions,  Bauer Martinez Studios"
I Don't Know How She Does It,The Weinstein Company
I Know Who Killed Me," 360 Pictures, TriStar Pictures"
I Love You Phillip Morris,EuropaCorp
