original_title,production_companies
The Tourist, Peninsula Films
Law Abiding Citizen, Evil Twins
Zoolander, Red Hour Productions
Aliens in the Attic, New Upstairs Productions
The Unborn, Relativity Media
The Grey, LD Entertainment
The Equalizer, LStar Capital
La migliore offerta, Business Location Sudtirol Alto Adige
The Lone Ranger,Walt Disney Pictures
Memento,Summit Entertainment
A Knight's Tale,Columbia Pictures Corporation
Sky Captain and the World of Tomorrow, Filmauro
Sweeney Todd: The Demon Barber of Fleet Street, Tim Burton Productions
Next, Broken Road Productions
Kill Bill: Vol. 1, Super Cool ManChu
The Pirates! In an Adventure with Scientists!,Columbia Pictures
Corpse Bride, Warner Bros.
Sex and the City 2, HBO Films
Dawn of the Dead, Cruel and Unusual Films
Paranormal Activity: The Marked Ones, Room 101
Sparkle, Akil Production Company
The Men Who Stare at Goats, Smoke House
Pandorum, Constantin Film Produktion
Herbie Fully Loaded,Walt Disney Pictures
Starsky & Hutch, AR-TL
The Gunman, TF1 Films Production
Clash of the Titans, Thunder Road Pictures
Reno 911!: Miami,20th Century Fox
Green Lantern, DC Entertainment
Tears of the Sun,Columbia Pictures
The Change-Up,Universal Pictures
The Debt,Miramax Films
Fire with Fire, Mandalay Vision
The Crazies,Penn Station Entertainment
Death Race, Cruise/Wagner Productions
Cats & Dogs, Warner Bros.
Thank You for Smoking,Fox Searchlight Pictures
Out Cold, Touchstone Pictures
Team America: World Police,Paramount Pictures
Charlie's Angels: Full Throttle, Flower Films (II)
High Crimes, Epsilon Motion Pictures
Ghost Rider: Spirit of Vengeance, Imagenation Abu Dhabi FZ
Doom, John Wells Productions
Revolutionary Road, Neal Street Productions
The Hobbit: The Desolation of Smaug,WingNut Films
The Butterfly Effect,New Line Cinema
Meet Dave, Regency Enterprises
The Machinist,Filmax Entertainment
The Tourist, StudioCanal
The Three Musketeers,Impact Pictures
Sunshine,DNA Films
On the Road, France 2 CinÃ©ma
Underworld: Awakening, Sketch Films
How to Lose Friends & Alienate People, Aramid Entertainment Fund
Looney Tunes: Back in Action,Lonely Film Productions GmbH & Co. KG.
Lockout, EuropaCorp
Gladiator, Mill Film
Promised Land,Participant Media
The Kingdom,Universal Pictures
Sydney White, SW7D Productions
Extremely Loud & Incredibly Close, Warner Bros.
Wanderlust, A Hot Dog
The Words, CBS Films
The Marine,Twentieth Century Fox Film Corporation
"I, Robot", Davis Entertainment
Fever Pitch, Alan Greenspan Productions
Bedtime Stories, Happy Madison Productions
Secret in Their Eyes, Route One Films
Trespass, Winkler Films
Harry Brown,HanWay Films
K-19: The Widowmaker, New Regency Pictures
The Apparition, Dark Castle Entertainment
Miss Congeniality,Village Roadshow Pictures
Snow White and the Huntsman, Roth Films
"10,000 BC", Moonlighting Films
Hotel Rwanda, Industrial Development Corporation of South Africa
Transformers, Amblin Entertainment
Pride & Prejudice,Universal Pictures
The Social Network, Relativity Media
Death Race,Universal Pictures
All About the Benjamins,New Line Cinema
Red Dawn, FilmDistrict
The Order, N1 European Film Produktions GmbH & Co. KG
Jack Ryan: Shadow Recruit, Di Bonaventura Pictures
Sideways, Michael London Productions
Machete Kills, Overnight Films
Gone Girl, Regency Enterprises
The Taking of Pelham 1 2 3, Escape Artists
Mandela: Long Walk to Freedom,Distant Horizons
Watchmen, Legendary Pictures
The Martian,Twentieth Century Fox Film Corporation
The Ides of March, Exclusive Media Group
The Sorcerer's Apprentice, Junction Entertainment
Run Fatboy Run, Material Entertainment
Resident Evil: Afterlife,Impact Pictures
Mr. Bean's Holiday, Working Title Films
Tower Heist, Image Entertainment
Sucker Punch, Lennox House Films
Lucy, EuropaCorp
Empire State,Grindstone Entertainment Group
Epic, Twentieth Century Fox Animation
The Lego Movie, Warner Bros. Animation
Zookeeper, Happy Madison Productions
V for Vendetta, Silver Pictures
Austin Powers in Goldmember, Team Todd
The Guard, Prescience
Little Fockers,Paramount Pictures
"Tomorrow, When the War Began", Ambience Entertainment
Wanted, Kickstart Productions
Hustle & Flow,MTV Films
Horton Hears a Who!,Twentieth Century Fox Film Corporation
No Reservations, Warner Bros.
Mortdecai, OddLot Entertainment
The Reaping, Warner Bros.
The Lord of the Rings: The Fellowship of the Ring, New Line Cinema
Predators, Dune Entertainment III
The Road to El Dorado,DreamWorks Animation
True Grit, Scott Rudin Productions
Why Did I Get Married?,Lions Gate Films
Wall Street: Money Never Sleeps, Dune Entertainment III
Banlieue 13, TF1 Films Production
Despicable Me, Illumination Entertainment
Underworld, Subterranean Productions LLC
Sparkle, Phoenix Pictures
47 Ronin,Mid Atlantic Films
Life as We Know It, Gold Circle Films
On the Road, Vanguard Films
Transcendence, Syncopy
Apollo 18, Bekmambetov Projects Ltd.
Billy Elliot,BBC Films
Cast Away, Twentieth Century Fox Film Corporation
What Women Want, Centropolis Entertainment
2012, Farewell Productions
The Last King of Scotland, UK Film Council
Prisoners, Madhouse Entertainment
Lucky Number Slevin,The Weinstein Company
Let Me In,Hammer Film Productions
Sucker Punch, Warner Bros.
Road Trip,DreamWorks SKG
Step Up Revolution,Summit Entertainment
Down with Love, Jinks/Cohen Company
Planet 51, Hand Made Films
Summer Catch,Tollin/Robbins Productions
Starsky & Hutch, Dimension Films
Reign of Fire, Tripod Entertainment
The Time Machine,DreamWorks SKG
American Gangster, Scott Free Productions
The Bourne Ultimatum, Motion Picture BETA Produktionsgesellschaft
Project Almanac, Platinum Dunes
Rescue Dawn,Metro-Goldwyn-Mayer (MGM)
The Stepford Wives, DreamWorks Pictures
Before the Devil Knows You're Dead, Linsefilm
Lawless, Annapurna Pictures
Chappie,Columbia Pictures
Dawn of the Dead, Strike Entertainment
Spy Game, Red Wagon Productions
Bullet to the Head, IM Global
Trance, Film4
The Hangover Part II,Legendary Pictures
No Reservations, WV Films III
Around the World in 80 Days,Studio Babelsberg
Into the Blue, Metro-Goldwyn-Mayer (MGM)
The Rite, Hungarian National Film Office
Dolphin Tale 2, Color Force
Hotel Transylvania,Columbia Pictures
Outlander, Virtual Films
The Lorax,Universal Pictures
Final Destination, Hard Eight Pictures
Cinderella Man, Imagine Entertainment
The Ladies Man,SNL Studios
New in Town,Lionsgate
The Counselor,Ingenious Media
The Last Legion, Quinta Communications
Freddy vs. Jason, Avery Pix
American Psycho, Edward R. Pressman Film
Swimming Pool,France 2 CinÃ©ma
Haywire,Irish Film Board
Colombiana, Grive Productions
Hugo, GK Films
The Little Prince, On Entertainment
The Village, Blinding Edge Pictures
Paul Blart: Mall Cop 2, Sony Pictures Entertainment (SPE)
Flags of Our Fathers, Malpaso Productions
Blood Ties, Les Productions du TrÃ©sor
Saving Mr. Banks, Hopscotch Features
The Invisible, Hollywood Pictures
Jack Ryan: Shadow Recruit, Etalon film
Big Miracle,Universal Pictures
Saving Mr. Banks, Ruby Films
The Purge: Anarchy, Blumhouse Productions
The Amityville Horror, Radar Pictures
Doom,Di Bonaventura Pictures
The Fountain, Warner Bros.
Hot Tub Time Machine, New Crime Productions
Meet the Parents, Nancy Tenenbaum Films
Blood Diamond,Bedford Falls Productions
Punisher: War Zone,Lionsgate
Contraband,Universal Pictures
Unleashed, EuropaCorp
After Earth, Overbrook Entertainment
All Is Lost,Sudden Storm Productions
Aloha, RatPac Entertainment
Meet the Fockers, Tribeca Productions
The Hurt Locker, Grosvenor Park Media Ltd.
Repo Men, Stuber Productions
White Chicks, Revolution Studios
Eye in the Sky, Moonlighting Films
Magic Mike XXL, Iron Horse Entertainment (II)
Max Payne, Collision Entertainment
The Whole Ten Yards, MHF Zweite Academy Film
Madagascar, DreamWorks Animation
Dark Shadows, Warner Bros.
Crank, Lakeshore Entertainment
Into the Storm,New Line Cinema
Agent Cody Banks, Maverick Films
Spotlight, Entertainment One Features
Ghost Rider: Spirit of Vengeance,Columbia Pictures
Fast & Furious, Relativity Media
The Sisterhood of the Traveling Pants,DiNovi Pictures
Driven, Trackform Film Productions
Auto Focus, Propaganda Films
No Reservations, Storefront Pictures
The Bounty Hunter, Original Film
Original Sin,Metro-Goldwyn-Mayer (MGM)
The Perfect Storm, Radiant Productions
Righteous Kill, Nu-Image Films
We Are Marshall,Legendary Pictures
Don't Be Afraid of the Dark, FilmDistrict
Rock Star,Warner Bros. Pictures
London Boulevard,GK Films
The Dilemma,Imagine Entertainment
Godsend, 2929 Productions
You Don't Mess With the Zohan, Sony Pictures Releasing
Son of God, LightWorkers Media
The Amityville Horror, Dimension Films
Prince of Persia: The Sands of Time,Walt Disney Pictures
Invictus, Malpaso Productions
My Week with Marilyn, UK Film Council
Savages,Ixtlan
The Place Beyond the Pines, Electric City Entertainment
Children of Men,Universal Pictures
She's Out of My League,DreamWorks SKG
World Trade Center, Intermedia Films
Identity, Columbia Pictures Corporation
Mission: Impossible - Rogue Nation, China Movie Channel
The Town,Legendary Pictures
Soul Surfer, TriStar Pictures
Exodus: Gods and Kings,Scott Free Productions
The Perfect Game, Kenio Films
Get Smart, Atlas Entertainment
Hereafter, The
Australia, Ingenious Film Partners
New Year's Eve,New Line Cinema
Stuck on You,Twentieth Century Fox Film Corporation
Alice in Wonderland, Zanuck Company
Heaven is for Real, Roth Films
V for Vendetta, Virtual Studios
Red Planet, Warner Bros.
The Bucket List, Two Ton Films
Madagascar: Escape 2 Africa,DreamWorks Animation
Dawn of the Dead,New Amsterdam Entertainment
Hotel Transylvania 2, Sony Pictures Animation
Pride & Prejudice, Working Title Films
Hanna, Neunte Babelsberg Film
Fantastic Four, Moving Picture Company (MPC)
American Psycho,Lions Gate Films
Lara Croft Tomb Raider: The Cradle of Life, Mutual Film Company
The Fast and the Furious, Original Film
G-Force, Whamaphram Productions
The Internship, 21 Laps Entertainment
My Big Fat Greek Wedding,MPH Entertainment
The Boy in the Striped Pyjamas, BBC Films
The Fifth Estate, Touchstone Pictures
Finding Forrester, Laurence Mark Productions
Bright Star, UK Film Council
Agent Cody Banks, Dylan Sellers Productions
Hide and Seek, Fox 2000 Pictures
Along Came Polly,Universal Pictures
People Like Us,DreamWorks SKG
Why Did I Get Married Too?, The Tyler Perry Company
Club Dread, Coconut Pete Productions
A.I. Artificial Intelligence,DreamWorks SKG
Signs, Blinding Edge Pictures
Devil, Night Chronicles
Broken City, Closest to the Hole Productions
Eat Pray Love, Plan B Entertainment
Burnt, PeaPie Films
The Intern, Warner Bros.
Into the Blue,Columbia Pictures Corporation
Brooklyn's Finest, Millennium Films
Hanna, Focus Features
The Informant!,Section Eight
Battleship, Bluegrass Films
Timeline, Mutual Film Company
Dreamgirls,Paramount Pictures
Billy Elliot, Tiger Aspect Productions
Inherent Vice,Ghoulardi Film Company
Creed,New Line Cinema
Starsky & Hutch, Red Hour Films
Date Night, Dune Entertainment
Get Carter, Morgan Creek Productions
Burn After Reading, Relativity Media
"You, Me and Dupree",Universal Pictures
Brothers, Michael De Luca Productions
The Cell,New Line Cinema
Don't Be Afraid of the Dark,Miramax Films
Contagion, Warner Bros.
The Sentinel, Regency Enterprises
Spartan,Epsilon Motion Pictures
Salt, Relativity Media
Agora, Telecinco Cinema
Death Sentence,Twentieth Century Fox Film Corporation
Lakeview Terrace,Screen Gems
How Do You Know, Gracie Films
Final Destination 3, Hard Eight Pictures
The Ugly Truth, Relativity Media
Bad Company,Jerry Bruckheimer Films
Dark Water,Vertigo Entertainment
Happy Feet, Animal Logic
The Butler, Lee Daniels Entertainment
Ride Along,Universal Pictures
Flightplan,Imagine Entertainment
Step Brothers, Mosaic Media Group
The Danish Girl,Pretty Pictures
San Andreas,New Line Cinema
Entourage, Closest to the Hole Productions
Capote, Cooper's Town Productions
Barbershop,Metro-Goldwyn-Mayer (MGM)
Dumb and Dumber To,New Line Cinema
Into the Blue, Mandalay Pictures
Rock the Kasbah,Shangri-La Entertainment
2012, The Mark Gordon Company
The Girl with the Dragon Tattoo, Film Rites
How to Train Your Dragon 2,DreamWorks Animation
A History of Violence,New Line Cinema
Tooth Fairy, Dune Entertainment III
Orphan,Dark Castle Entertainment
Disconnect, LD Entertainment
Queen of the Damned, WV Films LLC
Lucy,Universal Pictures
Snakes on a Plane,New Line Cinema
Notes on a Scandal, Scott Rudin Productions
Finding Nemo, Pixar Animation Studios
The Wedding Ringer, LStar Capital
Hostel: Part II,Lions Gate Films
A Cinderella Story,Gaylord Films
Dinner for Schmucks, DreamWorks SKG
A Walk Among the Tombstones,Double Feature Films
Disturbia, The
The Grudge, Fellah Pictures
High Crimes,Twentieth Century Fox Film Corporation
Get Smart, Mad Chance
Guardians of the Galaxy, Moving Picture Company (MPC)
The Return, Raygun Productions
End of Watch,Emmett/Furla Films
Hart's War, Metro-Goldwyn-Mayer (MGM)
Date Movie,Regency Enterprises
District 9, TriStar Pictures
Hereafter,Amblin Entertainment
300: Rise of an Empire, Hollywood Gang Productions
Public Enemies, Relativity Media
The Next Three Days, Hwy61
Let Me In, Exclusive Media Group
Shutter Island,Paramount Pictures
Lone Survivor,Universal Pictures
"I, Robot", Mediastream Vierte Film GmbH & Co. Vermarktungs KG
Final Fantasy: The Spirits Within,Columbia Pictures
The Change-Up, Relativity Media
High Fidelity, Touchstone Pictures
The Words, Also Known As Pictures
Jeepers Creepers, Cinerenta-Cinebeta
Road to Perdition,DreamWorks SKG
The Railway Man,Archer Street Productions
X-Men Origins: Wolverine,Ingenious Film Partners
The Wedding Ringer, Screen Gems
Shanghai Knights, Jackie Chan Films Limited
Hollow Man,Columbia Pictures Corporation
The Revenant,Regency Enterprises
The Twilight Saga: New Moon, Temple Hill Entertainment
Inside Out,Walt Disney Pictures
The Lord of the Rings: The Fellowship of the Ring,WingNut Films
The Eye, VN Productions
Dredd,DNA Films
Project X,Silver Pictures
Big Eyes, Tim Burton Productions
Are We There Yet?,Columbia Pictures
The Last Legion,Ingenious Film Partners
The Other Guys,Columbia Pictures
The Bourne Legacy, The
Cheaper by the Dozen,Twentieth Century Fox Film Corporation
Deux frÃ¨res, Canal+
Cars,Walt Disney Pictures
21 Grams, Mediana Productions Filmgesellschaft
The Mummy: Tomb of the Dragon Emperor, The
Bangkok Dangerous, Saturn Films
Flags of Our Fathers, Amblin Entertainment
The Cave, Screen Gems
The Peanuts Movie,Blue Sky Studios
Apollo 18,Bazelevs Production
Star Trek Into Darkness, Bad Robot
X-Men: Days of Future Past, Bad Hat Harry Productions
Carrie, Metro-Goldwyn-Mayer (MGM)
DÃ©jÃ  Vu,Jerry Bruckheimer Films
The Crazies, Participant Media
Oblivion, Radical Studios
Country Strong, Screen Gems
The Island,DreamWorks SKG
"Dude, Whereâ€™s My Car?",Twentieth Century Fox Film Corporation
Gladiator, Universal Pictures
A Very Harold & Kumar Christmas,New Line Cinema
Dawn of the Planet of the Apes,Ingenious Media
Gone In Sixty Seconds,Jerry Bruckheimer Films
Empire State, Emmett/Furla Films
Traffic, The
Man of Tai Chi, China Film Group Corporation (CFGC)
300: Rise of an Empire, Atmosphere Entertainment MM
21, Relativity Media
My Best Friend's Girl,Lionsgate
Julie & Julia, Easy There Tiger Productions
Jumping the Broom, Our Stories Films
White Chicks, Gone North Productions
Side Effects, Endgame Entertainment
Sex and the City 2,New Line Cinema
The Aviator, Cappa Productions
Dragonfly, Spyglass Entertainment
Jeepers Creepers 2, Jeepers Creepers II
Swimming Pool, Gimages
The Mummy Returns,Universal Pictures
School for Scoundrels,Dimension Films
The Smurfs 2, Sony Pictures Animation
The Gift, STX Entertainment
Transformers, Di Bonaventura Pictures
2 Guns,Universal Studios
Flyboys,Ingenious Film Partners
15 Minutes, Industry Entertainment
The Last Exorcism Part II,StudioCanal
The Mothman Prophecies,Lakeshore Entertainment
Confessions of a Shopaholic,Jerry Bruckheimer Films
Ghost Rider, Crystal Sky Pictures
The Skeleton Key, Double Feature Films
Curious George, Universal Animation Studios
The Town, Thunder Road Pictures
Spider-Man 3, Laura Ziskin Productions
Rush,Revolution Films
Quills, Walrus & Associates
X-Men, Springwood Productions
The Mechanic, Chartoff-Winkler Productions
The Amazing Spider-Man,Columbia Pictures
Vanilla Sky, Cruise-Wagner Productions
Mission: Impossible - Rogue Nation, Bad Robot
Moon,Liberty Films UK
The Change-Up, Original Film
"Monsters, Inc.",Walt Disney Pictures
Abandon, Spyglass Entertainment
Poseidon, Warner Bros.
Unknown, Canal+
Little Fockers, Everyman Pictures
Gravity,Warner Bros.
Moms' Night Out,TriStar Pictures
Nick and Norah's Infinite Playlist, Depth of Field
She's the Man, Lakeshore Entertainment
Zodiac, Warner Bros.
Stay,20th Century Fox
Fire with Fire, Paradox Entertainment
Spring Breakers, Muse Productions
Vicky Cristina Barcelona,The Weinstein Company
The Secret of Moonacre, The Australian Film Commission
"Alexander and the Terrible, Horrible, No Good, Very Bad Day", The
The Forbidden Kingdom, Huayi Brothers
Elysium,TriStar Pictures
Changeling, Relativity Media
Neighbors, Good Universe
Immortals, Mark Canton Productions
Alexander, Warner Bros.
Angels & Demons, Imagine Entertainment
The Social Network,Columbia Pictures
Chicken Run, DreamWorks Animation
National Lampoonâ€™s Van Wilder,Tapestry Films
Drive,Bold Films
It's Complicated, Dentsu
The SpongeBob Movie: Sponge Out of Water,Paramount Pictures
Without a Paddle, De Line Pictures
I Am Number Four, Bay Films
The Help, Imagenation Abu Dhabi FZ
The Lady in the Van,BBC Films
Charlie St. Cloud, Marc Platt Productions
Inkheart,New Line Cinema
The Shaggy Dog, Mandeville Films
The Ring, BenderSpink
Taken 2, EuropaCorp
"Jeff, Who Lives at Home",Indian Paintbrush
Inception, Syncopy
Saving Mr. Banks, Essential Media & Entertainment
Ninja Assassin, Anarchos Productions
Left Behind,Stoney Lake Entertainment
Confessions of a Dangerous Mind, Mad Chance
You Don't Mess With the Zohan, Happy Madison Productions
The Spiderwick Chronicles, The Kennedy/Marshall Company
The Danish Girl, ArtÃ©mis Productions
In the Valley of Elah,Summit Entertainment
Basic, Krane Entertainment
Chicken Run, PathÃ©
Identity Thief, Aggregate Films
A Perfect Getaway, Tooley Productions
The Alamo,Imagine Entertainment
16 Blocks, Nu Image Entertainment GmbH
American Pie 2, Zide-Perry Productions
The Thing, Morgan Creek Productions
I Could Never Be Your Woman, Bauer Martinez Studios
The Joneses,Echo Lake Productions
Enough,Columbia Pictures
Disturbia, Cold Spring Pictures
Million Dollar Arm,Walt Disney Pictures
The Spy Next Door, Relativity Media
Crossroads, MTV Films
The Informant!, Jaffe / Braunstein Enterprise
Jimmy Neutron: Boy Genius,Nickelodeon Movies
World War Z, GK Films
Big Eyes, Silverwood Films
Lemony Snicket's A Series of Unfortunate Events, Nickelodeon Movies
The Expendables 2, Millennium Films
Bangkok Dangerous, Initial Entertainment Group
Memoirs of a Geisha, Columbia Pictures Corporation
Jobs, Five Star Institute
The Forbidden Kingdom, China Film Co-Production Corporation
Sherlock Holmes,Village Roadshow Pictures
Veronica Mars, Rob Thomas Productions
The Theory of Everything,Working Title Films
Sherlock Holmes, Wigram Productions
The Secret of Moonacre,South Pacific Pictures
Star Trek,Paramount Pictures
Ready to Rumble, Warner Bros.
A Good Year, Scott Free Productions
Man of Steel, Syncopy
TMNT, Imagi Animation Studios
Blended,Happy Madison Productions
Noah, Regency Enterprises
The Exorcism of Emily Rose,Lakeshore Entertainment
Magic Mike,Nick Wechsler Productions
Kingdom of Heaven, Twentieth Century Fox Film Corporation
Men in Black 3, Parkes/MacDonald Productions
Broken Flowers, Focus Features
Secretariat, Fast Track Productions
The Legend of Zorro, Columbia Pictures Corporation
The Aviator, Warner Bros.
Stealth, Columbia Pictures Corporation
Due Date,Legendary Pictures
Maleficent, Roth Films
The Express, Relativity Media
American Sniper, Mad Chance Productions
Batman Begins, Syncopy
Rules of Engagement, Seven Arts Pictures
Vicky Cristina Barcelona, Antena 3 TelevisiÃ³n
Once Upon a Time in Mexico,Columbia Pictures Corporation
The Pacifier, Spyglass Entertainment
Wrath of the Titans, A.I.E.
2 Fast 2 Furious, Ardustry Entertainment
Underworld: Rise of the Lycans,Lakeshore Entertainment
Terminator 3: Rise of the Machines,Columbia Pictures
Lady in the Water, Warner Bros.
Rango, Paramount Animation
Side Effects,Di Bonaventura Pictures
Avatar, Dune Entertainment
Wrong Turn, Constantin Film Produktion
W., Global Entertainment Group
Mission: Impossible III, China Film Co-Production Corporation
Secret Window, Grand Slam Productions
Underworld: Rise of the Lycans, Screen Gems
Star Wars: The Force Awakens, Bad Robot
Pathfinder, Dune Entertainment
The Golden Compass, Depth of Field
Chicken Run, Aardman Animations
Non-Stop,StudioCanal
Zoom, Revolution Studios
Return to Me, JLT Productions
27 Dresses, Fox 2000 Pictures
Babylon A.D., M6 Films
Fool's Gold, Warner Bros.
A Lot Like Love, Kevin Messick Productions
Catwoman, Warner Bros.
Max Payne, Abandon Entertainment
(500) Days of Summer, Watermark
The Bling Ring, A24
Ice Age, Blue Sky Studios
Over the Hedge, DreamWorks Animation
Killers,Katalyst Films
Hot Pursuit, Warner Bros.
Scary Movie 3,Dimension Films
Corky Romano, Touchstone Pictures
Chef, Aldamisa Entertainment
Training Day,Village Roadshow Pictures
The Kite Runner, China Film Co-Production Corporation
Alvin and the Chipmunks, Regency Enterprises
I Am Number Four, Reliance BIG Entertainment
Agent Cody Banks 2: Destination London, Metro-Goldwyn-Mayer (MGM)
The Peanuts Movie, Feigco Entertainment
The Happening, Blinding Edge Pictures
Speed Racer,Village Roadshow Pictures
La migliore offerta, Friuli Venezia Giulia Film Commission
The Transporter,TF1 Films Productions
Sex Tape, Media Rights Capital
Hulk, Valhalla Motion Pictures
Moon, Lunar Industries
Catch Me If You Can, Kemp Company
Halloween, Nightfall Productions
Legend of the Guardians: The Owls of Ga'Hoole,Village Roadshow Pictures
The Incredible Hulk, MVL Incredible Productions
The Good Dinosaur, Pixar Animation Studios
Bridge of Spies, Fox 2000 Pictures
The Taking of Pelham 1 2 3, Scott Free Productions
The Prince,Grindstone Entertainment Group
How to Train Your Dragon, Mad Hatter Entertainment
The Rundown, Universal Pictures
King Arthur, Touchstone Pictures
The Wedding Planner, Dee Gee Entertainment
Bridget Jones's Diary, Working Title Films
Club Dread,Fox Searchlight Pictures
Walk the Line, Mars Media Beteiligungs
Million Dollar Baby, Epsilon Motion Pictures
Freaky Friday,Walt Disney Pictures
Aloha, Vinyl Films
Daybreakers,Lionsgate
Defiance, Grosvenor Park Productions
Flags of Our Fathers, Warner Bros.
Bridge to Terabithia, Lauren Levine Productions Inc.
What Just Happened, Tribeca Productions
Stay Alive,Spyglass Entertainment
Street Kings, Dune Entertainment III
Fun with Dick and Jane,Imagine Entertainment
The Matrix Reloaded, NPV Entertainment
An Education,BBC Films
Fantastic Mr. Fox, Indian Paintbrush
National Treasure: Book of Secrets, Sparkler Entertainment
Before the Devil Knows You're Dead, Funky Buddha Productions
TRON: Legacy, LivePlanet
Mr. & Mrs. Smith, New Regency Productions
Carrie,Screen Gems
The Cabin in the Woods, Mutant Enemy Productions
Land of the Dead, Exception Wild Bunch
The Grudge, Vertigo Entertainment
The Ghost Writer,Studio Babelsberg
Lara Croft: Tomb Raider,Paramount Pictures
The Green Hornet, Sony Pictures Entertainment
The Roommate,Vertigo Entertainment
Pompeii, Don Carmody Productions
The Bourne Legacy, Kennedy/Marshall Company
Johnny English Reborn,Universal Pictures
St. Vincent, Goldenlight Films
Beastly, Mel's Cite du Cinema
Lions for Lambs,Cruise/Wagner Productions
Lord of War, Ascendant Pictures
Machine Gun Preacher, Moonlighting Films
Zero Dark Thirty, Annapurna Pictures
Freedom Writers, Jersey Films
The Spirit, Dark Lot Entertainment
The Majestic, NPV Entertainment
Blade II, Amen Ra Films
Gangster Squad, Langley Park Production
Van Helsing, Stillking Films
The International,Studio Babelsberg
The Apparition, Warner Bros.
The Water Diviner, RatPac Entertainment
The Scorpion King, World Wrestling Entertainment (WWE)
Wrath of the Titans,Legendary Pictures
Thor, Marvel Entertainment
Watchmen, DC Comics
District 9, Block / Hanson
Punisher: War Zone, Valhalla Motion Pictures
Frozen,Walt Disney Pictures
Seventh Son, Thunder Road Pictures
"O Brother, Where Art Thou?", Studio Canal
Pirates of the Caribbean: Dead Man's Chest, Second Mate Productions
The Hobbit: An Unexpected Journey, Metro-Goldwyn-Mayer (MGM)
Happy Feet Two, Dr D Studios
The Invention of Lying, Warner Bros.
The Marine, Pacific Film and Television Commission
The Fountain, Protozoa Pictures
The Thing,Universal Pictures
Ninja Assassin, Silver Pictures
What Lies Beneath,DreamWorks SKG
Maze Runner: The Scorch Trials,Gotham Group
Little Black Book, Blue Star Pictures
Adaptation., Clinica Estetico
My Best Friend's Girl, Superfinger Entertainment
Terminator Genisys,Paramount Pictures
"Legally Blonde 2: Red, White & Blonde", Marc Platt Productions
Along Came a Spider, MFP Munich Film Partners
Hotel for Dogs, Nickelodeon Movies
Sinister 2, Blumhouse Productions
Deception,Rifkin-Eberts
Transsiberian, Castelao Producciones
Quarantine, Screen Gems
21 Jump Street, Stephen J. Cannell Productions
Robots,Blue Sky Studios
Night at the Museum: Battle of the Smithsonian, 1492 Pictures
Babylon A.D., Babylon
The Hurt Locker,Summit Entertainment
Carrie, Misher Films
Cheaper by the Dozen 2,Twentieth Century Fox Film Corporation
Down with Love, Epsilon Motion Pictures
The Life Aquatic with Steve Zissou,Touchstone Pictures
Promised Land, Sunday Night
Hearts in Atlantis,Castle Rock Entertainment
Out of the Furnace, Scott Free Productions
The Italian Job, Working Title Films
Straight Outta Compton, Universal Pictures
Eragon,Ingenious Film Partners
Harry Potter and the Half-Blood Prince, Heyday Films
Dark Blue,United Artists
Lara Croft: Tomb Raider, Lawrence Gordon Productions
The Brothers Grimm, Summit Entertainment
"I Love You, Man", The Montecito Picture Company
The Pianist, Heritage Films
The Butler, Pam Williams Productions
The Holiday, Waverly Films
Paranormal Activity: The Ghost Dimension, Blumhouse Productions
Everest,Universal Pictures
Avengers: Age of Ultron,Marvel Studios
Year One, Apatow Productions
The Book of Eli, Silver Pictures
Conviction,Oceana Media Finance
Hannah Montana: The Movie, Millar Gough Ink
3000 Miles to Graceland,Franchise Pictures
Everything is Illuminated, Warner Independent Pictures (WIP)
Hot Tub Time Machine, Metro-Goldwyn-Mayer (MGM)
Night at the Museum,Ingenious Film Partners
Daddy's Little Girls, Tyler Perry Company
Premonition, Hyde Park Films
Priest, Buckaroo Entertainment
Reign of Fire, World 2000 Entertainment
Mirror Mirror, Yucaipa Films
Season of the Witch, Relativity Media
The Patriot, Global Entertainment Productions GmbH & Company Medien KG
Halloween, Spectacle Entertainment Group
Did You Hear About The Morgans?,Columbia Pictures
Lawless, Yucaipa Films
Live Free or Die Hard, Cheyenne Enterprises
The Descendants, Dune Entertainment
The Purge: Anarchy,Universal Pictures
Hitman: Agent 47, Infinite Frameworks Studios
Les MisÃ©rables, Working Title Films
Lara Croft Tomb Raider: The Cradle of Life, Toho-Towa
Fever Pitch, Mars Media Beteiligungs
The Call, WWE Studios
Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Pictures
How High,Universal Pictures
The Great Raid, Lawrence Bender Productions
The Raven,Relativity Media
Pan, Moving Picture Company (MPC)
Aquamarine,Fox 2000 Pictures
Gone Girl,Twentieth Century Fox Film Corporation
The Aviator,Appian Way
City of Ember,Playtone
S.W.A.T., Columbia Pictures Corporation
Shrek Forever After,DreamWorks Animation
Righteous Kill, Millennium Films
Basic Instinct 2, C-2 Pictures
The Mechanic,CBS Films
50 First Dates,Columbia Pictures Corporation
In the Heart of the Sea, Roth Films
Daddy Day Camp,Revolution Studios
The Mechanic, Nu Image Entertainment GmbH
The Midnight Meat Train, GreeneStreet Films
Pitch Perfect 2,Universal Pictures
The Mist,Darkwoods Productions
Chef, Kilburn Media
The Great Gatsby, Red Wagon Entertainment
The Skeleton Key,Universal Pictures
Capote, Manitoba Film and Video Production Tax Credit
The Pirates! In an Adventure with Scientists!, Aardman Animations
Return to Never Land, DisneyToon Studios
