"Persons in poverty, percent","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Building permits, 2016","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Land area in square miles, 2010","All firms, 2012","Population, Census, April 1, 2010","Total nonemployer establishments, 2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Nonveteran-owned firms, 2012","Two or More Races, percent, July 1, 2016,  (V2016)","Housing units, April 1, 2010","Median household income (in 2015 dollars), 2011-2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Nonminority-owned firms, 2012","Persons  without health insurance, under age 65 years, percent","Total employment, 2015","Veteran-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, July 1, 2016,  (V2016)","Total manufacturers shipments, 2012 ($1,000)","Persons per household, 2011-2015","Asian alone, percent, July 1, 2016,  (V2016)","Owner-occupied housing unit rate, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Total employer establishments, 2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Women-owned firms, 2012","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Median gross rent, 2011-2015","Total retail sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Men-owned firms, 2012","Total employment, percent change, 2014-2015","Female persons, percent, April 1, 2010","Total retail sales per capita, 2012","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons under 5 years, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Total accommodation and food services sales, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Population per square mile, 2010","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Total annual payroll, 2015 ($1,000)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Persons under 18 years, percent, April 1, 2010","Median selected monthly owner costs -without a mortgage, 2011-2015","Households, 2011-2015","Population estimates, July 1, 2016,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)",Fact,"Veterans, 2011-2015","Minority-owned firms, 2012"
10.70%,3.20%,"368,624","672,591","3,981",12.70%,"69,000.80","68,270","672,591","53,263",17.2,"$1,243 ","56,904",2.10%,"317,498","$57,181 ",7.30%,"62,271",8.10%,"365,893","6,584",2.90%,23.30%,"14,427,360",2.32,1.50%,64.10%,85.00%,87.90%,14.50%,"24,848",91.70%,6.80%,"20,316",14.50%,$709 ,"15,519,816","5,418,355","37,016",1.40%,49.50%,"$22,183 ","$32,035 ",6.60%,48.70%,3.60%,"2,045,123","28,150,837",9.70,0.10%,"17,184,756",5.60%,69.30%,22.30%,$423 ,"299,638","757,952",27.70%,82.20%,65.00%,5.50%,North Dakota,"51,179","3,190"
14.60%,4.10%,"5,164,361","11,536,727","22,816",0.70%,"40,860.69","904,814","11,536,504","763,418",23.2,"$1,246 ","776,193",2.20%,"5,127,508","$49,429 ",6.00%,"759,569",6.60%,"4,719,985","91,316",12.80%,22.50%,"313,629,976",2.46,2.20%,66.30%,79.50%,82.50%,14.10%,"251,668",89.10%,9.90%,"306,824",16.20%,$730 ,"153,553,997","80,915,693","510,078",1.80%,51.20%,"$13,301 ","$26,953 ",6.20%,51.00%,3.70%,"20,652,777","155,426,023",282.30,0.10%,"213,161,303",6.70%,63.30%,23.70%,$444 ,"4,585,084","11,614,373",26.10%,85.30%,59.00%,0.30%,Ohio,"806,531","122,653"
16.30%,5.80%,"1,721,045","3,751,615","12,092",4.60%,"68,594.92","327,229","3,751,351","276,218",21.3,"$1,147 ","273,491",6.10%,"1,664,378","$46,879 ",6.80%,"249,027",16.10%,"1,370,988","36,273",7.80%,24.50%,"74,295,394",2.57,2.20%,66.10%,66.20%,74.60%,13.50%,"93,093",86.90%,11.30%,"105,168",15.00%,$727 ,"50,256,231","22,795,438","174,395",0.80%,50.50%,"$13,174 ","$25,032 ",7.00%,50.50%,10.30%,"7,121,153","71,892,946",54.70,0.20%,"59,124,620",9.80%,61.10%,24.80%,$370 ,"1,455,321","3,923,561",24.10%,82.60%,55.70%,9.20%,Oklahoma,"295,847","64,875"
13.30%,9.90%,"1,732,786","3,831,072","19,586",6.80%,"95,988.01","339,305","3,831,074","278,839",22.9,"$1,557 ","288,790",3.80%,"1,675,562","$51,243 ",5.80%,"285,028",7.30%,"1,498,727","30,918",2.10%,21.20%,"51,349,948",2.51,4.50%,61.30%,76.40%,87.40%,13.90%,"112,393",89.80%,10.20%,"123,015",16.80%,$907 ,"49,481,054","24,956,816","165,691",3.80%,50.50%,"$12,690 ","$27,684 ",6.20%,50.50%,12.80%,"8,466,788","48,325,261",39.90,0.40%,"71,006,598",15.10%,62.10%,22.60%,$469 ,"1,533,430","4,093,465",30.80%,81.90%,57.60%,1.80%,Oregon,"306,723","41,456"
12.90%,6.30%,"5,612,002","12,702,857","23,303",0.60%,"44,742.70","975,453","12,702,379","811,890",26.3,"$1,425 ","837,792",1.90%,"5,567,315","$53,599 ",5.60%,"818,858",6.70%,"5,306,896","97,969",11.80%,20.90%,"231,396,178",2.49,3.50%,69.20%,77.00%,82.40%,15.40%,"299,695",89.20%,9.50%,"304,803",17.40%,$840 ,"178,794,945","96,329,248","579,400",1.00%,51.30%,"$14,008 ","$29,291 ",5.70%,51.00%,7.00%,"23,504,192","191,170,147",283.90,0.10%,"257,626,942",10.60%,62.80%,22.00%,$498 ,"4,958,859","12,784,227",28.60%,88.00%,58.30%,0.40%,Pennsylvania,"870,770","131,512"
12.80%,13.30%,"462,589","1,052,940","1,226",0.30%,"1,033.81","94,642","1,052,567","76,747",24.2,"$1,815 ","79,837",2.70%,"463,388","$56,852 ",5.20%,"77,042",5.10%,"425,748","9,904",8.10%,19.70%,"11,262,158",2.46,3.60%,60.10%,73.30%,84.40%,14.40%,"28,387",86.20%,8.90%,"30,484",16.50%,$925 ,"12,063,865","8,223,005","54,651",1.00%,51.70%,"$11,486 ","$31,118 ",5.50%,51.40%,14.90%,"2,481,314","22,310,389","1,018.10",0.20%,"19,704,826",21.40%,65.50%,21.30%,$682 ,"410,602","1,056,426",31.90%,86.60%,61.60%,1.00%,Rhode Island,"66,076","14,737"
15.30%,4.80%,"2,236,153","4,625,410","32,165",7.30%,"30,060.70","367,726","4,625,364","329,431",23.9,"$1,183 ","303,137",1.80%,"2,137,683","$45,483 ",5.90%,"276,269",11.90%,"1,662,251","47,987",27.50%,22.10%,"99,160,840",2.56,1.60%,68.60%,63.90%,68.50%,13.70%,"103,973",85.60%,10.30%,"131,856",16.70%,$790 ,"58,093,824","22,941,292","202,446",2.80%,51.40%,"$12,298 ","$24,604 ",6.50%,51.50%,5.50%,"9,763,818","45,520,900",153.90,0.10%,"66,120,263",6.90%,60.10%,23.40%,$347 ,"1,815,094","4,961,119",25.80%,84.70%,56.20%,0.50%,South Carolina,"378,959","83,233"
13.30%,3.00%,"383,838","814,195","5,686",6.30%,"75,811.00","81,314","814,180","64,006",16.9,"$1,210 ","66,219",2.30%,"363,438","$50,957 ",7.10%,"74,228",10.30%,"353,540","8,604",2.00%,24.60%,"16,882,647",2.45,1.50%,68.10%,82.50%,85.20%,14.30%,"26,511",90.90%,8.40%,"23,722",16.00%,$655 ,"13,791,827","6,211,731","42,418",1.60%,50.00%,"$16,550 ","$26,747 ",7.30%,49.60%,3.70%,"1,873,699","20,411,059",10.70,0.10%,"13,812,997",6.50%,68.60%,24.90%,$433 ,"330,858","865,454",27.00%,83.40%,64.60%,9.00%,South Dakota,"63,742","4,101"
15.80%,4.80%,"2,919,671","6,346,298","36,157",4.80%,"41,234.90","550,453","6,346,105","495,703",24.5,"$1,181 ","469,392",1.90%,"2,812,133","$45,219 ",6.10%,"434,025",10.60%,"2,507,205","59,379",17.10%,22.60%,"139,960,482",2.53,1.80%,66.80%,74.20%,78.70%,13.40%,"133,344",85.50%,11.20%,"195,694",15.70%,$764 ,"91,641,605","42,383,683","302,249",2.20%,51.30%,"$14,194 ","$25,227 ",6.40%,51.20%,5.20%,"12,499,013","111,718,421",153.90,0.10%,"110,481,280",6.90%,61.00%,23.60%,$359 ,"2,504,556","6,651,194",24.90%,84.70%,56.30%,0.40%,Tennessee,"462,414","105,234"
15.60%,16.60%,"10,753,629","25,146,100","165,853",10.80%,"261,231.71","2,356,748","25,145,561","2,205,149",25.6,"$1,432 ","2,057,218",1.90%,"9,977,436","$53,207 ",7.20%,"1,224,845",18.60%,"10,239,710","213,590",12.60%,26.20%,"702,603,073",2.84,4.80%,62.20%,42.60%,79.40%,10.30%,"569,091",81.90%,8.10%,"866,678",12.00%,$882 ,"356,116,376","145,035,130","1,251,696",3.20%,50.40%,"$13,666 ","$26,999 ",7.70%,50.40%,39.10%,"54,480,811","691,242,607",96.3,0.10%,"521,095,797",35.00%,64.30%,27.30%,$460 ,"9,149,196","27,862,596",27.60%,83.30%,57.70%,1.00%,Texas,"1,539,655","1,070,392"
10.20%,8.40%,"1,054,164","2,763,888","22,662",10.40%,"82,169.62","251,419","2,763,885","216,280",21.6,"$1,428 ","219,807",2.50%,"979,709","$60,727 ",8.30%,"218,826",9.70%,"1,203,954","18,754",1.40%,30.20%,"50,046,429",3.15,2.50%,69.50%,78.80%,91.10%,9.00%,"75,463",91.20%,6.60%,"76,269",10.50%,$887 ,"38,024,486","14,521,857","132,163",4.90%,49.80%,"$13,317 ","$24,686 ",9.50%,49.70%,13.80%,"4,789,281","30,927,885",33.6,1.00%,"51,453,266",14.70%,67.70%,31.50%,$388 ,"906,292","3,051,217",31.10%,82.90%,59.50%,1.60%,Utah,"134,332","24,423"
11.90%,4.30%,"329,525","625,741","1,771",-0.20%,"9,216.66","75,827","625,741","60,312",22.5,"$1,535 ","63,317",1.90%,"322,539","$55,176 ",4.90%,"70,491",4.50%,"266,363","8,237",1.30%,19.00%,"9,315,494",2.34,1.80%,71.00%,93.10%,94.60%,14.60%,"21,121",91.80%,10.00%,"23,417",18.10%,$895 ,"9,933,751","4,457,996","41,270",2.00%,50.70%,"$15,868 ","$29,894 ",5.10%,50.60%,1.90%,"1,564,272","6,450,076",67.9,Z,"10,615,093",5.40%,66.60%,20.70%,$641 ,"257,167","624,594",36.00%,86.50%,63.60%,0.40%,Vermont,"44,708","2,354"
11.00%,11.70%,"3,491,054","8,001,041","31,132",5.10%,"39,490.09","653,193","8,001,024","576,446",27.9,"$1,711 ","548,439",2.90%,"3,364,939","$65,015 ",6.10%,"450,109",10.10%,"3,198,718","76,434",19.80%,22.20%,"96,389,872",2.62,6.60%,66.20%,62.40%,70.00%,12.20%,"197,384",88.30%,7.70%,"236,290",14.60%,"$1,116 ","110,002,385","47,705,003","353,012",1.20%,50.90%,"$13,438 ","$34,152 ",6.40%,50.80%,9.10%,"17,795,901","86,613,641",202.6,0.10%,"165,788,897",15.40%,64.70%,23.20%,$433 ,"3,062,783","8,411,808",36.30%,84.40%,60.80%,0.50%,Virginia,"706,539","185,043"
11.30%,13.40%,"3,025,685","6,724,545","44,077",8.40%,"66,455.52","541,522","6,724,540","444,135",26.3,"$1,731 ","461,401",4.60%,"2,885,677","$61,062 ",6.20%,"426,697",6.90%,"2,602,408","49,331",4.10%,22.40%,"131,530,601",2.56,8.60%,62.50%,69.50%,80.00%,12.30%,"182,913",90.40%,8.90%,"187,677",14.80%,"$1,014 ","118,924,049","43,966,889","262,650",2.90%,50.20%,"$17,243 ","$31,762 ",6.50%,50.00%,12.40%,"14,297,278","83,313,366",101.2,0.80%,"149,258,789",18.90%,63.50%,23.50%,$511 ,"2,668,912","7,288,000",32.90%,82.50%,58.50%,1.90%,Washington,"564,864","92,807"
17.90%,1.50%,"886,640","1,853,011","2,544",-1.20%,"24,038.21","114,435","1,852,994","88,136",25.6,$966 ,"94,960",1.70%,"881,917","$41,751 ",5.50%,"104,785",6.50%,"565,435","12,912",3.60%,20.50%,"24,553,072",2.43,0.80%,72.50%,92.30%,93.60%,16.00%,"36,993",85.00%,14.40%,"39,065",18.80%,$643 ,"22,637,923","12,259,395","63,112",-1.70%,50.70%,"$12,201 ","$23,450 ",5.60%,50.50%,1.50%,"4,036,333","14,295,437",77.1,Z,"22,159,084",2.50%,53.90%,20.90%,$293 ,"740,890","1,831,102",19.20%,88.20%,49.20%,0.20%,West Virginia,"150,021","5,777"
11.80%,4.80%,"2,668,444","5,687,289","19,274",1.60%,"54,157.80","432,980","5,686,986","341,935",21.9,"$1,402 ","370,755",1.90%,"2,624,358","$53,357 ",5.80%,"379,934",6.20%,"2,503,532","39,830",6.60%,22.30%,"177,728,926",2.43,2.80%,67.30%,81.70%,87.50%,13.70%,"139,500",91.00%,8.20%,"133,859",16.10%,$776 ,"78,201,822","40,680,625","236,252",2.20%,50.40%,"$13,656 ","$28,340 ",6.30%,50.30%,6.70%,"10,303,256","77,066,883",105,0.10%,"112,406,494",8.70%,67.10%,23.60%,$532 ,"2,299,107","5,778,708",27.80%,85.80%,63.50%,1.10%,Wisconsin,"381,940","40,507"
11.30%,3.60%,"270,600","563,767","1,727",3.90%,"97,093.14","62,427","563,626","48,140",18.3,"$1,348 ","51,353",2.10%,"261,868","$58,840 ",6.50%,"55,397",13.40%,"219,881","6,470",1.30%,23.70%,"10,783,794",2.49,1.00%,69.10%,84.10%,92.80%,12.40%,"21,040",92.30%,8.50%,"19,344",15.00%,$789 ,"9,446,043","3,291,478","30,039",FN,49.00%,"$16,388 ","$29,803 ",7.10%,48.90%,10.00%,"1,644,844","5,597,891",5.8,0.10%,"10,094,010",7.10%,67.70%,24.00%,$386 ,"226,865","585,501",25.70%,81.90%,62.70%,2.70%,Wyoming,"48,505","4,077"
