Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"University of Massachusetts, Amherst",,,,,
Mississippi State University,,,,,
Regent University,,,,,
Ohio State University,,,,,
University of Southern Mississippi,,,,,
Clark University,,,,,
"University of Phoenix, Richmond Campus, Richmond",,,,,
"Wheaton College, Illinois",,,,,
"University of Phoenix, Boston Campus, Braintree",,,,,
Virginia Polytechnic Institute and State University,,,,,
Alverno College,,,,,
"Devry University, Louisville Campus",,,,,
"University of Phoenix, La Palma Learning Center, La Palma",,,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,,
Arkansas State University,,,,,
"Texas A&M University, Commerce",,,,,
University of Scranton,,,,,
"University of Nevada, Las Vegas",,,,,
"Anderson University, Indiana",,,,,
Illinois Institute of Technology,,,,,
"Carnegie Mellon University, Greece",,,,,
"City University of Seattle, Victoria",,,,,
University of Notre Dame,,,,,
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,,
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,,
University of Portland,,,,,
Assumption College,,,,,
Brandeis University,,,,,
"University of Phoenix, Idaho Campus, Meridian",,,,,
"Northwood University, Michigan",,,,,
University of Delaware,,,,,
Pace University,,,,,
,Dyson College of Arts and Sciences,6.0,,6,0
"University of Phoenix, McAllen Campus, Allen",,,,,
University of Cincinnati,,,,,
"Devry University, Colorado Springs Center",,,,,
"Devry University, Long Beach Campus",,,,,
Syracuse University,,,,,
Columbia Southern University,,,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,,
"University of Hawaii, Manoa",,,,,
"University of Phoenix, Yuma Learning Center, Yuma",,,,,
Boston University,,,,,
Georgetown University,,,,,
Pepperdine University,,,,,
"University of Phoenix, Southwest Learning Center, Las Vegas",,,,,
"University of Massachusetts, Boston",,,,,
Carnegie Mellon University,,,,,
"University of Washington, Bothell",,,,,
"University of Phoenix, Wyoming Campus, Cheyenne",,,,,
"City University of Seattle, Victoria",,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,,
University of New Haven,,,,,
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,,
Williams College,,,,,
"University of California, Davis",,,,,
"University of Phoenix, Salem Learning Center, Salem",,,,,
University of Pennsylvania,,,,,
Claremont Graduate University,,,,,
"Carnegie Mellon University, Japan",,,,,
"University of Maryland, College Park",,,,,
"University of Colorado, Boulder",,,,,
University of Central Arkansas,,,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,,
Widener University,,,,,
Tufts University,,,,,
"University of Phoenix, St. George Learning Center, St. George",,,,,
"University of Alabama, Tuscaloosa",,,,,
"Devry University, Oakland Center",,,,,
"Texas A&M University, Commerce",,,,,
University of Hartford,,,,,
"University of Phoenix, Roseville Learning Center, Roseville",,,,,
Virginia Polytechnic Institute and State University,,,,,
University of Houston,,,,,
"City University of Seattle, Victoria",,,,,
"University of Colorado, Boulder",,,,,
Syracuse University,,,,,
University of Central Oklahoma,,,,,
"California Baptist University, Riverside",,,,,
Fairfield University,,,,,
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,,,,
College of William and Mary (The),,,,,
"University of Phoenix, Macomb Learning Center, Clinton Township",,,,,
Illinois Institute of Technology,,,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,,
Drexel University,,,,,
Loma Linda University,,,,,
University of Indianapolis,,,,,
University of Oregon,,,,,
"Devry University, Chicago Campus",,,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,,
"University of Hawaii, Manoa",,,,,
"Richmond, The American International University in London",,,,,
Weber State University,,,,,
Alverno College,,,,,
"University of Phoenix, Woodlands Learning Center, Spring",,,,,
Illinois Institute of Technology,,,,,
Emory University,,,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,,
"City University of Seattle, Vysoka Skola Manazmentu",,,,,
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,,
Syracuse University,,,,,
"Devry University, Fresno Campus",,,,,
University of Virginia,,,,,
Saint Louis University,,,,,
"Pennsylvania State University, University Park",,,,,
Pace University,,,,,
University of Portland,,,,,
New School (The),,,,,
American University,,,,,
Washington University in St. Louis,,,,,
"Pennsylvania State University, Harrisburg",,,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,,
University of Pennsylvania,,,,,
Keuka College,,,,,
