Subtitle,Account Name,Membership Category,Membership Level,Website
Civil Society,Development Support Centre,1,0.0,www.dscindia.org
Suppliers and Manufacturers,Sangam (India) Limited,7,2.0,
Suppliers and Manufacturers,PT Indo-Rama Synthetics TBK.,4,2.0,
Suppliers and Manufacturers,G C Threads Pvt Ltd,7,2.0,www.gcthreads.com
Suppliers and Manufacturers,Hussain Textile Corporation,10,3.0,
Suppliers and Manufacturers,FunTees a Division of Delta Apparel,5,3.0,
Suppliers and Manufacturers,Vallabh Textiles Company Ltd,4,2.0,www.vtcl.co.in
Retailers and Brands,Princess-Gruppen AS,3,0.0,www.princessbutikken.no
Suppliers and Manufacturers,Jiangsu Liangji Group Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Compagnie Malienne pour le developpement des textiles (CMDT),11,2.0,
Suppliers and Manufacturers,Olimpias Group srl,6,3.0,www.olimpias.com
Suppliers and Manufacturers,Siddiqsons Ltd.,4,2.0,
Suppliers and Manufacturers,"FuQing HaiAn Shoes Materials CO.,Ltd.",,2.0,
Suppliers and Manufacturers,"Rugao Ruxing Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Selcuk Iplik San. ve Tic. A.S.,4,2.0,www.selcukgroup.com
Suppliers and Manufacturers,Shijiazhuang Changshan Hengxin Textile Co. Ltd.,7,2.0,
Suppliers and Manufacturers,Karsu Tekstil,4,2.0,
Producer Organisation,Sarob Non-Commercial Cooperative,2,0.0,www.sarob.net
Suppliers and Manufacturers,Lingxian Hengyu Textiles Co.Ltd,7,2.0,
Retailers and Brands,Adler Modemarkte AG,3,0.0,www.adlermode.de
Suppliers and Manufacturers,SAF Mensucat  San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,Alps Industries Ltd.,4,2.0,
Suppliers and Manufacturers,"Jiangsu Jin Wang Textile Co., Ltd.",,2.0,
Suppliers and Manufacturers,Maibom Textilvertriebs GmbH,6,3.0,
Retailers and Brands,ASOS,3,0.0,www.asos.com
Suppliers and Manufacturers,Sri Nukala Rama Koteswara Rao Textiles Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Shandong Dashing Cashmere Products Co.ltd,,2.0,
Suppliers and Manufacturers,Pahartali Textile & Hosiery Mills,7,2.0,
Suppliers and Manufacturers,"Tongxiang Chengnan Silk Spinning Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Finteks Tekstil ve Hali San Ltd Sti,9,3.0,
Suppliers and Manufacturers,"Shandong Huimin Dongtai Textile Co., Ltd",7,2.0,
Retailers and Brands,Woolworths Holdings Limited,3,0.0,www.woolworthsholdings.co.za
Suppliers and Manufacturers,Santuk Tekstil San ve Tic A.S,9,3.0,
Retailers and Brands,Next Retail Ltd,3,0.0,www.next.co.uk
Suppliers and Manufacturers,Klopman International SRL,6,3.0,
Producer Organisation,ABRAPA,2,0.0,www.abrapa.com.br
Suppliers and Manufacturers,Yonca Iplik Ticaret A.S,7,2.0,
Suppliers and Manufacturers,Globex Agency,7,2.0,
Suppliers and Manufacturers,Matesa Tekstil Sanayi ve Ticaret A.S.,4,2.0,
Suppliers and Manufacturers,"ZheJiang XinMian Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,S. A. Aanandan Spinning Mills Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),7,2.0,
Suppliers and Manufacturers,Rubenis Klima San. Tic. A.S.,7,2.0,
Retailers and Brands,Coop,3,1.0,www.coop.ch
Suppliers and Manufacturers,Jiangsu Huabao Textile Group,7,2.0,
Suppliers and Manufacturers,S T Cottex Exports Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Dongguan UPW Ltd,7,2.0,
Suppliers and Manufacturers,BSB Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Tintex Textiles S.A.,9,3.0,
Suppliers and Manufacturers,Israq Spinning Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Blue Line Project S.R.L.,9,3.0,
Suppliers and Manufacturers,Kongkiat Textile,7,2.0,
Suppliers and Manufacturers,Best Corporation Pvt. Ltd.,5,2.0,
Retailers and Brands,VF Corporation,3,0.0,www.vfc.com
Suppliers and Manufacturers,"Huafang Co.,Ltd",6,3.0,
Suppliers and Manufacturers,"Mundotextil - Industrial Texteis, SA",5,3.0,http://www.mundotextil.pt/
Suppliers and Manufacturers,"Changzhou Jiekai Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Grateful Textiles Co. Ltd.,6,3.0,
Suppliers and Manufacturers,Winsome Yarns Ltd.,7,2.0,
Suppliers and Manufacturers,Loknayak Jayprakash Narayan Shetkari Sahakari Soot Girni Ltd.,7,2.0,
Suppliers and Manufacturers,Kaynak Iplik San Ve TIC A.S.,4,2.0,
Suppliers and Manufacturers,Culimeta - Saveguard Ltd.,7,2.0,www.culimeta-saveguard.com
Suppliers and Manufacturers,Naveena Group of Industries,4,2.0,
Suppliers and Manufacturers,Tonrose Ltd,9,2.0,www.tonrose.co.uk
Suppliers and Manufacturers,PT Tyfountex Indonesia,4,2.0,
Civil Society,We Care Society,1,0.0,www.wcs.org.in
Suppliers and Manufacturers,GRV Spintex Pvt Ltd,7,2.0,
Suppliers and Manufacturers,"Siam Kurabo Co., Ltd",7,2.0,
Suppliers and Manufacturers,Deniz Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,Shristi Cotspin Pvt Ltd,4,2.0,www.shristicotspinn.in
Suppliers and Manufacturers,"Changzhou Hengji Textile Co., Ltd",4,2.0,
Suppliers and Manufacturers,Gill & Co Pvt. Ltd.,12,2.0,
Producer Organisation,Kissan Khushhal Welfare Organisation (KKWO),2,0.0,
Civil Society,Organization for Social Development Initiatives,1,0.0,www.osdi.org
Suppliers and Manufacturers,Rajby Textiles (Pvt) Ltd,6,3.0,
Suppliers and Manufacturers,Exportadora TSA S.A. de C.V.,4,2.0,www.hilasal.com.sv
Suppliers and Manufacturers,Mega Yarn Dyeing Mills Ltd,6,3.0,www.megayarn.com
Suppliers and Manufacturers,Saiham Cotton Mills Ltd.,7,2.0,
Suppliers and Manufacturers,"Jiangyin Haima fancy yarn Co., Ltd",7,2.0,
Retailers and Brands,WE Europe BV,3,0.0,www.wefashion.com
Retailers and Brands,KappAhl Sverige AB,3,0.0,www.kappahl.com
Suppliers and Manufacturers,Zahra Textile,7,2.0,
Suppliers and Manufacturers,Murat Yapi Tekstil San.Tic.A.S,7,2.0,
Suppliers and Manufacturers,"Shanghai Met Imp.&Exp.Co.,Ltd.",4,2.0,
Suppliers and Manufacturers,"Hubei Yinhe Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,"Dong- Il Vietnam Co., Ltd",7,2.0,www.dong-il.com
Suppliers and Manufacturers,Aarthi A1 Traders,9,2.0,
Suppliers and Manufacturers,"Sunrise Spinning( Vietnam) Co.,Ltd",,2.0,
Suppliers and Manufacturers,Sorabh Traders,12,2.0,
Suppliers and Manufacturers,"Xinjiang Huasheng Spin Co,.Ltd",,2.0,
Producer Organisation,Better Farmer Organization (BFO),2,0.0,
Suppliers and Manufacturers,Subarna Textile,7,2.0,
Suppliers and Manufacturers,Ghazi Fabrics International Ltd.,4,2.0,
Suppliers and Manufacturers,KAM International,9,2.0,
Suppliers and Manufacturers,Soktas Tekstil Sanayi ve Ticaret A.S.,4,2.0,
Suppliers and Manufacturers,Ming Tai Textiles Ltd,4,2.0,
Suppliers and Manufacturers,"Haining Bafang Weaving Co.,Ltd.",4,2.0,
Suppliers and Manufacturers,Zorluteks Tekstil,9,2.0,
Suppliers and Manufacturers,Cetinkaya Mensucat San ve Tic A.S,4,2.0,
Suppliers and Manufacturers,"Jiangsu Sanfangxiang Industrial Stock Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Modasan Tekstil San. ve Tic. A.S.,7,2.0,
Suppliers and Manufacturers,Square Textiles Ltd.,7,2.0,
Suppliers and Manufacturers,ETF Tekstil,9,3.0,
Producer Organisation,XPCC No.6 Cotton&Linen Corp,2,0.0,
Suppliers and Manufacturers,Umar Spinning Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,"Black Peony Group Import &Export  Co.,Ltd.",,2.0,www.blackpeony.com
Suppliers and Manufacturers,Bafna Ginning & Pressing Pvt Ltd,12,2.0,
Suppliers and Manufacturers,Sri Karpagam Mills India Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Yunus Tekstil,4,2.0,
Suppliers and Manufacturers,Ensar Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,Kohinoor Mills Ltd,6,3.0,
Suppliers and Manufacturers,Nahar Group of Companies,7,2.0,
Suppliers and Manufacturers,"Fujian Gelier  Printing & Dyeing Co., Ltd.",4,2.0,
Suppliers and Manufacturers,Prilla 2000 (Pty) Ltd.,7,2.0,
Suppliers and Manufacturers,The Delta Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Aggressive Textrade Pvt Ltd,12,2.0,www.atplcotton.com
Suppliers and Manufacturers,Asia Composite Mills Ltd,7,2.0,
Suppliers and Manufacturers,MARS Textile Ltd,7,2.0,
Suppliers and Manufacturers,Dabiruddin Spinning Mills Ltd,7,2.0,www.salmagroup.com.bd
Suppliers and Manufacturers,Ravali Spinners Pvt Ltd,7,2.0,
Civil Society,Prakruthi,1,0.0,www.prakruthi.org
Suppliers and Manufacturers,Far Eastern Industries (WuXi) Ltd.,7,2.0,
Suppliers and Manufacturers,Kikani Exports Pvt Ltd,4,2.0,www.kikaniexports.com
Suppliers and Manufacturers,"Zhejiang Huahong Top Dyed Melange Yarn Co., Ltd",7,2.0,
Suppliers and Manufacturers,"Ilshin Spinning Co., Ltd - Korea",7,2.0,www.ilshin.kr
Suppliers and Manufacturers,Weifang Chang Hao Textile Co. Ltd.,7,2.0,
Civil Society,Pesticide Action Network UK,1,0.0,www.pan-uk.org
Suppliers and Manufacturers,Viyellatex Group,7,2.0,
Suppliers and Manufacturers,Gul Ahmed Textile Mills,4,2.0,
Suppliers and Manufacturers,"Bengbu Huawan Textile Co., Ltd",4,2.0,
Suppliers and Manufacturers,Marfani Denim Mills,4,2.0,
Suppliers and Manufacturers,Paramount Textile Ltd.,6,3.0,
Suppliers and Manufacturers,Rajapalayam Textile Ltd,7,2.0,
Suppliers and Manufacturers,"Omnicotton, Inc.",12,2.0,
Civil Society,Dilasa Janvikas Foundation,1,0.0,www.dilasango.org
Civil Society,Mahatma Phule Samaj Sewa Mandal (MPSSM),1,0.0,www.mpssm.org
Suppliers and Manufacturers,Din Textile Mills,7,2.0,
Suppliers and Manufacturers,Paul Reinhart AG,12,2.0,
Suppliers and Manufacturers,"JiangSu GTIG Eastar Co,Ltd",10,2.0,
Suppliers and Manufacturers,"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",6,2.0,www.fzztfz.com
Suppliers and Manufacturers,Narteks Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,Internet Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,"Xiajin County Ruixin Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Reedisha Blended Yarn Ltd,7,2.0,
Suppliers and Manufacturers,Impress-Newtex Composite Textiles Ltd,5,3.0,
Producer Organisation,Swaziland Cotton Board,2,0.0,www.cottonboard.co.sz
Suppliers and Manufacturers,Tusa Ring Isletmeleri Sanayi ve Ticaret A.S.,7,3.0,
Suppliers and Manufacturers,Eastman Exports Global Clothing,4,2.0,
Suppliers and Manufacturers,"Tejidos Royo, S.L.",5,2.0,www.royotextile.com
Suppliers and Manufacturers,Jiangsu Expert Textile Science and Technology Co. Ltd,10,2.0,
Civil Society,MYKAPS (MYRADA Kaveri Pradeshika Samsthe),1,0.0,www.mykaps.in
Civil Society,C&A Foundation,1,0.0,www.candafoundation.org
Suppliers and Manufacturers,Shandong Linqing China Resources Textiles Co. Ltd.,7,2.0,
Suppliers and Manufacturers,RKS Cotton Pvt Ltd,12,2.0,
Retailers and Brands,Ikea Supply AG,3,0.0,www.IKEA.com
Suppliers and Manufacturers,Rajvir Industries Ltd.,7,2.0,
Suppliers and Manufacturers,"Ilshin Vietnam Co., Ltd",4,2.0,www.ilshinvn.com
Suppliers and Manufacturers,Paddockâ€™s Jeans Ltd,9,3.0,
Suppliers and Manufacturers,Ecom Agroindustrial Corp. Ltd.,12,2.0,
Suppliers and Manufacturers,Ginni Filaments Ltd.,7,2.0,
Suppliers and Manufacturers,Sister Denim Composite Ltd,6,3.0,www.thermaxgroup.com
Suppliers and Manufacturers,GRG Cotspin Pvt Ltd,7,2.0,www.grggroup.in
Suppliers and Manufacturers,Nantong Tangsheng Textile Co. LTD,4,2.0,
Suppliers and Manufacturers,Maharaja Shree Umaid Mills Ltd,7,2.0,
Suppliers and Manufacturers,Bhaskar Industries Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Glencore Agriculture B.V.,12,2.0,
Suppliers and Manufacturers,Ramatex Pvt. Ltd.,4,2.0,
Suppliers and Manufacturers,Suryalakshmi Cotton Mills Ltd.,7,2.0,
Suppliers and Manufacturers,"Yixing Lucky Textiles Group Co., Ltd",6,2.0,
Suppliers and Manufacturers,Ar-Al Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,"Jiangyin Tianyi Woolen Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Alok Industries Ltd.,4,2.0,
Suppliers and Manufacturers,Pagmat A.S.,7,2.0,
Suppliers and Manufacturers,Jiangsu New Jinlan Textile Apparel Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Eastern Garments (Pvt.) Limited,6,3.0,
Suppliers and Manufacturers,JinYuan HengBo Group,7,2.0,
Retailers and Brands,"Williams-Sonoma, Inc.",3,0.0,www.williams-sonomainc.com
Suppliers and Manufacturers,Singhal Spintex Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,K.P.R Mill Ltd.,4,2.0,
Producer Organisation,Farmers Associates of Pakistan,2,0.0,www.farmersassociates.com
Retailers and Brands,La Redoute,3,0.0,www.laredoute.fr
Suppliers and Manufacturers,PT Kewalram Indonesia,7,2.0,
Suppliers and Manufacturers,Liberty Knitwear Ltd,9,3.0,
Suppliers and Manufacturers,Viswateja Spinning Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Satia Synthetics Ltd,7,2.0,
Suppliers and Manufacturers,Navjyot International Trading Pvt. Ltd.,12,2.0,
Suppliers and Manufacturers,Bimeco Garnhandel,10,3.0,
Suppliers and Manufacturers,Santaram Spinners Ltd.,12,2.0,
Suppliers and Manufacturers,"Wuhan Yudahua Textlie And Garment Group Co., Ltd.",4,2.0,http://www.yudahua.com.cn/
Suppliers and Manufacturers,ACS Textiles (Bangladesh) Ltd.,9,3.0,
Suppliers and Manufacturers,Beyteks Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,Abishek Industries Ltd./ Trident,4,2.0,
Suppliers and Manufacturers,Engelhart CTP (Singapore) Pte Ltd,12,2.0,
Suppliers and Manufacturers,"Anhui Hanlian Textile co.,Ltd",7,2.0,
Suppliers and Manufacturers,J.K Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Novetex Textiles Ltd.,7,2.0,
Retailers and Brands,IdKIds Sas,3,0.0,www.idgroup.com
Civil Society,Action for Social Advancement (ASA),1,0.0,www.asaindia.org
Suppliers and Manufacturers,RCMA Asia Pte Limited,12,2.0,
Suppliers and Manufacturers,PT. Embee Plumbon Tekstil,7,2.0,www.embeetex.com
Suppliers and Manufacturers,Luoyang White Horse Group Co.Ltd.,4,2.0,
Retailers and Brands,Marks and Spencer plc,3,0.0,plana.marksandspencer.com
Suppliers and Manufacturers,Nantong Dafuhao Textile Technology Co. Ltd.,7,2.0,
Suppliers and Manufacturers,Ayabe Co. Ltd,7,2.0,
Suppliers and Manufacturers,"Jiangsu Guotai International Group Guohua Corp.,Ltd",4,2.0,
Suppliers and Manufacturers,"ChangShu Cotton Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Winnitex,4,2.0,
Suppliers and Manufacturers,Hebi Chaoge Cotton Yarn Co. Ltd.,7,2.0,
Suppliers and Manufacturers,Shangtex YuFeng,7,2.0,
Suppliers and Manufacturers,FM Denim Co Ltd,4,2.0,
Suppliers and Manufacturers,Markwell Spinning Pvt Ltd,7,2.0,www.markwellspinning.com
Suppliers and Manufacturers,Gimatex Industries Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,"DNM Textile for Spinning, Weaving and Dyeing",4,2.0,
Suppliers and Manufacturers,Cotton Distributors Incorporated,12,2.0,
Suppliers and Manufacturers,Indigo Textile (Pvt) Ltd,7,2.0,
Retailers and Brands,Axstores,3,0.0,www.axstores.se
Suppliers and Manufacturers,"Yancheng Haicheng Cotton Industry Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Fiasul Industria de Fios LTDA,7,2.0,www.fiasul.com.br
Suppliers and Manufacturers,"Jihua 3509 Textile Co., Ltd",,2.0,www.jihua3509.com1
Civil Society,Deshpande Foundation,1,0.0,www.deshpandefoundationindia.org
Suppliers and Manufacturers,Umer Group,4,2.0,
Suppliers and Manufacturers,K G Denim Ltd,6,3.0,www.kgdenim.com
Suppliers and Manufacturers,"Salem Kandaa Textile Mills Pvt. Ltd., Sri Sellam Textiles Pvt. Ltd.",7,2.0,
Retailers and Brands,BabyBjorn AB,3,0.0,www.babybjorn.com
Suppliers and Manufacturers,CHTC Dayao Textile Co. Ltd.,10,2.0,
Suppliers and Manufacturers,Envoy Textiles Ltd,7,2.0,www.envoytextiles.com
Suppliers and Manufacturers,Henan Pingmian Textile Group,4,2.0,
Suppliers and Manufacturers,Ahuja Cotspin Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Shree Shihorikrupa Cotton Co,12,2.0,
Suppliers and Manufacturers,"Jiangsu Donghua Textile Co., Ltd",7,2.0,
Suppliers and Manufacturers,Al - Karam Towel Industries (Pvt.) Ltd.,6,3.0,www.alkaramtowelindustries.com
Suppliers and Manufacturers,Spectrum International Pvt. Ltd.,12,2.0,
Suppliers and Manufacturers,Iskur Tekstil Enerji Tic. ve San. A.S.,4,2.0,
Suppliers and Manufacturers,Changzhou Wujin Mahang Yarn-Dyed Fabric Co. Ltd.,6,2.0,
Civil Society,Udyansh Gramin Samaj Sewa Samiti (UGSSS),1,0.0,www.udyansh.org.in
Producer Organisation,Supima,2,0.0,www.supima.com
Suppliers and Manufacturers,Nagina Group of Industries,4,2.0,
Suppliers and Manufacturers,VRA Cotton Mills Pvt Ltd,12,2.0,
Suppliers and Manufacturers,"Zouping Tongda Textile Co., Ltd.",7,2.0,
Suppliers and Manufacturers,"Xinjiang Ruisheng Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Rameswar Udyog Pvt Ltd,4,2.0,
Retailers and Brands,Madewell Inc.,3,0.0,madewell.com
Suppliers and Manufacturers,Far Group,5,2.0,www.fargroupbd.com
Suppliers and Manufacturers,Sharmanji Yarns Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,"Fujian Province Putian Tianlong Textile Co., Ltd.",,2.0,
Suppliers and Manufacturers,Sri Alamelu Ammal Mills India Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Riaz Textile Mills Pvt. Ltd,7,2.0,
Suppliers and Manufacturers,Sigma Spinning NV,7,2.0,
Suppliers and Manufacturers,"Hebei Spring Textiles  Co., Ltd",7,2.0,
Suppliers and Manufacturers,"Linqing Sanhe Textiles Group Co., Ltd.",9,2.0,
Suppliers and Manufacturers,Chin Hung Fibres Ltd,7,2.0,
Suppliers and Manufacturers,"An Hui Yu Hua Textile Co.,Ltd",7,2.0,www.AHYHFZ.com
Suppliers and Manufacturers,"Jingzhou Aoda Textile Co., Ltd",,2.0,
Suppliers and Manufacturers,Raj Overseas,9,2.0,
Retailers and Brands,Inditex,3,0.0,www.inditex.com
Suppliers and Manufacturers,Nagreeka Exports Ltd.,7,2.0,
Suppliers and Manufacturers,Bari Textile Mills Pvt Ltd.,9,3.0,
Suppliers and Manufacturers,Amber Group,4,2.0,
Suppliers and Manufacturers,Nazar Tekstil San. Tic. A.S.,7,2.0,
Suppliers and Manufacturers,Erdem Tekstil,7,2.0,
Suppliers and Manufacturers,Otto Stadtlander GmbH,12,2.0,
Suppliers and Manufacturers,Youth Spinning Mills Ltd,7,2.0,
Suppliers and Manufacturers,Shreedhar Cotsyn Private Ltd.,12,2.0,
Suppliers and Manufacturers,Sri Shanmugavel Mills Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Norfil S/A Industria Textil,7,2.0,
Retailers and Brands,Tommy Hilfiger Europe B.V.,3,0.0,www.tommy.com
Suppliers and Manufacturers,Sri Sivajothi Spinning Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Jiaxing Qiuxin Textile Co. Ltd.,7,2.0,
Retailers and Brands,Target Corporation,3,0.0,corporate.target.com/press/corporate
Suppliers and Manufacturers,Plexus,12,2.0,
Suppliers and Manufacturers,"Xinfang Group Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Ambica Cotseeds Ltd,12,2.0,www.vcottonexport.com
Suppliers and Manufacturers,Guangzhou Kangjian Textile and Clothing Co Ltd,6,2.0,
Suppliers and Manufacturers,Sunrise Textile Group,4,2.0,
Suppliers and Manufacturers,Mahmud Group,4,2.0,
Suppliers and Manufacturers,Zhangjiagang Free Trade Zone Changxin Techical Textile Co. Ltd.,7,2.0,
Associate Members,Made-By,0,0.0,www.made-by.org
Suppliers and Manufacturers,Zhangjiagang City Haoran Textile Co. Ltd.,7,2.0,
Suppliers and Manufacturers,Mandhana Industries Ltd.,6,3.0,
Suppliers and Manufacturers,Prince Group,7,2.0,
Suppliers and Manufacturers,Devcot S.A.,12,2.0,
Suppliers and Manufacturers,Bharat Cotton Factory,12,2.0,
Suppliers and Manufacturers,"Changzhou JiuRong Import&Export Co.,Ltd",10,2.0,
Suppliers and Manufacturers,SEL Manufacturing Co. Ltd.,7,2.0,
Suppliers and Manufacturers,Mei Sheng Textiles Vietnam Co. Ltd.,4,2.0,
Civil Society,Indian Grameen Services,1,0.0,www.igsindia.org
Suppliers and Manufacturers,Welspun India Limited,4,2.0,
Suppliers and Manufacturers,"Jiaozuo Haihua Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Eastern Spinning Mills Ltd,7,2.0,www.easterngroup-pk.com
Suppliers and Manufacturers,M/S. P.D. Sekhsaria Trading Co. Pvt. Ltd.,12,2.0,
Retailers and Brands,No Ordinary Designer Label ltd (Ted Baker),3,0.0,www.tedbaker.com
Suppliers and Manufacturers,Oswal Woollen Mills Limited,4,2.0,
Suppliers and Manufacturers,Shandong Binzhou Nongxi Cotton Professional Cooperative,12,0.0,
Suppliers and Manufacturers,Vardhman Textiles,4,2.0,
Suppliers and Manufacturers,Technocraft Industries Limited,7,2.0,
Producer Organisation,Akesu Jintian Farm Co. Ltd.,2,0.0,
Suppliers and Manufacturers,Zafer Tekstil San. ve Tic. A.S.,7,2.0,
Suppliers and Manufacturers,RMP Fab Sourcing Pvt Ltd,6,3.0,
Suppliers and Manufacturers,Anadolu Iplik ve Tekstil FabrikalarÂ› Sanayi Anonim Sirketi,7,2.0,
Suppliers and Manufacturers,RSB Cottex Ltd.,7,2.0,
Suppliers and Manufacturers,PT Sri Rejeki Isman,4,2.0,
Suppliers and Manufacturers,"Dafeng  Wanda  Textile  Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Zhejiang Changshan Textile Co.Ltd.,7,2.0,
Suppliers and Manufacturers,Amber Cotton Mills Ltd,7,2.0,
Suppliers and Manufacturers,Jiangsu Zhongheng Dyeing & Finishing Co. Ltd.,6,2.0,
Suppliers and Manufacturers,"PiZhou Yinchao Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Dalian Shenzhou Textiles Co. Ltd. Group,7,2.0,
Suppliers and Manufacturers,"Weishi  Textile  Co.,Ltd.",5,2.0,www.wshtex.com
Suppliers and Manufacturers,Theni Guru Krishna Textile Mills Pvt Ltd,4,2.0,www.atktextiles.com
Suppliers and Manufacturers,Balaji Textiles,7,2.0,
Suppliers and Manufacturers,Yesim Tekstil San. ve Tic. A.S.,4,2.0,
Suppliers and Manufacturers,"Qingdao Jifa Shengbao Textile Co., Ltd",7,2.0,
Suppliers and Manufacturers,Chiem Patana Textiles Co. Ltd.,4,2.0,
Suppliers and Manufacturers,"Zhejiang Lucky Bird Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,SMM Textiles Ltd,7,2.0,
Civil Society,Sangtani Women Rural Development Organization (SWRDO),1,0.0,www.sangtani.org.pk
Suppliers and Manufacturers,Sri Vaarri Spinning Mills,7,2.0,
Suppliers and Manufacturers,Namoi Cotton Alliance,12,2.0,
Producer Organisation,Kashtkar Development Organisation,2,0.0,
Suppliers and Manufacturers,Krishna Traders,12,2.0,
Suppliers and Manufacturers,Ashik Composite Textile Mills Ltd.,7,2.0,
Civil Society,Iyi Pamuk Uygulamalari Dernegi IPUD (Good Cotton Practices Assocation),1,0.0,www.iyipamuk.org.tr
Retailers and Brands,Thomas Pink Ltd.,3,0.0,www.thomaspink.com
Suppliers and Manufacturers,"Wahoo(Changshu) Imp&Exp Co., Ltd",12,2.0,
Suppliers and Manufacturers,Marteks Maras Tekstil Sanayi A.S.,7,2.0,www.marteksmaras.com
Suppliers and Manufacturers,Prabhu Spinning Mills Pvt. Ltd. - OE Division,7,2.0,
Suppliers and Manufacturers,Mekotex Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,IR Accessories Pvt Ltd,5,3.0,
Suppliers and Manufacturers,Rajapalayam Mills Limited,7,2.0,
Suppliers and Manufacturers,Nithin Textiles Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Arik Bey Tekstil,4,2.0,
Suppliers and Manufacturers,Imteks Giyim San. ve Tic. A.S.,5,3.0,
Suppliers and Manufacturers,AA Coarse Spun Ltd,7,2.0,
Suppliers and Manufacturers,Matrix Sourcing,9,3.0,
Retailers and Brands,Gap Inc.,3,0.0,www.gapinc.com
Suppliers and Manufacturers,Din Dayal Purushottam Lal,12,2.0,
Suppliers and Manufacturers,Nien Hsing Textile Co. Ltd.,6,2.0,
Suppliers and Manufacturers,Sustainable Textile and Agriculture Commodities (STAC) Pvt. Ltd.,12,2.0,
Suppliers and Manufacturers,Societe de Developpement et des Fibres Textiles (SODEFITEX),11,2.0,
Suppliers and Manufacturers,Rasi Tex (India) Pvt Ltd,7,2.0,
Civil Society,Songzi city Agriculture Technology Promotion Center,1,0.0,
Suppliers and Manufacturers,XPCC No.5 Cotton&Linen Corp,12,2.0,
Suppliers and Manufacturers,Tirumala Cotton And Agro Products Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Loyal Textile Mills Ltd.,4,2.0,
Suppliers and Manufacturers,Nisshinbo Textile Group,7,2.0,
Suppliers and Manufacturers,Quality Textile Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Raymond UCO Denim Pvt. Ltd.,4,2.0,
Suppliers and Manufacturers,PT Kahatex,4,2.0,
Suppliers and Manufacturers,Cofco Agri Ltd.,12,2.0,
Producer Organisation,Sustainable Development Organization (SDO),2,0.0,
Suppliers and Manufacturers,Crescent Textile Mills Ltd,7,2.0,
Suppliers and Manufacturers,Idupulapadu Cotton Mills Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Antonio de Almeida & Filhos Texteis SA,7,2.0,www.moretextilegroup.com
Suppliers and Manufacturers,Filasa-Fiacao Armando Silva Antunes S.A.,4,2.0,
Suppliers and Manufacturers,Kipas Mensucat,4,2.0,
Suppliers and Manufacturers,Arikan Mensucat San ve Tic A.S.,7,2.0,
Suppliers and Manufacturers,Texhong Textile Group Ltd.,7,2.0,
