"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
NURSING,,,,,,,,,,,,
44733.0,,NSG 211-A001,83,3,6,26,4,68,91,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
ART ,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
44747.0,,ACR 101-A001,Refrigeration Fundamentals Lab,2,2,3,3,3,1,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
55587.0,,MAT 126S-A0H1,70,2,2,27,44,23,84,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
44602.0,,BAS 160-A001,19,3,2,15,17,16,17,2.0,43696.0,43814.0
SOCIOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
BLUEPRINT READING ,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
45429.0,9,MAT 141-A0Z1,71,3,1,1,1,1,85,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
CIS,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
