id,title,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4
8942,Wendy and Lucy,usa,friendship,survival,scar,family
8944,What Just Happened,film producer,midlife crisis,independent film,divorce,
8952,I Love You Phillip Morris,judge,small town,con man,fraud,jail
8953,Steamboy,england,inventor,ball,boy,industrial revolution
8960,Hancock,flying,alcohol,love of one's life,forbidden love,lovers
8961,Bad Boys II,miami,ku klux klan,cuba,undercover,mexican standoff
8963,Crimson Tide,submarine,mutiny,russia,missile,nuclear missile
8966,Twilight,soulmates,vampire,forbidden love,immortality,trust
8967,The Tree of Life,philosophy,father son relationship,red hair,brother sister relationship,sun
8968,Boogeyman,nightmare,hallucination,childhood trauma,break-up,hometown
8970,The Out-of-Towners,new york,travel,misfortune,,
8975,The Marine,gangster boss,wife,war,change,iraq war
8976,A Lot Like Love,new york,shyness,career,flight,romantic comedy
8978,Assault on Precinct 13,drug abuse,mexican standoff,junkie,prison cell,snow storm
8981,Dear Frankie,scotland,father son relationship,single parent,loss of father,violent father
8982,The Protector,buddhism,elephant,sydney,australia,fighter
8984,Disclosure,employee,workplace,sexual harassment,intrigue,
8987,The River Wild,river,robber,boston,bank robber,marriage crisis
8988,Stop-Loss,post traumatic stress  disorder,iraq war veteran,u.s. soldier,woman director,
8998,Friends with Money,midlife crisis,marriage,money,divorce,fashion
8999,Derailed,prison,chicago,rape,based on novel,hotel room
9003,Hellraiser,underworld,seduction,supernatural,pinhead,revenge
9007,Just Like Heaven,coma,based on novel,workaholic,flirt,architect
9008,The Insider,spy,newspaper,research,interview,tobacco
9009,Dark Water,based on novel,water,remake,teacher,divorce
9012,Jackass: The Movie,disgust,pain,stunts,music video,stuntman
9013,Midnight Run,crooked lawyer,bail jumper,mafia accountant,stretch limousine,"manhattan, new york city"
9016,Treasure Planet,cyborg,based on novel,space marine,mutiny,loss of father
9021,The Santa Clause 2,holiday,christmas party,home,santa claus,magic
9022,All the Boys Love Mandy Lane,suicide attempt,gun,texas,mass murder,farm worker
9023,Spirit: Stallion of the Cimarron,human being,freedom,mustang,rivalry,wildlife
9026,The Importance of Being Earnest,new love,country estate,country house,false identity,beguilement
9027,The Guru,sex,indian lead,dancing master,new love,porn actor
9029,What Happens in Vegas,casino,hotel,roommate,fictitious marriage,romantic comedy
9030,The Eye,sister sister relationship,blindness and impaired vision,eye operation,eyesight,dying and death
9032,Big Daddy,bachelor,law,vomit,syracuse university,law school
9034,The Banger Sisters,tattoo,rock star,groupie,past,family
9035,Slither,small town,mutant,meteor,meat,alien
9036,Eight Below,expedition,pilot,survival,sled dogs,seal
9042,The Cave,fall,burned alive,violence,diver,swimwear
9043,The Family Stone,holiday,christmas,,,
9045,Amen.,vatican,pope,concentration camp,holocaust,schutzstaffel
9053,DOA: Dead or Alive,competition,martial arts,kung fu,assassin,fight
9059,Tales from the Crypt: Demon Knight,prostitute,key,jesus christ,chosen one,god
9067,Tank Girl,destroy,dystopia,reincarnation,desert,artial arts
9072,Little Man,baby,adoption,married couple,small person,criminal
9074,The Man,mistake in person,false identity,arms dealer,cop,police officer
9075,Black Book,in love with enemy,netherlands,world war ii,prosecution,
9087,The American President,white house,usa president,new love,widower,wildlife conservation
9089,Home for the Holidays,baltimore,thanksgiving,family clan,family conflict,generations conflict
9092,Snow White: A Tale of Terror,jealousy,toxication,castle,step mother,fairy-tale figure
9093,The Four Feathers,islam,sex,loyalty,bravery,army
9095,Mary Reilly,servant,monster,laboratory,jekyll and hyde,housemaid
9096,Medicine Man,medicine,ant,research,amazon,cancer
9099,Sgt. Bilko,gulf war,u.s. army,based on tv series,military spoof,
9100,The Craft,witch,suicide attempt,puberty,magic,black magic
9104,Buffalo Soldiers,germany,corruption,sex,based on novel,investigation
9208,Broken Arrow,helicopter,river,captain,underground,mexican standoff
9257,S.W.A.T.,liberation,transport of prisoners,special unit,weapon,los angeles
9260,Welcome to Collinwood,safe,remake,heist,inner city,
9266,Blue Crush,sea,surfer,hawaii,sport,job
9268,Eraser,suicide,ambush,showdown,hostage,traitor
9271,Virtuosity,artificial intelligence,android,hologram,computer program,virtual reality
9273,Ace Ventura: When Nature Calls,africa,indigenous,human animal relationship,bat,
9275,Death to Smoochy,corruption,moderator,tv show,success,irish mob
9276,The Faculty,american football,high school,alien,teacher,teenager
9277,The Sting,chicago,bet,horse race,repayment,con man
9279,Jingle All the Way,holiday,christmas party,santa claus,toy,puppet
9280,Femme Fatale,paris,france,new identity,paparazzi,cannes
9281,Witness,corruption,detective,police brutality,amish,suspense
9282,11:14,alcohol,sex,robbery,secret,gun
9285,Road Trip,female nudity,sex,sexism,sperm bank,erection
9286,Final Destination 3,beheading,dying and death,stroke of fate,,
9288,Dungeons & Dragons: Wrath of the Dragon God,fighter,royalty,curse,dragon,
9289,The Longest Day,world war ii,normandy,allied,widerstand,steel helmet
9290,Crocodile Dundee in Los Angeles,crocodile,traffic jam,los angeles,stolen painting,
9291,The Longest Yard,prison,american football,prisoner,blackmail,supervisor
9292,Hudson Hawk,vatican,leonardo da vinci,painting,master thief,
9294,Phenomenon,brain tumor,telekinesis,genius,terminal illness,doctor
9297,Monster House,monster,secret,toy,children,neighbor
9302,Up Close & Personal,miami,television,career,vitamin b,reporter
9303,Bound,prison,women's prison,suspense,mafia,lesbian
9304,Multiplicity,clone,mistake in person,cloning,experiment gone wrong,construction
9306,The Island of Dr. Moreau,monster,experiment,island,mutation,genetics
9310,American Dreamz,usa president,moderator,musical,music,castingshow
9311,Smilla's Sense of Snow,copenhagen,inuit,comet,arctic,snow
9312,Mortal Kombat,martial arts,monster,island,gore,sorcerer
9313,The Man in the Iron Mask,france,swordplay,mask,musketeer,
9315,Flightplan,berlin,loss of father,airplane,baby-snatching,
9327,The Nutty Professor,overweight,overweight man,duringcreditsstinger,,
9331,Clear and Present Danger,assassination,spy,ambush,cia,helicopter
9334,The Scorpion King,egypt,temple,,,
9335,Transporter 2,martial arts,war on drugs,kidnapping,bodyguard,baby-snatching
9336,Police Academy,trainer,recruit,shenanigan,police academy,
9339,Click,regret,workaholic,heart attack,architect,dying and death
9341,The Core,magnetic field,center of the earth,disaster film,,
9342,The Mask of Zorro,california,spy,hero,horseback riding,sword fight
9344,Kids,puberty,first time,,,
9348,Species,telepathy,dna,paranoia,genetics,instinct
9350,Cliffhanger,rocky mountains,airplane,hijacking,suitcase,climbing
9352,EuroTrip,paris,berlin,alcohol,sex,nudity
9353,Nacho Libre,nun,sport,orphanage,ordensbruder,ringer
9355,Mad Max Beyond Thunderdome,arena,sandstorm,dystopia,oasis,sequel
9357,One Hour Photo,sexual abuse,hotel room,cheating,supermarket,penalty
9358,Final Destination 2,ambulance,premonition,hospital,,
9360,Anaconda,amazon,jungle,anaconda,film crew,killer snake
9361,The Last of the Mohicans,secret love,mohawk,native american,18th century,french and indian war
9362,Tremors,nevada,small town,tractor,stranded,cult favorite
9366,Donnie Brasco,undercover,colombia,mafia,mobster,dirty cop
9367,El Mariachi,united states–mexico barrier,legs,arms,paper knife,guitar case
9372,Super Size Me,experiment,health,junk food,food industry,fast food
9374,Death Becomes Her,jealousy,beauty,immortality,rivalry,potion
9378,Thir13en Ghosts,hunter,nanny,nudity,collector,house
9381,Babylon A.D.,submarine,baby,secret,future,mercenary
9383,Hollow Man,killing,human experimentation,scientist,invisible man,science experiment
9384,Starsky & Hutch,informant,jumping from a rooftop,surveillance footage,,
9387,Conan the Barbarian,gladiator,repayment,despot,barbarian,sword and sorcery
9388,Thank You for Smoking,father son relationship,capitalism,based on novel,smoking,lie
9389,Renaissance,paris,japanese,identity,underworld,monopoly
9390,Jerry Maguire,stadium,career,sport,sports agent,
9392,The Descent,mutant,expedition,cave,darkness,rope
9396,Crocodile Dundee II,new york,crocodile,australia,large knife,aftercreditsstinger
9398,Zoolander,male model,time magazine,fashion show,fashion model,fictional awards show
9400,Set It Off,single parent,bank robber,last chance,los angeles,
9408,Surf's Up,sea,world cup,surfer,wave,surfboard
9414,The Man Who Knew Too Little,london england,bomb,brother brother relationship,helicopter,based on novel
9416,Money Talks,prison,diamant,liberation of prisoners,transport of prisoners,interview
9422,A Civil Action,success,advancement,right and justice,leukemia,lawyer
9424,Disturbing Behavior,suicide,sex,island,nightmare,chase
9425,Soldier,space marine,dystopia,alien planet,genetic engineering,
9427,The Full Monty,suicide attempt,striptease,steel worker,repossession,male stripper
9428,The Royal Tenenbaums,forgiveness,child prodigy,terminal illness,dysfunctional family,cigarette smoking
9429,A Night at the Roxbury,night life,nightclub,flower,flower shop,make a match
9430,Go,ecstasy,drug dealing,drug,reference to family circus,high
9433,The Edge,photographer,grizzly bear,wilderness,airplane,supermodel
9434,Grosse Pointe Blank,mission of murder,school party,high school reunion,,
9437,Kiss the Girls,washington d.c.,covered investigation,investigation,north carolina,missing person
9440,Primary Colors,white house,usa president,presidential election,scandal,george w. bush
9441,Stepmom,divorce,rebellious daughter,freeze frame,custody,school play
9443,Chariots of Fire,underdog,scotland,jewry,patriotism,olympic games
9444,Anastasia,tzar,musical,russian revolution,train explosion,foreign language adaptation
9447,Babe: Pig in the City,piggy bank,shortage of money,pig,farm,piglet
9448,The Big Hit,bungee-jump,dark comedy,cigarette smoking,slow motion,video store
9449,The Borrowers,dwarves,household,lawyer,little people,child's point of view
9451,Election,jealousy,infidelity,vandalism,museum,motel
9452,Bulworth,mission of murder,politics,election campaign,liberal,swearing
9454,Ever After: A Cinderella Story,france,child abuse,slavery,leonardo da vinci,prince
9455,The Corruptor,new york,life and death,gang war,police,china town
9457,Deep Rising,ocean liner,sea monster,jewel heist,armed robbery,
9459,Woodstock,hippie,free love,musical,music,woodstock
9464,Buffalo '66,prison,gambling,compulsive gambling,,
9466,Celebrity,exzentrik,independent film,reporter,ex-wife,spectacle
9469,He Got Game,prison,father son relationship,homicide,begnadigung,release from prison
9470,Kung Fu Hustle,kung fu,magic,mafia,defense,gangster
9471,Charlie's Angels: Full Throttle,robbery,secret identity,secret agent,,
9472,DodgeBall: A True Underdog Story,underdog,competition,bank,bar,ball
9473,"South Park: Bigger, Longer & Uncut",gay,mount rushmore national memorial,swear word,mephisto,hell
9476,A Knight's Tale,poetry,knight,tournament,duel,torture
9481,The Bone Collector,paraplegic,investigation,psychopath,,
9486,Johnny English,spy,hero,queen,intelligence,coronation
9487,A Bug's Life,winter,fight,ant,invention,collector
9488,Spy Kids 2: The Island of Lost Dreams,spy,experiment,island,secret organization,wretch
9489,You've Got Mail,romantic comedy,online dating,woman director,,
9490,Half Baked,smoking,company,marijuana,drug,woman director
9493,Twins,perfection,delivery,low intelligence,jet engine,twins separated at birth
9495,The Crow,halloween,arson,detroit,,
9502,Kung Fu Panda,china,martial arts,kung fu,mentor,snake
9504,Glengarry Glen Ross,robbery,office,shop,estate agent,company
9509,Man on Fire,mexico,cia,kidnapping,diary,bible
9513,Garfield: A Tail of Two Kitties,london england,cat,mistake in person,luxury,wretch
9515,The Matador,mexico city,midlife crisis,cocktail,independent film,stranger
9516,Menace II Society,black people,drug dealer,ghetto,weapon,delinquency
9517,Bully,florida,striptease,homosexuality,independent film,best friend
9526,A Prairie Home Companion,usa,country music,commercial,radio presenter,radio transmission
9531,Superman III,saving the world,dc comics,super computer,identity crisis,loss of powers
9532,Final Destination,omen,airplane accident,corpse,death,near-death experience
9533,Red Dragon,psychopath,serial killer,fbi agent,,
9535,Analyze This,new york,mafia boss,wedding,psychiatrist,
9541,Jersey Girl,yuppie,daughter,loss of wife,,
9543,Prince of Persia: The Sands of Time,persia,sandstorm,brother against brother,armageddon,regent
9544,FearDotCom,race against time,psychopath,homepage,cop,doctor
9548,The Adventures of Ford Fairlane,rock and roll,show business,rock star,heavy metal,murder
9549,The Right Stuff,cold war,pilot,space travel,politics,historical figure
9550,House of Flying Daggers,martial arts,swordplay,government,rebellion,dagger
9552,The Exorcist,exorcism,holy water,religion and supernatural,vomit,christian
9555,Rabbit-Proof Fence,child abuse,sister sister relationship,prosecution,australia,approved school 
9557,Boat Trip,gay,bikini,cruise ship,babes,
9562,Timeline,professor,time travel,quantum mechanics,hundred years' war,excavation
9563,Any Given Sunday,american football,trainer,training,american football coach,sport
9566,The Fan,sport,luck,san francisco giants,child custody,baseball pitcher
9567,Tears of the Sun,u.s. army,nigeria,president,,
9570,The Black Hole,killer robot,space marine,ghost ship,black hole,
9571,Dazed and Confused,1970s,texas,high school,comedy,coming of age
9573,Blood Work,houseboat,heart,investigation,police,ex-cop
9574,Flubber,wedding vows,inventor,slime,green,flight
9576,Tootsie,infidelity,love,friends,cross dressing,reputation
9582,A Guy Thing,infidelity,bachelor,blackmail,fantasy,truth
9583,Divine Secrets of the Ya-Ya Sisterhood,secret society,conciliation,marriage,mother daughter relationship,playwright
9587,Little Women,depression,mother daughter relationship,pregnant,desire,chalkboard
9588,Quigley Down Under,australian,chase,,,
9591,That Thing You Do!,pop star,musical,record label,music,music band
9593,Last Action Hero,magic,movie in movie,spoof,magical object,cartoon cat
9594,Double Impact,loss of parents,karate,fighter,revenge,hong kong
9598,Babe,sheep,pig,affection,piglet,heroism
9600,Big Momma's House,绝地奶霸,卧底肥妈,big爆任务,超级妈妈,
9603,Clueless,puberty,high school,make a match,spoiled child,gay interest
9607,Super Mario Bros.,saving the world,brother brother relationship,royalty,dinosaur,based on video game
9610,Conan the Destroyer,swordplay,sword,magic,warrior woman,lone wolf
9613,Spider,secret,asylum,bed and breakfast place,past,psychopath
9614,Happy Gilmore,loss of mother,loss of father,golf,sport,taxes
9615,The Fast and the Furious: Tokyo Drift,car race,car journey,car mechanic,auto,car garage
9616,The Order,riddle,rome,vatican,secret organization,investigation
9618,Tango & Cash,prisoner,war on drugs,los angeles,,
9619,Dante's Peak,helicopter,small town,mayor,evacuation,motel
9620,Paycheck,prophecy,engineer,scientist,millionaire,
9621,Elizabethtown,suicide,hotel room,suicide attempt,new love,funeral
9623,The Juror,jurors,blackmail,court case,son,trial
9624,On Deadly Ground,fight,inuit,petrol,company,alaska
9625,The Glimmer Man,secret agent,past,cop,series of murders,homicide detective
9626,Red Sonja,monster,swordplay,queen,talisman,marvel comic
9631,The Negotiator,corruption,hostage,pension,innocence,police
9637,Scooby-Doo,amateur detective,voodoo,resort,crime solving,
9641,Cheaper by the Dozen 2,holiday,lake,big family,father,labor pain
9644,National Lampoon's Loaded Weapon 1,cocaine,police,spoof,los angeles,
9645,Ghost Ship,cruise,pilot,ghost ship,,
9647,Scrooged,holiday,tv ratings,comedy,scrooge,christmas carol
9654,The Italian Job,venice,california,train station,helicopter,austria
9655,She's the Man,roommate,twin sister,sport,boarding school,twin brother
9656,Black Christmas,holiday,difficult childhood,childhood memory,childhood trauma,psychopath
9659,Mad Max,chain,baby,bridge,post-apocalyptic,dystopia
9662,The Triplets of Belleville,france,kidnapping,boy,biker,tour de france
9664,Flyboys,world war i,biplane,,,
9665,Glory,war,racism,battle,union soldier,confederate soldier
9667,The Jacket,smoking,medicine,psychology,hallucination,human experimentation
9671,Crocodile Dundee,new york,prostitute,hotel,journalist,culture clash
9672,Infamous,killing,death penalty,kansas,author,murder hunt
9675,Sideways,california,golf,oscar award,wine,stag night
9676,The Black Dahlia,pornography,observer,los angeles,murder hunt,
9678,Little Nicky,father son relationship,brother sister relationship,mephisto,bulldogg,
9679,Gone in Sixty Seconds,brother brother relationship,detective,car race,car thief,blackmail
9682,Pulse,suicide,hacker,death of a friend,website,remake
9683,Bubble Boy,lovesickness,niagara falls,crush,youth,illness
9685,Igby Goes Down,father son relationship,patenonkel,independent film,falling in love,
9686,New York Stories,new york,mother,hotel,robbery,jealousy
9689,Hollywood Ending,blindness and impaired vision,creative crisis,film director,,
9691,Assassins,competition,assassination,cia,bank,cat
9693,Children of Men,police state,hippie,rebel,miracle,future
9697,Lady in the Water,fortune teller,religion and supernatural,supernatural powers,mythical creature,hell
9700,The Lost City,cuba,fidel castro,che guevara,,
9701,North Country,rape,secret,minnesota,witness,miner
9702,Bound by Honor,juvenile prison,artist,jail,east l.a.,hood
9703,The Last Legion,roman empire,emperor,ancient rome,western roman empire,ancient world
9705,Swordfish,female nudity,hacker,terrorism,violence,ex-con
9707,Bubba Ho-tep,john f. kennedy,elvis presley,,,
9709,My Summer of Love,england,brother sister relationship,becoming an adult,northern england,female friendship
9713,Holy Man,salesclerk,television,tv ratings,guru,television producer
9715,Hope Floats,texas,telegram,despair,leaving one's family,funeral
9716,Everyone Says I Love You,paris,venice,adultery,robbery,lovesickness
9718,Talladega Nights: The Ballad of Ricky Bobby,north carolina,prayer,family dinner,advertising,divorce
9725,Friday the 13th Part 2,camping,summer camp,gore,slasher,b horror
9726,A Good Year,provence,wine cellar,vineyard,wine garden,wine
9728,Friday the 13th Part III,lake,summer camp,murder,serial killer,slasher
9729,Where the Truth Lies,sex,journalist,journalism,1970s,entertainer
9730,Friday the 13th: The Final Chapter,lake,resurrection,morgue,serial killer,jason vorhees
9731,Friday the 13th: A New Beginning,mask,psychology,serial killer,hospital,teenager
9737,Bad Boys,miami,detective,handcuffs,airport,mexican standoff
9741,Unbreakable,father son relationship,train accident,comic book,marriage crisis,invulnerability
9746,Kundun,buddhism,china,mountains,buddhist monk,tibet
9754,Firewall,bank,technology,blackmail,hacker,seattle
9759,Cellular,bank,mobile phone,telephone,weapon,police
9762,Step Up,dancing,new love,dance,baltimore,art school
9763,Goal!: The Dream Begins,restaurant,sport,coach,athlete,newcastle united
9766,Gridiron Gang,competition,prisoner,probation assistant ,sport,violence
9767,The Break-Up,bowling,chicago,american football,flat,baseball
9770,Mad City,journalist,museum,hostage drama,independent film,
9772,Air Force One,prison,corruption,journalist,white house,hostage
9776,Head of State,usa,black people,usa president,presidential election,election campaign
9778,Serendipity,soulmates,new love,book,dollar,fate
9779,The Sisterhood of the Traveling Pants,holiday,female friendship,jeans,coming of age,teenage girl
9781,Detroit Rock City,parents kids relationship,kiss,independent film,youth,drug
9782,The Night Listener,radio station,radio presenter,radio transmission,independent film,
9783,Sublime,nurse,psychology,suspense,blood,hospital
9787,Lords of Dogtown,skateboarding,success,independent film,woman director,
9792,The Hills Have Eyes,ambush,new mexico,van,family holiday,axe in the head
9793,The Hills Have Eyes 2,new mexico,mutant,assault,survival,
9794,Employee of the Month,salesclerk,midlife crisis,prenzlauer berg,vulgar,slacker
9798,Enemy of the State,corruption,washington d.c.,helicopter,falsely accused,identity
9799,The Fast and the Furious,street gang,car race,undercover,auto-tuning,los angeles
9800,Philadelphia,gay,aids,homophobia,jurors,court
9801,Bridget Jones: The Edge of Reason,london england,lovesickness,thailand,clumsy fellow,to drop brick
9802,The Rock,san francisco,fbi,gas attack,alcatraz,hostage situation
9804,Waterworld,ocean,tattoo,mutant,water,dystopia
9806,The Incredibles,secret identity,secret,hero,island,wretch
9809,Let's Go to Prison,loss of father,condom,vulgar,parole board,alcohol abuse
9813,The Quiet,depression,christmas party,deaf-mute,daughter,high school sports
9816,Save the Last Dance,ballet dancer,musical,ballet,,
9819,Marvin's Room,sister sister relationship,sister,leukemia,reunion,cancer
9821,The Mighty,ohio,coming of age,disabled,learning disability,birth defect
9822,Mighty Joe Young,gorilla,dying and death,,,
9823,Mortal Kombat: Annihilation,martial arts,authority,tournament,battle,fighting
9824,Mystery Men,bowling,hostage,sphinx,training,insane asylum
9825,Lake Placid,diving,sheriff,lake,crocodile,deputy
9826,The Phantom,secret identity,gold,gangster boss,phantom,silver
9829,United 93,airplane,hijacking,terror cell,emergency landing,war on terror
9833,The Phantom of the Opera,dancing,obsession,auction,wheelchair,rose
9836,Happy Feet,ocean,fish,zoo,penguin,tap dancing
9837,The Prince of Egypt,moses,egypt,pyramid,exodus,kingdom
9839,Beyond Borders,london england,cia,landmine,love of one's life,cambodia
9842,School for Scoundrels,date,competition,lovesickness,mentor,traffic policeman
9849,My Favorite Martian,alien,martian,based on tv series,fish out of water,
9869,Patriot Games,assassination,assassin,repayment,ira,jack ryan
9870,Forgetting Sarah Marshall,hawaii,one-night stand,beauty,,
9877,Urban Legend,college,murder,urban legend,slasher,killer
9879,Striptease,blackmail,strip club,striptease,police,u.s. congress
9880,The Princess Diaries,heir to the throne,grandmother granddaughter relationship,high school,princess,royalty
9882,The Siege,islam,muslim,car bomb,fbi agent,
9884,Collateral Damage,terrorist,fbi,colombia,firemen,revenge
9889,Shallow Hal,overweight,beauty,hypnosis,overweight man,overweight woman
9890,The Stepford Wives,android,housewife,transformation,,
9893,Sleepover,high school,scavenger hunt,teenage crush,slumber party,teenager
9894,The Cable Guy,prison,prostitute,karaoke,dark comedy,cable guy
9895,Man of the Year,usa president,presidential election,comedian,,
9896,Rat Race,casino,running,preisgeld,millionaire,road movie
9899,The Producers,cheating,adolf hitler,success,music,blonde
9900,Grandma's Boy,video game,grandmother grandson relationship,man child,stoner,game tester
9902,Wrong Turn,life and death,death of a friend,parts of dead body,,
9903,The Hoax,flying,1970s,false identity,biography,
9906,The Ant Bully,ant,child hero,shrinking,ant-hill,children
9907,Barnyard,peasant,farm,cow,cojote,family
9912,The World's Fastest Indian,new zealand,utah,life's dream,independent film,motorcycle
9913,The Skeleton Key,nurse,secret,dream,fight,kidnapping
9916,The Last Sin Eater,christianity,appalachia,conversion,independent film,
9918,Glory Road,basketball,racial segregation,teachers and students,,
9919,How to Lose a Guy in 10 Days,new york,bet,journalist,therapist,advertising expert
9920,Ultraviolet,skyscraper,vampire,victim,dystopia,boy
9922,The Postman,usa,post,postman,army,apocalypse
9923,Domino,bounty hunter,fbi,weapon,spectacle,
9928,Robots,inventor,business man,robot,dishonesty,
9930,Legal Eagles,court case,client,lawyer,courtroom,
9932,Analyze That,prison,gold,therapist,gangster,
9942,Major League,baseball,sport,sabotage,sombrero,baseball field
9944,The Pelican Brief,judge,professor,mission of murder,supreme court,
9945,Vampires,based on novel,new mexico,party,vampire hunter,revenge
9946,End of Days,christianity,sex,new year's eve,pastor,nudity
9947,Elektra,martial arts,based on comic book,female assassin,spin off,
9950,Find Me Guilty,court case,staatsanwältin,family clan,gangster,
9952,Rescue Dawn,war crimes,violence,laotian soldier,pipe smoking,rice paddy
9954,The Covenant,magic,male friendship,college,supernatural powers,teenager
9955,Blades of Glory,competition,olympic games,sport,rivalry,ice skating
9957,The Benchwarmers,baseball,pizza,sport,paperboy,team
9962,The Good Girl,suicide,sex,jealousy,dream,blackmail
9963,Premonition,deja vu,dying and death,time travel,loss of husband,car crash
9969,Deck the Halls,holiday,massachusetts,neighbor,christmas,
9975,Curious George,museum,product placement,balloon,jungle,monkey
9978,Stormbreaker,england,secret intelligence service,child hero,wretch,teen spy
9981,Kicking & Screaming,father son relationship,generations confilct,sport,amateur soccer,soccer coach
9982,Chicken Little,fish,small town,space marine,chicken,alien
9986,Charlotte's Web,hero,barn,spider,pig,egg
9988,Beerfest,germany,competition,prostitute,alcohol,beer
9989,Antitrust,technology,garage,hacker,male friendship,microchip
9991,Mean Machine,prison,sport,amateur soccer,soccer coach,
9992,Arthur and the Invisibles,grandfather grandson relationship,wretch,treasure hunt,disappearance,family
10003,The Saint,berlin,russia,gas,master thief,the saint
10008,An American Haunting,witch,independent film,curse,suitor,family
10012,Cursed,brother sister relationship,bite,transformation,supernatural powers,werewolf
10013,Peggy Sue Got Married,time travel,high school reunion,,,
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,gay,dancing,fire,diary,nightmare
10016,Ghosts of Mars,climbing up a wall,hung upside down,flashback within a flashback,cavern,battering
10017,The Wraith,male nudity,female nudity,sex,killing,sheriff
10022,The Pacifier,bodybuilder,children,body guard,scientist,family
10024,My Sister's Keeper,parents kids relationship,sister sister relationship,court case,in vitro fertilisation,medical examiner
10025,Just My Luck,jinx,bad luck,kiss,romantic comedy,alcohol abuse
10027,Unleashed,martial arts,hitman,serial killer,,
10028,Honey,new york,dancing,hip-hop,dream,dance
10029,Very Bad Things,prostitute,hotel,cocaine,nudity,psychopath
10030,Good Luck Chuck,sex,aquarium,nudity,one-night stand,bride
10034,High Heels and Low Lifes,nurse,blackmail,teacher,best friend,bank robbery
10040,Miss Congeniality 2: Armed and Fabulous,ransom,press conference,ship,miss america,fbi agent
10045,District B13,paris,bomb,vororte,dystopia,parkour
10047,The Messenger: The Story of Joan of Arc,schizophrenia,france,rape,siege,biography
10048,Stealth,artificial intelligence,u.s. navy,aftercreditsstinger,,
10050,Get Over It,theatre play,theatre group,high school,falling in love,
10052,Dragonfly,pregnancy and birth,voice,dragonfly,car crash,jungle
10053,When a Stranger Calls,babysitter,death of a friend,killer,strange person,call
10054,Spy Kids,double life,parents kids relationship,brother sister relationship,loss of parents,secret agent
10060,Get Rich or Die Tryin',loss of mother,attempted murder,career,musical,rapper
10061,Escape from L.A.,prison,usa president,earthquake,dystopia,attempt to escape
10065,The Amityville Horror,holy water,long island,remake,family dinner,paranormal
10066,House of Wax,american football,traffic jam,remake,murder,suspense
10067,The Shaggy Dog,father son relationship,parents kids relationship,workaholic,wife husband relationship,transformation
10068,Nine 1/2 Weeks,sexual obsession,prostitute,women's sexual identity,broker,gallery owner
10069,Stay Alive,video game,hacker,virtual reality,virtual fight,baroness
10070,Feast,monster,pub,duringcreditsstinger,,
10071,The Brothers Solomon,brother brother relationship,jealousy,pregnancy and birth,autoritian education,arctic
10072,A Nightmare on Elm Street 3: Dream Warriors,group therapy,nightmare,hypnosis,trapped,alcoholic
10073,Date Movie,date,diary,parents-in-law,bridegroom,wedding
10074,Hot Rod,stuntman,step father,swimming pool,aftercreditsstinger,
10075,Blood and Chocolate,chocolate,werewolf,woman director,interspecies romance,animal horror
10077,A Sound of Thunder,dying and death,time travel,romance,dinosaur,
10090,Reno 911!: Miami,sex,terrorist,beach,nudity,police
10092,Cry_Wolf,murder,serial killer,student,rumor,
10096,13 Going on 30,new york,photographer,editor-in-chief,wish,michael jackson
10105,Saints and Soldiers,winter,belgium,world war ii,nazis,bravery
10115,Stick It,gymnastics,trainer,puberty,training,sport
10117,Action Jackson,showdown,suspicion of murder,boxer,suspension,organized crime
10131,A Nightmare on Elm Street 4: The Dream Master,martial arts,nightmare,supernatural,high school,resurrection
10132,Talk Radio,anonymity,radio presenter,success,dangerous,radio transmission
10133,Cypher,double life,undercover,lie,wife,company
10135,Road House,new love,protection money,nightclub,rausschmeißer,revenge
10136,The Golden Child,monk,social worker,wretch,tibet,demon
10137,Stuart Little,brother brother relationship,based on novel,cat,mouse,adoption
10138,Iron Man 2,malibu,marvel comic,superhero,based on comic book,revenge
10139,Milk,gay,san francisco,homophobia,mayor,biography
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,based on novel,magic,good vs evil,king,narnia
10147,Bad Santa,holiday,elves,christmas party,department store,safe
10152,Dumb and Dumberer: When Harry Met Lloyd,skateboarding,adoption,friendship,fate,
10153,Sphere,ocean,extraterrestrial technology,space marine,paranoia,raumschiffabsturz
10154,Mickey Blue Eyes,new york,marriage proposal,fbi,mafia boss,mafia
10156,History of the World: Part I,moses,roman empire,musical,stone age,music
10159,The Rundown,hunter,bounty,bounty hunter,fight,amazon
10160,A Nightmare on Elm Street 5: The Dream Child,nun,baby,monster,asylum,nightmare
10162,Waking Ned,false identity,beguilement,lottery,village,jackpot
10163,The Lawnmower Man,dream,chimp,manipulation,botanist,virtual reality
10167,Half Past Dead,resistance,undercover,alcatraz,stolen money,
10179,The Ice Pirates,rebel,space war,water,sci-fi comedy,
10183,Frozen River,human trafficking,woman director,,,
10184,He's Just Not That Into You,relationship,ensemble cast,duringcreditsstinger,,
10185,The Midnight Meat Train,photographer,butcher,vegetarian,midnight,blood splatter
10186,The Rocker,1970s,drums,groupie,musical,rock
10187,Swing Vote,usa president,presidential election,fox news,,
10188,The Sisterhood of the Traveling Pants 2,female friendship,best friend,summer vacation,woman director,young adult
10189,Pineapple Express,smoking,marijuana,stoner,roach,lollipop
