id,title,cast_0,cast_1,cast_2
8942,Wendy and Lucy,Michelle Williams,Will Patton,Will Oldham
8944,What Just Happened,Bruce Willis,Robert De Niro,Sean Penn
8952,I Love You Phillip Morris,Jim Carrey,Ewan McGregor,Leslie Mann
8953,Steamboy,Anne Suzuki,Masane Tsukayama,Katsuo Nakamura
8960,Hancock,Will Smith,Charlize Theron,Jason Bateman
8961,Bad Boys II,Martin Lawrence,Will Smith,Jordi Mollà
8963,Crimson Tide,Denzel Washington,Gene Hackman,Matt Craven
8966,Twilight,Kristen Stewart,Robert Pattinson,Billy Burke
8967,The Tree of Life,Brad Pitt,Sean Penn,Jessica Chastain
8968,Boogeyman,Emily Deschanel,Barry Watson,Skye McCole Bartusiak
8970,The Out-of-Towners,Steve Martin,Goldie Hawn,John Cleese
8975,The Marine,John Cena,Kelly Carlson,Robert Patrick
8976,A Lot Like Love,Ashton Kutcher,Amanda Peet,Aimee Garcia
8978,Assault on Precinct 13,Ethan Hawke,Laurence Fishburne,Gabriel Byrne
8981,Dear Frankie,Gerard Butler,Emily Mortimer,Jack McElhone
8982,The Protector,Tony Jaa,Petchtai Wongkamlao,Bongkoj Khongmalai
8984,Disclosure,Michael Douglas,Demi Moore,Donald Sutherland
8987,The River Wild,Meryl Streep,David Strathairn,Kevin Bacon
8988,Stop-Loss,Ryan Phillippe,Abbie Cornish,Joseph Gordon-Levitt
8998,Friends with Money,Catherine Keener,Jason Isaacs,Timm Sharp
8999,Derailed,Clive Owen,Jennifer Aniston,Vincent Cassel
9003,Hellraiser,Andrew Robinson,Clare Higgins,Ashley Laurence
9007,Just Like Heaven,Reese Witherspoon,Mark Ruffalo,Donal Logue
9008,The Insider,Al Pacino,Russell Crowe,Christopher Plummer
9009,Dark Water,Jennifer Connelly,John C. Reilly,Tim Roth
9012,Jackass: The Movie,Johnny Knoxville,Bam Margera,Steve-O
9013,Midnight Run,Robert De Niro,Charles Grodin,Yaphet Kotto
9016,Treasure Planet,Joseph Gordon-Levitt,Brian Murray,David Hyde Pierce
9021,The Santa Clause 2,Tim Allen,Elizabeth Mitchell,David Krumholtz
9022,All the Boys Love Mandy Lane,Amber Heard,Anson Mount,Michael Welch
9023,Spirit: Stallion of the Cimarron,Matt Damon,James Cromwell,Daniel Studi
9026,The Importance of Being Earnest,Rupert Everett,Colin Firth,Reese Witherspoon
9027,The Guru,Jimi Mistry,Heather Graham,Marisa Tomei
9029,What Happens in Vegas,Ashton Kutcher,Cameron Diaz,Lake Bell
9030,The Eye,Jessica Alba,Alessandro Nivola,Parker Posey
9032,Big Daddy,Adam Sandler,Joey Lauren Adams,Kristy Swanson
9034,The Banger Sisters,Goldie Hawn,Susan Sarandon,Geoffrey Rush
9035,Slither,Nathan Fillion,Don Thompson,Elizabeth Banks
9036,Eight Below,Paul Walker,Bruce Greenwood,Moon Bloodgood
9042,The Cave,Cole Hauser,Eddie Cibrian,Morris Chestnut
9043,The Family Stone,Claire Danes,Diane Keaton,Rachel McAdams
9045,Amen.,Ulrich Tukur,Mathieu Kassovitz,Ulrich Mühe
9053,DOA: Dead or Alive,Jaime Pressly,Devon Aoki,Holly Valance
9059,Tales from the Crypt: Demon Knight,Billy Zane,William Sadler,Jada Pinkett Smith
9067,Tank Girl,Lori Petty,Ice-T,Naomi Watts
9072,Little Man,Marlon Wayans,Shawn Wayans,Kerry Washington
9074,The Man,Samuel L. Jackson,Eugene Levy,Luke Goss
9075,Black Book,Carice van Houten,Sebastian Koch,Thom Hoffman
9087,The American President,Michael Douglas,Annette Bening,Michael J. Fox
9089,Home for the Holidays,Holly Hunter,Robert Downey Jr.,Anne Bancroft
9092,Snow White: A Tale of Terror,Sigourney Weaver,Sam Neill,Monica Keena
9093,The Four Feathers,Heath Ledger,Wes Bentley,Kate Hudson
9095,Mary Reilly,Julia Roberts,John Malkovich,George Cole
9096,Medicine Man,Sean Connery,Lorraine Bracco,José Wilker
9099,Sgt. Bilko,Steve Martin,Dan Aykroyd,Phil Hartman
9100,The Craft,Robin Tunney,Fairuza Balk,Neve Campbell
9104,Buffalo Soldiers,Joaquin Phoenix,Ed Harris,Scott Glenn
9208,Broken Arrow,John Travolta,Christian Slater,Samantha Mathis
9257,S.W.A.T.,Samuel L. Jackson,Colin Farrell,Michelle Rodriguez
9260,Welcome to Collinwood,William H. Macy,Isaiah Washington,Sam Rockwell
9266,Blue Crush,Kate Bosworth,Matthew Davis,Michelle Rodriguez
9268,Eraser,Arnold Schwarzenegger,James Caan,Vanessa Williams
9271,Virtuosity,Denzel Washington,Russell Crowe,Kelly Lynch
9273,Ace Ventura: When Nature Calls,Jim Carrey,Ian McNeice,Simon Callow
9275,Death to Smoochy,Robin Williams,Catherine Keener,Edward Norton
9276,The Faculty,Jordana Brewster,Elijah Wood,Clea DuVall
9277,The Sting,Paul Newman,Robert Redford,Robert Shaw
9279,Jingle All the Way,Arnold Schwarzenegger,Phil Hartman,Sinbad
9280,Femme Fatale,Rebecca Romijn,Antonio Banderas,Peter Coyote
9281,Witness,Harrison Ford,Kelly McGillis,Josef Sommer
9282,11:14,Henry Thomas,Blake Heron,Barbara Hershey
9285,Road Trip,Breckin Meyer,Seann William Scott,Amy Smart
9286,Final Destination 3,Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche
9288,Dungeons & Dragons: Wrath of the Dragon God,Bruce Payne,Mark Dymond,Clemency Burton-Hill
9289,The Longest Day,Eddie Albert,Paul Anka,Arletty
9290,Crocodile Dundee in Los Angeles,Paul Hogan,Linda Kozlowski,Jere Burns
9291,The Longest Yard,Adam Sandler,Chris Rock,Burt Reynolds
9292,Hudson Hawk,Bruce Willis,Danny Aiello,Andie MacDowell
9294,Phenomenon,John Travolta,Kyra Sedgwick,Forest Whitaker
9297,Monster House,Ryan Newman,Steve Buscemi,Mitchel Musso
9302,Up Close & Personal,Robert Redford,Michelle Pfeiffer,Stockard Channing
9303,Bound,Jennifer Tilly,Gina Gershon,Joe Pantoliano
9304,Multiplicity,Michael Keaton,Andie MacDowell,Harris Yulin
9306,The Island of Dr. Moreau,Marlon Brando,Val Kilmer,David Thewlis
9310,American Dreamz,Hugh Grant,Dennis Quaid,Mandy Moore
9311,Smilla's Sense of Snow,Julia Ormond,Gabriel Byrne,Richard Harris
9312,Mortal Kombat,Christopher Lambert,Robin Shou,Linden Ashby
9313,The Man in the Iron Mask,Leonardo DiCaprio,Jeremy Irons,Gérard Depardieu
9315,Flightplan,Jodie Foster,Peter Sarsgaard,Sean Bean
9327,The Nutty Professor,Eddie Murphy,Jada Pinkett Smith,James Coburn
9331,Clear and Present Danger,Harrison Ford,Willem Dafoe,Anne Archer
9334,The Scorpion King,Dwayne Johnson,Kelly Hu,Michael Clarke Duncan
9335,Transporter 2,Jason Statham,Amber Valletta,Kate Nauta
9336,Police Academy,Steve Guttenberg,Kim Cattrall,G. W. Bailey
9339,Click,Adam Sandler,Kate Beckinsale,Christopher Walken
9341,The Core,Aaron Eckhart,Hilary Swank,Delroy Lindo
9342,The Mask of Zorro,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones
9344,Kids,Leo Fitzpatrick,Rosario Dawson,Chloë Sevigny
9348,Species,Natasha Henstridge,Ben Kingsley,Michael Madsen
9350,Cliffhanger,Sylvester Stallone,John Lithgow,Michael Rooker
9352,EuroTrip,Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg
9353,Nacho Libre,Jack Black,Ana de la Reguera,Héctor Jiménez
9355,Mad Max Beyond Thunderdome,Mel Gibson,Tina Turner,Bruce Spence
9357,One Hour Photo,Robin Williams,Connie Nielsen,Michael Vartan
9358,Final Destination 2,Ali Larter,A.J. Cook,Michael Landes
9360,Anaconda,Jennifer Lopez,Ice Cube,Jon Voight
9361,The Last of the Mohicans,Daniel Day-Lewis,Madeleine Stowe,Russell Means
9362,Tremors,Kevin Bacon,Fred Ward,Finn Carter
9366,Donnie Brasco,Johnny Depp,Al Pacino,Michael Madsen
9367,El Mariachi,Carlos Gallardo,Jaime de Hoyos,Peter Marquardt
9372,Super Size Me,Morgan Spurlock,Daryl Isaacs,Lisa Ganjhu
9374,Death Becomes Her,Meryl Streep,Bruce Willis,Goldie Hawn
9378,Thir13en Ghosts,Tony Shalhoub,Embeth Davidtz,Matthew Lillard
9381,Babylon A.D.,Vin Diesel,Michelle Yeoh,Mélanie Thierry
9383,Hollow Man,Kevin Bacon,Elisabeth Shue,Josh Brolin
9384,Starsky & Hutch,Ben Stiller,Owen Wilson,Snoop Dogg
9387,Conan the Barbarian,Arnold Schwarzenegger,James Earl Jones,Max von Sydow
9388,Thank You for Smoking,Aaron Eckhart,Maria Bello,Cameron Bright
9389,Renaissance,Daniel Craig,Catherine McCormack,Romola Garai
9390,Jerry Maguire,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger
9392,The Descent,Shauna Macdonald,Natalie Mendoza,Alex Reid
9396,Crocodile Dundee II,Paul Hogan,Linda Kozlowski,John Meillon
9398,Zoolander,Ben Stiller,Owen Wilson,Christine Taylor
9400,Set It Off,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox
9408,Surf's Up,Shia LaBeouf,Jeff Bridges,Zooey Deschanel
9414,The Man Who Knew Too Little,Bill Murray,Peter Gallagher,Joanne Whalley
9416,Money Talks,Chris Tucker,Charlie Sheen,Heather Locklear
9422,A Civil Action,John Travolta,Robert Duvall,Tony Shalhoub
9424,Disturbing Behavior,James Marsden,Katie Holmes,Nick Stahl
9425,Soldier,Kurt Russell,Jason Scott Lee,Jason Isaacs
9427,The Full Monty,Robert Carlyle,Mark Addy,William Snape
9428,The Royal Tenenbaums,Gene Hackman,Anjelica Huston,Ben Stiller
9429,A Night at the Roxbury,Will Ferrell,Chris Kattan,Jennifer Coolidge
9430,Go,Sarah Polley,Katie Holmes,Jay Mohr
9433,The Edge,Alec Baldwin,Anthony Hopkins,Elle Macpherson
9434,Grosse Pointe Blank,John Cusack,Minnie Driver,Dan Aykroyd
9437,Kiss the Girls,Morgan Freeman,Ashley Judd,Cary Elwes
9440,Primary Colors,John Travolta,Emma Thompson,Billy Bob Thornton
9441,Stepmom,Julia Roberts,Susan Sarandon,Ed Harris
9443,Chariots of Fire,Ben Cross,Ian Charleson,Cheryl Campbell
9444,Anastasia,Meg Ryan,John Cusack,Christopher Lloyd
9447,Babe: Pig in the City,James Cromwell,Mary Stein,Mickey Rooney
9448,The Big Hit,Mark Wahlberg,Lou Diamond Phillips,Christina Applegate
9449,The Borrowers,John Goodman,Jim Broadbent,Celia Imrie
9451,Election,Matthew Broderick,Reese Witherspoon,Chris Klein
9452,Bulworth,Warren Beatty,Halle Berry,Sean Astin
9454,Ever After: A Cinderella Story,Drew Barrymore,Dougray Scott,Anjelica Huston
9455,The Corruptor,Mark Wahlberg,Chow Yun-fat,Byron Mann
9457,Deep Rising,Treat Williams,Famke Janssen,Anthony Heald
9459,Woodstock,Joe Cocker,Richie Havens,Joan Baez
9464,Buffalo '66,Vincent Gallo,Christina Ricci,Ben Gazzara
9466,Celebrity,Kenneth Branagh,Judy Davis,Joe Mantegna
9469,He Got Game,Denzel Washington,Ray Allen,Milla Jovovich
9470,Kung Fu Hustle,Stephen Chow,Yuen Wah,Yuen Qiu
9471,Charlie's Angels: Full Throttle,Cameron Diaz,Drew Barrymore,Lucy Liu
9472,DodgeBall: A True Underdog Story,Vince Vaughn,Christine Taylor,Ben Stiller
9473,"South Park: Bigger, Longer & Uncut",Trey Parker,Matt Stone,Mary Kay Bergman
9476,A Knight's Tale,Heath Ledger,Rufus Sewell,Shannyn Sossamon
9481,The Bone Collector,Denzel Washington,Angelina Jolie,Queen Latifah
9486,Johnny English,Rowan Atkinson,John Malkovich,Natalie Imbruglia
9487,A Bug's Life,Kevin Spacey,Julia Louis-Dreyfus,Hayden Panettiere
9488,Spy Kids 2: The Island of Lost Dreams,Antonio Banderas,Carla Gugino,Alexa PenaVega
9489,You've Got Mail,Tom Hanks,Meg Ryan,Katie Sagona
9490,Half Baked,Dave Chappelle,Tommy Chong,Harland Williams
9493,Twins,Arnold Schwarzenegger,Danny DeVito,Kelly Preston
9495,The Crow,Brandon Lee,Rochelle Davis,Ernie Hudson
9502,Kung Fu Panda,Jack Black,Dustin Hoffman,Angelina Jolie
9504,Glengarry Glen Ross,Al Pacino,Jack Lemmon,Alec Baldwin
9509,Man on Fire,Denzel Washington,Dakota Fanning,Marc Anthony
9513,Garfield: A Tail of Two Kitties,Bill Murray,Jennifer Love Hewitt,Billy Connolly
9515,The Matador,Pierce Brosnan,Greg Kinnear,Hope Davis
9516,Menace II Society,Tyrin Turner,Larenz Tate,Glenn Plummer
9517,Bully,Brad Renfro,Bijou Phillips,Nick Stahl
9526,A Prairie Home Companion,Meryl Streep,Lindsay Lohan,Virginia Madsen
9531,Superman III,Christopher Reeve,Richard Pryor,Jackie Cooper
9532,Final Destination,Devon Sawa,Ali Larter,Kerr Smith
9533,Red Dragon,Anthony Hopkins,Edward Norton,Ralph Fiennes
9535,Analyze This,Robert De Niro,Billy Crystal,Lisa Kudrow
9541,Jersey Girl,Ben Affleck,Raquel Castro,Liv Tyler
9543,Prince of Persia: The Sands of Time,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley
9544,FearDotCom,Stephen Dorff,Natascha McElhone,Stephen Rea
9548,The Adventures of Ford Fairlane,Andrew Dice Clay,Wayne Newton,Priscilla Presley
9549,The Right Stuff,Fred Ward,Dennis Quaid,Ed Harris
9550,House of Flying Daggers,Takeshi Kaneshiro,Andy Lau,Zhang Ziyi
9552,The Exorcist,Linda Blair,Max von Sydow,Ellen Burstyn
9555,Rabbit-Proof Fence,Everlyn Sampi,Tianna Sansbury,Laura Monaghan
9557,Boat Trip,Cuba Gooding Jr.,Horatio Sanz,Roselyn Sánchez
9562,Timeline,Paul Walker,Frances O'Connor,Gerard Butler
9563,Any Given Sunday,Al Pacino,Cameron Diaz,Dennis Quaid
9566,The Fan,Robert De Niro,Wesley Snipes,Ellen Barkin
9567,Tears of the Sun,Bruce Willis,Monica Bellucci,Cole Hauser
9570,The Black Hole,Maximilian Schell,Anthony Perkins,Robert Forster
9571,Dazed and Confused,Jason London,Rory Cochrane,Wiley Wiggins
9573,Blood Work,Clint Eastwood,Jeff Daniels,Anjelica Huston
9574,Flubber,Robin Williams,Marcia Gay Harden,Christopher McDonald
9576,Tootsie,Dustin Hoffman,Jessica Lange,Teri Garr
9582,A Guy Thing,Jason Lee,Julia Stiles,Selma Blair
9583,Divine Secrets of the Ya-Ya Sisterhood,Sandra Bullock,Ellen Burstyn,Fionnula Flanagan
9587,Little Women,Winona Ryder,Gabriel Byrne,Trini Alvarado
9588,Quigley Down Under,Tom Selleck,Laura San Giacomo,Alan Rickman
9591,That Thing You Do!,Tom Everett Scott,Johnathon Schaech,Tom Hanks
9593,Last Action Hero,Arnold Schwarzenegger,F. Murray Abraham,Art Carney
9594,Double Impact,Jean-Claude Van Damme,Geoffrey Lewis,Alonna Shaw
9598,Babe,Christine Cavanaugh,Miriam Margolyes,Danny Mann
9600,Big Momma's House,Martin Lawrence,Nia Long,Paul Giamatti
9603,Clueless,Alicia Silverstone,Stacey Dash,Brittany Murphy
9607,Super Mario Bros.,Bob Hoskins,John Leguizamo,Dennis Hopper
9610,Conan the Destroyer,Arnold Schwarzenegger,Grace Jones,Wilt Chamberlain
9613,Spider,Ralph Fiennes,Miranda Richardson,Gabriel Byrne
9614,Happy Gilmore,Adam Sandler,Ben Stiller,Christopher McDonald
9615,The Fast and the Furious: Tokyo Drift,Lucas Black,Nathalie Kelley,Sung Kang
9616,The Order,Heath Ledger,Shannyn Sossamon,Benno Fürmann
9618,Tango & Cash,Sylvester Stallone,Kurt Russell,Teri Hatcher
9619,Dante's Peak,Pierce Brosnan,Linda Hamilton,Jamie Renée Smith
9620,Paycheck,Ben Affleck,Aaron Eckhart,Uma Thurman
9621,Elizabethtown,Orlando Bloom,Kirsten Dunst,Susan Sarandon
9623,The Juror,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt
9624,On Deadly Ground,Steven Seagal,Michael Caine,Joan Chen
9625,The Glimmer Man,Steven Seagal,Keenen Ivory Wayans,Bob Gunton
9626,Red Sonja,Arnold Schwarzenegger,Brigitte Nielsen,Sandahl Bergman
9631,The Negotiator,Samuel L. Jackson,Kevin Spacey,David Morse
9637,Scooby-Doo,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard
9641,Cheaper by the Dozen 2,Steve Martin,Eugene Levy,Bonnie Hunt
9644,National Lampoon's Loaded Weapon 1,Emilio Estevez,Samuel L. Jackson,Jon Lovitz
9645,Ghost Ship,Gabriel Byrne,Julianna Margulies,Desmond Harrington
9647,Scrooged,Bill Murray,Karen Allen,John Forsythe
9654,The Italian Job,Mark Wahlberg,Charlize Theron,Edward Norton
9655,She's the Man,Amanda Bynes,Channing Tatum,Laura Ramsey
9656,Black Christmas,Katie Cassidy,Michelle Trachtenberg,Kristen Cloke
9659,Mad Max,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne
9662,The Triplets of Belleville,Béatrice Bonifassi,Lina Boudreau,Michèle Caucheteux
9664,Flyboys,James Franco,David Ellison,Jean Reno
9665,Glory,Matthew Broderick,Denzel Washington,Cary Elwes
9667,The Jacket,Adrien Brody,Keira Knightley,Kris Kristofferson
9671,Crocodile Dundee,Paul Hogan,Linda Kozlowski,Mark Blum
9672,Infamous,Sigourney Weaver,Toby Jones,Gwyneth Paltrow
9675,Sideways,Paul Giamatti,Thomas Haden Church,Virginia Madsen
9676,The Black Dahlia,Josh Hartnett,Scarlett Johansson,Aaron Eckhart
9678,Little Nicky,Adam Sandler,Patricia Arquette,Harvey Keitel
9679,Gone in Sixty Seconds,Nicolas Cage,Angelina Jolie,Giovanni Ribisi
9682,Pulse,Kristen Bell,Ian Somerhalder,Christina Milian
9683,Bubble Boy,Jake Gyllenhaal,Swoosie Kurtz,Marley Shelton
9685,Igby Goes Down,Kieran Culkin,Claire Danes,Jeff Goldblum
9686,New York Stories,Woody Allen,Marvin Chatinover,Mae Questel
9689,Hollywood Ending,Woody Allen,George Hamilton,Téa Leoni
9691,Assassins,Sylvester Stallone,Antonio Banderas,Julianne Moore
9693,Children of Men,Clive Owen,Michael Caine,Julianne Moore
9697,Lady in the Water,Paul Giamatti,Jeffrey Wright,Bob Balaban
9700,The Lost City,Andy García,Richard Bradford,Nestor Carbonell
9701,North Country,Charlize Theron,Elle Peterson,Thomas Curtis
9702,Bound by Honor,Damian Chapa,Jesse Borrego,Benjamin Bratt
9703,The Last Legion,Colin Firth,Ben Kingsley,Aishwarya Rai Bachchan
9705,Swordfish,John Travolta,Hugh Jackman,Halle Berry
9707,Bubba Ho-tep,Bruce Campbell,Ossie Davis,Ella Joyce
9709,My Summer of Love,Natalie Press,Emily Blunt,Paddy Considine
9713,Holy Man,Eddie Murphy,Jeff Goldblum,Kelly Preston
9715,Hope Floats,Sandra Bullock,Harry Connick Jr.,Gena Rowlands
9716,Everyone Says I Love You,Drew Barrymore,Diva Gray,Natasha Lyonne
9718,Talladega Nights: The Ballad of Ricky Bobby,Will Ferrell,John C. Reilly,Sacha Baron Cohen
9725,Friday the 13th Part 2,Amy Steel,John Furey,Adrienne King
9726,A Good Year,Russell Crowe,Marion Cotillard,Albert Finney
9728,Friday the 13th Part III,Dana Kimmell,Paul Kratka,Tracie Savage
9729,Where the Truth Lies,Kevin Bacon,Colin Firth,Alison Lohman
9730,Friday the 13th: The Final Chapter,Kimberly Beck,Erich Anderson,Corey Feldman
9731,Friday the 13th: A New Beginning,Melanie Kinnaman,John Shepherd,Shavar Ross
9737,Bad Boys,Will Smith,Martin Lawrence,Téa Leoni
9741,Unbreakable,Bruce Willis,Samuel L. Jackson,Robin Wright
9746,Kundun,Tenzin Thuthob Tsarong,Tencho Gyalpo,Tsewang Migyur Khangsar
9754,Firewall,Harrison Ford,Paul Bettany,Virginia Madsen
9759,Cellular,Chris Evans,Kim Basinger,Jason Statham
9760,Epic Movie,Kal Penn,Adam Campbell,Jennifer Coolidge
9762,Step Up,Channing Tatum,Jenna Dewan,Damaine Radcliff
9763,Goal!: The Dream Begins,Kuno Becker,Alessandro Nivola,Anna Friel
9766,Gridiron Gang,Dwayne Johnson,Xzibit,L. Scott Caldwell
9767,The Break-Up,Vince Vaughn,Jennifer Aniston,Joey Lauren Adams
9770,Mad City,John Travolta,Dustin Hoffman,Mia Kirshner
9772,Air Force One,Harrison Ford,Gary Oldman,Glenn Close
9776,Head of State,Chris Rock,Bernie Mac,Dylan Baker
9778,Serendipity,John Cusack,Kate Beckinsale,Jeremy Piven
9779,The Sisterhood of the Traveling Pants,Amber Tamblyn,Alexis Bledel,America Ferrera
9781,Detroit Rock City,Giuseppe Andrews,James DeBello,Edward Furlong
9782,The Night Listener,Toni Collette,Robin Williams,Joe Morton
9783,Sublime,Tom Cavanagh,Jeffrey Anderson-Gunter,Cas Anvar
9787,Lords of Dogtown,Emile Hirsch,Victor Rasuk,Rebecca De Mornay
9792,The Hills Have Eyes,Aaron Stanford,Kathleen Quinlan,Vinessa Shaw
9793,The Hills Have Eyes 2,Michael Bailey Smith,Archie Kao,Jay Acovone
9794,Employee of the Month,Dane Cook,Jessica Simpson,Dax Shepard
9798,Enemy of the State,Will Smith,Gene Hackman,Jon Voight
9799,The Fast and the Furious,Paul Walker,Vin Diesel,Michelle Rodriguez
9800,Philadelphia,Tom Hanks,Denzel Washington,Jason Robards
9801,Bridget Jones: The Edge of Reason,Renée Zellweger,Hugh Grant,Colin Firth
9802,The Rock,Sean Connery,Nicolas Cage,Ed Harris
9804,Waterworld,Kevin Costner,Chaim Girafi,Rick Aviles
9806,The Incredibles,Craig T. Nelson,Holly Hunter,Samuel L. Jackson
9809,Let's Go to Prison,Dax Shepard,Will Arnett,Chi McBride
9813,The Quiet,Elisha Cuthbert,Camilla Belle,Edie Falco
9816,Save the Last Dance,Julia Stiles,Sean Patrick Thomas,Kerry Washington
9819,Marvin's Room,Diane Keaton,Meryl Streep,Leonardo DiCaprio
9821,The Mighty,Sharon Stone,Elden Henson,Kieran Culkin
9822,Mighty Joe Young,Charlize Theron,Rade Serbedzija,Bill Paxton
9823,Mortal Kombat: Annihilation,Robin Shou,Talisa Soto,James Remar
9824,Mystery Men,Ben Stiller,Geoffrey Rush,Claire Forlani
9825,Lake Placid,Bill Pullman,Bridget Fonda,Oliver Platt
9826,The Phantom,Billy Zane,Kristy Swanson,Treat Williams
9829,United 93,J.J. Johnson,Polly Adams,Trish Gates
9833,The Phantom of the Opera,Gerard Butler,Emmy Rossum,Patrick Wilson
9836,Happy Feet,Elijah Wood,Robin Williams,Brittany Murphy
9837,The Prince of Egypt,Val Kilmer,Ralph Fiennes,Patrick Stewart
9839,Beyond Borders,Angelina Jolie,Clive Owen,Teri Polo
9842,School for Scoundrels,Billy Bob Thornton,Jon Heder,Jacinda Barrett
9849,My Favorite Martian,Jeff Daniels,Elizabeth Hurley,Daryl Hannah
9869,Patriot Games,Harrison Ford,Anne Archer,Patrick Bergin
9870,Forgetting Sarah Marshall,Jason Segel,Kristen Bell,Mila Kunis
9877,Urban Legend,Alicia Witt,Jared Leto,Rebecca Gayheart
9879,Striptease,Demi Moore,Burt Reynolds,Armand Assante
9880,The Princess Diaries,Anne Hathaway,Julie Andrews,Heather Matarazzo
9882,The Siege,Denzel Washington,Annette Bening,Bruce Willis
9884,Collateral Damage,Arnold Schwarzenegger,Francesca Neri,Elias Koteas
9889,Shallow Hal,Gwyneth Paltrow,Jack Black,Jason Alexander
9890,The Stepford Wives,Nicole Kidman,Matthew Broderick,Bette Midler
9893,Sleepover,Alexa PenaVega,Mika Boorem,Jane Lynch
9894,The Cable Guy,Jim Carrey,Matthew Broderick,Leslie Mann
9895,Man of the Year,Robin Williams,Christopher Walken,Laura Linney
9896,Rat Race,Cuba Gooding Jr.,Seth Green,Whoopi Goldberg
9899,The Producers,Matthew Broderick,Uma Thurman,Will Ferrell
9900,Grandma's Boy,Linda Cardellini,Allen Covert,Peter Dante
9902,Wrong Turn,Desmond Harrington,Eliza Dushku,Emmanuelle Chriqui
9903,The Hoax,Richard Gere,Alfred Molina,Marcia Gay Harden
9906,The Ant Bully,Julia Roberts,Meryl Streep,Nicolas Cage
9907,Barnyard,Courteney Cox,Kevin James,Sam Elliott
9912,The World's Fastest Indian,Anthony Hopkins,Iain Rea,Tessa Mitchell
9913,The Skeleton Key,Kate Hudson,Gena Rowlands,Peter Sarsgaard
9916,The Last Sin Eater,Louise Fletcher,Henry Thomas,Soren Fulton
9918,Glory Road,Josh Lucas,Derek Luke,Jon Voight
9919,How to Lose a Guy in 10 Days,Kate Hudson,Matthew McConaughey,Kathryn Hahn
9920,Ultraviolet,Milla Jovovich,Cameron Bright,Nick Chinlund
9922,The Postman,Kevin Costner,Will Patton,Olivia Williams
9923,Domino,Keira Knightley,Mickey Rourke,Edgar Ramírez
9928,Robots,Robin Williams,Ewan McGregor,Halle Berry
9930,Legal Eagles,Robert Redford,Debra Winger,Daryl Hannah
9932,Analyze That,Robert De Niro,Billy Crystal,Lisa Kudrow
9942,Major League,Tom Berenger,Charlie Sheen,Corbin Bernsen
9944,The Pelican Brief,Julia Roberts,Denzel Washington,Sam Shepard
9945,Vampires,James Woods,Daniel Baldwin,Sheryl Lee
9946,End of Days,Arnold Schwarzenegger,Gabriel Byrne,Kevin Pollak
9947,Elektra,Jennifer Garner,Goran Visnjic,Will Yun Lee
9950,Find Me Guilty,Vin Diesel,Alex Rocco,Frank Pietrangolare
9952,Rescue Dawn,Christian Bale,Steve Zahn,Marshall Bell
9954,The Covenant,Steven Strait,Laura Ramsey,Jessica Lucas
9955,Blades of Glory,Will Ferrell,Jon Heder,Will Arnett
9957,The Benchwarmers,Jon Heder,Rob Schneider,David Spade
9962,The Good Girl,Jennifer Aniston,Jake Gyllenhaal,Zooey Deschanel
9963,Premonition,Sandra Bullock,Julian McMahon,Courtney Taylor Burness
9969,Deck the Halls,Danny DeVito,Matthew Broderick,Kristin Davis
9975,Curious George,Will Ferrell,Drew Barrymore,David Cross
9978,Stormbreaker,Alex Pettyfer,Sarah Bolger,Ewan McGregor
9981,Kicking & Screaming,Will Ferrell,Robert Duvall,Kate Walsh
9982,Chicken Little,Zach Braff,Joan Cusack,Dan Molina
9986,Charlotte's Web,Julia Roberts,Steve Buscemi,John Cleese
9988,Beerfest,Erik Stolhanske,Jay Chandrasekhar,Steve Lemme
9989,Antitrust,Ryan Phillippe,Rachael Leigh Cook,Tim Robbins
9991,Mean Machine,Vinnie Jones,David Kelly,David Hemmings
9992,Arthur and the Invisibles,Freddie Highmore,Mia Farrow,Ron Crawford
10003,The Saint,Val Kilmer,Elisabeth Shue,Rade Serbedzija
10008,An American Haunting,Donald Sutherland,Sissy Spacek,James D'Arcy
10012,Cursed,Portia de Rossi,Christina Ricci,Jesse Eisenberg
10013,Peggy Sue Got Married,Kathleen Turner,Nicolas Cage,Barry Miller
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,Robert Englund,Mark Patton,Kim Myers
10016,Ghosts of Mars,Natasha Henstridge,Ice Cube,Jason Statham
10017,The Wraith,Charlie Sheen,Nick Cassavetes,Sherilyn Fenn
10022,The Pacifier,Vin Diesel,Lauren Graham,Faith Ford
10024,My Sister's Keeper,Cameron Diaz,Alec Baldwin,Abigail Breslin
10025,Just My Luck,Lindsay Lohan,Samaire Armstrong,Chris Pine
10027,Unleashed,Jet Li,Morgan Freeman,Bob Hoskins
10028,Honey,Jessica Alba,Mekhi Phifer,Joy Bryant
10029,Very Bad Things,Jon Favreau,Leland Orser,Cameron Diaz
10030,Good Luck Chuck,Dane Cook,Jessica Alba,Dan Fogler
