"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,,
