Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,,,,
Ohio Dominican University,,,,,
"Devry University, St. Louis Park Center",,,,,
Massachusetts Institute of Technology,,,,,
Seton Hall University,,,,,
Midland Lutheran College,,,,,
Columbia University,,,,,
Northeastern University,,,,,
New School (The),,,,,
"Devry University, Memphis Campus",,,,,
"University of Phoenix, Killeen Learning Center, Killeen",,,,,
"University of Phoenix, Lancaster Learning Center, Lancaster",,,,,
Johns Hopkins University,,,,,
University of New Haven,,,,,
University of South Carolina,,,,,
"University of Phoenix, Salem Learning Center, Salem",,,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,,
Massachusetts Institute of Technology,,,,,
Columbia University,,,,,
"Devry University, Chicago Loop Center",,,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,,
University of Houston,,,,,
Hofstra University,,,,,
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,,,,
University of Arizona,,,,,
Framingham State University,,,,,
Fuller Theological Seminary,,,,,
Widener University,,,,,
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,,
"University of Phoenix, Savannah Campus, Savannah",,,,,
"University of Colorado, Boulder",,,,,
Kent State University,,,,,
University of South Carolina,,,,,
"Devry University, Fremont Campus",,,,,
San Diego State University,,,,,
"Northwood University, Texas",,,,,
"University of Phoenix, Nashville Campus, Nashville",,,,,
"University of Phoenix, Sarasota Learning Center, Sarasota",,,,,
"University of Phoenix, Westshore Learning Center, Tampa",,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Nashville Campus",,,,,
University of North Texas Health Science Center,,,,,
Regent University,,,,,
"Devry University, Kansas City Downtown",,,,,
Vanderbilt University,,,,,
Florida International University,,,,,
Nova Southeastern University,,,,,
Syracuse University,,,,,
Mississippi State University,,,,,
"Devry University, Columbus Campus",,,,,
"Devry University, Austin Campus",,,,,
Ohio State University,,,,,
Clark University,,,,,
"Texas A&M University, Commerce",,,,,
University of Pennsylvania,,,,,
"University of Michigan, Dearborn",,,,,
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,,,,
"University of Phoenix, Macomb Learning Center, Clinton Township",,,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,,
"Colorado State University, Pueblo",,,,,
Maryland Institute College of Art,,,,,
"Richmond, The American International University in London",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Colorado, Boulder",,,,,
University of North Texas,,,,,
Georgia State University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,,
University of Houston,,,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, West Michigan Campus, Walker",,,,,
"University of Phoenix, Philadelphia Campus, Wayne",,,,,
"University of Phoenix, Livermore Learning Center, Livermore",,,,,
Vanderbilt University,,,,,
Monterey Institute of International Studies,,,,,
"Northwood University, Florida",,,,,
"University of Phoenix, South Jordan Learning Center, South Jordan",,,,,
"University of Phoenix, Northwest Learning Center, Las Vegas",,,,,
"University of Phoenix, Augusta Campus, Augusta",,,,,
Howard University,,,,,
"Devry University, Columbus North Center",,,,,
Claremont Graduate University,,,,,
"Devry University, Tampa East Center",,,,,
University of Pennsylvania,,,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,,
New York University,,,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,,
"Richmond, The American International University in London",,,,,
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,,
Wesleyan University,,,,,
"Devry University, Southfield Campus",,,,,
Rice University,,,,,
"University of Alabama, Tuscaloosa",,,,,
University of New Haven,,,,,
Kent State University,,,,,
Vanderbilt University,,,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,,
St. Mary's University,,,,,
Boise State University,,,,,
Pace University,,,,,
Massachusetts Institute of Technology,,,,,
Spring Hill College,,,,,
University of Delaware,,,,,
Loma Linda University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Southern California Campus, Costa Mesa",,,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,,
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,,,,
University of Delaware,,,,,
University of Scranton,,,,,
University of Oklahoma,,,,,
Santa Clara University,,,,,
Texas Christian University,,,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Town Center Learning Center, Southfield",,,,,
University of Portland,,,,,
Alverno College,,,,,
York College of Pennsylvania,,,,,
Boston University,,,,,
"University of Phoenix, Southglen Learning Center, Centennial",,,,,
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,,
"Devry University, Rego Park (Queens) Center",,,,,
"Mercer University, Main Campus",,,,,
University of San Francisco,,,,,
University of Scranton,,,,,
"Indiana University, Bloomington",,,,,
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,,
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,,
Assumption College,,,,,
"Devry University, Richardson Center",,,,,
Loma Linda University,,,,,
"University of Colorado, Boulder",,,,,
University of Pittsburgh,,,,,
Northern Arizona University,,,,,
"Devry University, Bakersfield Center",,,,,
"University of Phoenix, Mililani Learning Center, Mililani",,,,,
Goshen College,,,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,,
University of Central Arkansas,,,,,
Dartmouth College,,,,,
University of Connecticut,,,,,
Georgia State University,,,,,
"University of Phoenix, Cascades Learning Center, Portland",,,,,
"Devry University, San Diego Campus",,,,,
Monterey Institute of International Studies,,,,,
Johns Hopkins University,,,,,
"Auburn University, Auburn",,,,,
"University of Phoenix, Jackson Campus, Flowood",,,,,
"California State University, Fullerton",,,,,
Massachusetts Institute of Technology,,,,,
Delaware State University,,,,,
"Devry University, Merrillville Center",,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
Trine University,,,,,
Lake Erie College,,,,,
Seattle University,,,,,
Cornell University,,,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,,
American University,,,,,
University of Portland,,,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,,
University of Pennsylvania,,,,,
University of Portland,,,,,
"California Baptist University, Chino",,,,,
"University of Colorado, Boulder",,,,,
George Washington University,,,,,
"University of Phoenix, Austin Campus, Austin",,,,,
Carson-Newman College,,,,,
"Devry University, Seven Hills Campus",,,,,
"Devry University, Midtown Manhattan Campus",,,,,
"University of Phoenix, Macon Learning Center, Macon",,,,,
"City University of Seattle, Vysoka Skola Financni a Spravni",,,,,
"University of Phoenix, Miramar Learning Center, Miramar",,,,,
"University of North Carolina, Chapel Hill",,,,,
University of Oregon,,,,,
Columbia University,,,,,
"Anderson University, Indiana",,,,,
Virginia Polytechnic Institute and State University,,,,,
Loma Linda University,,,,,
University of Rhode Island,,,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,,
"Carnegie Mellon University, Portugal",,,,,
Northeastern University,,,,,
Maryland Institute College of Art,,,,,
"Devry University, Sugar Land (Houston) Center",,,,,
"University of St. Thomas, Minneapolis",,,,,
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,,,,
Northeastern University,,,,,
Seton Hall University,,,,,
Monterey Institute of International Studies,,,,,
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,,
"Auburn University, Auburn",,,,,
"Devry University, Louisville Campus",,,,,
Duke University,,,,,
"University of Phoenix, Knoxville Campus, Knoxville",,,,,
University of Oregon,,,,,
Massachusetts Institute of Technology,,,,,
Winthrop University,,,,,
New School (The),,,,,
Niagara University,,,,,
George Washington University,,,,,
Capital University,,,,,
"University of Phoenix, Lafayette, LA Campus, LaFayette",,,,,
Fuller Theological Seminary,,,,,
Lamar University,,,,,
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Marietta Learning Center, Marietta",,,,,
Emory University,,,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,,
University of New Haven,,,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,,
"University of Colorado, Boulder",,,,,
Milligan College,,,,,
"University of Phoenix, Livonia Learning Center, Livonia",,,,,
"Devry University, Orlando Campus",,,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,,
"University of Phoenix, Little Rock Campus, Little Rock",,,,,
University of Puget Sound,,,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,,
"University of Phoenix, Visalia Learning Center, Visalia",,,,,
"University of Phoenix, South Florida Campus, Plantation",,,,,
Northeastern University,,,,,
Capella University (online),,,,,
"Devry University, Waukesha Center",,,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,,
Union Graduate College,,,,,
Loma Linda University,,,,,
"Devry University, Sherman Oaks Campus",,,,,
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,,
Saint Vincent College,,,,,
"Texas A&M University, Commerce",,,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,,
University of San Francisco,,,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,,
Fairleigh Dickinson University,,,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Southwest Learning Center, Las Vegas",,,,,
Florida Atlantic University,,,,,
Carnegie Mellon University,,,,,
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,,
"University of Phoenix, Rockville Learning Center, Rockville",,,,,
"University of Phoenix, Northern Virginia Campus, Reston",,,,,
Massachusetts Institute of Technology,,,,,
Fairfield University,,,,,
University of Denver,,,,,
"University of Phoenix, Timonium Learning Center, Timonium",,,,,
"University of Nevada, Reno",,,,,
Boston University,,,,,
University of Denver,,,,,
"University of Michigan, Ann Arbor",,,,,
Loyola University Chicago,,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
"Devry University, Houston Campus",,,,,
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,,
"University of Phoenix, Lathrop Learning Center, Lathrop",,,,,
University of Notre Dame,,,,,
"City University of Seattle, University of International Business and Economics",,,,,
Marywood University,,,,,
Carnegie Mellon University,,,,,
Andrews University,,,,,
"Baruch College, City University of New York (CUNY)",,,,,
"Devry University, Orlando North Center",,,,,
"City University of Seattle, Calgary",,,,,
"City University of Seattle, Victoria",,,,,
"Devry University, Oxnard Center",,,,,
Alverno College,,,,,
"Pennsylvania State University, Harrisburg",,,,,
"University of Michigan, Ann Arbor",,,,,
University of New Haven,,,,,
College of William and Mary (The),,,,,
"University of Phoenix, North Davis Learning Center, Clearfield",,,,,
Dominican University,,,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Manassas Learning Center, Manassas",,,,,
New York Medical College,,,,,
"University of Washington, Bothell",,,,,
"University of Phoenix, Windsor Park Learning Center, Windcrest",,,,,
Alfred University,,,,,
"Devry University, Greenwood Village (Denver South) Center",,,,,
"University of Phoenix, Palm Beach Gardens Learning Center",,,,,
Widener University,,,,,
University of Portland,,,,,
"Texas A&M University, Commerce",,,,,
"University of Colorado, Denver",,,,,
"University of Texas, Tyler",,,,,
