city,cuisine_style,ranking,rating,reviews_number
Barcelona, International,7256.0,3.0,90.0
Copenhagen, Pizza,816.0,3.5,118.0
Oporto, American,285.0,4.5,72.0
Milan, Seafood,539.0,4.0,359.0
Milan, Mediterranean,12.0,4.5,630.0
Vienna,Mediterranean,3095.0,3.0,28.0
Vienna, European,2212.0,4.0,24.0
Vienna, European,154.0,4.5,89.0
London, Mediterranean,4443.0,4.0,180.0
Hamburg,Mexican,1655.0,4.0,6.0
Edinburgh, Asian,487.0,4.5,195.0
Warsaw, European,852.0,4.0,25.0
Rome, European,3968.0,3.5,596.0
Paris,Middle Eastern,7623.0,5.0,11.0
Madrid,Indian,2434.0,4.5,24.0
Lisbon, European,172.0,4.0,673.0
Oporto,unknown,936.0,5.0,NaN
London,unknown,7551.0,5.0,5.0
Vienna,unknown,3427.0,1.0,NaN
Lisbon, European,2313.0,4.5,2.0
Lisbon,Mediterranean,1162.0,4.0,36.0
Amsterdam, Dutch,987.0,4.5,24.0
Milan, Vegetarian Friendly,5805.0,4.5,28.0
Paris, Mediterranean,10254.0,3.5,84.0
Prague, Czech,4001.0,2.0,103.0
Lisbon, Portuguese,3010.0,3.0,31.0
Vienna, Central European,172.0,4.0,232.0
London, Pizza,4522.0,4.0,34.0
London, Healthy,1886.0,4.5,62.0
Milan, Vegetarian Friendly,1807.0,4.0,156.0
Edinburgh, Scottish,905.0,4.0,249.0
Dublin,Irish,456.0,4.0,240.0
Hamburg,unknown,1933.0,3.5,15.0
Helsinki, Scandinavian,165.0,4.5,36.0
Dublin,Italian,1463.0,3.5,45.0
Barcelona,Mediterranean,748.0,4.0,426.0
Budapest, Pub,1770.0,3.5,37.0
Barcelona, Mediterranean,1063.0,4.5,135.0
Berlin,Japanese,5259.0,4.0,3.0
Rome,Italian,5576.0,3.5,153.0
London, Vegetarian Friendly,10730.0,3.0,326.0
Rome, Gluten Free Options,170.0,4.5,796.0
Rome,Italian,739.0,4.5,378.0
Lisbon, Mediterranean,774.0,4.0,95.0
Brussels, Vegetarian Friendly,88.0,4.0,367.0
Athens, Grill,916.0,5.0,3.0
Helsinki,Chinese,571.0,5.0,NaN
Paris,American,3698.0,4.0,151.0
Munich, European,935.0,3.5,160.0
London,unknown,13740.0,3.5,9.0
Paris, European,2297.0,4.0,204.0
Copenhagen, Vegetarian Friendly,30.0,4.5,524.0
Milan, Mediterranean,1798.0,4.0,187.0
London,Italian,12599.0,4.0,NaN
Prague, Pub,681.0,4.5,102.0
Rome,Pizza,2828.0,4.5,43.0
Edinburgh, Vegetarian Friendly,650.0,3.5,818.0
London, Vegan Options,4213.0,4.0,55.0
Rome, Vegetarian Friendly,312.0,4.5,1217.0
London, Vegetarian Friendly,7234.0,4.0,59.0
Barcelona, Delicatessen,3872.0,4.0,11.0
Geneva,American,23.0,4.5,184.0
Milan,unknown,4600.0,4.0,NaN
Barcelona, European,1368.0,4.0,158.0
London, Vegetarian Friendly,3044.0,4.0,187.0
Zurich,Bar,1177.0,4.0,13.0
Copenhagen, Vegetarian Friendly,53.0,5.0,271.0
Lisbon, Portuguese,171.0,4.0,856.0
Krakow, Polish,410.0,4.5,72.0
Oslo, Vegan Options,508.0,3.5,275.0
Milan, Vegan Options,622.0,3.5,2896.0
Lisbon, Vegetarian Friendly,658.0,4.5,127.0
Barcelona,Bar,1004.0,4.0,497.0
Warsaw, Vegetarian Friendly,764.0,3.5,33.0
Rome, Vegetarian Friendly,563.0,4.0,1705.0
Barcelona,Mediterranean,1547.0,4.0,132.0
London, Vegan Options,604.0,4.5,190.0
London, Pub,8501.0,3.5,97.0
Barcelona,unknown,4570.0,4.5,6.0
London, Gluten Free Options,1502.0,4.0,614.0
Amsterdam, Vegetarian Friendly,316.0,4.5,183.0
Paris,Thai,12097.0,3.5,11.0
London, Gluten Free Options,426.0,4.5,804.0
Berlin, European,1164.0,4.5,56.0
London, British,1243.0,4.0,1157.0
Geneva, Grill,548.0,4.5,59.0
London, Mediterranean,1646.0,4.0,438.0
Lyon,unknown,2639.0,2.0,11.0
Barcelona, Vegan Options,53.0,4.5,804.0
Edinburgh,Italian,1070.0,3.5,29.0
Vienna, Bar,1154.0,4.0,86.0
Lisbon, European,1954.0,4.0,29.0
Madrid,Russian,1746.0,4.5,83.0
Lisbon,unknown,2218.0,4.0,12.0
Ljubljana, Pub,362.0,3.5,33.0
Rome,Italian,4444.0,3.5,302.0
Barcelona, Gluten Free Options,1203.0,4.5,133.0
Prague, European,626.0,3.5,487.0
Paris, European,2305.0,4.5,135.0
Barcelona,Mediterranean,3107.0,4.0,39.0
Stockholm, Vegetarian Friendly,873.0,3.5,92.0
London,unknown,10346.0,4.0,3.0
London, Gluten Free Options,501.0,5.0,559.0
Dublin,Bar,240.0,4.0,789.0
Budapest, European,263.0,4.5,192.0
Madrid,Indian,272.0,4.5,349.0
Amsterdam, Asian,2909.0,3.0,24.0
London, British,2760.0,4.5,93.0
London, Vegetarian Friendly,2300.0,4.5,61.0
Berlin,Italian,6172.0,2.5,359.0
Rome, Fast Food,3870.0,3.5,74.0
Paris, European,7199.0,4.0,35.0
Paris, Vegetarian Friendly,1621.0,4.0,319.0
Paris,French,7017.0,3.0,367.0
Brussels,French,95.0,4.0,1032.0
Vienna,Mediterranean,878.0,4.0,171.0
Madrid, Spanish,2431.0,3.5,170.0
Paris,French,9020.0,3.0,240.0
Milan, Pizza,2576.0,3.5,122.0
Barcelona, Pizza,209.0,4.5,487.0
Milan,Mexican,4470.0,3.0,265.0
Rome, Gluten Free Options,743.0,4.0,1040.0
Budapest, Vegan Options,11.0,4.5,1403.0
Lyon, Vegetarian Friendly,478.0,4.5,23.0
Madrid, Fusion,47.0,4.5,1712.0
Luxembourg, Vegan Options,7.0,4.0,652.0
Paris,Chinese,656.0,4.5,187.0
Zurich, European,1500.0,3.5,347.0
Berlin, Mediterranean,898.0,4.5,72.0
Rome,American,1920.0,4.0,999.0
Oporto, Bar,450.0,4.0,140.0
Zurich, Gastropub,421.0,4.5,39.0
Budapest,Fast Food,597.0,4.5,58.0
Ljubljana, Central European,33.0,4.0,445.0
Berlin, Mediterranean,2889.0,5.0,2.0
Dublin, Vegan Options,300.0,4.5,250.0
London, British,1637.0,4.0,814.0
Paris,French,3097.0,4.5,245.0
Madrid, Mediterranean,5193.0,4.5,3.0
Madrid,unknown,8332.0,2.5,3.0
Vienna,African,279.0,5.0,49.0
Barcelona, Central American,1048.0,4.5,179.0
London, Middle Eastern,5516.0,4.5,71.0
Milan,unknown,3771.0,4.5,2.0
Paris,French,9543.0,3.5,387.0
Berlin,unknown,6321.0,2.0,6.0
Milan, Soups,3936.0,3.5,323.0
Munich,Lebanese,1554.0,5.0,NaN
Lyon,Seafood,1676.0,4.0,15.0
Amsterdam, Sushi,847.0,4.0,85.0
Prague, Sushi,735.0,4.5,46.0
Amsterdam, Vegan Options,37.0,4.5,264.0
Milan, Vegetarian Friendly,609.0,4.5,137.0
Budapest,Chinese,2011.0,4.0,6.0
Madrid, Mediterranean,174.0,4.0,848.0
Berlin, Vegetarian Friendly,4215.0,3.5,74.0
Warsaw,unknown,1024.0,4.5,6.0
Milan,Indian,5426.0,3.0,18.0
London,Indian,10886.0,4.0,20.0
Budapest,International,1780.0,3.5,21.0
Hamburg, European,226.0,4.0,152.0
Lisbon, Pub,2953.0,4.0,4.0
Milan, European,3735.0,3.0,532.0
London,Middle Eastern,10015.0,4.5,11.0
London, British,4759.0,4.5,44.0
Oslo,unknown,964.0,3.5,3.0
Madrid,unknown,5375.0,4.0,9.0
London, Diner,4163.0,3.5,507.0
Munich, Vegetarian Friendly,2633.0,3.0,110.0
London,International,6481.0,3.5,157.0
Brussels,Italian,682.0,4.5,30.0
London,unknown,9956.0,4.5,4.0
London, Seafood,169.0,4.5,566.0
Warsaw, Vegan Options,289.0,4.5,35.0
Stockholm, Vegan Options,82.0,4.0,519.0
Copenhagen, Scandinavian,686.0,4.0,51.0
London, Pub,4354.0,4.0,97.0
Berlin, Vegetarian Friendly,2349.0,3.5,112.0
London, Bar,4516.0,3.5,472.0
Zurich, Fast Food,1473.0,3.5,24.0
Lyon,unknown,698.0,4.0,27.0
London,Fast Food,16060.0,2.0,NaN
Prague, Fast Food,3124.0,4.0,4.0
Milan, Steakhouse,379.0,4.0,267.0
Paris, Vegan Options,3172.0,4.0,203.0
Budapest,European,1536.0,4.5,2.0
Rome,Mediterranean,673.0,4.0,495.0
Barcelona, European,1524.0,4.5,68.0
London,Cafe,8564.0,4.0,18.0
Barcelona, Fast Food,2546.0,3.5,166.0
Brussels, Cafe,2344.0,3.5,6.0
Paris, Healthy,2773.0,4.5,46.0
Barcelona, Spanish,3914.0,4.5,9.0
Bratislava,Pub,737.0,3.0,11.0
Berlin,Italian,5910.0,3.5,3.0
Rome,Italian,2854.0,4.0,117.0
Paris, Vegan Options,1952.0,4.5,108.0
Amsterdam, Grill,91.0,4.5,888.0
Madrid, European,7459.0,3.0,89.0
Stockholm, Gluten Free Options,28.0,4.5,334.0
Dublin,Irish,333.0,5.0,92.0
Lisbon,Indian,390.0,4.5,216.0
Budapest, European,790.0,4.5,8.0
Budapest, Bar,970.0,3.5,100.0
Milan,unknown,2928.0,4.0,28.0
Barcelona,Asian,2279.0,4.0,133.0
Barcelona, Spanish,1094.0,4.5,69.0
Lyon,Italian,1241.0,4.0,122.0
Edinburgh, Halal,336.0,4.0,648.0
Prague, Cafe,3485.0,3.0,29.0
Hamburg,unknown,1200.0,4.0,14.0
London, Vegetarian Friendly,5336.0,4.0,28.0
Munich, Gluten Free Options,198.0,4.0,709.0
London,unknown,9530.0,5.0,NaN
Vienna,Austrian,1207.0,4.0,17.0
Edinburgh, Vegetarian Friendly,1052.0,3.5,281.0
Paris,Lebanese,5523.0,4.0,61.0
Vienna,unknown,2655.0,4.0,NaN
Paris,French,387.0,4.5,237.0
London, British,6136.0,3.5,117.0
London,Turkish,5207.0,4.5,51.0
Munich,unknown,1262.0,4.5,13.0
London,Japanese,10314.0,4.0,13.0
Madrid, Gluten Free Options,343.0,4.0,718.0
Barcelona, Spanish,3933.0,4.0,45.0
Berlin, Central European,1790.0,4.0,199.0
Paris,unknown,10479.0,3.5,3.0
Barcelona, Bar,3048.0,4.5,23.0
Milan,unknown,5794.0,3.0,28.0
Paris,French,2310.0,3.5,317.0
Rome,Italian,270.0,4.5,947.0
Barcelona,Mediterranean,302.0,4.5,871.0
Krakow, Bar,574.0,3.5,180.0
Barcelona, Gluten Free Options,1442.0,3.5,476.0
Prague,European,2412.0,4.5,3.0
Oporto, Vegetarian Friendly,163.0,4.0,223.0
Budapest,Gastropub,1445.0,4.0,17.0
Lyon, European,20.0,4.5,753.0
Madrid,Spanish,6410.0,3.5,3.0
Amsterdam, Cafe,1400.0,3.5,350.0
Rome, Grill,2231.0,4.5,156.0
Madrid, Thai,2797.0,4.0,67.0
Milan, Pizza,4242.0,3.5,44.0
Madrid,Mediterranean,427.0,4.0,596.0
Vienna, Pizza,3107.0,4.0,14.0
Rome,Italian,4845.0,5.0,10.0
Rome,Italian,260.0,4.5,463.0
Barcelona, Bar,365.0,4.5,454.0
Madrid, European,8118.0,2.5,22.0
Prague,European,2200.0,4.5,5.0
London,unknown,12429.0,4.0,2.0
Stockholm, Vegetarian Friendly,640.0,3.5,250.0
Madrid, European,153.0,4.5,608.0
Munich, Central European,1396.0,4.0,38.0
Berlin,European,3062.0,4.0,33.0
Hamburg, Vegetarian Friendly,345.0,4.0,64.0
Paris, Vietnamese,1096.0,4.0,667.0
Milan, Mediterranean,1217.0,4.0,400.0
Milan,Italian,41.0,4.5,180.0
London,Pizza,6714.0,4.5,10.0
Lisbon,Italian,3142.0,3.5,32.0
Milan, Vegan Options,5759.0,3.0,70.0
Lisbon, Gluten Free Options,521.0,4.0,266.0
Amsterdam, Pizza,87.0,4.5,377.0
Rome, Seafood,3857.0,3.5,215.0
Barcelona, Vegan Options,2430.0,4.0,38.0
Paris, Vegetarian Friendly,3591.0,4.0,174.0
Madrid, Vegan Options,1078.0,4.0,202.0
Prague, European,2491.0,4.0,14.0
Madrid, European,11.0,4.5,837.0
Paris,French,2184.0,4.0,199.0
London, Vegetarian Friendly,562.0,4.0,1597.0
Stockholm, European,68.0,4.5,158.0
London, Vegetarian Friendly,1665.0,4.5,285.0
Paris, Wine Bar,6296.0,4.0,46.0
Krakow, Eastern European,34.0,4.5,1759.0
Berlin, Pizza,4457.0,4.5,5.0
Vienna, Austrian,316.0,4.0,431.0
Prague,Cafe,820.0,4.0,109.0
Brussels, Belgian,334.0,3.5,302.0
Athens,Mediterranean,473.0,4.5,32.0
Barcelona, Mediterranean,6713.0,3.0,229.0
London,Bar,815.0,4.0,346.0
London, Vegetarian Friendly,989.0,5.0,68.0
London, Vegetarian Friendly,2399.0,4.0,339.0
Amsterdam,unknown,2791.0,3.0,19.0
London, Nepali,778.0,4.5,256.0
Prague, European,1579.0,3.5,86.0
Milan, Gluten Free Options,1181.0,4.5,36.0
Lisbon, European,1301.0,4.5,32.0
Paris,unknown,6972.0,4.0,18.0
Warsaw,Italian,2080.0,2.5,8.0
Copenhagen,unknown,375.0,4.5,55.0
London,unknown,8116.0,5.0,4.0
Edinburgh,unknown,1434.0,4.0,3.0
Budapest, Vegan Options,460.0,4.5,77.0
Lisbon, European,1238.0,4.0,35.0
Budapest, Fast Food,2415.0,2.0,29.0
Madrid,unknown,2679.0,5.0,10.0
London, Vegetarian Friendly,13279.0,3.5,55.0
Krakow, Vegetarian Friendly,151.0,4.5,417.0
London,Bar,15216.0,3.0,56.0
Barcelona, Mediterranean,3490.0,3.5,162.0
Berlin, European,537.0,4.5,222.0
Rome, Mediterranean,333.0,4.5,153.0
Paris,French,2783.0,3.5,372.0
Prague, Pub,465.0,4.5,58.0
Oslo, Vegetarian Friendly,212.0,3.5,332.0
Berlin, Vegetarian Friendly,4845.0,3.5,57.0
Berlin, European,2666.0,4.0,32.0
Zurich, European,36.0,4.5,203.0
Amsterdam,Bar,655.0,4.5,79.0
Brussels, Belgian,2423.0,3.5,7.0
London,Steakhouse,90.0,4.5,1971.0
Barcelona, Vegan Options,2683.0,4.5,15.0
London,Asian,6832.0,4.0,69.0
Oslo, Scandinavian,111.0,4.5,34.0
Milan, Gluten Free Options,379.0,4.0,267.0
Paris,unknown,2308.0,5.0,23.0
Berlin, Vegan Options,4521.0,4.0,6.0
London, Gastropub,11409.0,3.5,103.0
Barcelona,unknown,4154.0,5.0,NaN
London, Halal,2957.0,4.0,140.0
Lisbon, Vegetarian Friendly,3209.0,3.0,54.0
London, Vegan Options,1839.0,4.5,80.0
Barcelona,Mediterranean,7336.0,2.5,87.0
Rome, European,2990.0,4.0,120.0
Milan,unknown,4518.0,4.0,NaN
Rome, Vegan Options,472.0,4.5,161.0
Vienna,unknown,1196.0,4.0,37.0
Rome, Fusion,1543.0,4.5,76.0
Prague,Czech,2247.0,4.0,11.0
Brussels, Vegan Options,493.0,4.0,95.0
Milan,American,991.0,4.0,128.0
Paris,Japanese,8575.0,4.0,22.0
Munich, Diner,2514.0,3.0,85.0
Lisbon, Portuguese,1119.0,4.0,61.0
Edinburgh, Gluten Free Options,457.0,4.0,239.0
Munich,unknown,1184.0,4.5,17.0
Madrid,unknown,6966.0,3.5,11.0
Milan,Italian,667.0,4.0,316.0
London, Asian,3001.0,4.0,168.0
London, British,4684.0,4.0,139.0
Barcelona,Seafood,7179.0,2.5,22.0
Rome, Fast Food,91.0,4.5,381.0
Rome, Mediterranean,2524.0,3.5,327.0
Dublin, Gastropub,1658.0,3.5,36.0
Prague, Vegetarian Friendly,511.0,4.0,380.0
Barcelona, Soups,172.0,4.5,922.0
Lisbon,unknown,3390.0,3.0,7.0
Copenhagen, Asian,1930.0,2.0,20.0
Edinburgh, Pub,780.0,4.0,53.0
London, Soups,3136.0,5.0,21.0
London, European,6998.0,4.0,44.0
Prague, Central European,44.0,4.5,3040.0
London, Asian,9805.0,3.5,25.0
Berlin, Vietnamese,5384.0,3.5,3.0
Dublin, Vegetarian Friendly,585.0,4.0,239.0
Berlin,Mediterranean,546.0,4.5,31.0
London,unknown,13182.0,3.0,3.0
Prague, Vegetarian Friendly,1029.0,4.5,68.0
Paris, Bar,6417.0,4.0,31.0
Amsterdam, Dutch,2135.0,4.0,36.0
London, Gluten Free Options,2869.0,4.0,240.0
Prague, Seafood,1047.0,4.5,35.0
Dublin, International,262.0,4.0,560.0
Lyon, Pub,384.0,4.5,49.0
Rome,Italian,3121.0,4.5,94.0
London, Gluten Free Options,1376.0,4.5,104.0
London, British,5059.0,4.0,153.0
Paris,French,2600.0,3.5,468.0
Ljubljana, Halal,14.0,5.0,147.0
London, Fast Food,1673.0,4.5,133.0
Milan, Gluten Free Options,4349.0,4.0,40.0
Lisbon, Portuguese,1720.0,3.5,119.0
Edinburgh, Vegan Options,112.0,4.5,1951.0
Rome,Pizza,3535.0,4.0,199.0
London, Spanish,15650.0,2.5,13.0
Lyon,unknown,1760.0,3.5,27.0
Paris, Mediterranean,6351.0,4.5,34.0
London,Middle Eastern,11176.0,3.5,27.0
Oslo, Vegetarian Friendly,141.0,4.5,109.0
Paris, European,3849.0,4.0,196.0
London, Balti,2130.0,4.0,195.0
Lisbon,Mediterranean,3657.0,2.0,292.0
London, Healthy,13279.0,3.5,55.0
Prague, Pub,1699.0,4.0,11.0
London, Mediterranean,6215.0,5.0,6.0
Madrid,Spanish,1879.0,4.0,56.0
London, Gluten Free Options,206.0,4.5,521.0
London,Fast Food,5263.0,3.5,211.0
Paris, Thai,9417.0,4.0,5.0
Bratislava,unknown,602.0,4.0,NaN
Athens,Cafe,783.0,4.5,28.0
Oporto,European,1199.0,4.0,5.0
Rome, Healthy,2027.0,4.5,139.0
London, Gluten Free Options,3242.0,4.5,102.0
Lisbon,Italian,886.0,4.0,56.0
Lisbon,Italian,2472.0,4.5,2.0
Madrid,Seafood,461.0,4.5,256.0
Zurich,unknown,1178.0,4.5,3.0
Rome, Pizza,3999.0,4.0,137.0
Hamburg, Vegan Options,30.0,4.0,845.0
London, Vegetarian Friendly,4656.0,4.0,110.0
Paris, European,458.0,5.0,111.0
Hamburg, Vegetarian Friendly,2180.0,3.5,3.0
Rome, Vegan Options,881.0,4.0,770.0
Paris, Japanese,6224.0,3.5,111.0
Lisbon,Chinese,2961.0,4.0,2.0
Barcelona, Vegan Options,238.0,4.5,604.0
Lisbon,unknown,3000.0,4.0,6.0
Copenhagen, Danish,322.0,4.5,51.0
Munich, European,1637.0,4.0,62.0
Geneva,French,647.0,4.0,43.0
Brussels, European,1257.0,4.5,8.0
London,Bar,1286.0,4.0,482.0
Edinburgh, Vegetarian Friendly,257.0,4.0,1628.0
Lyon,unknown,2423.0,5.0,6.0
Paris,unknown,13179.0,3.0,17.0
London,European,2148.0,4.0,536.0
Stockholm, Vegetarian Friendly,162.0,4.0,244.0
Prague,European,2684.0,4.0,2.0
Edinburgh, European,725.0,4.5,17.0
Paris, Asian,3323.0,4.0,121.0
Vienna, Vegan Options,301.0,4.0,205.0
Edinburgh, Gluten Free Options,487.0,4.5,195.0
London, Wine Bar,696.0,4.0,312.0
Lisbon, Mediterranean,493.0,4.5,147.0
Budapest, Hungarian,2283.0,3.0,271.0
Athens, Vegetarian Friendly,563.0,4.5,36.0
Hamburg, European,330.0,4.5,31.0
Dublin, Pub,57.0,4.5,3491.0
London, Central American,2969.0,4.0,297.0
Helsinki,unknown,1116.0,2.5,6.0
Edinburgh, Scottish,644.0,4.5,51.0
Paris,French,4806.0,4.0,188.0
Zurich,International,144.0,4.5,83.0
Munich, Vegetarian Friendly,663.0,4.0,57.0
Paris,Wine Bar,7591.0,4.0,41.0
London, Latin,12181.0,3.5,79.0
London, Middle Eastern,298.0,4.5,2141.0
Dublin, Gluten Free Options,1326.0,3.5,113.0
Stockholm,Sushi,2269.0,3.5,6.0
Munich, Romanian,1787.0,3.5,10.0
Amsterdam, Indonesian,251.0,4.0,1074.0
Paris,unknown,11208.0,4.0,9.0
Barcelona, Gluten Free Options,197.0,5.0,73.0
Stockholm,European,142.0,4.5,69.0
Brussels, Bar,1928.0,3.5,66.0
Vienna, Pizza,1368.0,4.0,13.0
Lisbon,European,1973.0,4.5,15.0
Barcelona, Argentinean,3623.0,5.0,4.0
Luxembourg, Portuguese,384.0,4.5,25.0
Barcelona, Spanish,496.0,4.5,331.0
Lisbon, Portuguese,3140.0,3.5,89.0
Warsaw,Asian,1525.0,3.5,34.0
Milan,unknown,5982.0,3.0,99.0
London,Mediterranean,4215.0,4.5,89.0
Oslo, Gluten Free Options,287.0,4.0,112.0
Oslo, International,78.0,4.0,208.0
Budapest,European,1280.0,4.0,100.0
Dublin, Middle Eastern,841.0,4.0,238.0
Paris, Pub,8696.0,4.5,6.0
Lisbon, Portuguese,405.0,4.5,274.0
Madrid,unknown,4118.0,5.0,NaN
London, Vegetarian Friendly,7183.0,3.5,267.0
Geneva, South American,592.0,4.5,6.0
Milan,Italian,454.0,4.0,453.0
Warsaw, Vegetarian Friendly,1771.0,4.0,5.0
Prague, Middle Eastern,4016.0,2.5,27.0
Rome, Halal,2930.0,4.0,62.0
Berlin,Cafe,5282.0,3.5,20.0
London, Halal,3057.0,4.5,82.0
Athens, Greek,6.0,5.0,1046.0
Edinburgh, Gluten Free Options,420.0,4.0,505.0
Lyon,French,2219.0,3.0,280.0
Zurich,unknown,979.0,3.5,15.0
London, British,595.0,4.5,448.0
Copenhagen, Scandinavian,1085.0,4.0,22.0
Berlin, Mediterranean,2339.0,4.0,51.0
Paris,French,6235.0,4.0,20.0
London,Chinese,560.0,4.0,5216.0
Rome,Italian,59.0,4.5,1149.0
Paris,unknown,5366.0,4.5,23.0
Oslo, Vegetarian Friendly,404.0,4.0,38.0
Barcelona, Vegetarian Friendly,1351.0,4.0,194.0
Stockholm, Swedish,1850.0,3.5,13.0
Rome, Vegan Options,527.0,4.0,818.0
Berlin,Bar,2126.0,3.5,107.0
Munich, Bar,2514.0,3.0,85.0
Athens, Greek,131.0,4.5,162.0
Dublin, Pub,849.0,3.5,118.0
Barcelona,Spanish,4977.0,4.0,5.0
Milan,unknown,4837.0,3.5,3.0
Rome, Pizza,228.0,4.5,1066.0
Amsterdam,Asian,773.0,4.5,122.0
Berlin, European,1798.0,4.0,83.0
Edinburgh, Gluten Free Options,671.0,4.0,92.0
Copenhagen, European,4.0,5.0,332.0
Krakow, Georgian,150.0,4.0,667.0
Budapest, European,1869.0,3.5,40.0
Barcelona, Mediterranean,87.0,4.5,1050.0
Paris,French,11228.0,4.0,4.0
London, International,3328.0,5.0,61.0
Paris,Japanese,2505.0,4.0,92.0
Krakow, European,950.0,3.5,13.0
Amsterdam, Gluten Free Options,957.0,4.0,286.0
Budapest,Italian,259.0,4.0,1390.0
Brussels,French,2586.0,3.0,136.0
London, Gastropub,3624.0,3.5,271.0
Munich,Italian,1330.0,4.5,10.0
London, European,171.0,4.5,859.0
Zurich, Thai,235.0,4.0,310.0
Madrid,Mediterranean,558.0,4.5,200.0
Barcelona, European,2128.0,5.0,14.0
Paris,French,893.0,4.0,1771.0
Madrid,unknown,4091.0,5.0,NaN
Madrid, Pub,5556.0,3.5,11.0
Barcelona, Mediterranean,6625.0,3.0,169.0
Madrid, Spanish,1453.0,4.0,115.0
Amsterdam, European,1539.0,4.0,37.0
Ljubljana, Fusion,439.0,3.0,9.0
Milan,Italian,5457.0,3.0,70.0
Lisbon,Bar,1172.0,3.5,2354.0
Prague,Asian,2986.0,4.0,NaN
Milan, Mediterranean,635.0,3.5,743.0
Luxembourg,Barbecue,484.0,4.0,NaN
Prague,Cafe,2642.0,4.5,3.0
Geneva,Thai,890.0,4.0,15.0
Berlin,Italian,2429.0,4.0,34.0
Madrid,Fast Food,669.0,4.5,148.0
London, Greek,1311.0,4.5,214.0
Prague,Cafe,1960.0,5.0,NaN
London, Gluten Free Options,4482.0,4.5,50.0
Milan,Japanese,208.0,4.5,1004.0
Paris,French,8957.0,4.5,4.0
Madrid,Brew Pub,830.0,4.5,39.0
Prague,American,3246.0,3.5,59.0
Madrid, Spanish,870.0,4.5,277.0
Amsterdam,Moroccan,1841.0,4.5,9.0
Rome,Italian,2899.0,4.0,242.0
Hamburg,International,152.0,4.5,124.0
London,Asian,7271.0,4.5,12.0
London,Italian,1800.0,4.5,71.0
Amsterdam,Japanese,189.0,4.0,583.0
Barcelona, Vegetarian Friendly,4037.0,3.5,99.0
Prague,Czech,1429.0,4.0,25.0
London, Bar,6580.0,4.0,47.0
London, Halal,5660.0,3.5,100.0
Berlin, European,238.0,4.0,439.0
Rome, Vegan Options,836.0,4.0,435.0
Paris, Vietnamese,10795.0,4.0,NaN
Stockholm, Vegetarian Friendly,407.0,4.0,122.0
Zurich, Vegetarian Friendly,600.0,4.5,39.0
Barcelona, Vegan Options,2249.0,3.5,553.0
Paris, Vegetarian Friendly,69.0,4.5,475.0
Madrid, Fusion,5564.0,3.5,19.0
Berlin, Greek,20.0,4.5,448.0
Stockholm,French,669.0,4.0,73.0
Barcelona,unknown,4360.0,5.0,NaN
Stockholm, European,1318.0,3.0,444.0
Geneva, Fast Food,1258.0,2.5,7.0
Paris, European,5592.0,4.0,77.0
Dublin, Vegetarian Friendly,970.0,4.0,15.0
Milan, International,5317.0,3.0,375.0
Madrid,American,5555.0,3.5,4.0
Milan, Vegan Options,57.0,4.5,688.0
Geneva,European,206.0,4.5,59.0
Dublin, Contemporary,50.0,4.5,884.0
London,Bar,2887.0,4.5,90.0
Prague, Eastern European,268.0,4.5,176.0
Warsaw, Pizza,2061.0,3.0,34.0
Madrid,Mediterranean,1922.0,4.0,93.0
London,Dutch,2869.0,4.0,240.0
Madrid, Latin,1280.0,4.0,217.0
Madrid, Central American,505.0,4.0,2263.0
Edinburgh, Vegan Options,155.0,4.0,756.0
Barcelona,unknown,4415.0,4.5,10.0
Rome, Mediterranean,883.0,4.5,152.0
London,unknown,6813.0,4.5,5.0
Dublin, Fast Food,1685.0,3.0,98.0
Oporto,unknown,919.0,5.0,NaN
Madrid,Mediterranean,2042.0,3.5,339.0
London,Japanese,8279.0,4.5,10.0
Paris,Italian,7656.0,3.5,60.0
Paris, Chinese,11313.0,3.0,51.0
Rome, Mediterranean,389.0,4.0,1530.0
Barcelona,Cafe,553.0,4.5,222.0
London, Middle Eastern,15232.0,3.5,9.0
Barcelona, Pub,1916.0,4.5,38.0
Lisbon, Portuguese,3064.0,3.5,19.0
Milan,Italian,2406.0,3.5,866.0
Dublin,Irish,53.0,4.5,1820.0
Barcelona,Mediterranean,992.0,4.5,72.0
Prague, International,3357.0,3.5,3.0
Paris,French,564.0,4.0,856.0
Barcelona,Seafood,914.0,4.0,502.0
London,Thai,9279.0,5.0,2.0
Madrid,Spanish,8363.0,2.5,7.0
Berlin, European,5864.0,3.5,36.0
Barcelona, European,2328.0,4.0,60.0
Stockholm,European,427.0,4.5,35.0
Prague,European,621.0,4.5,96.0
Luxembourg,French,449.0,3.5,147.0
Budapest,European,2058.0,3.5,19.0
Edinburgh, Vegetarian Friendly,155.0,4.0,756.0
Brussels, Mediterranean,2068.0,4.5,3.0
Luxembourg, Gluten Free Options,119.0,3.5,346.0
Milan,Italian,2659.0,4.0,33.0
Hamburg,German,58.0,4.0,432.0
Paris,Chinese,7968.0,4.0,13.0
London, Gluten Free Options,2254.0,4.0,203.0
Rome,Italian,1539.0,4.0,388.0
Paris,Asian,4145.0,4.0,206.0
Lisbon,Mediterranean,1106.0,4.5,53.0
Paris,French,1270.0,3.5,1135.0
Lyon,unknown,2192.0,3.0,2.0
London,unknown,15693.0,2.5,2.0
Berlin, Vegetarian Friendly,833.0,4.0,164.0
Paris,unknown,13885.0,1.5,17.0
Rome, Pizza,173.0,4.5,1311.0
