Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/2/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/3/20,4/30/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,5/1/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/2/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/3/20,5/30/20,5/31/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,6/1/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/2/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/3/20,6/30/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,7/1/20,7/10/20,7/11/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,5,5,6,0,6,6,0,0,0,0,0,0,6,7,8,8,10,11,56,56,56,58,61,6,67,68,73,82,88,90,106,109,114,114,6,121,7,7,7,7,7,7,122,246,260,267,289,315,326,328,328,328,335,152,349,356,362,371,380,390,390,390,390,405,165,421,435,175,186,191,218,230,236,458,615,657,697,726,750,760,781,792,823,848,466,863,890,944,982,999,1003,1027,1091,1155,1165,477,1227,502,536,542,554,567,585,1267,1591,1623,1301,1382,1421,1451,1463,1499,1542,1552
Cambodia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,7,7,7,33,35,37,1,51,53,84,87,91,96,96,99,99,103,1,107,109,1,1,1,1,2,2,109,119,120,122,122,122,122,122,122,122,122,110,122,122,122,122,122,122,122,122,122,122,114,122,114,114,114,115,117,119,122,122,122,122,122,122,122,122,122,122,122,122,122,123,123,124,124,124,124,124,124,124,122,125,125,122,122,122,122,122,122,125,126,126,126,128,128,128,128,128,129,129,125,129,129,130,130,130,130,139,141,141,141,125,141,125,125,125,126,126,126,141,141,156,141,141,141,141,141,141,141,141
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,10,10,13,0,20,27,40,56,66,75,75,91,91,139,0,139,193,0,0,1,1,2,2,233,820,820,820,820,848,848,996,996,1017,1017,306,1163,1163,1163,1334,1430,1518,1621,1705,1705,1832,509,1832,555,650,658,658,730,730,1832,2579,2689,2689,2800,2954,3105,3105,3105,3529,3529,2077,3733,4288,4400,4400,4890,4890,5436,5436,5436,5436,2077,5904,5904,2104,2104,2265,2267,2267,2274,6397,8681,8681,8681,8681,8681,9864,9864,9864,9864,10638,6585,11610,11892,12041,12270,12592,12592,12592,12592,12592,12592,6585,12592,6789,7392,7599,7908,8060,8312,12592,14916,15173,12592,12592,12592,12592,12592,14916,14916,14916
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,19,29,29,39,56,74,97,119,0,146,195,259,301,359,358,486,542,542,621,0,661,690,0,0,1,2,4,7,754,1451,1567,1567,1732,1870,1870,1996,2397,2562,2803,969,2908,3095,3401,3720,4017,4233,4480,4696,4850,5165,969,5355,1075,1181,1250,1373,1373,1423,5573,6253,6300,6345,6407,6457,6515,6587,6644,6683,6716,5670,6735,6768,6800,6818,6860,6879,6901,6926,6955,6979,5766,6992,7010,5836,5893,5963,6017,6098,6157,7044,7276,7316,7346,7383,7433,7453,7482,7530,7579,7625,7057,7673,7704,7736,7781,7825,7851,7888,7957,7996,8067,7076,8108,7091,7098,7138,7138,7202,7229,8108,8596,8596,8202,8259,8259,8259,8389,8436,8482,8519
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,3,3,3,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,3,8,8,8,11,11,12,12,12,12,12,3,12,14,14,16,16,16,19,19,50,50,8,50,8,8,8,8,8,8,72,143,143,143,143,143,301,327,327,327,366,72,418,436,479,552,604,652,671,702,755,874,72,962,1011,85,85,94,94,143,143,1069,1888,1952,2044,2057,2057,2222,2410,2564,2605,2605,1069,2686,2808,2963,3051,3099,3244,3340,3429,3429,3613,1173,3745,1288,1451,1570,1634,1850,1850,3745,4259,4288,3788,3918,3969,3969,4033,4071,4109,4200
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,3,3,3,3,3,0,5,7,0,0,0,0,0,0,7,11,11,18,23,23,23,27,27,33,33,8,33,33,33,33,40,46,46,46,52,52,8,73,9,9,9,10,10,11,73,322,322,357,372,399,428,474,503,519,545,117,565,588,611,648,675,687,700,715,726,759,117,759,778,117,170,170,253,260,322,790,846,848,848,848,850,850,853,854,854,858,803,858,858,858,860,860,863,865,865,866,866,820,866,828,836,836,837,839,844,866,874,874,868,871,871,872,872,873,873,873
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,23,43,61,74,155,201,238,238,0,434,537,632,746,922,1142,1306,1610,1909,2139,1,2449,2738,1,4,4,4,8,8,3031,6501,6927,7213,7525,7917,8273,8807,9252,9730,10088,3404,10507,10832,11296,11812,12306,12858,13331,13813,14365,14885,3737,16023,4161,4471,4815,5116,5546,5972,17008,28866,30063,31721,34381,37040,39542,41428,43781,46059,49579,18435,53617,57581,61857,65393,69102,73997,77961,82289,86943,90638,19663,94858,99688,20643,22016,23048,24581,25972,27219,105158,148456,154092,160846,167355,174293,179436,184449,220628,225103,231393,108686,236748,242355,246963,250767,254416,259064,263360,267766,271982,275999,113628,279393,118292,122499,127745,134150,138846,142759,282043,309274,312029,284541,288089,291847,295532,298557,301019,303083,306216
China,1,9,15,39,60,70,106,152,200,237,297,830,860,889,910,934,950,962,973,982,986,340,987,988,989,989,989,989,989,989,990,990,408,480,530,591,665,733,779,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,991,991,991,991,991,991,991,991,991,991,990,991,991,991,991,991,991,991,991,991,991,990,991,990,990,990,990,990,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,13,22,34,54,65,93,102,0,128,196,231,277,378,470,491,539,608,702,0,798,906,0,0,1,1,1,1,1065,2473,2709,2776,2852,2979,3105,3233,3439,3439,3792,1161,3977,4149,4356,4561,4881,5142,5379,5597,5949,6207,1267,6507,1406,1485,1579,1780,2054,2223,7006,11063,11613,12272,12930,13610,14216,14939,15574,16295,16935,7285,17687,18330,19131,20177,21175,21981,23003,24104,24141,25406,7668,26734,27219,7973,8613,8959,9456,10051,10495,29384,42206,43810,45344,46994,48896,53168,53211,55083,57202,60387,30593,63454,68836,71367,73760,73760,77313,80811,84660,91995,91995,31935,95269,33466,36759,36759,38149,40847,40847,98090,133973,140776,102261,106392,109793,113685,117412,120281,124494,128638
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,11,11,11,11,11,11,11,11,11,3,34,34,78,78,87,87,87,87,87,87,3,106,106,3,3,8,8,8,11,106,162,162,163,176,176,176,197,197,210,210,132,247,247,247,265,265,272,272,272,272,272,132,303,132,132,141,141,141,141,303,314,317,303,309,309,311,311,311,313,314
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,3,3,3,4,4,4,4,4,4,19,0,19,19,0,0,0,0,0,0,19,60,60,60,60,60,117,117,143,143,143,22,160,165,186,186,200,200,200,200,207,207,22,220,22,45,45,45,45,60,229,274,333,333,333,391,391,391,391,412,420,229,420,469,469,487,487,487,487,571,571,571,229,571,611,236,236,264,264,274,274,611,728,728,728,728,728,883,883,883,883,883,611,883,883,1087,1087,1087,1087,1087,1087,1087,1087,611,1087,611,635,683,683,683,728,1382,2028,2028,1382,1557,1557,1557,1557,1557,1821,1821
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,14,0,18,23,30,36,45,48,51,51,65,65,0,81,98,0,0,0,0,0,0,109,215,223,234,235,241,254,267,287,307,327,134,332,350,359,377,394,416,442,459,471,491,134,572,154,154,161,180,180,180,604,991,1024,1102,1169,1242,1298,1455,1455,1538,1629,674,1731,1835,1945,2025,2141,2297,2403,2546,2660,2833,674,2966,3070,682,705,797,863,937,937,3195,4390,4515,4637,4724,4778,4837,4974,5100,5283,5477,3326,5672,5826,5924,6027,6213,6411,6552,6690,6827,6939,3495,7039,3644,3764,3878,4016,4106,4259,7122,7905,7971,7189,7311,7379,7411,7432,7432,7432,7846
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,22,23,26,27,35,41,50,69,0,89,117,134,158,177,201,231,263,295,314,0,330,347,0,0,1,1,5,9,375,558,577,595,612,618,626,642,649,655,660,396,662,669,681,686,687,693,695,697,705,713,416,719,435,454,467,483,502,539,725,792,801,804,815,830,843,853,863,866,882,733,897,903,911,918,930,951,956,984,1000,1022,739,1047,1056,742,755,761,765,773,780,1084,1461,1538,1612,1662,1715,1744,1796,1871,1939,2058,1105,2127,2213,2277,2368,2515,2684,2836,2979,3130,3269,1157,3459,1194,1228,1263,1318,1342,1375,3753,6845,7231,4023,4311,4621,4996,5241,5486,5836,6485
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,9,0,9,14,14,25,73,80,96,101,101,165,0,168,179,0,0,0,0,0,0,190,444,533,574,626,638,638,654,688,801,847,194,847,916,952,1004,1077,1077,1150,1164,1183,1238,218,1275,245,261,323,349,384,444,1333,1700,1730,1857,1912,1971,2017,2061,2109,2119,2153,1362,2231,2301,2341,2366,2376,2423,2477,2556,2641,2750,1398,2799,2833,1432,1464,1516,1571,1602,1667,2951,4181,4404,4684,4848,5084,5439,5679,6063,6444,6874,3024,7276,7492,7677,7904,8164,8334,8739,8944,9101,9214,3110,9499,3262,3431,3557,3739,3881,3995,9702,12052,12443,9992,10244,10462,10772,10966,11194,11504,11750
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,0,0,0,0,0,0,0,7,14,19,19,32,38,49,57,65,81,105,7,128,206,254,315,382,442,495,586,657,713,9,790,867,10,10,11,12,12,12,963,1495,1534,1600,1650,1704,1741,1791,1814,1832,1871,1011,1881,1908,1950,1981,2009,2016,2030,2039,2047,2062,1079,2076,1126,1182,1222,1282,1343,1407,2085,2187,2196,2207,2213,2221,2222,2224,2226,2228,2232,2088,2234,2237,2243,2243,2244,2244,2244,2244,2245,2245,2096,2246,2246,2101,2112,2119,2125,2161,2176,2246,2249,2249,2249,2251,2252,2254,2255,2258,2269,2280,2246,2299,2317,2336,2366,2388,2483,2539,2624,2691,2725,2246,2777,2247,2247,2247,2247,2247,2247,2831,3532,3672,2912,3008,3094,3151,3220,3272,3325,3416
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,7,11,0,16,21,35,40,48,57,67,80,119,139,0,170,186,0,0,0,0,0,0,212,564,620,669,726,766,814,862,923,986,1035,233,1087,1137,1189,1235,1285,1337,1369,1389,1437,1467,269,1501,288,320,350,396,457,515,1537,1766,1783,1804,1810,1830,1840,1862,1872,1881,1887,1611,1900,1908,1916,1931,1941,1947,1963,1974,1983,2005,1649,2025,2045,1668,1685,1703,1729,1741,1754,2083,2211,2219,2233,2238,2248,2262,2273,2280,2295,2305,2092,2309,2312,2315,2318,2319,2321,2325,2330,2332,2340,2107,2341,2119,2133,2173,2191,2200,2205,2348,2413,2420,2353,2361,2369,2372,2380,2395,2399,2403
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,14,26,26,33,46,49,67,0,67,84,95,116,124,132,146,162,179,214,0,230,262,0,0,0,0,0,2,320,595,616,633,662,695,715,735,750,761,767,356,772,784,790,795,804,810,817,822,837,843,396,850,426,446,465,494,526,564,857,898,901,903,905,907,910,914,916,917,918,864,922,923,927,927,935,937,939,939,941,942,872,944,944,874,878,883,889,891,892,949,974,975,980,980,983,985,985,985,985,985,952,985,986,988,990,991,992,992,994,994,996,958,998,958,960,960,964,970,972,999,1013,1014,999,999,1002,1003,1004,1005,1008,1010
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,91,94,141,189,253,298,396,464,694,3,833,995,1120,1236,1394,1654,1925,2279,2631,2817,5,3001,3308,8,12,18,19,31,31,3508,5732,5831,5991,6059,6111,6216,6433,6549,6606,6746,3858,6900,7033,7132,7187,7273,7352,7404,7445,7504,7579,4091,7682,4472,4587,4822,5017,5312,5569,7737,8123,8176,8221,8269,8351,8406,8455,8475,8586,8647,7755,8721,8754,8813,8890,8955,9002,9050,9086,9140,9196,7781,9230,9268,7819,7896,7974,8031,8077,8095,9302,9824,9855,9938,9991,10024,10064,10111,10162,10280,10406,9364,10448,10498,10523,10650,10777,10870,11038,11298,11603,11805,9438,11954,9494,9529,9567,9628,9697,9751,12046,13001,13115,12178,12319,12440,12515,12566,12685,12814,12919
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,9,11,18,47,58,72,0,80,92,115,118,122,132,140,144,155,159,0,168,169,1,1,1,1,2,2,173,184,184,184,184,184,184,184,184,184,185,177,185,185,185,187,187,187,187,187,187,187,179,187,181,181,183,184,184,184,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,188,188,187,187,187,188,188,188,188,188
Diamond Princess,0,0,0,0,0,0,0,0,0,0,0,135,135,175,175,218,285,355,454,542,621,0,634,634,634,691,691,691,705,705,705,705,0,0,0,0,61,61,64,705,706,706,706,706,706,706,706,706,712,712,705,712,712,712,712,712,712,712,712,712,712,706,712,712,706,706,706,706,706,706,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,3,11,11,12,14,18,0,18,30,0,0,0,0,0,0,33,150,187,214,298,363,435,591,732,732,846,40,846,945,974,986,999,1008,1023,1035,1072,1077,49,1089,50,59,90,90,135,135,1097,1210,1227,1256,1268,1284,1309,1331,1401,1518,1618,1112,1828,2047,2270,2270,2270,2468,2468,2697,2914,2914,1112,3194,3354,1116,1120,1124,1133,1135,1189,3569,4373,4398,4441,4449,4465,4501,4539,4545,4557,4565,3779,4565,4582,4599,4617,4630,4635,4643,4643,4643,4656,3935,4682,4054,4123,4169,4207,4278,4331,4704,4968,4968,4715,4736,4736,4792,4822,4878,4889,4955
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,11,11,11,11,0,11,12,0,0,0,0,0,0,12,16,16,16,16,16,16,16,16,16,16,12,16,16,16,16,16,16,16,16,16,16,12,16,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,11,11,11,21,21,34,1,72,112,202,245,312,392,488,581,719,859,1,901,1109,1,1,2,2,5,5,1284,2620,2759,2967,3167,3286,3614,3755,4126,4335,4680,1380,4964,5044,5300,5543,5749,5926,6135,6293,6416,6652,1488,6972,1488,1745,1828,1956,2111,2349,7288,10347,10634,10900,11196,11320,11739,12110,12314,12725,13223,7578,13477,13657,13989,14422,14801,15073,15264,15723,16068,16531,7954,16908,17285,8235,8480,8807,9095,9376,9882,17572,20808,21437,22008,22572,22962,23271,23686,24105,24645,25068,17752,25778,26677,27370,27936,28631,29141,29764,30619,31373,31816,18040,32568,18319,18708,19195,19600,20126,20415,33387,41915,43114,34197,35148,36184,37425,38128,38430,39588,40790
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,17,17,17,28,28,37,58,111,199,6,367,506,789,981,1082,1173,1403,1595,1823,1924,7,1962,2240,10,13,13,13,14,15,2748,7161,7257,7466,7529,7603,7858,8225,8450,9022,9468,3163,10128,10398,10850,11183,22719,22719,22719,23240,24258,24675,3368,24934,3465,3646,3747,3747,4450,4965,26336,29559,29509,30419,30486,30502,31467,32763,33182,33582,34151,27464,34854,35306,35828,36258,36756,37355,37355,38103,38471,38571,29538,38571,39098,31881,31881,31881,30298,28818,29071,39098,44440,44440,45778,46356,46751,47322,47943,48490,49097,49731,40414,49731,50640,50640,51643,51643,53156,53856,54574,55255,55665,40966,56432,40966,41575,42728,43120,43378,43917,58257,65018,67209,59468,60657,61535,61958,62380,63245,63245,64221
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,59,60,67,80,109,110,150,196,196,256,2,285,294,327,366,402,456,495,536,576,609,2,656,710,2,3,15,15,49,55,779,1794,1939,2065,2190,2350,2505,2673,2844,3032,3144,865,3333,3490,3659,3891,4092,4319,4534,4782,5042,5268,985,5537,1070,1173,1322,1450,1560,1699,5895,9400,9746,10093,10431,10829,11228,11719,12229,12764,13484,6193,14229,15003,15786,16513,17265,17967,18756,19666,20793,22082,6465,23449,24985,6813,7201,7588,7981,8476,8964,26384,38284,39726,41303,42980,44598,46289,47856,49219,50437,52211,27536,53758,55233,56809,58141,59561,61130,62755,63923,65188,66754,28615,68311,29767,31115,32612,34079,35444,36829,69814,80235,81158,71299,72711,74035,75253,76222,77279,78304,79254
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,5,9,13,13,19,24,0,30,32,0,0,0,0,0,0,32,117,118,125,137,149,159,164,177,190,201,41,218,225,237,250,274,274,298,323,345,377,46,395,56,62,69,78,93,103,424,889,958,998,1037,1112,1210,1265,1338,1413,1498,446,1571,1640,1725,1819,1915,1983,2042,2109,2194,2278,490,2395,2517,555,587,633,695,742,784,2582,3274,3373,3481,3603,3720,3826,3941,4066,4200,4329,2653,4475,4626,4808,4973,5150,5336,5517,5727,5934,6173,2705,6438,2781,2849,2934,3015,3104,3191,6736,9142,9391,7000,7267,7507,7777,8027,8307,8566,8844
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,0,6,6,6,9,9,9,12,12,12,12,0,12,12,0,0,0,0,0,0,15,18,18,21,21,41,51,51,79,79,79,15,79,83,84,84,214,258,258,258,315,315,16,315,16,16,16,16,18,18,315,439,439,439,522,583,594,594,594,719,825,315,890,903,960,960,960,1043,1043,1043,1043,1306,315,1306,1306,315,315,439,439,439,439,1306,1306,1306,1306,1306,1306,1306,1664,1664,1664,1664,1306,1664,1664,1664,1664,1664,2001,2001,2001,2001,2001,1306,2001,1306,1306,1306,1306,1306,1306,2001,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,6,12,0,12,15,0,0,0,0,0,0,15,34,34,34,34,34,35,35,35,39,39,22,39,39,39,39,39,39,39,39,39,39,22,39,29,29,31,31,33,33,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,41,41,41,65,96,109,121,131,142,142,39,143,143,143,143,144,144,167,191,191,191,39,203,39,39,39,39,39,39,203,232,232,215,215,215,215,215,215,215,232
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,12,16,16,79,115,171,205,225,258,267,1,283,306,326,352,369,404,538,575,645,679,2,715,745,2,3,10,10,10,10,779,1258,1304,1309,1332,1373,1400,1434,1459,1512,1528,858,1535,1552,1559,1592,1605,1635,1643,1647,1660,1666,961,1689,1039,1097,1108,1149,1185,1207,1694,1739,1741,1746,1751,1758,1766,1770,1774,1784,1791,1699,1794,1800,1807,1821,1823,1824,1834,1840,1851,1859,1700,1865,1869,1703,1711,1713,1720,1725,1733,1870,1958,1965,1970,1973,1973,1974,1975,1977,1977,1979,1870,1981,1981,1981,1982,1983,1984,1986,1986,1987,1987,1880,1989,1890,1910,1931,1939,1940,1947,1989,2013,2014,1990,1991,1993,1993,1994,1995,2003,2011
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,4,4,4,4,6,9,9,9,0,9,9,0,0,0,0,0,0,9,12,12,14,15,15,15,16,16,22,22,9,24,31,31,31,36,56,59,65,71,91,9,100,9,9,10,10,12,12,106,172,175,184,187,187,190,202,203,205,208,108,217,220,225,238,250,256,261,272,279,279,112,283,285,116,119,123,153,159,163,293,398,449,472,486,490,506,520,563,586,623,294,627,635,643,674,690,706,728,745,781,795,295,812,300,305,322,333,340,371,840,1257,1311,873,909,954,988,1011,1056,1138,1213
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,0,9,9,11,11,12,12,12,16,16,21,0,23,26,0,0,0,0,0,0,29,65,69,71,74,82,85,92,96,105,108,29,111,114,116,116,117,122,123,124,126,130,35,131,38,43,44,52,55,56,133,239,250,261,263,272,287,306,317,352,365,133,389,399,433,494,582,655,701,731,831,968,135,1063,1172,140,145,162,191,194,210,1257,2506,2670,2915,3166,3345,3521,3630,3759,3954,4070,1344,4469,4532,4663,4848,5034,5175,5425,5570,5689,5846,1486,5846,1636,1805,1934,2020,2156,2336,5846,7120,7402,5846,5846,5846,5846,5846,5846,6774,6973
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,4,5,5,5,5,5,0,5,5,0,0,0,0,0,0,5,16,16,16,16,16,16,17,17,17,17,7,18,18,18,18,18,18,18,18,18,18,7,18,12,12,14,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26,26,18,18,18,19,21,21,21,26
