Subtitle,Institution,Specific Graduate Program,Restrictions,City,State
Illinois Institute of Technology,,36,,31,27
Monterey Institute of International Studies,,Fisher Graduate School of International Business,(no subscore below 6.0),88,9
"University of Phoenix, Mid Cities Learning Center, Hurst",,0,,Hurst,11
"Devry University, Alpharetta Campus",,25,,Alparetta,28
University of Oregon,,School of Architecture and Allied Arts,2,128,36
"Colorado State University, Pueblo",,1,,27,24
"University of Phoenix, Gwinnettt Learning Center, Duluth",,0,,40,28
"Carnegie Mellon University, Japan",,19,2,Kobe,
"University of Colorado, Boulder",,Business (master's in accounting),,114,24
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,0,,39,24
University of Pennsylvania,,Master of Biotechnology,,58,16
"University of Phoenix, Plano Student Resource Center, Plano",,0,,Plano,11
"University of Colorado, Boulder",,Mechanical Engineering (Doctoral),,114,24
Northeastern University,,49,,11,7
"University of California, Berkeley",,Haas School of Business,,Berkeley,9
"University of St. Thomas, Minneapolis",,Opus College of Business,no subscore below 6.5,15,17
Oregon Health & Science University,,43,,59,36
"University of Phoenix, St. Paul Learning Center, Woodbury",,0,,Woodbury,17
Johns Hopkins University,,Advanced Academic Programs,,79,30
Eastern University,,School of Leadership and Development,,72,16
"University of Phoenix, Covington Learning Center, Covington",,0,,Covington,42
"University of Phoenix, Concord Learning Center, Concord",,0,,Concord,9
Dartmouth College,,11,,29,25
University of Scranton,,1,,84,16
"University of Phoenix, Daytona Learning Center, Daytona Beach",,0,,Daytona Beach,32
"Stony Brook University, State University of New York (SUNY)",,School of Professional Development,,Stony Brook,0
Virginia Polytechnic Institute and State University,,MS in Biomedical Technology Development and Managemen,,146,23
"Devry University, Gurnee Center",,25,,Gurnee,27
Carnegie Mellon University,,Heinz College,,17,16
"Northwood University, Florida",,1,,West Palm Beach,32
"Indiana University, Bloomington",,1,,Bloomington,3
"Anderson University, Indiana",,"School of Nursing, MS in Nursing",0,Anderson,3
University of North Texas,,Business School,,Denton,11
"Texas A&M University, College Station",,Health Science Center,,104,11
University of San Diego,,1,School of Business Administration,62,9
"University of Phoenix, Flint Learning Center, Flint",,0,,Flint,4
University of Rochester,,School of Medicine and Dentistry,,141,0
Duke University,,7,,71,31
University of Pittsburgh,,29,12,17,16
Ohio State University,,1,Fisher College of Business: Contact school for score,16,10
"University of Phoenix, Northland Learning Center, Kansas City",,0,,49,34
Syracuse University,,College of Visual and Performing Arts,,103,0
"Devry University, Sacramento (Elk Grove) Campus",,25,,60,9
San Diego State University,,39,,62,9
"University of Phoenix, San Francisco Learning Center, San Francisco",,0,,75,9
Massachusetts Institute of Technology,,Nuclear Science & Engineering,,85,7
"University of Phoenix, Maryland Campus, Columbia",,0,,130,30
"Auburn University, Auburn",,Department of Communication and Journalism,,5,8
Duke University,,Sanford School of Public Policy,,71,31
Massachusetts Institute of Technology,,Aeronautics and Astronautics,,85,7
Dominican University,,12,,69,27
George Washington University,,School of Engineering and Applied Sciences,3,1,2
Suffolk University,,Sawyer School of Management,,11,7
"University of Phoenix, Tulsa Campus, Tulsa",,0,,92,35
Virginia Polytechnic Institute and State University,,School of Architecture and Design,Master of Landscape Architecture (MLA),146,23
Georgetown University,,Nursing and Health Science,,1,2
Harvard Business School,,Master of Business Administration Programs,,11,7
University of Portland,,Nursing,,59,36
"University of Phoenix, Des Peres Learning Center, Des Peres",,0,,Des Peres,34
"University of Colorado, Boulder",,47,,114,24
American University,,School of Communication,,1,2
"Devry University, Pomona Campus",,25,,Pomona,9
"Devry University, San Diego Campus",,25,,62,9
Lutheran School of Theology at Chicago,,Master of Theology,2,31,27
"California Baptist University, Beaumont",,17,,13,9
Johns Hopkins University,,School of Engineering-4610,,79,30
"University of Alabama, Tuscaloosa",,Manderson Graduate School of Business,,Tuscaloosa,8
"City University of Seattle, Business and Hotel Management School",,MBA Global Management,2,Lucerne,
Michigan State University,,Broad College of Business,,East Lansing,4
"Texas A&M University, Commerce",,56,,105,11
University of Scranton,,Software Engineering,,84,16
Virginia Polytechnic Institute and State University,,58,Ph.D. program,146,23
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,0,,Pleasant Grove,15
Boston University,,School of Management,,11,7
"Devry University, Paramus Center",,25,,Paramus,13
"Devry University, Chesapeake (South Hampton Roads) Campus",,25,,Chesapeake,23
University of Georgia,,J.M. Tull School of of Accounting,,19,28
Widener University,,30,,148,16
Marywood University,,Biotechnology,,84,16
"University of Colorado, Boulder",,Journalism (Doctoral),,114,24
"University of Phoenix, Central Valley Campus, Fresno",,0,,42,9
"City University of Seattle, CU-TEI Piraeus Program",,MS in Project Management,2,19,
"University of Phoenix, Houston Northwest Learning Center, Houston",,0,,7,11
Houston Baptist University,,Graduate Business Programs,2,7,11
"University of Phoenix, South Austin Student Resource Center, Austin",,0,,34,11
"City University of Seattle, Vysoka Skola Financni a Spravni",,1,2,Prague,
"Northwood University, Texas",,1,,91,11
Georgia State University,,32,4,33,28
University of Texas Medical Branch,,School of Allied Health Sciences,,143,11
University of Kansas,,0,no subscore below 5.5; provisional admissions (ESL required): 5.5 (no subsocre below 5.0),120,46
Regent University,,School of Psychology & Counseling,,97,23
"University of Phoenix, Killeen Learning Center, Killeen",,0,,Killeen,11
"Devry University, Mesa Center",,25,,2,5
"University of Phoenix, Central Florida Campus, Maitland",,0,,Maitland,32
Georgia State University,,J. Mack Robinson College of Business,,33,28
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,0,,Santa Fe,48
"University of Michigan, Ann Arbor",,14,,122,4
Seton Hall University,,Physician Assistant Program,,102,16
Brandeis University,,Heller Graduate School (SID Program),,12,7
"Carnegie Mellon University, Australia",,Entertainment Technology Center,,18,
University of Virginia,,43,,144,23
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,0,,Westborough,7
"University of Phoenix, Louisiana Campus, Metairie",,0,,Metairie,42
"University of Phoenix, St. Louis Campus, St. Louis",,0,,65,34
University of Portland,,65,,59,36
"University of Phoenix, Cincinnati Campus, Westchester",,0,,Westchester,10
"Devry University, Columbus North Center",,25,,16,10
"University of Phoenix, Sacramento Valley Campus, Sacramento",,0,,60,9
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,1,2,Bucharest,
Florida International University,,28,,52,32
"University of Colorado, Boulder",,Mechanical Engineering (Master's),,114,24
Capital University,,1,,16,10
University of Denver,,Arts Humanities and Social Sciences,,25,24
University of Chicago,,33,,31,27
"City University of Seattle, Vysoka Skola Manazmentu",,1,2,Trencin,
"University of Massachusetts, Amherst",,7,2,121,7
Rice University,,Jesse H. Jones Graduate School of Business,,7,11
University of San Francisco,,Masagung Graduate School of Management,,75,9
University of Denver,,School of Professional Psychology,,25,24
"University of Phoenix, Southlands Learning Center, Aurora",,0,,Aurora,24
University of New Haven,,M.S. Engineering and Operations Management,,126,38
"University of Phoenix, El Centro Learning Center II, Imperial",,0,,131,9
Georgia State University,,"Department of Modern and Classical Languages MA, French, German and Spanish",2,33,28
Columbia University,,11,,6,0
"Northwood University, Michigan",,1,,Midland,4
American University,,Kogod School of Business,,1,2
"Colorado State University, Pueblo",,Masters of Science with a Major in Nursing,,27,24
"University of Colorado, Boulder",,Civil Engineering,,114,24
University of Pennsylvania,,Graduate Division of Arts & Sciences,,58,16
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,0,,48,32
"Wheaton College, Illinois",,Ph.D. Programs,,147,27
"Brigham Young University, Utah",,Marriott School of Management,,Provo,15
"University of Phoenix, Columbia South Carolina Campus, Columbia",,0,,130,22
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,0,,27,24
"University of Colorado, Boulder",,60,,114,24
"Devry University, Oakland Center",,25,,55,9
"Rutgers, The State University of New Jersey, Newark",,48,,99,13
"University of Alaska, Fairbanks",,Fairbanks School of Management,,Fairbanks,43
"University of Phoenix, Indianapolis Campus, Indianapolis",,0,,46,3
"Colorado State University, Fort Collins",,6,,26,24
University of Rhode Island,,39,,140,41
Seton Hall University,,Art Therapy with Specialization in Counseling,,102,16
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,0,,3,5
San Jose State University,,Lucas Graduate School of Business,,63,9
"University of Phoenix, Chandler Learning Center, Chandler",,0,,Chandler,5
Fairfield University,,Master of Science in the Management of Technology,,73,38
"Devry University, San Jose Center",,25,,63,9
Upper Iowa University,,Master Public Administration,,145,45
Syracuse University,,School of Information Studies,2,103,0
Colorado Heights University,,1,,25,24
Florida International University,,29,,52,32
Kent State University,,40,,80,10
Mississippi State University,,8,,87,40
"University of Phoenix, Oregon Campus, Tigard",,0,,Tigard,36
"University of Phoenix, Utah Campus, Salt Lake City",,0,,137,15
Marywood University,,Business & Managerial Science,,84,16
Boston College,,11,,10,7
"University of Phoenix, South Florida Campus, Plantation",,0,,Plantation,32
University of San Francisco,,50,,75,9
"Long Island University, Post",,34,,82,0
"University of Phoenix, Lafayette, LA Campus, LaFayette",,0,,LaFayette,42
"University of Alaska, Anchorage",,"College of Business, Public Policy",2,Anchorage,43
"University of Phoenix, Turnpike Learning Center, Westminster",,0,,67,24
Loma Linda University,,School of Religion,,81,9
"University of Phoenix, San Antonio Campus, San Antonio",,0,,61,11
"University of California, San Diego",,Rady School of Management,Master of Business Administration and Ph.D programs,112,9
New School (The),,Social Research,,6,0
"Devry University, Cincinnati Campus",,25,,38,10
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,0,,35,9
"University of Michigan, Ann Arbor",,Ross School of Business,,122,4
Columbia University,,Business School Master of Science Programs,2,6,0
"University of Phoenix, Madison Campus, Madison",,0,,70,1
University of Scranton,,Kania School of Managament,,84,16
"Devry University, Memphis Campus",,25,,51,18
Massachusetts Institute of Technology,,Department of Mathematics,7,85,7
Vanderbilt University,,Master of Science in Nutrition and Dietetics,2,54,18
Massachusetts Institute of Technology,,"Departent of Earth, Atmospheric and Planetary Science",7,85,7
"University of Phoenix, Tacoma Learning Center, Tacoma",,0,,93,29
University of Pennsylvania,,Computer and Information Science Graduate Programs,,58,16
University of Virginia,,Darden School of Business,,144,23
University of Louisville,,Doctor of Philosophy in Interdisciplinary Studies,,"Louisville, KY 40292",12
"University of Phoenix, Portage Learning Center, Portage",,0,,Portage,4
"University of Phoenix, Northern Virginia Campus, Reston",,0,,Reston,23
Massachusetts Institute of Technology,,Operations Research,(IELTS preferred),85,7
"University of Phoenix, Visalia Learning Center, Visalia",,0,,Visalia,9
"University of Phoenix, West Loop Learning Center, Houston",,0,,7,11
"University of California, San Diego",,Graduate School of International Relations & Pacific Studies,,112,9
Tufts University,,"Graduate Arts, Sciences and Engineering",,107,7
Boston University,,14,,11,7
"University of Phoenix, Lathrop Learning Center, Lathrop",,0,,Lathrop,9
"Devry University, Decatur Campus",,25,,Decatur,28
"University of Nevada, Las Vegas",,William F. Harrah College of Hotel Administration,,124,33
University of New Haven,,M.S. Environmental Engineering,,126,38
Yale University,,School of Forestry and Environmental Studies,2,149,38
University of New Hampshire,,Whitmore School of Business and Economics,,71,25
"University of Phoenix, Miami Learning Center, Miami",,0,,52,32
Massachusetts Institute of Technology,,Master of Engineering in Manufacturing,Contact school for score (IELTS preferred),85,7
"Devry University, Manassas Center",,25,,50,23
Brandeis University,,SLIFKA Program in Intercommunal Coexistence,,12,7
"Devry University, King of Prussia Center",,25,,King of Prussia,16
University of Portland,,Music,,59,36
University of Arizona,,59,,110,5
Massachusetts Institute of Technology,,26,7,85,7
University of Kansas,,Graduate Teaching Assistant,Speaking,120,46
University of Indianapolis,,0,,46,3
Massachusetts Institute of Technology,,Center for Real Estate,6,85,7
"Auburn University, Auburn",,6,,5,8
Columbia Southern University,,Doctor of Business Administration,,Orange Beach,8
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,0,,Palm Desert,9
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,0,,O'Fallon,34
"University of Phoenix, Chicago Campus, Schaumburg",,0,,Schuamburg,27
Spring Hill College,,1,,Mobile,8
"Devry University, Colorado Springs Center",,25,,39,24
University of Iowa,,College of Dentistry,,119,45
University of Redlands,,Master of Science in Geographic Engineering Systems,,Redlands,9
University of Pittsburgh,,14,,17,16
"University of Phoenix, Knoxville Campus, Knoxville",,0,,Knoxville,18
"University of Phoenix, La Palma Learning Center, La Palma",,0,,La Palma,9
Santa Clara University,,Leavey School of Business,,100,9
Metropolitan State University,,Master of Science in Computer Science,,83,17
"Richmond, The American International University in London",,Master in International Relations,2,98,
"University of Massachusetts, Boston",,M.Ed. School of Counseling,2,11,7
"University of Phoenix, Marietta Learning Center, Marietta",,0,,Marietta,28
"University of Massachusetts, Boston",,Master of Arts in Applied Linguistics,2,11,7
"University of Phoenix, Clear Lake Learning Center, Houston",,0,,7,11
George Washington University,,Graduate School of Human Development,3,1,2
Capital University,,Graduate Nursing,,16,10
Doane College,,Master of Arts in Management,,68,37
"California Baptist University, Chino",,17,,Chino,9
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,0,,Hillsboro,36
"Devry University, St. Louis Campus",,25,,65,34
"University of Massachusetts, Amherst",,15,,121,7
"University of Colorado, Boulder",,Environmental Studies,,114,24
"Devry University, Fresno Campus",,25,,42,9
"Devry University, Oxnard Center",,25,,Oxnard,9
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,0,,Levittown,16
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,0,,Idaho Falls,14
Capital University,,School of Management and Leadership,,16,10
Claremont Graduate University,,The Peter F. Drucker and Masatoshi Ito Graduate School of Management,6.5-7.0,Claremont,9
Georgia State University,,Institute of Public Health,2,33,28
University of Iowa,,Henry B. Tippie School of Management,,119,45
Columbia University,,School of International and Public Affairs,,6,0
University of Connecticut,,33,,115,38
"University of Phoenix, Tinley Park Learning Center, Mokena",,0,,Mokena,27
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,0,,Santa Teresa,48
"Devry University, Addison Campus",,25,,Addison,27
"University of Houston, Victoria",,30,,22,11
"University of Phoenix, Hawaii Campus, Honolulu",,0,,118,44
"Devry University, Miami Center",,25,,52,32
Mississippi State University,Mississippi University for Women,28,,87,40
"University of Phoenix, Columbus Ohio Campus, Columbus",,0,,16,10
"University of Texas, Tyler",,61,2,Tyler,11
Loma Linda University,,27,,81,9
Gonzaga University,,33,,76,29
Pacific University,,27,,94,36
Mississippi State University,,39,2,87,40
University of Memphis,,Master of Science and Ph.D. in Computer Science,,51,18
Western Kentucky University,,Gordon Ford College of Business,9,Bowling Green,12
"University of Colorado, Boulder",,"Technology, Media and Society (ATLAS)",,114,24
Northwestern University,,"Kellogg School of Management, Ph.D. Program",,90,27
"University of Michigan, Ann Arbor",,42,,122,4
University of Pittsburgh-Carnegie Mellon University,,Ph.D. Joint Program in Computational Biology,,17,16
Boston University,,16,,11,7
Pepperdine University,,School of Public Policy,,96,9
"Carnegie Mellon University, Portugal",,19,2,Lisbon,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,0,,Greenbelt,30
Florida Atlantic University,,Barry Kaye College of Business,2,Boca Raton,32
Northern Arizona University,,W.A. Franke College of Business,,Flagstaff,5
Yale University,,11,,149,38
College of William and Mary (The),,1,,24,23
Florida International University,,School of Computing and Information Sciences,,52,32
Xavier University,,1,,38,10
Alverno College,,1,,0,1
"University of Phoenix, Cascades Learning Center, Portland",,0,,59,36
Shenandoah University,,"Harry F. Byrd, Jr. School of Business",,Winchester,23
"University of Colorado, Boulder",,Engineering Management,,114,24
Marywood University,,Nutrition:,,84,16
University of Pennsylvania,,Fels School of Government,2,58,16
University of Houston,,College of Natural Sciences,2,7,11
Milligan College,,1,,Milligan College,18
"St. John's University, Queens",,Peter J. Tobin College of Business,2,Queens,0
"University of Phoenix, Palm Beach Gardens Learning Center",,0,,Palm Beach Gardens,32
"Texas A&M University, Commerce",,54,,105,11
"Devry University, Tampa Bay Campus",,25,,66,32
"University of Hawaii, Manoa",,U.S. International Master of Business Administration,10,118,44
Kent State University,,The School of Library and Information Science,,80,10
University of Denver,,Daniels College of Business,,25,24
Vanderbilt University,,Owen Graduate School of Management,,54,18
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,0,,48,32
"Auburn University, Auburn",,8,,5,8
"University of Phoenix, Timonium Learning Center, Timonium",,0,,Timonium,30
"Devry University, Sherman Oaks Campus",,25,,Sherman Oaks,9
"University of Colorado, Boulder",,Theater,,114,24
Virginia Polytechnic Institute and State University,,College of Agriculture and Life Sciences,,146,23
DePaul University,,College of Computing and Digital Media,,31,27
University of Connecticut,,57,depending on program (contact department),115,38
"Carnegie Mellon University, Australia",,"Heinz School, School of Public Policy and Management",,18,
Massachusetts Institute of Technology,,MIT-Woods Hole Oceanographic,,85,7
University of North Texas Health Science Center,,9,,106,11
University of Portland,,Communication Studies,,59,36
"University of Phoenix, North Florida Learning Center, Jacksonville",,0,,48,32
Manhattan School of Music,,Doctorate of Musical Arts,,6,0
Capital University,,Graduate Music,,16,10
"University of Phoenix, Puerto Rico Campus, Guaynabo",,0,,Guaynabo,47
Dartmouth College,,Dartmouth Institute for Health Policy & Clinical Practice,2,29,25
"Devry University, Austin Campus",,25,,34,11
"University of Phoenix, Lynnwood Learning Center, Seattle",,0,,101,29
University of Pittsburgh,,15,,17,16
Massachusetts Institute of Technology,,47,,85,7
University of Delaware,,MS Accounting,Alfred Lerner College of Business and Economics,99,26
"Devry University, Irving Campus",,25,,47,11
"Devry University, Chicago O'Hare Center",,25,,31,27
"University of Hawaii, Hilo",,61,,Hilo,44
"University of Phoenix, Rockville Learning Center, Rockville",,0,,Rockville,30
Chapman University,,Conservatory of Motion Pictrures,,20,9
University of Scranton,,Master of Health Administration,,84,16
Alfred University,,Master of Fine Arts,,Alfred,0
"Devry University, Anaheim Center",,25,,Anaheim,9
"University of Phoenix, San Diego Campus, San Diego",,0,,62,9
Assumption College,,1,,4,7
"University of Maryland, Baltimore",,7,MS,79,30
Delaware State University,,Master of Arts in Educational Leadership,2,30,26
"University of Phoenix, Escorial Learning Center, Carolina",,0,,Carolina,47
Luther Seminary,,44,,83,17
"University of Phoenix, Plainfield Learning Center, Plainfield",,0,,Plainfield,3
University of Cincinnati,,6,,38,10
"University of Phoenix, Windsor Park Learning Center, Windcrest",,0,,Windcrest,11
"University of Phoenix, Mesa Learning Center, Mesa",,0,,2,5
Johns Hopkins University,,15,,79,30
Massachusetts Institute of Technology,,Sloan School of Management,Ph.D. Program: 7.0,85,7
Virginia Polytechnic Institute and State University,,52,,146,23
"University of Phoenix, Snellville Learning Center, Snellville",,0,,Snellville,28
"California State University, Fullerton",,1,,14,9
"University of Phoenix, Whichita Campus, Whichita",,0,,139,46
"Devry University, Cherry Hill Center",,25,,Cherry Hill,13
Illinois State University,,Master's in English,,Normal,27
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,0,,Kennewick,29
University of Houston,,C.T. Bauer College of Business,,7,11
"University of Phoenix, Dekalb Learning Center, Atlanta",,0,,33,28
Regent University,,15,,97,23
University of Delaware,,16,2,99,26
SIT Graduate Institute,,20,,Brattleboro,VT
Boston University,,13,,11,7
Johns Hopkins University,,School of Medicine (Ph.D.),,79,30
California Lutheran University,,0,,Thousand Oaks,9
"Devry University, Bethesda Center",,25,,Bethesda,30
Alverno College,,Master of Science in Community Psychology,,0,1
Boston College,,Carroll School of Management,,10,7
"University of Michigan, Ann Arbor",,Taubman School - Architecture,,122,4
Massachusetts Institute of Technology,,Media Arts and Sciences,5,85,7
University of Pittsburgh,,Dietreich College - Arts and Sciences,,17,16
"University of Phoenix, Charlotte North Learning Center, Charlotte",,0,,37,31
"Devry University, North Brunswick Campus",,25,,North Brunswick,13
"University of Phoenix, Asheville Learning Center, Asheville",,0,,Asheville,31
"University of Michigan, Ann Arbor",,Public Health,,122,4
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,0,,56,35
"University of Colorado, Boulder",,Linguistics,,114,24
University of Florida,,Warrington College of Business Administration,,117,32
University of San Francisco,,45,School of Education,75,9
University of Texas Medical Branch,,7,,143,11
"University of Phoenix, Franklin Learning Center, Franklin",,0,,Franklin,18
"University of Houston, Victoria",,50,2,22,11
Minot State University,,6,,Minot,ND
"University of Minnesota, Twin Cities",,School of Journalism and Mass Communication,2,15,17
University of Pittsburgh,,27,,17,16
Georgia State University,,College Of Education,,33,28
"Carnegie Mellon University, Australia",,"Heinz School, School of Information Systems and Management",,18,
University of Houston,,51,2,7,11
"California Baptist University, Riverside",,17,,Riverside,9
"University of Phoenix, Atlanta Campus, Sandy Springs",,0,,Sandy Springs,28
Widener University,,School of Hospitality Management,,148,16
University of Rochester,,Warner School of Education,2,141,0
University of Pennsylvania,,Graduate School of Design,,58,16
"University of Phoenix, Las Vegas Campus, Las Vegas",,0,,124,33
"University of Phoenix, Northwest Learning Center, Las Vegas",,0,,124,33
"University of Phoenix, McDonough Learning Center, McDonough",,0,,McDonough,28
"University of Phoenix, Southfield Learning Center, Southfield",,0,,64,4
Tulane University,,Freeman School of Business,2,108,42
University of New Haven,,M.S. Electrical Engineering,,126,38
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,0,,Murfreesboro,18
"University of Phoenix, Oakland Learning Center, Oakland",,0,,55,9
Syracuse University,,Maxwell School,,103,0
Massachusetts Institute of Technology,,Harvard-MIT Division of Health Sciences and Technology,IELTS strongly preferred,85,7
"City University of Seattle, Victoria",,23,2,22,21
University of Arkansas For Medical Sciences,,59,,111,6
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,0,,17,16
Boise State University,,10,,9,14
University of New Haven,,M.S. Network Systems,,126,38
"Auburn University, Auburn",,0,,Montgomery,8
"University of Phoenix, Livermore Learning Center, Livermore",,0,,Livermore,9
University of Baltimore,,International MS in Health Systems,2,79,30
Wesleyan University,,Graduate Liberal Studies Program,,Middletown,38
"College of Staten Island, City University of New York (CUNY)",,Business Management,,23,0
University of New Haven,,MS. in Professional Education,,126,38
"Devry University, Oklahoma City Campus",,25,,56,35
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,0,,Detroit,4
University of Denver,,University College,,25,24
Massachusetts Institute of Technology,,Biological Engineering,5,85,7
"University of Colorado, Boulder",,Electrical Engineering,,114,24
University of Pennsylvania,,Annenberg School of Communications,2,58,16
Tufts University,,Fletcher School of Law and Diplomacy,,107,7
"Devry University, Bellevue (Seattle) Center",,25,,36,29
American University,,3,,1,2
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,0,,17,16
Tufts University,,Cummings School of Veterinary Medicine,2,107,7
Vanderbilt University,,49,,54,18
Syracuse University,,Whitman School of Management,,103,0
Massachusetts Institute of Technology,,Linguistics & Philosophy,,85,7
Massachusetts Institute of Technology,,Engineering Systems Division,5,85,7
"University of Phoenix, El Centro Learning Center, Imperial",,0,,131,9
"University of Wisconsin, Madison",,Wisconsin School of Business,11,70,1
"Adelphi University, Garden City",,0,,Garden City,0
"University of Phoenix, Sarasota Learning Center, Sarasota",,0,,Sarasota,32
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,0,,Modesto,9
"Devry University, Dayton Center",,25,,Dayton,10
Biola University,,Applied Linguistics and TESOL,,La Mirada,9
University of Delaware,,College of Agriculture and Natural Resources,2,99,26
"University of Phoenix, Stonecrest Learning Center, San Diego",,0,,62,9
"University of Michigan, Dearborn",,College of Engineering and Computer Science,,123,4
New York Medical College,,Doctor of Physical Therapy (DTP),,89,0
University of Findlay,,6,2,116,10
Massachusetts Institute of Technology,,Technology and Policy Program,5,85,7
Georgetown University,,McCourt School of Public Policy,,1,2
"University of Colorado, Boulder",,Telecommunications,,114,24
"University of Phoenix, Culver City Learning Center, Culver City",,0,,Culver City,9
University of South Carolina,,Moore School of Business,,130,22
Virginia Polytechnic Institute and State University,,Pamplin College of Business,,146,23
Massachusetts Institute of Technology,,Department of Brain/Cognitive Science,School of Science: (IELTS preferred),85,7
"Pennsylvania State University, Harrisburg",,American Studies,,95,16
"University of Phoenix, Ontario Learning Center, Ontario",,0,,Ontario,9
University of the Pacific,,Thomas J. Long School of Pharmacy and Health Sciences,Pharm.D.: * ESL required: 5.0,Stockton,9
"University of Phoenix, Whichita Student Resource Center, Whichita",,0,,139,12
University of Virginia,,3,,144,23
University of Findlay,,20,,116,10
"University of Phoenix, Greenville Learning Center, Greenville",,0,,Greenville,22
University of South Dakota,,0,,Vermillion,SD
Upper Iowa University,,1,,145,45
Johns Hopkins University,,7,,79,30
Lamar University,,Ph.D. programs,,13,11
"University of Phoenix, Town Center Learning Center, Southfield",,0,,64,4
University of Pittsburgh,,School of Public and International Affairs,,17,16
"Purdue University, Calumet",,1,,Hammond,3
"Devry University, Edina Campus",,25,,Edina,17
"University of Phoenix, Chattanooga Campus, Chattanooga",,0,,Chattanooga,18
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,0,,Clearwater,32
"University of Phoenix, Cleveland Campus, Independence",,0,,129,10
"University of Phoenix, El Centro Learning Center III, El Centro",,0,,El Centro,9
"University of Phoenix, Charlotte Campus, Charlotte",,0,,37,31
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,0,,31,27
Johns Hopkins University,,Bloomberg School of Public Health,,79,30
"University of Colorado, Boulder",,Journalism (Master's),,114,24
University of Pennsylvania,,7,,58,16
Boston University,,15,(7.0 for TESOL),11,7
Emory University,,26,2,33,28
Upper Iowa University,,Master of Higher Education Administration,,145,45
"University of Phoenix, Macomb Learning Center, Clinton Township",,0,,Clinton Township,4
"University of Phoenix, Philadelphia Financial District Learning Center",,0,,58,16
"College of Staten Island, City University of New York (CUNY)",,Mental Health Counseling,,23,0
Massachusetts Institute of Technology,,Science Writing,,85,7
University of Baltimore,,International Master of Public Administration,2,79,30
"University of Phoenix, Augusta Campus, Augusta",,0,,Augusta,28
"Devry University, Charlotte Campus",,25,,37,31
"University of Colorado, Boulder",,56,,114,24
Fairfield University,,Graduate School of Education and Allied Professions,,73,38
New School (The),,General Studies,,6,0
Emory University,,Rollins School of Public Health,,33,28
University of Denver,,Master of Taxation,,25,24
University of Denver,,Morgridge College of Education,2,25,24
"University of Phoenix, Washington Learning Center, Washington",,0,,1,16
Loma Linda University,,43,,81,9
"Devry University, Tampa East Center",,25,,66,32
University of Delaware,,"College of Earth, Ocean and Environment",2,99,26
"University of Arkansas, Fayetteville",,Sam Walton College of Business,(contact school for subscore minimums),Fayetteville,6
College of William and Mary (The),,Mason School of Business,,24,23
Monterey Institute of International Studies,,1,(two-year),88,9
"University of Phoenix, Manassas Learning Center, Manassas",,0,,50,23
Loma Linda University,,13,,81,9
University of Delaware,,Alfred Lerner College of Business and Economics,,99,26
"Devry University, Columbus Campus",,25,,16,10
"Devry University, Milwaukee Campus",,25,,0,1
Northeastern University,,College of Social Sciences and Humanities,2,11,7
"Devry University, Bakersfield Center",,25,,35,9
Northeastern University,,School of Journalism,,11,7
Fairleigh Dickinson University,,27,2,Teaneck,13
"University of Phoenix, Nashville Campus, Nashville",,0,,54,18
"Devry University, Henderson Campus",,25,,45,33
Kent State University,,39,,80,10
Columbia University,,7,2,6,0
"University of Wisconsin, Stout",,63,MS Degree in Technology Managament,Menomonie,1
University of Houston,,Cullen College of Engineering,2,7,11
"University of Phoenix, West Valley Learning Center, Phoenix",,0,,3,5
Tufts University,,57,,107,7
"Pennsylvania State University, University Park",,Smeal College of Business,9,University Park,16
University of Oklahoma,,Michael F. Price College of Business,,Norman,35
"University of Phoenix, Harrisburg Campus, Harrisburg",,0,,95,16
Ohio State University,,Master of Business Operational Excellence,8,16,10
New York University,,Gallatin School of Individualized Study,4,6,0
"Devry University, Southfield Campus",,25,,64,4
Loma Linda University,,School of Science and Technology,,81,9
"University of Michigan, Ann Arbor",,Public Policy,,122,4
"Devry University, Ft. Worth Center",,25,,Ft. Worth,11
Brandeis University,,International Business School,,12,7
Drexel University,,Master of Science in Finance,2,58,16
