Institution,Specific Graduate Program,Restrictions,City,State
"University of Phoenix, Palm Beach Gardens Learning Center",,,,
"Texas A&M University, Commerce",,,,
"Devry University, Tampa Bay Campus",,,,
"University of Hawaii, Manoa",,,,
Kent State University,,,,
University of Denver,,,,
Vanderbilt University,,,,
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,,,
"Auburn University, Auburn",,,,
"University of Phoenix, Timonium Learning Center, Timonium",,,,
"Devry University, Sherman Oaks Campus",,,,
"University of Colorado, Boulder",,,,
Virginia Polytechnic Institute and State University,,,,
DePaul University,,,,
University of Connecticut,,,,
"Carnegie Mellon University, Australia",,,,
Massachusetts Institute of Technology,,,,
University of North Texas Health Science Center,,,,
University of Portland,,,,
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,
Manhattan School of Music,,,,
Capital University,,,,
"University of Phoenix, Puerto Rico Campus, Guaynabo",,,,
Dartmouth College,,,,
"Devry University, Austin Campus",,,,
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,
University of Pittsburgh,,,,
Massachusetts Institute of Technology,,,,
University of Delaware,,,,
"Devry University, Irving Campus",,,,
"Devry University, Chicago O'Hare Center",,,,
"University of Hawaii, Hilo",,,,
"University of Phoenix, Rockville Learning Center, Rockville",,,,
Chapman University,,,,
University of Scranton,,,,
Alfred University,,,,
"Devry University, Anaheim Center",,,,
"University of Phoenix, San Diego Campus, San Diego",,,,
Assumption College,,,,
"University of Maryland, Baltimore",,,,
Delaware State University,,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,
Luther Seminary,,,,
"University of Phoenix, Plainfield Learning Center, Plainfield",,,,
University of Cincinnati,,,,
"University of Phoenix, Windsor Park Learning Center, Windcrest",,,,
"University of Phoenix, Mesa Learning Center, Mesa",,,,
Johns Hopkins University,,,,
Massachusetts Institute of Technology,,,,
Virginia Polytechnic Institute and State University,,,,
"University of Phoenix, Snellville Learning Center, Snellville",,,,
"California State University, Fullerton",,,,
"University of Phoenix, Whichita Campus, Whichita",,,,
"Devry University, Cherry Hill Center",,,,
Illinois State University,,,,
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,
University of Houston,,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,
Regent University,,,,
University of Delaware,,,,
SIT Graduate Institute,,,,
Boston University,,,,
Johns Hopkins University,,,,
California Lutheran University,,,,
"Devry University, Bethesda Center",,,,
Alverno College,,,,
Boston College,,,,
"University of Michigan, Ann Arbor",,,,
Massachusetts Institute of Technology,,,,
University of Pittsburgh,,,,
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,
"Devry University, North Brunswick Campus",,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,
"University of Michigan, Ann Arbor",,,,
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,,,
"University of Colorado, Boulder",,,,
University of Florida,,,,
University of San Francisco,,,,
University of Texas Medical Branch,,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,
"University of Houston, Victoria",,,,
Minot State University,,,,
"University of Minnesota, Twin Cities",,,,
University of Pittsburgh,,,,
Georgia State University,,,,
"Carnegie Mellon University, Australia",,,,
University of Houston,,,,
"California Baptist University, Riverside",,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,
Widener University,,,,
University of Rochester,,,,
University of Pennsylvania,,,,
"University of Phoenix, Las Vegas Campus, Las Vegas",,,,
"University of Phoenix, Northwest Learning Center, Las Vegas",,,,
"University of Phoenix, McDonough Learning Center, McDonough",,,,
"University of Phoenix, Southfield Learning Center, Southfield",,,,
Tulane University,,,,
University of New Haven,,,,
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,
"University of Phoenix, Oakland Learning Center, Oakland",,,,
Syracuse University,,,,
Massachusetts Institute of Technology,,,,
"City University of Seattle, Victoria",,,,
University of Arkansas For Medical Sciences,,,,
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,
Boise State University,,,,
University of New Haven,,,,
"Auburn University, Auburn",,,,
"University of Phoenix, Livermore Learning Center, Livermore",,,,
University of Baltimore,,,,
Wesleyan University,,,,
"College of Staten Island, City University of New York (CUNY)",,,,
University of New Haven,,,,
"Devry University, Oklahoma City Campus",,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,
University of Denver,,,,
Massachusetts Institute of Technology,,,,
"University of Colorado, Boulder",,,,
University of Pennsylvania,,,,
Tufts University,,,,
"Devry University, Bellevue (Seattle) Center",,,,
American University,,,,
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,,,
Tufts University,,,,
Vanderbilt University,,,,
Syracuse University,,,,
Massachusetts Institute of Technology,,,,
,Linguistics & Philosophy,,85,7
"University of Phoenix, El Centro Learning Center, Imperial",,,,
"University of Wisconsin, Madison",,,,
"Adelphi University, Garden City",,,,
"University of Phoenix, Sarasota Learning Center, Sarasota",,,,
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,
"Devry University, Dayton Center",,,,
Biola University,,,,
University of Delaware,,,,
"University of Phoenix, Stonecrest Learning Center, San Diego",,,,
"University of Michigan, Dearborn",,,,
New York Medical College,,,,
University of Findlay,,,,
Massachusetts Institute of Technology,,,,
Georgetown University,,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,
University of South Carolina,,,,
Virginia Polytechnic Institute and State University,,,,
Massachusetts Institute of Technology,,,,
"Pennsylvania State University, Harrisburg",,,,
"University of Phoenix, Ontario Learning Center, Ontario",,,,
University of the Pacific,,,,
"University of Phoenix, Whichita Student Resource Center, Whichita",,,,
University of Virginia,,,,
University of Findlay,,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,
University of South Dakota,,,,
Upper Iowa University,,,,
Johns Hopkins University,,,,
Lamar University,,,,
"University of Phoenix, Town Center Learning Center, Southfield",,,,
University of Pittsburgh,,,,
"Purdue University, Calumet",,,,
"Devry University, Edina Campus",,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,,,
"University of Phoenix, Cleveland Campus, Independence",,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,
Johns Hopkins University,,,,
"University of Colorado, Boulder",,,,
University of Pennsylvania,,,,
Boston University,,,,
Emory University,,,,
Upper Iowa University,,,,
"University of Phoenix, Macomb Learning Center, Clinton Township",,,,
"University of Phoenix, Philadelphia Financial District Learning Center",,,,
"College of Staten Island, City University of New York (CUNY)",,,,
Massachusetts Institute of Technology,,,,
University of Baltimore,,,,
"University of Phoenix, Augusta Campus, Augusta",,,,
"Devry University, Charlotte Campus",,,,
"University of Colorado, Boulder",,,,
Fairfield University,,,,
New School (The),,,,
Emory University,,,,
University of Denver,,,,
,Master of Taxation,,25,24
"University of Phoenix, Washington Learning Center, Washington",,,,
Loma Linda University,,,,
"Devry University, Tampa East Center",,,,
University of Delaware,,,,
"University of Arkansas, Fayetteville",,,,
College of William and Mary (The),,,,
Monterey Institute of International Studies,,,,
"University of Phoenix, Manassas Learning Center, Manassas",,,,
Loma Linda University,,,,
University of Delaware,,,,
"Devry University, Columbus Campus",,,,
"Devry University, Milwaukee Campus",,,,
Northeastern University,,,,
"Devry University, Bakersfield Center",,,,
Northeastern University,,,,
Fairleigh Dickinson University,,,,
"University of Phoenix, Nashville Campus, Nashville",,,,
"Devry University, Henderson Campus",,,,
Kent State University,,,,
Columbia University,,,,
"University of Wisconsin, Stout",,,,
University of Houston,,,,
"University of Phoenix, West Valley Learning Center, Phoenix",,,,
Tufts University,,,,
"Pennsylvania State University, University Park",,,,
University of Oklahoma,,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,
Ohio State University,,,,
New York University,,,,
"Devry University, Southfield Campus",,,,
Loma Linda University,,,,
"University of Michigan, Ann Arbor",,,,
"Devry University, Ft. Worth Center",,,,
Brandeis University,,,,
Drexel University,,,,
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,
George Washington University,,,,
"University of Colorado, Boulder",,,,
Florida International University,,,,
Northeastern University,,,,
"University of Phoenix, Boston Campus, Braintree",,,,
University of New Haven,,,,
"Devry University, Morrisville Campus",,,,
Tulane University,,,,
Massachusetts Institute of Technology,,,,
"University of Michigan, Dearborn",,,,
Columbia University,,,,
College of William and Mary (The),,,,
Azusa Pacific University,,,,
Northeastern University,,,,
Syracuse University,,,,
University of San Francisco,,,,
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,
University of Dallas,,,,
Columbia University,,,,
Loyola Marymount University,,,,
"University of Michigan, Dearborn",,,,
Vanderbilt University,,,,
"Devry University, Palmdale Center",,,,
"University of Massachusetts, Amherst",,,,
University of New Haven,,,,
Northwestern University,,,,
"Devry University, Downers Grove Center",,,,
Marywood University,,,,
Carnegie Mellon University,,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,
University of Houston,,,,
"City University of Seattle, Vancouver, Canada",,,,
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,
Montclair State University,,,,
Drew University,,,,
University of Baltimore,,,,
"Pennsylvania State University, Harrisburg",,,,
