Subtitle,Account Name,Contract Start Date,Membership Category,Website
Suppliers and Manufacturers,Shivdhara Spinners & Spinners Pvt Ltd,42705.0,7,www.shivdharagroup.com
Civil Society,Organization for Social Development Initiatives,40787.0,1,www.osdi.org
Suppliers and Manufacturers,Ravv Tekstil,42156.0,9,
Suppliers and Manufacturers,Arikan Mensucat San ve Tic A.S.,41913.0,7,
Suppliers and Manufacturers,Guangzhou Kangjian Textile and Clothing Co Ltd,42036.0,6,
Suppliers and Manufacturers,"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",42644.0,6,www.fzztfz.com
Suppliers and Manufacturers,Umar Spinning Mills Pvt Ltd,42036.0,7,
Suppliers and Manufacturers,Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),41640.0,7,
Suppliers and Manufacturers,M M Yarns Pvt Ltd,42491.0,7,
Suppliers and Manufacturers,Sharmanji Yarns Pvt. Ltd.,42186.0,7,
Suppliers and Manufacturers,J.K Spinning Mills Ltd,42278.0,7,
Suppliers and Manufacturers,Kikani Exports Pvt Ltd,42767.0,4,www.kikaniexports.com
Suppliers and Manufacturers,Gill & Co Pvt. Ltd.,42430.0,12,
Suppliers and Manufacturers,Arif Knitspin Ltd,42522.0,7,
Suppliers and Manufacturers,Yancheng Risheng Textile Logistics Co.Ltd,42614.0,7,
Producer Organisation,AProCA (Association des Producteurs de Coton Africains),40179.0,2,
Suppliers and Manufacturers,Premier Tex Products Private Ltd.,41974.0,7,
Suppliers and Manufacturers,"Tiong Liong Industrial Co., Ltd.",42430.0,6,
Suppliers and Manufacturers,"Black Peony Textile Co.,Ltd",41426.0,4,
Producer Organisation,ABRAPA,40179.0,2,www.abrapa.com.br
Suppliers and Manufacturers,Bari Textile Mills Pvt Ltd.,42736.0,9,
Suppliers and Manufacturers,DVS Tarim Urunleri Tekstil Sanayi ve Ticaret A.S,42736.0,7,www.dvstekstil.com
Suppliers and Manufacturers,Thapar Group / JCT Ltd.,41153.0,7,
Suppliers and Manufacturers,Feroze1888 Mills Ltd.,41030.0,4,
Retailers and Brands,Ellos AB,42217.0,3,www.ellos.se
Suppliers and Manufacturers,Karteks Tekstil San. Ve Tic. A.S.,42795.0,4,www.karteks.com.tr
Suppliers and Manufacturers,Chiem Patana Textiles Co. Ltd.,41760.0,4,
Suppliers and Manufacturers,"Danyang City Yongtai Textile CO., LTD",42644.0,4,
Suppliers and Manufacturers,Mittapalli Spinners Ltd,42705.0,7,www.mittapallispinners.com
Suppliers and Manufacturers,Memsa Tekstil Sanayi ve Ticaret LTD STI,42614.0,12,
Suppliers and Manufacturers,Eastman Spinning Mills (P) Ltd.,42461.0,4,
Suppliers and Manufacturers,"Loeb & Company, Inc.",42614.0,12,
Suppliers and Manufacturers,"Salem Kandaa Textile Mills Pvt. Ltd., Sri Sellam Textiles Pvt. Ltd.",41609.0,7,
Suppliers and Manufacturers,US Denim Mills Pvt. Ltd.,40725.0,6,
Suppliers and Manufacturers,"Atlantic Mills (Thailand) Co., Ltd and AMC Spinning Co., Ltd",42217.0,4,
Suppliers and Manufacturers,Shanghai Textile Raw Materials Corporation,42278.0,12,
Retailers and Brands,Cotton On Group,42552.0,3,www.cottonongroup.com.au
Civil Society,Dilasa Janvikas Foundation,41821.0,1,www.dilasango.org
Suppliers and Manufacturers,The Delta Spinning Mills Ltd,42278.0,7,
Suppliers and Manufacturers,CRC Textile Mills Ltd,42309.0,7,
Suppliers and Manufacturers,Arvind Ltd.,40513.0,4,
Suppliers and Manufacturers,Yuyue Home Textile Co. Ltd.,41334.0,4,
Suppliers and Manufacturers,Adamjee Enterprises,41944.0,9,
Suppliers and Manufacturers,Thien Nam Investment and Development Joint Stock Company,42583.0,7,
Suppliers and Manufacturers,"JiangSu GTIG Eastar Co,Ltd",42491.0,10,
Suppliers and Manufacturers,"Siyu Group Co.,Ltd",42339.0,12,
Suppliers and Manufacturers,Kardem Tekstil San. ve Tic. AS,41791.0,9,
Suppliers and Manufacturers,Soktas Tekstil Sanayi ve Ticaret A.S.,42186.0,4,
Suppliers and Manufacturers,SVA Syntex Pvt Ltd,42736.0,7,
Suppliers and Manufacturers,Indus Group of Companies,41122.0,4,
Suppliers and Manufacturers,MARS Textile Ltd,42461.0,7,
Suppliers and Manufacturers,Aarthi A1 Traders,41395.0,9,
Suppliers and Manufacturers,Maral Overseas,41518.0,4,
Suppliers and Manufacturers,Artistic Milliners,40725.0,4,
Civil Society,WWF,40179.0,1,www.panda.org
Suppliers and Manufacturers,Bhuvneswari Cotspin India Pvt Ltd,42736.0,4,
Suppliers and Manufacturers,Ozone PB Spintex Ltd,41944.0,7,
Suppliers and Manufacturers,Culimeta - Saveguard Ltd.,42614.0,7,www.culimeta-saveguard.com
Suppliers and Manufacturers,Compagnie Malienne pour le developpement des textiles (CMDT),41730.0,11,
Suppliers and Manufacturers,VRA Cotton Mills Pvt Ltd,42064.0,12,
Suppliers and Manufacturers,Cedro Textil,42430.0,7,
Suppliers and Manufacturers,Kilim Group,41760.0,4,
Suppliers and Manufacturers,"Kashion Industry Co., Ltd",42522.0,9,
Civil Society,C&A Foundation,42401.0,1,www.candafoundation.org
Suppliers and Manufacturers,Bharat Cotton Factory,42705.0,12,
Suppliers and Manufacturers,"Shaoxing Dafa Cloth Trade Co., Ltd",41913.0,6,
Suppliers and Manufacturers,Birli Spinning Mill Pvt Ltd,42705.0,7,
Suppliers and Manufacturers,Yunus Tekstil,42217.0,4,
Suppliers and Manufacturers,Paramount Textile Ltd.,42156.0,6,
Suppliers and Manufacturers,"Tongxiang Chengnan Silk Spinning Co.,Ltd",42217.0,7,
Suppliers and Manufacturers,Marfani Denim Mills,41852.0,4,
Suppliers and Manufacturers,Topkapi Iplik San. ve Tic. A.S.,40940.0,7,
Retailers and Brands,Marks and Spencer plc,40179.0,3,plana.marksandspencer.com
Suppliers and Manufacturers,"Ningbo Shenzhou Knitting Co.,Ltd",42064.0,5,
Suppliers and Manufacturers,Sri Vaarri Spinning Mills,41974.0,7,
Suppliers and Manufacturers,Gohar Textile Mills (Pvt) Ltd.,41974.0,7,
Suppliers and Manufacturers,Dhruv Cotton Processing Pvt. Ltd.,41821.0,7,
Suppliers and Manufacturers,Sanjana Rotor Spin Ltd,42156.0,7,
Suppliers and Manufacturers,Sunny Trexim Pvt Ltd,40940.0,12,
Suppliers and Manufacturers,RMP Fab Sourcing Pvt Ltd,42309.0,6,
Suppliers and Manufacturers,JinYuan HengBo Group,42217.0,7,
Suppliers and Manufacturers,Polo Composite Knit Industry Ltd,42522.0,9,
Retailers and Brands,Axstores,41122.0,3,www.axstores.se
Suppliers and Manufacturers,"Changzhou Jintan Huamao Jinsheng Science And Technology Developing Co.,Ltd.",41579.0,7,
Suppliers and Manufacturers,Nishat Mills,40725.0,4,
Suppliers and Manufacturers,"Taicang Litai Textile Mill Co.,Ltd",42156.0,4,
Suppliers and Manufacturers,"Zouping Tongda Textile Co., Ltd.",42430.0,7,
Suppliers and Manufacturers,Mandhana Industries Ltd.,41244.0,6,
Suppliers and Manufacturers,Anhui Huamao Textile Co. Ltd.,41671.0,4,
Suppliers and Manufacturers,Changzhou Yueye Corduroy Co. Ltd.,41214.0,6,
Suppliers and Manufacturers,Sri Karpagam Mills India Pvt Ltd,42430.0,7,
Civil Society,Indian Grameen Services,41640.0,1,www.igsindia.org
Suppliers and Manufacturers,Loknayak Jayprakash Narayan Shetkari Sahakari Soot Girni Ltd.,41000.0,7,
Suppliers and Manufacturers,L. S. Mills Ltd.,42461.0,7,
Suppliers and Manufacturers,Weifang Chang Hao Textile Co. Ltd.,41821.0,7,
Suppliers and Manufacturers,Jiangsu Gtig Hubo Co. Ltd.,41640.0,4,
Suppliers and Manufacturers,Anwara Mannan Textile Mills Limited,41913.0,7,
Suppliers and Manufacturers,Kallam Spinning Mills Ltd,42339.0,7,
Suppliers and Manufacturers,Prabhu Spinning Mills Pvt. Ltd. - OE Division,41699.0,7,
Suppliers and Manufacturers,NZ Textile Ltd,42278.0,7,
Suppliers and Manufacturers,Jyotirmaye Textiles Pvt Ltd,42522.0,7,
Suppliers and Manufacturers,Dakota Industrial Co. Ltd.,41244.0,9,
Suppliers and Manufacturers,Ahmad Hassan Textile Mills Ltd.,42064.0,7,
Suppliers and Manufacturers,Foshan Deyingjia Textile Company CT,41487.0,6,
Suppliers and Manufacturers,Zaber & Zubair Fabrics Ltd.,41579.0,4,
Retailers and Brands,John Lewis,41487.0,3,www.johnlewis.com
Suppliers and Manufacturers,Ningbo Seduno Group Co. Ltd.,41640.0,9,
Suppliers and Manufacturers,"Nangtong Doublegreat Textile Co.,Ltd",42705.0,4,www.ntshtex.com
Suppliers and Manufacturers,Karsu Tekstil,42125.0,4,
Suppliers and Manufacturers,Kaynak Iplik San Ve TIC A.S.,41883.0,4,
Suppliers and Manufacturers,Milan Ginning Pressing Pvt. Ltd.,41821.0,12,
Suppliers and Manufacturers,Din Textile Mills,40940.0,7,
Suppliers and Manufacturers,Eastman Exports Global Clothing,40878.0,4,
Suppliers and Manufacturers,"Fugou Chang Mao Textile Co., Ltd.",42370.0,4,
Producer Organisation,Staple Cotton Cooperative Association,42614.0,2,www.staplcotn.com
Suppliers and Manufacturers,"Jiangsu Yulan Yarn-Dyed Fabric Co.,Ltd",42095.0,6,
Suppliers and Manufacturers,Devcot S.A.,40940.0,12,
Suppliers and Manufacturers,"Yixing Lucky Textiles Group Co., Ltd",42491.0,6,
Suppliers and Manufacturers,Ahuja Cotspin Pvt. Ltd.,42217.0,7,
Suppliers and Manufacturers,Beirholms VÃ¦verier A/S. (Creadore),41030.0,9,
Suppliers and Manufacturers,B. K. S. Textiles Pvt Ltd,42156.0,6,
Civil Society,Iyi Pamuk Uygulamalari Dernegi IPUD (Good Cotton Practices Assocation),41730.0,1,www.iyipamuk.org.tr
Producer Organisation,Tameer-O-Tarqqi Welfare Organization,42064.0,2,
Suppliers and Manufacturers,Cone Denim,42156.0,4,
Suppliers and Manufacturers,"Tah Tong Textile Co., Ltd.(Taiwan&Vietnam)",42430.0,7,
Suppliers and Manufacturers,R S Cottmark India Pvt. Ltd.,42125.0,12,
Suppliers and Manufacturers,Burteks Tekstil San ve Tic A.S,42736.0,4,
Suppliers and Manufacturers,"Tejidos Royo, S.L.",41456.0,5,www.royotextile.com
Suppliers and Manufacturers,"JiangYin  BeiYe Textile Co.,Ltd",42156.0,7,
Suppliers and Manufacturers,Rajapalayam Textile Ltd,42614.0,7,
Suppliers and Manufacturers,Bannari Amman Spinning Mills Ltd.,41730.0,7,
Suppliers and Manufacturers,Yonca Iplik Ticaret A.S,42461.0,7,
Retailers and Brands,Adler Modemarkte AG,42036.0,3,www.adlermode.de
Suppliers and Manufacturers,"Jiangyin Qiangli Textile Co.,Ltd",42675.0,7,
Suppliers and Manufacturers,Hamid Fabrics Ltd.,41821.0,9,
Suppliers and Manufacturers,"HuBei SenYu Textile Technological Co.,Ltd",42186.0,7,
Retailers and Brands,Tom Tailor GmbH,42583.0,3,www.tom-tailor.com
Suppliers and Manufacturers,"Bengbu Huawan Textile Co., Ltd",41944.0,4,
Suppliers and Manufacturers,Lotus Integrated Tex Park Ltd (Melange Unit),42491.0,7,
Suppliers and Manufacturers,J.K. Spinning Mills Ltd,42309.0,7,
Retailers and Brands,"Nike, Inc.",40179.0,3,www.nikeresponsibility.com
Suppliers and Manufacturers,KKP Spinning Mills,41518.0,7,
Suppliers and Manufacturers,Vikrant International Pvt. Ltd.,41883.0,12,
Suppliers and Manufacturers,Shri Vallabh Pittie Industries Ltd,42705.0,7,www.pittie.com
Suppliers and Manufacturers,Mei Sheng Textiles Vietnam Co. Ltd.,42705.0,4,
Suppliers and Manufacturers,"Tongxiang Yunsheng Textile Co.,Ltd",42583.0,4,
Producer Organisation,Kashtkar Development Organisation,40634.0,2,
Suppliers and Manufacturers,S V Group,41913.0,7,
Producer Organisation,Better Farmer Organization (BFO),41821.0,2,
Suppliers and Manufacturers,Ambica Cotseeds Ltd,42736.0,12,www.vcottonexport.com
Suppliers and Manufacturers,Jiangsu Liangji Group Co. Ltd.,41609.0,4,
Suppliers and Manufacturers,"Changzhou JiuRong Import&Export Co.,Ltd",42491.0,10,
Suppliers and Manufacturers,Sri Nukala Rama Koteswara Rao Textiles Pvt Ltd,42309.0,7,
Suppliers and Manufacturers,Saif Textile Mills,40787.0,7,
Suppliers and Manufacturers,PT Pacific Texindo Industry,42552.0,7,
Suppliers and Manufacturers,"Shandong Ruyi Technology Group Co., Ltd",41974.0,4,
Suppliers and Manufacturers,Nitin Spinners Limited,41791.0,7,
Suppliers and Manufacturers,Amber Group,41671.0,4,
Producer Organisation,Israel Cotton Production and Marketing Board Ltd. (ICB),42036.0,2,www.cotton.co.il
Suppliers and Manufacturers,Ghazi Fabrics International Ltd.,41091.0,4,
Suppliers and Manufacturers,NSL Textile Ltd.,40360.0,4,
Suppliers and Manufacturers,Mega Yarn Dyeing Mills Ltd,42614.0,6,www.megayarn.com
Suppliers and Manufacturers,Quality Textile Mills Ltd.,41640.0,7,
Suppliers and Manufacturers,Naveena Group of Industries,41000.0,4,
Suppliers and Manufacturers,Yuli County Cotton & Linen Company,42095.0,12,
Suppliers and Manufacturers,Raj Overseas,42217.0,9,
Suppliers and Manufacturers,Glencore Agriculture B.V.,42036.0,12,
Suppliers and Manufacturers,Lingxian Hengyu Textiles Co.Ltd,42522.0,7,
Suppliers and Manufacturers,Hateks Hatay Tekstil,40756.0,4,
Suppliers and Manufacturers,Yiwu Hengsheng Textile Co. Ltd,42522.0,7,
Suppliers and Manufacturers,"Tianjin Tianfang Investment Holding Co.,Ltd",41913.0,4,
Suppliers and Manufacturers,Besler Tekstil San. Tic. A.S,42370.0,7,
Suppliers and Manufacturers,Satia Synthetics Ltd,42522.0,7,
Suppliers and Manufacturers,Senthilkumar Textile Mills Pvt Ltd,42644.0,7,
Suppliers and Manufacturers,Ring Shine Textiles Ltd.,42186.0,6,
Retailers and Brands,Madewell Inc.,42491.0,3,madewell.com
Suppliers and Manufacturers,Eveready Spinning Mills Pvt. Ltd.,41671.0,7,
Suppliers and Manufacturers,Mahmood Group,40848.0,4,
Suppliers and Manufacturers,"Fujian Gelier  Printing & Dyeing Co., Ltd.",42186.0,4,
Suppliers and Manufacturers,Sri Jayakrishna Textiles,42491.0,7,
Suppliers and Manufacturers,Raymond UCO Denim Pvt. Ltd.,41487.0,4,
Suppliers and Manufacturers,Adim Tekstil San. ve Tic. A.S.,42095.0,7,
Suppliers and Manufacturers,"Nantong Huaqiang Cloth Co.,Ltd",41913.0,4,
Suppliers and Manufacturers,KKP Textiles Ltd.,41944.0,7,
Suppliers and Manufacturers,"Zhengzhou Chenglin Textile Co.,Ltd",42370.0,4,
Suppliers and Manufacturers,Roytex S.A.,42705.0,4,www.liztex.com
Suppliers and Manufacturers,Nisar Spinning Mills Pvt Ltd,42339.0,7,
Suppliers and Manufacturers,Santista Work Solution S.A.,42036.0,4,
Suppliers and Manufacturers,Tianli Spinning (Mauritius) Co. Ltd.,42095.0,7,
Suppliers and Manufacturers,Amarjothi Spinning Mills Ltd,42095.0,7,
Suppliers and Manufacturers,"Changzhou Yingjie Environmental Technology Co., Ltd",42491.0,4,
Suppliers and Manufacturers,Meezan Enterprises Pvt. Ltd.,42705.0,12,
Suppliers and Manufacturers,Imka Iplik Tekstil Isl San ve Tic A.S,42736.0,4,www.imkaiplik.com
Suppliers and Manufacturers,Balsuyu Mensucat San. ve Tic. A.S.,41609.0,7,
Suppliers and Manufacturers,Viyellatex Group,40940.0,7,
Suppliers and Manufacturers,"ZheJiang XinMian Textile Co.,Ltd",41944.0,7,
Suppliers and Manufacturers,Sri Jayajothi & Co Ltd,42491.0,7,
Producer Organisation,Guoxin Rural Technical Service Association,40878.0,2,www.guoxin.org.cn
Suppliers and Manufacturers,Heinrich Otto K.-G.,42736.0,8,www.heinrichotto.com
Suppliers and Manufacturers,Omax Cotspin,41091.0,7,
Retailers and Brands,BabyBjorn AB,41974.0,3,www.babybjorn.com
Suppliers and Manufacturers,"Dafeng  Wanda  Textile  Co.,Ltd",42248.0,7,
Suppliers and Manufacturers,Kedarnath Ginning Pvt Ltd,42370.0,12,
Suppliers and Manufacturers,"PiZhou Yinchao Textile Co.,Ltd",42491.0,4,
Retailers and Brands,Stadium AB,40575.0,3,www.stadium.se
Suppliers and Manufacturers,Lucky Textile Mills Ltd.,41974.0,9,
Suppliers and Manufacturers,"Jing Chain Textile Shu Yang Co.,Ltd",42064.0,7,
Suppliers and Manufacturers,Mekotex Pvt. Ltd.,41699.0,7,
Suppliers and Manufacturers,Dadasons Pvt. Ltd.,42736.0,12,www.dadasons.com
Suppliers and Manufacturers,Matam Fibre Mills Ltd,42552.0,7,
Suppliers and Manufacturers,Alkas Spinning Mills Pvt Ltd,42736.0,7,
Suppliers and Manufacturers,Reliance Weaving Mills Ltd.,41030.0,4,
Suppliers and Manufacturers,"Shandong Huimin Dongtai Textile Co., Ltd",42036.0,7,
Suppliers and Manufacturers,Ilsan Tekstil San. Ve Tic A.S.,41640.0,4,
Suppliers and Manufacturers,Plummy Fashions Limited,42278.0,6,
Suppliers and Manufacturers,Jiangsu Zhongheng Dyeing & Finishing Co. Ltd.,41579.0,6,
Suppliers and Manufacturers,Turpan Esquel Textile Company Limited,42552.0,7,
Suppliers and Manufacturers,Liberty Knitwear Ltd,42522.0,9,
Suppliers and Manufacturers,"Haining Bafang Weaving Co.,Ltd.",41974.0,4,
Suppliers and Manufacturers,XPCC No.5 Cotton&Linen Corp,42156.0,12,
Suppliers and Manufacturers,Organi Mark (Pty) Ltd,42675.0,12,www.organimark.co.za
Suppliers and Manufacturers,C.A. Textile Mills (Pvt) Ltd,41944.0,7,
Suppliers and Manufacturers,"Wuxi JHT Homewares Co.,Ltd",41974.0,9,
Suppliers and Manufacturers,"Shandong Huajie Textile Co.,Ltd",42248.0,7,
Suppliers and Manufacturers,N. Murugan Chettiar,42522.0,12,
Suppliers and Manufacturers,Sangeeth Textiles Pvt Ltd,42309.0,7,
Suppliers and Manufacturers,Davas Tekstil Sanayi Ticaret A.S,42644.0,7,www.davastekstil.com
Suppliers and Manufacturers,Bulut Tekstil San. ve Tic. Ltd. Sti.,41821.0,7,
Suppliers and Manufacturers,"Xinfang Group Co.,Ltd",42156.0,4,
Suppliers and Manufacturers,Nagreeka Exports Ltd.,41030.0,7,
Suppliers and Manufacturers,AKH Knitting & Dyeing Ltd,42583.0,9,
Suppliers and Manufacturers,Gucbirligi Tekstil San. ve Tic. A.S.,41579.0,7,
Suppliers and Manufacturers,Youth Spinning Mills Ltd,42461.0,7,
Suppliers and Manufacturers,Shandong Dashing Cashmere Products Co.ltd,42644.0,,
Suppliers and Manufacturers,Vicunha Europe SARL,40634.0,4,
Suppliers and Manufacturers,"Shananxi Changrong Textile Co.,Ltd",42278.0,7,
Suppliers and Manufacturers,Bhaskar Industries Pvt. Ltd.,41671.0,7,
Suppliers and Manufacturers,DML World Trade Pvt Ltd,42705.0,12,www.dmlgroup.in
Suppliers and Manufacturers,Orta Anadolu Tic.ve San. Isletmesi T.A.S,40664.0,4,
Suppliers and Manufacturers,Iskur Tekstil Enerji Tic. ve San. A.S.,41000.0,4,
Suppliers and Manufacturers,Santuk Tekstil San ve Tic A.S,42339.0,9,
Suppliers and Manufacturers,"Jining Delong Textile Co.,Ltd",42095.0,4,
Suppliers and Manufacturers,"ChangShu Cotton Textile Co.,Ltd",42491.0,4,
Suppliers and Manufacturers,Ettlin Spinnerei und Weberei Productions GMBH & Co. KG,41821.0,7,
Suppliers and Manufacturers,Zhangjiagang Free Trade Zone Changxin Techical Textile Co. Ltd.,41609.0,7,
Suppliers and Manufacturers,Morarjee Textiles Limited,42036.0,7,
Suppliers and Manufacturers,Far Group,42736.0,5,www.fargroupbd.com
Suppliers and Manufacturers,Exportadora TSA S.A. de C.V.,42675.0,4,www.hilasal.com.sv
Suppliers and Manufacturers,Yesim Tekstil San. ve Tic. A.S.,41153.0,4,
Suppliers and Manufacturers,WCT Holding,42248.0,12,
Suppliers and Manufacturers,Antonio de Almeida & Filhos Texteis SA,42705.0,7,www.moretextilegroup.com
Suppliers and Manufacturers,Phenix Spinning Pvt Ltd,42705.0,7,www.phenixspinning.com
Suppliers and Manufacturers,"Changzhou Jiekai Textile Co.,Ltd",42036.0,7,
Suppliers and Manufacturers,"Tangshan Changliang Textile Co.,Ltd",42491.0,7,
Retailers and Brands,Zeeman textielSupers B.V.,41609.0,3,www.zeeman.com
Suppliers and Manufacturers,Krishna Traders,42125.0,12,
Suppliers and Manufacturers,"Tangshan Zhou Ying Textile Co., Ltd",42705.0,4,www.tszhouying.com
Suppliers and Manufacturers,Fazal Group,41579.0,4,
Suppliers and Manufacturers,Dongguang Yiming Textile Co.Ltd,42036.0,4,
Suppliers and Manufacturers,Lagnam Spintex Private Limited,41974.0,7,
Associate Members,Olah Inc,42278.0,0,www.olahinc.com
Suppliers and Manufacturers,Maritas Tekstil San. ve Tic. A.S.,41913.0,4,
Suppliers and Manufacturers,Al Karam Group,41306.0,4,
Civil Society,Gramin Samassya Mukti Trust,42156.0,1,www.gsmt-yavatmal.org
Suppliers and Manufacturers,Gapsan Tekstil San. ve Tic. A.S.,42522.0,7,
Suppliers and Manufacturers,PT. Spinmill Indah Industry,42736.0,7,
Suppliers and Manufacturers,"Jiangsu Sanfangxiang Industrial Stock Co.,Ltd",42064.0,4,
Suppliers and Manufacturers,Murat Yapi Tekstil San.Tic.A.S,42339.0,7,
Suppliers and Manufacturers,"Shandong Dahai Synthetic Fiber Co., Ltd",41699.0,4,
Suppliers and Manufacturers,Anita's Textiles Ltd,42217.0,6,
Suppliers and Manufacturers,Kalpataruvu Spinning Mills Ltd,42736.0,7,
Suppliers and Manufacturers,Bharat Vijay Mills,41821.0,6,
Suppliers and Manufacturers,PT Kahatex,41640.0,4,
Suppliers and Manufacturers,Dongguan UPW Ltd,41944.0,7,
Suppliers and Manufacturers,"Tung Ho Textile Co.,Ltd",42675.0,7,www.tungho.com.tw
Suppliers and Manufacturers,Synthesis Home Textiles Pvt Ltd,42186.0,9,
Suppliers and Manufacturers,Erdem Tekstil,41579.0,7,
Suppliers and Manufacturers,Impress-Newtex Composite Textiles Ltd,42339.0,5,
Suppliers and Manufacturers,Israq Spinning Mills Ltd.,42125.0,7,
Suppliers and Manufacturers,Sambandam Siva Textiles Pvt. Ltd.,42036.0,7,
Suppliers and Manufacturers,"Kuang-You Enterprise Co.,Ltd",42217.0,7,
Suppliers and Manufacturers,PT Lucky Print Abadi,42705.0,5,www.luckytex.com
Suppliers and Manufacturers,Tirumala Cotton And Agro Products Pvt Ltd,42705.0,7,
Suppliers and Manufacturers,PT Kewalram Indonesia,42339.0,7,
Suppliers and Manufacturers,Rubenis Klima San. Tic. A.S.,42095.0,7,
Civil Society,Action for Social Advancement (ASA),40575.0,1,www.asaindia.org
Producer Organisation,Binzhou Cotton Association,42036.0,2,
Suppliers and Manufacturers,Crescent Fibres Limited,41821.0,7,
