Account Name,Contract Start Date,Membership Category,Website
Vicunha Europe SARL,40634.0,4,
"Shananxi Changrong Textile Co.,Ltd",42278.0,7,
Bhaskar Industries Pvt. Ltd.,41671.0,7,
DML World Trade Pvt Ltd,42705.0,12,www.dmlgroup.in
Orta Anadolu Tic.ve San. Isletmesi T.A.S,40664.0,4,
Iskur Tekstil Enerji Tic. ve San. A.S.,41000.0,4,
Santuk Tekstil San ve Tic A.S,42339.0,9,
"Jining Delong Textile Co.,Ltd",42095.0,4,
"ChangShu Cotton Textile Co.,Ltd",42491.0,4,
Ettlin Spinnerei und Weberei Productions GMBH & Co. KG,41821.0,7,
Zhangjiagang Free Trade Zone Changxin Techical Textile Co. Ltd.,41609.0,7,
Morarjee Textiles Limited,42036.0,7,
Far Group,42736.0,5,www.fargroupbd.com
Exportadora TSA S.A. de C.V.,42675.0,4,www.hilasal.com.sv
Yesim Tekstil San. ve Tic. A.S.,41153.0,4,
WCT Holding,42248.0,12,
Antonio de Almeida & Filhos Texteis SA,42705.0,7,www.moretextilegroup.com
Phenix Spinning Pvt Ltd,42705.0,7,www.phenixspinning.com
"Changzhou Jiekai Textile Co.,Ltd",42036.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Krishna Traders,42125.0,12,
"Tangshan Zhou Ying Textile Co., Ltd",42705.0,4,www.tszhouying.com
Fazal Group,41579.0,4,
Dongguang Yiming Textile Co.Ltd,42036.0,4,
Associate Members,,,
Suppliers and Manufacturers,,,
Maritas Tekstil San. ve Tic. A.S.,41913.0,4,
Civil Society,,,
Suppliers and Manufacturers,,,
Gapsan Tekstil San. ve Tic. A.S.,42522.0,7,
PT. Spinmill Indah Industry,42736.0,7,
"Jiangsu Sanfangxiang Industrial Stock Co.,Ltd",42064.0,4,
Murat Yapi Tekstil San.Tic.A.S,42339.0,7,
"Shandong Dahai Synthetic Fiber Co., Ltd",41699.0,4,
Anita's Textiles Ltd,42217.0,6,
Kalpataruvu Spinning Mills Ltd,42736.0,7,
Bharat Vijay Mills,41821.0,6,
PT Kahatex,41640.0,4,
Dongguan UPW Ltd,41944.0,7,
"Tung Ho Textile Co.,Ltd",42675.0,7,www.tungho.com.tw
Synthesis Home Textiles Pvt Ltd,42186.0,9,
Erdem Tekstil,41579.0,7,
Impress-Newtex Composite Textiles Ltd,42339.0,5,
Israq Spinning Mills Ltd.,42125.0,7,
Sambandam Siva Textiles Pvt. Ltd.,42036.0,7,
"Kuang-You Enterprise Co.,Ltd",42217.0,7,
PT Lucky Print Abadi,42705.0,5,www.luckytex.com
Tirumala Cotton And Agro Products Pvt Ltd,42705.0,7,
PT Kewalram Indonesia,42339.0,7,
Civil Society,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
