Ohio,Alaska,South Carolina,Massachusetts,Louisiana,Colorado,Florida,Nevada,Nebraska,Virginia,South Dakota,Delaware,New Jersey,Wisconsin,Oklahoma,Kansas,Wyoming,Rhode Island,Iowa,North Carolina,Oregon,New Mexico,Montana,Illinois,Vermont,Idaho,New York,California,Missouri,Alabama,Indiana,Utah,Connecticut,Maryland,New Hampshire,Georgia,Washington,Arkansas,Kentucky,Pennsylvania,Michigan,Tennessee,West Virginia,Texas,Arizona,Hawaii,Mississippi,North Dakota,Maine,Minnesota
"4,719,985","267,999","1,662,251","3,167,329","1,724,973","2,253,795","7,777,990","1,129,965","870,279","3,198,718","353,540","397,385","3,558,619","2,503,532","1,370,988","1,189,876","219,881","425,748","1,338,418","3,670,284","1,498,727","626,284","375,041","5,427,549","266,363","546,524","7,998,994","14,325,377","2,442,316","1,634,391","2,660,503","1,203,954","1,503,102","2,239,817","576,424","3,692,490","2,602,408","1,003,113","1,579,477","5,306,896","3,725,280","2,507,205","565,435","10,239,710","2,295,186","523,677","926,391","365,893","500,549","2,612,314"
"213,161,303","15,643,303","66,120,263","198,026,611","76,684,760","117,539,555","337,074,525","46,595,673","36,967,924","165,788,897","13,812,997","21,305,227","209,072,015","112,406,494","59,124,620","51,259,676","10,094,010","19,704,826","55,079,743","164,936,258","71,006,598","25,145,307","14,227,065","289,183,546","10,615,093","21,119,617","513,083,321","856,954,246","109,135,528","67,370,353","113,315,432","51,453,266","92,555,072","118,496,858","28,076,320","174,839,354","149,258,789","39,451,191","63,741,066","257,626,942","174,873,962","110,481,280","22,159,084","521,095,797","102,671,393","22,068,393","33,948,151","17,184,756","20,413,159","133,092,716"
1.80%,0.40%,2.80%,2.60%,0.40%,3.30%,4.50%,3.70%,2.30%,1.20%,1.60%,1.50%,0.90%,2.20%,0.80%,1.00%,FN,1.00%,1.70%,3.10%,3.80%,3.90%,3.10%,2.20%,2.00%,3.00%,1.80%,3.50%,1.60%,1.90%,2.20%,4.90%,1.20%,1.00%,2.30%,4.00%,2.90%,1.10%,2.90%,1.00%,3.20%,2.20%,-1.70%,3.20%,2.40%,0.90%,1.60%,1.40%,1.60%,1.80%
"763,418","55,521","329,431","514,298","358,223","480,847","2,040,339","205,980","131,518","576,446","64,006","60,734","670,765","341,935","276,218","195,777","48,140","76,747","207,167","722,639","278,839","121,279","86,969","968,330","60,312","122,221","1,685,636","3,206,958","402,091","322,025","403,546","216,280","272,809","475,518","104,437","870,897","444,135","198,380","280,835","811,890","700,254","495,703","88,136","2,205,149","451,951","104,707","211,955","53,263","113,012","397,378"
"904,814","68,032","367,726","607,664","414,291","547,352","2,100,187","227,156","164,089","653,193","81,314","73,418","792,088","432,980","327,229","239,118","62,427","94,642","259,121","805,985","339,305","151,363","112,419","1,135,017","75,827","146,642","2,008,988","3,548,449","491,606","374,153","479,059","251,419","326,693","531,953","131,638","929,864","541,522","231,959","331,546","975,453","834,087","550,453","114,435","2,356,748","499,926","118,454","235,454","68,270","139,570","489,494"
"510,078","35,402","202,446","357,158","215,111","284,554","1,084,885","114,057","83,696","353,012","42,418","38,328","464,592","236,252","174,395","125,169","30,039","54,651","135,382","435,677","165,691","71,132","55,913","609,648","41,270","70,438","1,139,910","1,852,580","257,948","203,604","253,533","132,163","187,845","276,630","76,716","480,578","262,650","123,158","184,154","579,400","446,128","302,249","63,112","1,251,696","245,243","60,409","125,079","37,016","79,243","268,710"
"306,824","22,141","131,856","199,210","151,114","194,508","807,817","82,508","51,936","236,290","23,722","23,964","252,944","133,859","105,168","77,194","19,344","30,484","82,345","287,058","123,015","59,044","35,449","417,500","23,417","45,121","725,709","1,320,085","162,616","137,630","162,798","76,269","106,678","209,119","38,525","376,506","187,677","75,962","106,011","304,803","306,986","195,694","39,065","866,678","182,425","44,453","89,159","20,316","42,067","157,821"
"122,653","13,688","83,233","89,967","126,100","85,849","926,112","71,864","14,571","185,043","4,101","14,440","237,242","40,507","64,875","26,127","4,077","14,737","14,707","183,380","41,456","60,622","5,578","311,684","2,354","10,592","709,021","1,619,857","61,035","92,219","61,252","24,423","56,113","203,394","6,111","371,588","92,807","35,982","27,258","131,512","158,946","105,234","5,777","1,070,392","135,313","74,208","74,824","3,190","4,339","47,302"
"759,569","51,147","276,269","499,959","277,676","442,365","1,121,749","144,944","144,122","450,109","74,228","54,782","533,808","379,934","249,027","204,562","55,397","77,042","236,561","603,182","285,028","83,857","102,746","795,129","70,491","130,973","1,248,304","1,819,107","415,972","272,651","405,090","218,826","259,614","314,902","121,297","538,893","426,697","189,029","296,155","818,858","657,237","434,025","104,785","1,224,845","344,981","38,510","155,094","62,271","131,322","428,716"
"91,316","7,953","47,987","58,339","42,211","51,722","185,756","23,049","16,693","76,434","8,604","7,206","57,996","39,830","36,273","21,610","6,470","9,904","25,889","86,571","30,918","14,096","11,486","89,110","8,237","12,804","137,532","252,377","49,217","41,943","45,174","18,754","31,056","50,976","16,119","96,787","49,331","25,915","33,208","97,969","71,861","59,379","12,912","213,590","46,780","11,148","26,789","6,584","15,689","45,582"
"776,193","56,091","303,137","525,667","354,460","469,524","1,846,686","191,293","137,254","548,439","66,219","60,318","707,975","370,755","273,491","203,401","51,353","79,837","217,779","684,743","288,790","128,693","93,393","1,006,885","63,317","124,314","1,811,544","3,176,341","415,542","316,984","412,543","219,807","281,182","462,232","108,817","800,585","461,401","192,988","282,704","837,792","733,517","469,392","94,960","2,057,218","427,582","101,334","198,566","56,904","115,839","419,628"
282.30,1.2,153.90,839.4,104.9,48.5,350.6,24.6,23.8,202.6,10.70,460.8,"1,195.50",105,54.70,34.9,5.8,"1,018.10",54.5,196.10,39.90,17.00,6.8,231.1,67.9,19,411.20,239.1,87.1,94.4,181,33.6,738.1,594.8,147,168.4,101.2,56,109.9,283.90,174.8,153.90,77.1,96.3,56.3,211.8,63.2,9.70,43.1,66.6
"40,860.69","570,640.95","30,060.70","7,800.06","43,203.90","103,641.89","53,624.76","109,781.18","76,824.17","39,490.09","75,811.00","1,948.54","7,354.22","54,157.80","68,594.92","81,758.72","97,093.14","1,033.81","55,857.13","48,617.91","95,988.01","121,298.15","145,545.80","55,518.93","9,216.66","82,643.12","47,126.40","155,779.22","68,741.52","50,645.33","35,826.11","82,169.62","4,842.36","9,707.24","8,952.65","57,513.49","66,455.52","52,035.48","39,486.34","44,742.70","56,538.90","41,234.90","24,038.21","261,231.71","113,594.08","6,422.63","46,923.27","69,000.80","30,842.92","79,626.74"
