"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
MEDICAL ASSISTING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
CIS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
CIS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ART ,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
THEATRE,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
WELDING,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44557.0,7,ENG 101-A011,61,3,2,15,37,67,2.0,43696.0,43814.0
STATISTICS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
CIS,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
