Subtitle,"Class 
Number",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
WELDING,60366.0,21,106,3,0,0.770833333,0.895833333,78,111,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44945.0,BIO 137-A0E1,28,4,2,17,6:15 PM,23,31,2.0,43696.0,43814.0
COMMUNICATIONS,44498.0,COM 181-A0Z1,41,3,1,1,1,1,Bryant,1.0,43696.0,43814.0
NURSING,44731.0,NSG 220-A0L1,88,,3,15,11,ACA105,96,2.0,43696.0,43814.0
POLITICAL SCIENCE,44797.0,POL 255-A001,93,3,2,19,23,71,77,2.0,43696.0,43814.0
COMMUNICATIONS,44511.0,COM 252-A004,43,3,2,5,24,38,45,2.0,43696.0,43814.0
SOCIAL WORK,44955.0,SWK 275-A0Z1,The Family,3,1,1,1,1,82,1.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46360.0,EMS 240-A001,Medical Emergencies I,3,3,15,12,52,63,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44944.0,BIO 113-A0E1,25,1,7,20,28,21,27,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44434.0,BIO 112-A003,24,3,2,5,24,19,22,2.0,43696.0,43814.0
ENGLISH,44573.0,ENG 102-A0Z1,62,3,1,1,1,1,69,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45093.0,BAS 160-A0ZB,21,3,1,1,1,1,20,1.0,43696.0,43751.0
NURSING ASSISTANT,44700.0,NAA 100-A001,84,3,0,16,31,65,93,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44703.0,ADX 120-A001,Basic Automotive Electricity,3,0,0,9,5,5,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44854.0,ACR 112-A001,Sheet Metal Fabrication,3,2,0,4,2,4,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,45109.0,ELT 289-A0B2,Engineering Electr Tech Capstn,1,4,1,1,4,56,2.0,43759.0,43814.0
RELIGIOUS STUDIES,44964.0,REL 160-A001,Rel Exp of Forgive & Justice,3,0,15,17,13,99,2.0,43696.0,43814.0
EDUCATION,44642.0,EDU 201-A001,Intro to American Education,3,2,5,24,42,52,2.0,43696.0,43814.0
ART ,44479.0,ART 240-A001,Ceramics I,3,2,5,23,14,17,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44830.0,ELT 265-A0E1,57,3,0,17,5:50 PM,49,42,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44532.0,HFL 130-A0Z1,"Compliance, Codes Standard I",3,1,1,1,1,Koffel,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45360.0,AGR 215-A001,Weed Management,3,4,1,1,4,10,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,55588.0,MIT 204-A0Z1,78,3,1,1,1,1,43,1.0,43696.0,43814.0
MUSIC,44585.0,MUP 101-A001,81,0,4,1,1,HUMH0129,72,2.0,43696.0,43814.0
HISTORY,44657.0,HIS 109-A0Z1,68,3,1,1,1,1,78,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44604.0,BAS 267-A0Z1,Introduction to Business Law,3,1,1,1,1,Carter,1.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45098.0,SUR 101-A0B1,Surgical Technology Fund Lab,1,13,34,10,75,108,2.0,43696.0,43751.0
WELDING,44494.0,WLD 221-A001,Welding Certification Lab,3,2,15,11,80,113,2.0,43696.0,43814.0
MATHEMATICS,44879.0,MAT 150-A0E1,76,3,2,9,25,18,Hayden,2.0,43696.0,43814.0
BLUEPRINT READING ,44460.0,BRX 110-A0Z1,Basic Blueprint Read Machinist,2,1,1,1,1,34,1.0,43696.0,43814.0
WELDING,44745.0,WLD 151-A0L1,108,2,4,1,1,4,114,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44646.0,BIO 227-A0L1,32,,0,6,33,25,24,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45362.0,AGR 285-A0Z1,Farm Financial Management,3,1,1,1,1,11,1.0,43696.0,43814.0
DIESEL TECHNOLOGY,44719.0,12,46,2,7,7,30,9,6,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44901.0,FYE 100-A011,64,1,5,19,23,51,Roof,2.0,43696.0,43814.0
ENGLISH,45079.0,ENG 100-A0H1,60,2,0,9:55 AM,29,53,64,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,6,13,2,3,13,16,6,8,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44705.0,0,6,2,5,0,10,6,5,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44595.0,REL 130-A0Z1,101,3,1,1,1,1,105,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44422.0,ELT 110-A0L4,53,,10,5,36,47,57,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59918.0,ELT 210-A0L2,56,,2,3,41,48,59,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44893.0,IEC 221-A0Z1,Creative Expressions in IECE,3,1,1,1,1,83,1.0,43696.0,43814.0
COMMUNICATIONS,44481.0,COM 181-A001,41,3,0,5,24,33,44,2.0,43696.0,43814.0
CHEMISTRY,44610.0,CHE 140-A001,Introductory General Chemistry,3,0,15,17,12,35,2.0,43696.0,43814.0
ENGLISH,45082.0,ENG 100-A0HZ,60,2,1,1,1,1,66,1.0,43696.0,43814.0
MATHEMATICS,57272.0,MAT100-A0H1,75,2,0,5,24,23,88,2.0,43696.0,43814.0
WELDING,45100.0,WLD 225-A0B1,ShieldMetalArcWldOpenGrooveLab,3,14,36,42,81,115,2.0,43696.0,43751.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44773.0,AGR 240-A0L1,18,3,1,1,1,11,13,2.0,43696.0,43814.0
PSYCHOLOGY,44691.0,PSY 185-A0Z1,Human Potential,3,1,1,1,1,101,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44916.0,BIO 135-A001,27,4,2,10,20,12,27,0.0,43696.0,43814.0
CIS,45394.0,CIT 120-A002,37,3,2,19,23,28,39,2.0,43696.0,43814.0
POLITICAL SCIENCE,45370.0,POL 255-A0Z1,93,3,1,1,1,1,100,2.0,43696.0,43814.0
COMMUNICATIONS,44513.0,10,43,3,1,1,1,1,46,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,60817.0,BAS 288-A0Z1,Personal and Organizational Ldrshp,3,,1,,1,deMesa,1.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44673.0,OST 225-A0Z1,Intro to Desktop Publishing,3,1,1,1,1,98,1.0,43696.0,43814.0
COMMUNICATIONS,44489.0,COM 181-A009,41,3,2,19,23,35,47,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44446.0,ELT 265-A0L1,57,,0,3,18,50,42,2.0,43696.0,43814.0
CIS,44932.0,CIT 105-A0Z4,35,3,1,1,1,1,37,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44766.0,FYE 100-A012,64,1,5,19,23,36,75,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44548.0,BIO 113-A002,25,1,5,5,27,20,26,2.0,43696.0,43814.0
ART ,44478.0,ART 113-A001,3-Dimensional Design,3,0,10,21,14,Schartung,2.0,43696.0,43814.0
NURSING,44730.0,NSG 220-A001,88,6,3,16,31,68,96,2.0,43696.0,43814.0
ENGLISH,44560.0,ENG 101-A0Z2,61,3,1,1,1,1,71,1.0,43696.0,43814.0
ENGLISH,44564.0,ENG 102-A002,62,3,0,19,23,38,71,2.0,43696.0,43814.0
ENGLISH,44554.0,ENG 101-A010,61,3,2,19,23,36,70,2.0,43696.0,43814.0
KINESIOLOGY AND HEALTH PROMOTION,45096.0,KHP 100-A0ZB,70,1,1,1,1,1,76,1.0,43696.0,43751.0
 ACCOUNTING ,45364.0,ACC 201-A0Z2,0,3,1,1,1,1,1,1.0,43759.0,43814.0
BIOLOGICAL SCIENCES,44915.0,BIO 135-A0YL,27,,6,19,8,21,28,0.0,43696.0,43814.0
KINESIOLOGY AND HEALTH PROMOTION,45110.0,KHP 100-A0BZ,70,1,1,1,1,1,76,1.0,43759.0,43814.0
MATHEMATICS,44394.0,MAT 150-A001,76,3,0,0,0,61,85,2.0,43696.0,43814.0
PSYCHOLOGY,44681.0,PSY 110-A006,94,3,2,5,24,72,102,2.0,43696.0,43814.0
MATHEMATICS,45432.0,MAT 150-A006,76,3,2,10,20,41,85,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55348.0,AUT 140-A001,12,3,9,7,14,10,7,2.0,43696.0,43814.0
ENGLISH,44575.0,ENG 105-A001,Writing: An Accelerated Course,3,0,0,0,36,67,2.0,43696.0,43814.0
MATHEMATICS,44387.0,MAT 100-A0H3,75,2,0,30,45,41,85,2.0,43696.0,43814.0
MATHEMATICS,44392.0,MAT 150-A0ZH,76,3,1,1,1,1,89,1.0,43696.0,43814.0
MUSIC,44580.0,MUS 100-A0Z1,82,3,1,1,1,1,92,1.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46365.0,EMS 231-A003,58,1,3,15,12,52,62,2.0,43696.0,43814.0
MATHEMATICS,44805.0,MAT 126-A0ZH,72,3,1,1,1,1,86,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,54063.0,BIO 141-A0L1,30,,3,10,3:50 PM,20,26,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44414.0,ELT 110-A0L2,53,,10,3,41,46,56,2.0,43696.0,43814.0
CIS,44619.0,CIT 105-A0E2,35,3,7,9,34,28,36,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44811.0,CRJ 216-A001,Criminal Law,3,0,19,23,40,50,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44981.0,DIT 140-A001,Hydraulics,3,3,0,9,8,6,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44538.0,BIO 113-A001,25,1,3,6,26,20,26,2.0,43696.0,43814.0
MEDICAL ASSISTING,45020.0,MAI 140-A001,77,4,2,5,24,64,49,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44456.0,CMM 114-A001,38,6,10,24,38,31,41,2.0,43696.0,43814.0
ENGLISH,44572.0,ENG 102-A006,62,3,2,19,23,13,69,2.0,43696.0,43814.0
HISTORY,44650.0,HIS 104-A001,65,3,0,15,17,59,81,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,45021.0,MIT 217-A001,79,3,2,23,30,64,49,2.0,43696.0,43814.0
COMMUNICATIONS,44515.0,COM 254-A001,44,3,0,15,17,39,48,2.0,43696.0,43814.0
COMPUTER AIDED DRAFTING,44836.0,CAD 100-A0Z1,33,3,1,1,1,1,34,1.0,43696.0,43814.0
CIS,45396.0,CIT 262-A0B2,MS Network Infrastructure,3,5,14,37,30,38,2.0,43759.0,43814.0
HISTORY,44656.0,HIS 109-A001,68,3,0,5,24,59,81,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,60213.0,BAS 160-A0ZM,21,3,,1,,1,20,1.0,43724.0,43785.0
WELDING,44501.0,21,106,3,10,8:50 AM,36,78,110,2.0,43696.0,43814.0
RADIOGRAPHY,44972.0,DMI 106-A0L1,97,,3,19,8,73,104,2.0,43696.0,43814.0
MATHEMATICS,44802.0,MAT 126-A0M1,72,3,0,0,0,63,89,2.0,43696.0,43814.0
RADIOGRAPHY,45371.0,DMI 128-A001,99,3,7,26,4,73,14,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45009.0,3,11,2,5,8,6,6,8,2.0,43696.0,43814.0
ENGLISH,44570.0,ENG 102-A005,62,3,2,5,24,55,68,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44591.0,REL 101-A0Z1,Intro to Religious Studies,3,1,1,1,1,105,1.0,43696.0,43814.0
DIESEL TECHNOLOGY,44897.0,14,48,2,6,6,4,9,6,2.0,43696.0,43814.0
CIS,44629.0,CIT 217-A0Z1,UNIX/Linux Administration,3,1,1,1,1,40,1.0,43696.0,43814.0
COMMUNICATIONS,44506.0,COM 252-A001,43,3,0,5,24,35,47,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44852.0,ACR 100-A0E1,2,3,0,0.708333333,0.784722222,2,3,2.0,43696.0,43814.0
MATHEMATICS,44400.0,MAT 155-A001,Trigonometry,3,0,0,0,19,90,2.0,43696.0,43814.0
KINESIOLOGY AND HEALTH PROMOTION,45111.0,KHP 136-A0ZB,Advanced Walking for Fitness,1,1,1,1,1,76,1.0,43759.0,43814.0
SURGICAL TECHNOLOGY,44407.0,SUR 130-A001,Prin Surgical Pharmacology,2,12,19,10,74,108,2.0,43696.0,43814.0
CIS,44612.0,CIT 105-A001,35,3,0,5,24,27,7,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44457.0,CMM 114-A0L1,38,,10,9:10 AM,27,31,41,2.0,43696.0,43814.0
CIS,45095.0,CIT 161-A0Y1,Introduction to Networks,4,6,14,5:10 PM,30,40,0.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44753.0,ACR 299-A001,5,2,4,1,1,4,2,2.0,43696.0,43814.0
THEATRE,45006.0,THA 126-A001,Acting I: Fundamentals/Acting,3,2,14,21,76,109,2.0,43696.0,43814.0
ENGLISH,44939.0,ENG 190-A001,Intro to Dystopian Literature,3,2,0,0,36,64,2.0,43696.0,43814.0
 ACCOUNTING ,45091.0,ACC 201-A0ZB,0,3,1,1,1,1,1,1.0,43696.0,43751.0
PSYCHOLOGY,44687.0,PSY 223-A001,96,3,0,5,24,17,101,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44415.0,ELT 110-A0E1,53,5,0,9,13,46,56,2.0,43696.0,43814.0
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46291.0,16,63,6,S,0,5:00 PM,57,73,2.0,43696.0,43814.0
MATHEMATICS,44388.0,MAT 150-A0H4,76,3,2,0,0,41,85,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,6,13,2,7,12,16,6,8,2.0,43696.0,43814.0
CIS,45101.0,CIT 213-A0B1,Microsoft Client Configuration,3,5,14,37,30,38,2.0,43696.0,43751.0
BIOLOGICAL SCIENCES,45367.0,BIO 137-A0L5,28,,6,22,29,21,28,2.0,43696.0,43814.0
SOCIOLOGY,44695.0,SOC 101-A003,102,3,0,15,17,71,106,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44767.0,FYE 100-A013,64,1,5,19,23,49,60,2.0,43696.0,43814.0
PSYCHOLOGY,44685.0,PSY 110-A0Z3,94,3,1,1,1,1,103,1.0,43696.0,43814.0
ART ,45124.0,ART 241-A001,Ceramics II,3,2,5,24,15,17,2.0,43696.0,43814.0
COMMUNICATIONS,44488.0,COM 181-A008,41,3,2,5,24,33,44,2.0,43696.0,43814.0
SPANISH LANGUAGE AND LITERATURE,44597.0,SPA 101-A0Z1,103,4,1,1,1,1,7,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44715.0,8,15,2,7,8,6,6,8,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44719.0,12,46,,11,0,4,9,6,2.0,43696.0,43814.0
STATISTICS,44403.0,STA 220-A002,104,3,0,19,23,62,107,2.0,43696.0,43814.0
WELDING,44500.0,20,105,2,10,0,8:40 AM,58,110,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,45003.0,MIT 295-A0L1,80,3,4,1,1,4,43,2.0,43696.0,43814.0
GEOGRAPHY,44648.0,GEO 251-A0Z1,Weather & Climate,3,1,1,1,1,79,1.0,43696.0,43814.0
GEOLOGICAL SCIENCES,54072.0,GLY 110-A001,Environmental Geology,3,0,5,24,16,22,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45365.0,BIO 112-A0ZB,24,3,1,1,1,1,25,1.0,43759.0,43814.0
