Subtitle,Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,State
"University of Phoenix, Idaho Campus, Meridian",,0,12.0,,14
University of Arizona,,59,2.0,,5
"University of Colorado, Boulder",,Business (master's in accounting),12.0,,24
Washington University in St. Louis,,Olin Business School,6.0,,34
Chapman University,,Argyros School of Business and Economics,2.0,,9
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,0,12.0,,9
Regent University,,School of Business & Leadership,5.0,,23
Northeastern University,,49,0.0,,7
Brandeis University,,11,2.0,,7
"University of Phoenix, Dallas Campus, Dallas",,0,12.0,,11
"University of Michigan, Ann Arbor",,14,5.0,,4
University of Notre Dame,,Mendoza School of Business,,11,3
"Devry University, Glendale Center",,25,1.0,,5
"Devry University, Oxnard Center",,25,1.0,,9
"University of Phoenix, Plano Student Resource Center, Plano",,0,12.0,,11
"University of Wisconsin, Stout",,63,12.0,MS Degree in Technology Managament,1
Washington University in St. Louis,,George Warren Brown School of Social Work MPH Program,5.0,,34
University of South Carolina,,13,,2,22
"University of California, Davis",,25,5.0,,9
"University of Michigan, Dearborn",,6,12.0,,4
University of Puget Sound,,School of Occupational Therapy,12.0,,29
Rider University,,39,12.0,,13
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,0,12.0,,23
"University of Phoenix, Atlanta Campus, Sandy Springs",,0,12.0,,28
"City University of Seattle, Edmonton",,21,,2,19
University of Delaware,,16,,2,26
New School (The),,"Milano School of International Affairs, Management, and Urban Policy",2.0,,0
"Devry University, Tampa East Center",,25,1.0,,32
Georgetown University,,Edmund Walsh School of Foreign Service,,2,2
"University of Houston, Victoria",,50,,2,11
"University of Phoenix, Lafayette, LA Campus, LaFayette",,0,12.0,,42
Alverno College,,Master of Arts in Education,0.0,,1
University of San Francisco,,Office of Graduate Studies,15.0,,9
"University of Colorado, Boulder",,Integrative Physiology,5.0,,24
"Devry University, Chicago Campus",,25,1.0,,27
Johns Hopkins University,,Bloomberg School of Public Health,2.0,,30
"University of Michigan, Ann Arbor",,64,6.0,,4
"University of Phoenix, Columbus Ohio Campus, Columbus",,0,12.0,,10
University of Arizona,,Eller College of Management,2.0,2,5
University of Oklahoma,,Michael F. Price College of Business,5.0,,35
"Pennsylvania State University, Harrisburg",,American Studies,12.0,,16
Columbia University,,School of International and Public Affairs,2.0,,0
Rollins College,,Crummer Graduate School of Business,5.0,,32
Pace University,,Dyson College of Arts and Sciences,6.0,,0
"City University of Seattle, Victoria",,23,,2,21
Massachusetts Institute of Technology,,Supply Chain Management,,Contact school for score. IELTS only,7
Union Graduate College,,1,6.0,,0
Syracuse University,,Maxwell School,5.0,,0
"Indiana University-Purdue University, Fort Wayne",,Kelley School of Business,1.0,,3
"Texas A&M University, Commerce",,Agricultural Education,4.0,Master of Education,11
University of Rhode Island,,Department of Communication Studies,,2,41
Georgia State University,,Institute of Public Health,,2,28
"University of Phoenix, Savannah Campus, Savannah",,0,12.0,,28
"Indiana University, East",,School of Social Work (Master of Social Work),11.0,,3
"University of Phoenix, Mililani Learning Center, Mililani",,0,12.0,,44
"Devry University, King of Prussia Center",,25,1.0,,16
University of San Francisco,,31,5.0,,9
"College of Staten Island, City University of New York (CUNY)",,Mental Health Counseling,2.0,,0
University of Houston,,37,,2,11
University of San Diego,,1,5.0,School of Business Administration,9
"California Baptist University, Beaumont",,17,0.0,,9
Boston University,,School of Management,2.0,,7
"University of Phoenix, Tulsa Campus, Tulsa",,0,12.0,,35
University of Denver,,Morgridge College of Education,,2,24
University of Baltimore,,International Master of Public Administration,,2,30
University of Findlay,,20,6.0,,10
Florida Atlantic University,,Barry Kaye College of Business,,2,32
American University,,School of International Service,2.0,,2
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,0,12.0,,48
Palo Alto University,,Pacific Graduate School of Psychology,,2,9
"Carnegie Mellon University, Portugal",,19,,2,
Washburn University,,0,12.0,,46
"University of Phoenix, South Florida Campus, Plantation",,0,12.0,,32
"University of Phoenix, West Valley Learning Center, Phoenix",,0,12.0,,5
Clarkson University,,0,2.0,,0
"Devry University, Orlando Campus",,25,1.0,,32
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,0,12.0,,5
American University,,3,2.0,,2
"University of Houston, Victoria",,30,12.0,,11
Columbia University,,Master of Arts Program in Climate and Society,2.0,,0
New York University,,Gallatin School of Individualized Study,,4,0
"Devry University, Arlington (Crystal City) Campus",,25,1.0,,23
Duke University,,Fuqua School of Business,,2,31
Dartmouth College,,11,2.0,,25
"University of Phoenix, River Road Learning Center, Tucson",,0,12.0,,5
"Devry University, Miami Center",,25,1.0,,32
"California State University, Fullerton",,Masters in TESOL,2.0,,9
Johns Hopkins University,,School of Arts and Sciences-4610,2.0,,30
Massachusetts Institute of Technology,,Microbiology,1.0,Interdisciplinary Programs: (7.0 preferred) (IELTS preferred),7
"California Baptist University, San Bernardino",,17,0.0,,9
Carnegie Mellon University,,19,2.0,,16
"University of Phoenix, Detroit Campus, Troy",,0,12.0,,4
"University of Phoenix, Milwaukee Campus, Brookville",,0,12.0,,1
"University of Phoenix, Westlake Learning Center, Westlake",,0,12.0,,10
University of Houston,,28,,2,11
University of Arkansas For Medical Sciences,,59,5.0,,6
"University of Massachusetts, Boston",,M.Ed. School of Counseling,,2,7
University of Chicago,,33,5.0,,27
University of Houston,,62,,2,11
Massachusetts Institute of Technology,,Sloan School of Management,2.0,Ph.D. Program: 7.0,7
Capital University,,Graduate Music,0.0,,10
University of Pittsburgh-Carnegie Mellon University,,Ph.D. Joint Program in Computational Biology,5.0,,16
Massachusetts Institute of Technology,,Biological Engineering,2.0,5,7
Yale University,,School of Forestry and Environmental Studies,,2,38
"University of Texas, Tyler",,61,,2,11
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,0,12.0,,28
Cornell University,,School of Hotel Administration,1.0,,0
Fairfield University,,Dolan School of Business Master of Business Administration,0.0,,38
Mills College,,Master of Arts in English,2.0,,9
University of Pennsylvania,,Graduate School of Education,5.0,,16
Claremont Graduate University,,The Peter F. Drucker and Masatoshi Ito Graduate School of Management,0.0,6.5-7.0,9
"Devry University, Lynnwood Center",,25,1.0,,29
Loyola University Chicago,,33,0.0,,27
Chapman University,,Conservatory of Motion Pictrures,2.0,,9
Clark University,,Graduate School Economics Department,2.0,,7
University of Portland,,Nursing,7.0,,36
Northeastern University,,College of Social Sciences and Humanities,14.0,2,7
Loma Linda University,,School of Allied Health Professions,0.0,,9
Drexel University,,Master of Science in Finance,,2,16
Virginia Polytechnic Institute and State University,,College of Agriculture and Life Sciences,12.0,,23
University of Denver,,Master of Taxation,6.0,,24
"University of Arkansas, Fayetteville",,Sam Walton College of Business,12.0,(contact school for subscore minimums),6
Drew University,,Theological School (except Ph.D.),1.0,,13
Georgetown University,,McDonough Business School,11.0,,2
Pepperdine University,,Graziadio School of Business and Management,12.0,,9
"Texas A&M University, Commerce",,55,4.0,,11
"Auburn University, Auburn",,7,0.0,,8
Massachusetts Institute of Technology,,Computational and Systems Biology,6.0,6,7
"University of St. Thomas, Minneapolis",,Opus College of Business,5.0,no subscore below 6.5,17
"Indiana University, Bloomington",,1,2.0,,3
"Devry University, Ft. Worth Center",,25,1.0,,11
Massachusetts Institute of Technology,,Economics,5.0,6,7
Kent State University,,Master of Science in Financial Engineering,10.0,,10
Massachusetts Institute of Technology,,32,0.0,7,7
New York University,,Robert F. Wagner Graduate School of Public Service,,2,0
"Auburn University, Auburn",,0,4.0,,8
Vanderbilt University,,35,,2,18
Syracuse University,,Whitman School of Management,5.0,,0
"University of Phoenix, Colorado Campus, Lone Tree",,0,12.0,,24
Vanderbilt University,,7,,2,18
"University of Phoenix, Florence KY Learning Center, Florence",,0,12.0,,12
"University of Colorado, Boulder",,60,3.0,,24
University of Denver,,Korbel School of International Studies,,2,24
"University of Michigan, Dearborn",,15,12.0,,4
University of Florida,,Hough Graduate School of Business,6.0,,32
Goshen College,,MS Nursing,12.0,,3
"University of Phoenix, Sarpy Student Resource Center, Omaha",,0,12.0,,39
Georgetown University,,11,2.0,,2
Massachusetts Institute of Technology,,Engineering Systems Division,11.0,5,7
San Jose State University,,Lucas Graduate School of Business,7.0,,9
Widener University,,49,5.0,,16
"University of Phoenix, Marietta Learning Center, Marietta",,0,12.0,,28
"University of Texas, Austin",,McCombs School of Business,7.0,MPA Only,11
University of Kentucky,,Gatton College of Business and Economics,12.0,Ph.D.,12
University of New Haven,,M.S. Electrical Engineering,6.0,,38
American University,,School of Communication,2.0,,2
"University of Phoenix, Portage Learning Center, Portage",,0,12.0,,4
University of Redlands,,Master of Science in Geographic Engineering Systems,13.0,,9
"University of Phoenix, Roseville Learning Center, Roseville",,0,12.0,,9
University of Oregon,,School of Journalism and Education,,2,36
Massachusetts Institute of Technology,,Department of Mathematics,1.0,7,7
University of Baltimore,,International MS in Health Systems,,2,30
"Devry University, Memphis Campus",,25,1.0,,18
"Devry University, Addison Campus",,25,1.0,,27
"University of Phoenix, Cleveland Campus, Independence",,0,12.0,,10
Massachusetts Institute of Technology,,Department of Architecture,2.0,"7.5 for Ph.D. History, Theory/Criticism of Architecture and Art (IELTS preferred)",7
Seton Hall University,,Whitehead School of Diplomacy and International Relations,12.0,,13
"City University of Seattle, Vancouver, Canada",,22,,2,20
"University of Phoenix, Brookstone Learning Center, Columbus",,0,12.0,,28
"City University of Seattle, Business and Hotel Management School",,MBA Global Management,,2,
"University of Phoenix, Northern Nevada Campus, Reno",,0,12.0,,33
"City University of Seattle, Vysoka Skola Manazmentu",,1,,2,
Carnegie Mellon University,,Heinz College,5.0,,16
Michigan State University,,Broad College of Business,2.0,,4
"University of Colorado, Boulder",,Mechanical Engineering (Doctoral),5.0,,24
Fuller Theological Seminary,,Master's program,0.0,,9
"University of Colorado, Boulder",,Spanish,12.0,,24
University of Pennsylvania,,7,5.0,,16
Western Kentucky University,,Gordon Ford College of Business,6.0,9,12
Northeastern University,,50,0.0,,7
Tulane University,,School of Public Health and Tropical Medicine,,2,42
"University of Phoenix, Eastern Washington Campus, Spokane",,0,12.0,,29
"University of Phoenix, Magic View learning Center, Meridian",,0,12.0,,14
Capital University,,School of Management and Leadership,0.0,,10
"Rutgers, The State University of New Jersey, Newark",,48,5.0,,13
"University of Phoenix, Lathrop Learning Center, Lathrop",,0,12.0,,9
"University of Phoenix, North Davis Learning Center, Clearfield",,0,12.0,,15
"Devry University, Sacramento (Elk Grove) Campus",,25,1.0,,9
"Devry University, Elgin Center",,25,1.0,,27
Seton Hall University,,Physician Assistant Program,12.0,,16
Montclair State University,,18,0.0,,13
University of Houston,,55,,2,11
"Devry University, Philadelphia (Center City) Center",,25,1.0,,16
"University of Phoenix, Des Moines Campus, West Des Moines",,0,12.0,,45
"Devry University, Chesapeake (South Hampton Roads) Campus",,25,1.0,,23
George Washington University,,Columbian College of Arts and Sciences,1.0,3,2
"University of Washington, Bothell",,65,3.0,,29
Dominican University,,Graduate School of Library and Information Sciences,2.0,,27
"University of Colorado, Boulder",,Engineering Management,7.0,,24
"University of Phoenix, Clear Lake Learning Center, Houston",,0,12.0,,11
"University of Phoenix, Gardena Learning Center, Gardena",,0,12.0,,9
"University of Phoenix, Northwest Arkansas Campus, Rogers",,0,12.0,,6
Massachusetts Institute of Technology,,Electrical Engineering and Computer Science,11.0,6,7
"University of Phoenix, Bellevue Learning Center, Bellevue",,0,12.0,,29
New York University,,"College of Dentistry, Advanced Programs for International Dentists",,Contact College of Dentistry for score,0
Boston University,,16,0.0,,7
"Devry University, Southfield Campus",,25,1.0,,4
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,0,12.0,,48
"University of Phoenix, Miami Learning Center, Miami",,0,12.0,,32
"City University of Seattle, CU-TEI Piraeus Program",,MS in Project Management,,2,
Ohio State University,,1,,Fisher College of Business: Contact school for score,10
Columbia University,,Institute of Human Nutrition,5.0,"MS, Human Nutrition",0
Boston College,,12,7.0,,7
"University of Phoenix, Fairfield County Campus, Norwalk",,0,12.0,,38
"Devry University, Sandy Campus",,25,1.0,,15
"University of Phoenix, Concord Learning Center, Concord",,0,12.0,,9
Regent University,,School of Psychology & Counseling,5.0,,23
Oral Roberts University,,School of Theology and Ministry,2.0,,35
Boston University,,14,0.0,,7
San Diego State University,,39,12.0,,9
Northeastern University,,Master of Design for Sustainable Urban Environments (MDes),5.0,,7
Virginia Polytechnic Institute and State University,,Department of English,3.0,College of Liberal Arts and Human Sciences,23
University of San Francisco,,50,5.0,,9
Framingham State University,,1,0.0,,7
"University of Phoenix, HEAT Center, Aberdeen",,0,12.0,,30
University of Rhode Island,,39,12.0,,41
"University of Phoenix, Southlands Learning Center, Aurora",,0,12.0,,24
"Devry University, Seven Hills Campus",,25,1.0,,10
University of Pittsburgh,,57,5.0,,16
Massachusetts Institute of Technology,,MIT-Woods Hole Oceanographic,1.0,,7
Syracuse University,,Smith College of Engineering and Computer Science,,2,0
Illinois Institute of Technology,,College of Psychology,,2,27
New York Medical College,,Doctor of Public Health in Epidemiology (DrPH),9.0,,0
"University of Phoenix, Arlington Learning Center, Arlington",,0,12.0,,23
Manhattan School of Music,,Doctorate of Musical Arts,2.0,,0
"University of Phoenix, Lancaster Learning Center, Lancaster",,0,12.0,,9
Pace University,,Lubin School of Business,6.0,9,0
"Devry University, Daly City Center",,25,1.0,,9
Capital University,,Graduate Nursing,0.0,,10
New School (The),,Master of Fine Arts Program in Creative Writing,2.0,,0
"University of Phoenix, Washington D.C. Campus, Washington",,0,12.0,,2
"University of Colorado, Boulder",,Ecology and Evolutionary Biology,6.0,,24
Emory University,,Goizueta School of Business,2.0,,28
"Richmond, The American International University in London",,Master in International Relations,,2,
"University of Phoenix, Lenexa Learning Center, Lenexa",,0,12.0,,46
"University of Phoenix, Palm Beach Gardens Learning Center",,0,12.0,,32
Kent State University,,39,1.0,,10
Georgetown University,,McCourt School of Public Policy,5.0,,2
Florida International University,,School of Hospitality and Tourism Management,0.0,,32
University of Dallas,,1,12.0,,11
"University of Phoenix, Asheville Learning Center, Asheville",,0,12.0,,31
University of Pittsburgh,,14,12.0,,16
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,0,12.0,,31
Virginia Polytechnic Institute and State University,,52,5.0,,23
College of William and Mary (The),,1,0.0,,23
"University of Phoenix, Topeka Student Resource Center, Topeka",,0,12.0,,46
University of New Haven,,MS. in Professional Education,5.0,,38
"University of Phoenix, Dekalb Learning Center, Atlanta",,0,12.0,,28
George Washington University,,School of Public Health and Health Services,5.0,,2
"City University of Seattle, CU-TEI Piraeus Program",,MS Computer Systems,,2,
New School (The),,20,2.0,,0
"University of Phoenix, Westshore Learning Center, Tampa",,0,12.0,,32
"Carnegie Mellon University, Greece",,19,,2,
Johns Hopkins University,,School of Engineering-4610,5.0,,30
"University of Phoenix, Columbia South Carolina Campus, Columbia",,0,12.0,,22
"University of Phoenix, Town Center Learning Center, Southfield",,0,12.0,,4
University of Pittsburgh,,27,5.0,,16
"University of Phoenix, Windsor Park Learning Center, Windcrest",,0,12.0,,11
"Wheaton College, Illinois",,Ph.D. Programs,7.0,,27
"Texas A&M University, Commerce",,53,4.0,,11
College of Charleston,,0,,2,22
"University of Phoenix, West Florida Campus, Tempe Terrace",,0,12.0,,32
Carnegie Mellon University,,Civil & Environmental Engineering,5.0,,16
Widener University,,School of Hospitality Management,5.0,,16
"University of Phoenix, South Orlando Learning Center, Orlando",,0,12.0,,32
"Northwood University, Florida",,1,2.0,,32
"Devry University, Louisville Campus",,25,1.0,,12
Columbia University,,Business School Doctoral Program,,2,0
University of Virginia,,7,,4,23
"Devry University, Colton (Inland-Empire) Center",,25,1.0,,9
University of Virginia,,Frank Batten School of Leadership and Public Policy,,2,23
"University of Phoenix, Warrenville Learning Center, Warrenville",,0,12.0,,27
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,Graduate School of Management and Technology,12.0,,30
University of Portland,,Music,7.0,,36
"Devry University, Jacksonville Campus",,25,1.0,,32
"Devry University, Oakland Center",,25,1.0,,9
"University of Phoenix, Greensboro Learning Center, Greensboro",,0,12.0,,31
Spring Hill College,,1,12.0,,8
Bellarmine University,,W. Fielding Rubel School of Business,1.0,,12
California Lutheran University,,0,2.0,,9
University of Connecticut,,57,15.0,depending on program (contact department),38
Massachusetts Institute of Technology,,Harvard-MIT Division of Health Sciences and Technology,2.0,IELTS strongly preferred,7
"University of Colorado, Boulder",,Dance,12.0,,24
"Auburn University, Auburn",,Department of Communication and Journalism,0.0,,8
New York University,,48,,4,0
"Devry University, Tinley Park Campus",,25,1.0,,27
"Texas A&M University, Commerce",,Physics,4.0,,11
"University of Colorado, Boulder",,Journalism (Master's),5.0,,24
"Devry University, Tampa Bay Campus",,25,1.0,,32
Widener University,,Center for Education,5.0,,16
"University of Phoenix, Tacoma Learning Center, Tacoma",,0,12.0,,29
"University of Phoenix, Oakland Learning Center, Oakland",,0,12.0,,9
"University of Phoenix, Indianapolis Campus, Indianapolis",,0,12.0,,3
University of Scranton,,Kania School of Managament,6.0,,16
Seton Hall University,,Art Therapy with Specialization in Counseling,5.0,,16
"Devry University, Anaheim Center",,25,1.0,,9
University of Pennsylvania,,School of Engineering & Applied Science,,2,16
"University of Phoenix, West Loop Learning Center, Houston",,0,12.0,,11
"Carnegie Mellon University, Australia",,"Heinz School, School of Public Policy and Management",2.0,,
"University of Minnesota, Twin Cities",,School of Journalism and Mass Communication,,2,17
Pace University,,Lienard School of Nursing,6.0,,0
"University of Michigan, Ann Arbor",,7,12.0,,4
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,0,12.0,,16
Georgia State University,,College Of Education,12.0,,28
"University of Wisconsin, Madison",,Wisconsin School of Business,,11,1
"University of Phoenix, Visalia Learning Center, Visalia",,0,12.0,,9
Johns Hopkins University,,School of Medicine (Ph.D.),2.0,,30
University of Portland,,60,5.0,,36
"University of Phoenix, Nogales Learning Center, Nogales",,0,12.0,,5
"University of Phoenix, Woodlands Learning Center, Spring",,0,12.0,,11
"University of Phoenix, Cincinnati Campus, Westchester",,0,12.0,,10
Brandeis University,,International Business School,2.0,,7
Georgia State University,,Andrew Young School of Policy Studies,5.0,,28
"University of Phoenix, Central Valley Campus, Fresno",,0,12.0,,9
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,0,12.0,,11
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,0,12.0,,35
Maryland Institute College of Art,,MA in Teaching,,2,30
Monterey Institute of International Studies,,Advanced Entry Master of Business Administration,0.0,,9
University of Pittsburgh,,43,5.0,,16
Doane College,,Initial Program at the Advanced Level for Certification,1.0,,37
Rice University,,Jesse H. Jones Graduate School of Business,5.0,,11
"Texas A&M University, Commerce",,Agricultural Science,4.0,Master of Science,11
Boston College,,Carroll School of Management,7.0,,7
"Devry University, Merrillville Center",,25,1.0,,3
University of North Texas Health Science Center,,9,12.0,,11
"Devry University, Waukesha Center",,25,1.0,,1
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,0,12.0,,32
University of Puget Sound,,School of Physical Therapy,12.0,,29
"University of Phoenix, Covington Learning Center, Covington",,0,12.0,,42
"University of Michigan, Dearborn",,College of Engineering and Computer Science,12.0,,4
West Coast University,,Master of Science in Occupational Therapy,12.0,,9
"University of Phoenix, Houston Northwest Learning Center, Houston",,0,12.0,,11
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,0,12.0,,24
Assumption College,,1,1.0,,7
"City University of Seattle, Vancouver, Canada",,21,,2,20
"Indiana University-Purdue University, Fort Wayne",,38,1.0,,3
"University of California, Irvine",,The Paul Merage School of Business,5.0,,9
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,0,12.0,,9
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,0,12.0,,4
"University of Phoenix, Utah Campus, Salt Lake City",,0,12.0,,15
Fairleigh Dickinson University,,27,,2,13
