Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,State
"University of Phoenix, Oakland Learning Center, Oakland",,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,
University of Scranton,,,,
Seton Hall University,,,,
"Devry University, Anaheim Center",,,,
University of Pennsylvania,,,,
"University of Phoenix, West Loop Learning Center, Houston",,,,
"Carnegie Mellon University, Australia",,,,
"University of Minnesota, Twin Cities",,,,
Pace University,,,,
"University of Michigan, Ann Arbor",,,,
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,,,
Georgia State University,,,,
"University of Wisconsin, Madison",,,,
"University of Phoenix, Visalia Learning Center, Visalia",,,,
Johns Hopkins University,,,,
University of Portland,,,,
"University of Phoenix, Nogales Learning Center, Nogales",,,,
"University of Phoenix, Woodlands Learning Center, Spring",,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,
Brandeis University,,,,
Georgia State University,,,,
"University of Phoenix, Central Valley Campus, Fresno",,,,
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,
Maryland Institute College of Art,,,,
Monterey Institute of International Studies,,,,
University of Pittsburgh,,,,
Doane College,,,,
Rice University,,,,
"Texas A&M University, Commerce",,,,
Boston College,,,,
"Devry University, Merrillville Center",,,,
University of North Texas Health Science Center,,,,
"Devry University, Waukesha Center",,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,
University of Puget Sound,,,,
"University of Phoenix, Covington Learning Center, Covington",,,,
"University of Michigan, Dearborn",,,,
West Coast University,,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,,,
Assumption College,,,,
"City University of Seattle, Vancouver, Canada",,,,
"Indiana University-Purdue University, Fort Wayne",,,,
"University of California, Irvine",,,,
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,
"University of Phoenix, Utah Campus, Salt Lake City",,,,
Fairleigh Dickinson University,,,,
