"Persons 65 years and over, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Households, 2011-2015","Total employer establishments, 2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","With a disability, under age 65 years, percent, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Total merchant wholesaler sales, 2012 ($1,000)","Veteran-owned firms, 2012","Housing units, April 1, 2010","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Asian alone, percent, July 1, 2016,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Building permits, 2016","All firms, 2012","Population estimates, July 1, 2016,  (V2016)","Women-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Nonminority-owned firms, 2012","Persons under 5 years, percent, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median gross rent, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total nonemployer establishments, 2015","Black or African American alone, percent, July 1, 2016,  (V2016)","Total retail sales per capita, 2012","Land area in square miles, 2010","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons per household, 2011-2015","Population per square mile, 2010","Nonveteran-owned firms, 2012","Female persons, percent, April 1, 2010","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Housing units,  July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Population, Census, April 1, 2010","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total employment, percent change, 2014-2015","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Persons in poverty, percent","Total annual payroll, 2015 ($1,000)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Two or More Races, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Median household income (in 2015 dollars), 2011-2015",Fact,"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Persons  without health insurance, under age 65 years, percent","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Minority-owned firms, 2012","Female persons, percent,  July 1, 2016,  (V2016)","Total employment, 2015","Men-owned firms, 2012","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015"
13.80%,20.20%,"2,549,721","175,225",5.30%,"63,583,090",7.90%,89.80%,81.80%,"123,904,370","58,339","2,808,254",67.50%,6.70%,40.50%,0.50%,"16,288","607,664","6,811,779","199,210",21.70%,"499,959",5.60%,62.10%,"$1,102 ",$717 ,"17,508,975","514,298",8.60%,"$13,980 ","7,800.06","$36,895 ",2.53,839.4,"525,667",51.60%,22.50%,15.80%,"6,547,813","2,858,026","$2,063 ","6,547,629",63.40%,2.60%,4.00%,10.40%,"198,026,611",28.7,"$333,100 ",2.30%,0.10%,"$68,563 ",Massachusetts,73.00%,11.50%,2.90%,"81,927,799","92,915,380",87.10%,"89,967",51.50%,"3,167,329","357,158","355,083",15.50%
12.30%,23.80%,"1,727,919","105,575",6.60%,"27,951,792",11.00%,83.40%,63.20%,"68,012,838","42,211","1,964,981",60.40%,1.80%,22.50%,0.80%,"14,503","414,291","4,681,666","151,114",24.70%,"277,676",6.90%,65.80%,$788 ,$317 ,"11,697,949","358,223",32.60%,"$13,342 ","43,203.90","$24,981 ",2.6,104.9,"354,460",51.00%,8.50%,14.40%,"4,533,479","2,036,975","$1,200 ","4,533,372",56.00%,0.40%,3.30%,20.20%,"76,684,760",25.1,"$144,100 ",1.60%,0.10%,"$45,047 ",Louisiana,59.00%,5.00%,11.90%,"271,191,050","61,396,364",86.30%,"126,100",51.10%,"1,724,973","215,111","281,989",4.00%
13.70%,22.10%,"1,815,094","103,973",5.90%,"22,941,292",10.30%,85.60%,68.50%,"45,520,900","47,987","2,137,683",60.10%,1.60%,25.80%,0.50%,"32,165","367,726","4,961,119","131,856",23.40%,"276,269",6.50%,68.60%,$790 ,$347 ,"9,763,818","329,431",27.50%,"$12,298 ","30,060.70","$24,604 ",2.56,153.90,"303,137",51.40%,6.90%,16.70%,"4,625,410","2,236,153","$1,183 ","4,625,364",56.20%,2.80%,7.30%,15.30%,"66,120,263",23.9,"$139,900 ",1.80%,0.10%,"$45,483 ",South Carolina,63.90%,5.50%,11.90%,"99,160,840","58,093,824",84.70%,"83,233",51.50%,"1,662,251","202,446","378,959",4.80%
13.50%,21.20%,"7,262,279","540,298",5.90%,"155,666,053",7.40%,85.60%,69.90%,"341,734,970","137,532","8,108,103",63.30%,8.90%,34.20%,1.00%,"33,711","2,008,988","19,745,289","725,709",22.30%,"1,248,304",6.00%,53.60%,"$1,132 ",$709 ,"49,285,508","1,685,636",17.70%,"$12,834 ","47,126.40","$33,236 ",2.63,411.20,"1,811,544",51.60%,30.40%,15.40%,"19,378,110","8,231,687","$2,022 ","19,378,102",58.70%,1.80%,1.90%,14.70%,"513,083,321",32.3,"$283,400 ",2.50%,0.10%,"$59,269 ",New York,55.80%,19.00%,7.00%,"148,879,931","251,167,736",89.10%,"709,021",51.40%,"7,998,994","1,139,910","828,586",22.50%
14.20%,21.10%,"1,352,583","89,232",5.20%,"29,573,119",7.10%,89.90%,80.60%,"161,962,244","31,056","1,487,891",67.20%,4.70%,37.60%,0.50%,"5,504","326,693","3,576,452","106,678",22.90%,"259,614",5.70%,67.00%,"$1,075 ",$833 ,"9,542,068","272,809",11.80%,"$14,381 ","4,842.36","$38,803 ",2.57,738.1,"281,182",51.30%,21.90%,16.10%,"3,574,114","1,499,116","$2,067 ","3,574,097",62.80%,1.20%,0.10%,9.80%,"92,555,072",25.4,"$270,500 ",2.30%,0.10%,"$70,331 ",Connecticut,67.70%,15.70%,5.70%,"55,160,095","51,632,467",87.80%,"56,113",51.20%,"1,503,102","187,845","199,331",13.90%
15.40%,20.90%,"4,958,859","299,695",5.60%,"96,329,248",9.50%,89.20%,82.40%,"191,170,147","97,969","5,567,315",62.80%,3.50%,28.60%,0.40%,"23,303","975,453","12,784,227","304,803",22.00%,"818,858",5.70%,69.20%,$840 ,$498 ,"23,504,192","811,890",11.80%,"$14,008 ","44,742.70","$29,291 ",2.49,283.90,"837,792",51.30%,10.60%,17.40%,"12,702,857","5,612,002","$1,425 ","12,702,379",58.30%,1.00%,0.60%,12.90%,"257,626,942",26.3,"$166,000 ",1.90%,0.10%,"$53,599 ",Pennsylvania,77.00%,7.00%,6.70%,"231,396,178","178,794,945",88.00%,"131,512",51.00%,"5,306,896","579,400","870,770",6.30%
7.70%,25.20%,"250,969","20,907",7.30%,"6,375,483",8.10%,92.10%,66.10%,"5,216,303","7,953","306,967",67.70%,6.30%,28.00%,15.20%,"1,503","68,032","741,894","22,141",26.40%,"51,147",7.60%,63.40%,"$1,146 ",$554 ,"2,221,335","55,521",3.80%,"$14,320 ","570,640.95","$33,413 ",2.81,1.2,"56,091",48.00%,16.20%,10.40%,"710,249","310,658","$1,827 ","710,231",65.00%,0.40%,4.50%,9.90%,"15,643,303",19.0,"$250,000 ",7.30%,1.30%,"$72,515 ",Alaska,61.20%,7.00%,15.50%,D,"10,474,275",80.90%,"13,688",47.70%,"267,999","35,402","69,323",7.40%
13.90%,21.20%,"1,533,430","112,393",5.80%,"24,956,816",10.20%,89.80%,87.40%,"48,325,261","30,918","1,675,562",62.10%,4.50%,30.80%,1.80%,"19,586","339,305","4,093,465","123,015",22.60%,"285,028",6.20%,61.30%,$907 ,$469 ,"8,466,788","278,839",2.10%,"$12,690 ","95,988.01","$27,684 ",2.51,39.90,"288,790",50.50%,15.10%,16.80%,"3,831,072","1,732,786","$1,557 ","3,831,074",57.60%,3.80%,6.80%,13.30%,"71,006,598",22.9,"$237,300 ",3.80%,0.40%,"$51,243 ",Oregon,76.40%,12.80%,7.30%,"51,349,948","49,481,054",81.90%,"41,456",50.50%,"1,498,727","165,691","306,723",9.90%
14.10%,22.50%,"4,585,084","251,668",6.00%,"80,915,693",9.90%,89.10%,82.50%,"155,426,023","91,316","5,127,508",63.30%,2.20%,26.10%,0.30%,"22,816","904,814","11,614,373","306,824",23.70%,"759,569",6.20%,66.30%,$730 ,$444 ,"20,652,777","763,418",12.80%,"$13,301 ","40,860.69","$26,953 ",2.46,282.30,"776,193",51.20%,6.70%,16.20%,"11,536,727","5,164,361","$1,246 ","11,536,504",59.00%,1.80%,0.70%,14.60%,"213,161,303",23.2,"$129,900 ",2.20%,0.10%,"$49,429 ",Ohio,79.50%,3.70%,6.60%,"313,629,976","153,553,997",85.30%,"122,653",51.00%,"4,719,985","510,078","806,531",4.10%
13.80%,23.50%,"2,412,212","136,352",6.30%,"37,055,881",8.20%,86.00%,83.30%,"69,437,272","46,780","2,844,526",59.30%,3.40%,27.50%,5.40%,"35,578","499,926","6,931,071","182,425",25.50%,"344,981",7.10%,62.80%,$913 ,$380 ,"13,996,635","451,951",4.90%,"$12,927 ","113,594.08","$25,848 ",2.69,56.3,"427,582",50.30%,26.90%,16.90%,"6,392,301","2,961,003","$1,343 ","6,392,017",54.50%,2.40%,8.40%,16.40%,"102,671,393",24.8,"$167,500 ",2.80%,0.30%,"$50,255 ",Arizona,55.50%,30.90%,11.90%,"51,243,473","84,716,542",81.30%,"135,313",50.30%,"2,295,186","245,243","505,794",13.50%
12.00%,23.00%,"1,016,709","63,383",6.30%,"13,928,514",9.00%,85.10%,75.10%,"19,841,701","23,049","1,173,814",64.00%,8.70%,23.00%,1.60%,"17,952","227,156","2,940,058","82,508",24.60%,"144,944",6.90%,55.10%,$973 ,$410 ,"27,481,505","205,980",9.60%,"$13,858 ","109,781.18","$26,541 ",2.72,24.6,"191,293",49.50%,30.00%,15.00%,"2,700,691","1,221,698","$1,442 ","2,700,551",59.30%,3.70%,8.90%,13.80%,"46,595,673",23.9,"$173,700 ",4.20%,0.80%,"$51,847 ",Nevada,49.90%,28.50%,13.10%,"14,719,141","38,234,170",78.80%,"71,864",49.90%,"1,129,965","114,057","220,332",19.20%
13.50%,24.50%,"1,455,321","93,093",6.80%,"22,795,438",11.30%,86.90%,74.60%,"71,892,946","36,273","1,664,378",61.10%,2.20%,24.10%,9.20%,"12,092","327,229","3,923,561","105,168",24.80%,"249,027",7.00%,66.10%,$727 ,$370 ,"7,121,153","276,218",7.80%,"$13,174 ","68,594.92","$25,032 ",2.57,54.70,"273,491",50.50%,9.80%,15.00%,"3,751,615","1,721,045","$1,147 ","3,751,351",55.70%,0.80%,4.60%,16.30%,"59,124,620",21.3,"$117,900 ",6.10%,0.20%,"$46,879 ",Oklahoma,66.20%,10.30%,16.10%,"74,295,394","50,256,231",82.60%,"64,875",50.50%,"1,370,988","174,395","295,847",5.80%
10.30%,26.20%,"9,149,196","569,091",7.20%,"145,035,130",8.10%,81.90%,79.40%,"691,242,607","213,590","9,977,436",64.30%,4.80%,27.60%,1.00%,"165,853","2,356,748","27,862,596","866,678",27.30%,"1,224,845",7.70%,62.20%,$882 ,$460 ,"54,480,811","2,205,149",12.60%,"$13,666 ","261,231.71","$26,999 ",2.84,96.3,"2,057,218",50.40%,35.00%,12.00%,"25,146,100","10,753,629","$1,432 ","25,145,561",57.70%,3.20%,10.80%,15.60%,"521,095,797",25.6,"$136,000 ",1.90%,0.10%,"$53,207 ",Texas,42.60%,39.10%,18.60%,"702,603,073","356,116,376",83.30%,"1,070,392",50.40%,"10,239,710","1,251,696","1,539,655",16.60%
12.90%,22.70%,"3,775,581","223,209",6.00%,"55,227,505",9.60%,85.80%,71.00%,"105,275,586","86,571","4,327,528",61.80%,2.90%,28.40%,1.60%,"60,550","805,985","10,146,788","287,058",23.90%,"603,182",6.60%,65.10%,$797 ,$373 ,"18,622,258","722,639",22.20%,"$12,376 ","48,617.91","$25,920 ",2.54,196.10,"684,743",51.30%,11.20%,15.50%,"9,535,688","4,540,498","$1,248 ","9,535,483",57.70%,3.10%,6.40%,15.40%,"164,936,258",23.9,"$154,900 ",2.20%,0.10%,"$46,868 ",North Carolina,63.50%,9.20%,12.20%,"202,344,646","120,691,007",84.70%,"183,380",51.40%,"3,670,284","435,677","696,119",7.70%
14.40%,19.70%,"410,602","28,387",5.20%,"8,223,005",8.90%,86.20%,84.40%,"22,310,389","9,904","463,388",65.50%,3.60%,31.90%,1.00%,"1,226","94,642","1,056,426","30,484",21.30%,"77,042",5.50%,60.10%,$925 ,$682 ,"2,481,314","76,747",8.10%,"$11,486 ","1,033.81","$31,118 ",2.46,"1,018.10","79,837",51.70%,21.40%,16.50%,"1,052,940","462,589","$1,815 ","1,052,567",61.60%,1.00%,0.30%,12.80%,"19,704,826",24.2,"$238,000 ",2.70%,0.20%,"$56,852 ",Rhode Island,73.30%,14.90%,5.10%,"11,262,158","12,063,865",86.60%,"14,737",51.40%,"425,748","54,651","66,076",13.30%
13.70%,22.30%,"2,299,107","139,500",5.80%,"40,680,625",8.20%,91.00%,87.50%,"77,066,883","39,830","2,624,358",67.10%,2.80%,27.80%,1.10%,"19,274","432,980","5,778,708","133,859",23.60%,"379,934",6.30%,67.30%,$776 ,$532 ,"10,303,256","341,935",6.60%,"$13,656 ","54,157.80","$28,340 ",2.43,105,"370,755",50.40%,8.70%,16.10%,"5,687,289","2,668,444","$1,402 ","5,686,986",63.50%,2.20%,1.60%,11.80%,"112,406,494",21.9,"$165,800 ",1.90%,0.10%,"$53,357 ",Wisconsin,81.70%,6.70%,6.20%,"177,728,926","78,201,822",85.80%,"40,507",50.30%,"2,503,532","236,252","381,940",4.80%
13.50%,19.50%,"520,251","37,669",4.80%,"9,616,460",8.50%,92.30%,93.80%,"18,029,179","16,119","614,754",68.20%,2.70%,34.90%,0.30%,"3,796","131,638","1,334,795","38,525",21.80%,"121,297",5.30%,71.00%,"$1,000 ",$747 ,"2,942,278","104,437",1.50%,"$19,700 ","8,952.65","$34,362 ",2.47,147,"108,817",50.70%,7.90%,17.00%,"1,316,461","625,307","$1,870 ","1,316,470",63.80%,2.30%,1.40%,7.30%,"28,076,320",26.9,"$237,300 ",1.70%,0.10%,"$66,779 ",New Hampshire,90.80%,3.50%,7.10%,"18,895,624","26,018,201",86.50%,"6,111",50.50%,"576,424","76,716","106,827",5.70%
14.40%,21.50%,"344,022","24,852",5.80%,"7,003,251",8.50%,88.40%,70.10%,"5,628,914","7,206","405,885",63.10%,4.00%,30.00%,0.60%,"5,804","73,418","952,065","23,964",22.90%,"54,782",6.20%,71.20%,"$1,018 ",$445 ,"2,148,437","60,734",22.60%,"$15,763 ","1,948.54","$30,554 ",2.62,460.8,"60,318",51.60%,12.90%,17.50%,"897,936","426,149","$1,537 ","897,934",59.40%,1.50%,6.00%,11.70%,"21,305,227",25.5,"$231,500 ",2.60%,0.10%,"$60,509 ",Delaware,62.90%,9.20%,6.60%,"22,597,384","14,456,001",86.60%,"14,440",51.60%,"397,385","38,328","71,213",8.70%
