id,title,rating,year,duration,actor_1,actor_fb_likes_1,actor_2,actor_fb_likes_2,actor_3,actor_fb_likes_3
987,Marmaduke,PG,2010.0,87.0,Emma Stone,15000.0,Judy Greer,2000.0,Steve Coogan,1000.0
988,Hereafter,PG-13,2010.0,129.0,Matt Damon,13000.0,Jay Mohr,563.0,Cécile De France,447.0
989,Murder by Numbers,R,2002.0,115.0,Ryan Gosling,33000.0,Chris Penn,455.0,Agnes Bruckner,401.0
990,Assassins,R,1995.0,132.0,Muse Watson,45000.0,Sylvester Stallone,13000.0,Kelly Rowan,282.0
991,Hannibal Rising,R,2007.0,131.0,Li Gong,879.0,Stephen Walters,184.0,Richard Brake,163.0
992,The Story of Us,R,1999.0,95.0,Bruce Willis,13000.0,Tim Matheson,559.0,Rita Wilson,323.0
993,The Host,PG-13,2013.0,125.0,J.D. Evermore,430.0,Chandler Canterbury,329.0,Rachel Roberts,201.0
994,Basic,R,2003.0,98.0,Connie Nielsen,933.0,Harry Connick Jr.,631.0,Tim Daly,511.0
995,Blood Work,R,2002.0,110.0,Clint Eastwood,16000.0,Anjelica Huston,1000.0,Rick Hoffman,581.0
996,The International,R,2009.0,118.0,Naomi Watts,6000.0,Brían F. O'Byrne,450.0,Armin Mueller-Stahl,294.0
997,Escape from L.A.,R,1996.0,101.0,Steve Buscemi,12000.0,Valeria Golino,898.0,Michelle Forbes,764.0
998,Twisted,,,60.0,Grey Damon,629.0,Brittany Curran,512.0,Aaron Hill,398.0
999,The Iron Giant,PG,1999.0,90.0,Vin Diesel,14000.0,Harry Connick Jr.,631.0,M. Emmet Walsh,521.0
1000,The Life Aquatic with Steve Zissou,R,2004.0,119.0,Bill Murray,13000.0,Anjelica Huston,1000.0,Matthew Gray Gubler,639.0
1001,Free State of Jones,R,2016.0,139.0,Matthew McConaughey,11000.0,Donald Watkins,552.0,Jessica Collins,303.0
1002,The Life of David Gale,R,2003.0,130.0,Kevin Spacey,18000.0,Kate Winslet,14000.0,Matt Craven,256.0
1003,Man of the House,PG-13,2005.0,100.0,Christina Milian,1000.0,Vanessa Ferlito,923.0,Kelli Garner,730.0
1004,Run All Night,R,2015.0,114.0,Liam Neeson,14000.0,Common,989.0,Bruce McGill,655.0
1005,Eastern Promises,R,2007.0,96.0,Viggo Mortensen,10000.0,Naomi Watts,6000.0,Raza Jaffrey,509.0
1006,Into the Blue,PG-13,2005.0,110.0,Paul Walker,23000.0,James Frain,1000.0,Ashley Scott,795.0
1007,The Messenger: The Story of Joan of Arc,R,1999.0,158.0,Paul Brooke,51.0,David Bailie,40.0,Rab Affleck,15.0
1008,Your Highness,R,2011.0,102.0,Natalie Portman,20000.0,Zooey Deschanel,11000.0,James Franco,11000.0
1009,Dream House,PG-13,2011.0,84.0,Naomi Watts,6000.0,Gregory Smith,694.0,Sarah Gadon,692.0
1010,Mad City,PG-13,1997.0,115.0,Mia Kirshner,972.0,Blythe Danner,713.0,William Atherton,317.0
1011,Baby's Day Out,PG,1994.0,99.0,Joe Mantegna,1000.0,Lara Flynn Boyle,619.0,Cynthia Nixon,479.0
1012,The Scarlet Letter,R,1995.0,135.0,Gary Oldman,10000.0,Robert Duvall,3000.0,Demi Moore,2000.0
1013,Fair Game,PG-13,2010.0,108.0,Naomi Watts,6000.0,Ty Burrell,3000.0,Brooke Smith,405.0
1014,Defiance,TV-MA,,43.0,Julie Benz,3000.0,Tony Curran,845.0,Grant Bowler,600.0
1015,Domino,R,2005.0,127.0,Ian Ziering,984.0,Mo'Nique,940.0,Edgar Ramírez,897.0
1016,Jade,R,1995.0,107.0,Michael Biehn,2000.0,Chazz Palminteri,979.0,Linda Fiorentino,602.0
1017,Gamer,R,2009.0,95.0,Gerard Butler,18000.0,Logan Lerman,8000.0,Alison Lohman,1000.0
1018,Beautiful Creatures,PG-13,2013.0,124.0,Alden Ehrenreich,1000.0,Zoey Deutch,852.0,Pruitt Taylor Vince,592.0
1019,Death to Smoochy,R,2002.0,109.0,Robin Williams,49000.0,Vincent Schiavelli,811.0,Danny Woodburn,809.0
1020,Zoolander 2,PG-13,2016.0,102.0,Milla Jovovich,14000.0,Will Ferrell,8000.0,Justin Theroux,1000.0
1021,The Big Bounce,PG-13,2004.0,88.0,Morgan Freeman,11000.0,Andrew Wilson,387.0,Willie Nelson,338.0
1022,What Planet Are You From?,R,2000.0,87.0,Judy Greer,2000.0,Linda Fiorentino,602.0,Garry Shandling,591.0
1023,Drive Angry,R,2011.0,104.0,Nicolas Cage,12000.0,Billy Burke,2000.0,Katy Mixon,982.0
1024,Street Fighter: The Legend of Chun-Li,PG-13,2009.0,96.0,Chris Klein,841.0,Robin Shou,342.0,Josie Ho,77.0
1025,The One,PG-13,2001.0,85.0,Jason Statham,26000.0,Jet Li,5000.0,Delroy Lindo,848.0
1026,Outlander,TV-MA,,64.0,Tobias Menzies,1000.0,Graham McTavish,531.0,Stephen Walters,184.0
1027,The Adventures of Ford Fairlane,R,1990.0,104.0,Lauren Holly,879.0,Gilbert Gottfried,560.0,David Patrick Kelly,380.0
1028,Pirate Radio,R,2009.0,135.0,Philip Seymour Hoffman,22000.0,Charlie Rowe,882.0,Tom Sturridge,830.0
1029,Traffic,R,2000.0,190.0,Michael O'Neill,599.0,Jacob Vargas,399.0,James Lew,215.0
1030,Indiana Jones and the Last Crusade,PG-13,1989.0,127.0,Harrison Ford,11000.0,Julian Glover,844.0,Alison Doody,440.0
1031,Anna Karenina,R,2012.0,129.0,Kelly Macdonald,2000.0,Guro Nagelhus Schia,35.0,Matthew Macfadyen,0.0
1032,Chappie,R,2015.0,120.0,Hugh Jackman,20000.0,Sharlto Copley,2000.0,Jose Pablo Cantillo,502.0
1033,The Bone Collector,R,1999.0,118.0,Denzel Washington,18000.0,Angelina Jolie Pitt,11000.0,Leland Orser,308.0
1034,Panic Room,R,2002.0,112.0,Kristen Stewart,17000.0,Dwight Yoakam,324.0,Mel Rodriguez,237.0
1035,The Tooth Fairy,,2006.0,89.0,P.J. Soles,598.0,Lochlyn Munro,555.0,Steve Bacic,235.0
1036,Three Kings,R,1999.0,114.0,Judy Greer,2000.0,Jamie Kennedy,490.0,Mykelti Williamson,393.0
1037,Child 44,R,2015.0,137.0,Tom Hardy,27000.0,Fares Fares,254.0,Michael Nardone,194.0
1038,Rat Race,PG-13,2001.0,112.0,Corinna Harney,779.0,Douglas Haase,629.0,Vince Vieluf,261.0
1039,K-PAX,PG-13,2001.0,120.0,Kevin Spacey,18000.0,Jeff Bridges,12000.0,Alfre Woodard,1000.0
1040,Kate & Leopold,PG-13,2001.0,123.0,Hugh Jackman,20000.0,Natasha Lyonne,1000.0,Bradley Whitford,821.0
1041,Bedazzled,PG-13,2000.0,93.0,Brendan Fraser,3000.0,Frances O'Connor,575.0,Brian Doyle-Murray,484.0
1042,The Cotton Club,R,1984.0,123.0,Nicolas Cage,12000.0,Bob Hoskins,5000.0,Fred Gwynne,886.0
1043,3:10 to Yuma,R,2007.0,122.0,Christian Bale,23000.0,Logan Lerman,8000.0,Gretchen Mol,600.0
1044,Taken 3,PG-13,2014.0,115.0,Liam Neeson,14000.0,Dougray Scott,794.0,Jon Gries,482.0
1045,Out of Sight,R,1998.0,123.0,Don Cheadle,3000.0,Albert Brooks,745.0,Keith Hudson,23.0
1046,The Cable Guy,PG-13,1996.0,96.0,Matthew Broderick,2000.0,Janeane Garofalo,1000.0,Andy Dick,302.0
1047,Earth,Unrated,1998.0,110.0,Nandita Das,113.0,Gulshan Grover,102.0,Eric Peterson,59.0
1048,Dick Tracy,PG,1990.0,105.0,Charlie Korsmo,678.0,Warren Beatty,631.0,Seymour Cassel,327.0
1049,The Thomas Crown Affair,R,1999.0,113.0,Mark Margolis,1000.0,Faye Dunaway,977.0,Denis Leary,835.0
1050,Riding in Cars with Boys,PG-13,2001.0,132.0,Rosie Perez,919.0,Adam Garcia,811.0,Alissa Dean,807.0
1051,First Blood,R,1982.0,93.0,Sylvester Stallone,13000.0,Brian Dennehy,954.0,Chris Mulkey,535.0
1052,Solaris,PG,1972.0,115.0,Donatas Banionis,29.0,Anatoliy Solonitsyn,29.0,Natalya Bondarchuk,12.0
1053,Happily N'Ever After,PG,2006.0,75.0,Sarah Michelle Gellar,4000.0,George Carlin,769.0,Rob Paulsen,677.0
1054,Mary Reilly,R,1996.0,108.0,Julia Roberts,8000.0,Bronagh Gallagher,115.0,George Cole,77.0
1055,My Best Friend's Wedding,PG-13,1997.0,105.0,Julia Roberts,8000.0,Christopher Masterson,1000.0,Rupert Everett,692.0
1056,America's Sweethearts,PG-13,2001.0,102.0,Julia Roberts,8000.0,Rainn Wilson,973.0,Larry King,135.0
1057,Insomnia,R,2002.0,118.0,Al Pacino,14000.0,Maura Tierney,509.0,Crystal Lowe,319.0
1058,Star Trek: First Contact,PG-13,1996.0,111.0,LeVar Burton,1000.0,Alfre Woodard,1000.0,Jonathan Frakes,906.0
1059,Jonah Hex,PG-13,2010.0,81.0,Michael Fassbender,13000.0,Billy Blair,541.0,Julia Jones,364.0
1060,Courage Under Fire,R,1996.0,116.0,Denzel Washington,18000.0,Matt Damon,13000.0,Scott Glenn,826.0
1061,Liar Liar,PG-13,1997.0,86.0,Maura Tierney,509.0,Swoosie Kurtz,418.0,Randall 'Tex' Cobb,255.0
1062,The Infiltrator,R,2016.0,127.0,Joseph Gilgun,788.0,Amy Ryan,423.0,Olympia Dukakis,345.0
1063,Inchon,PG,1981.0,140.0,Laurence Olivier,1000.0,Ben Gazzara,623.0,Jacqueline Bisset,522.0
1064,The Flintstones,PG,1994.0,91.0,Jonathan Winters,924.0,Elizabeth Perkins,664.0,Harvey Korman,628.0
1065,Taken 2,PG-13,2012.0,98.0,Liam Neeson,14000.0,Luke Grimes,935.0,D.B. Sweeney,558.0
1066,Scary Movie 3,PG-13,2003.0,84.0,Regina Hall,807.0,Pamela Anderson,780.0,Jenny McCarthy,750.0
1067,Miss Congeniality,PG-13,2000.0,109.0,Candice Bergen,545.0,Wendy Raquel Robinson,337.0,Heather Burns,213.0
1068,Journey to the Center of the Earth,PG,2008.0,93.0,Josh Hutcherson,14000.0,Brendan Fraser,3000.0,Anita Briem,311.0
1069,The Princess Diaries 2: Royal Engagement,G,2004.0,113.0,Anne Hathaway,11000.0,Raven-Symoné,1000.0,Hector Elizondo,995.0
1070,The Pelican Brief,PG-13,1993.0,141.0,Denzel Washington,18000.0,Julia Roberts,8000.0,Tony Goldwyn,956.0
1071,The Client,PG-13,1994.0,119.0,Bradley Whitford,821.0,Anthony LaPaglia,577.0,Brad Renfro,551.0
1072,The Bucket List,PG-13,2007.0,97.0,Morgan Freeman,11000.0,Noel Gugliemi,2000.0,Sean Hayes,760.0
1073,Patriot Games,R,1992.0,117.0,Harrison Ford,11000.0,Polly Walker,530.0,Patrick Bergin,308.0
1074,Monster-in-Law,PG-13,2005.0,101.0,Adam Scott,3000.0,Jane Fonda,949.0,Elaine Stritch,586.0
1075,Prisoners,R,2013.0,153.0,Hugh Jackman,20000.0,Jake Gyllenhaal,15000.0,Dylan Minnette,1000.0
1076,Training Day,R,2001.0,122.0,Denzel Washington,18000.0,Snoop Dogg,881.0,Tom Berenger,854.0
1077,Galaxy Quest,PG,1999.0,102.0,Alan Rickman,25000.0,Enrico Colantoni,724.0,Robin Sachs,436.0
1078,Scary Movie 2,R,2001.0,83.0,Natasha Lyonne,1000.0,Veronica Cartwright,422.0,Andy Richter,179.0
1079,The Muppets,PG,2011.0,103.0,Bill Cobbs,970.0,Eric Jacobson,91.0,Steve Whitmire,84.0
1080,Blade,R,1998.0,110.0,Sanaa Lathan,886.0,Traci Lords,650.0,Udo Kier,595.0
1081,Coach Carter,PG-13,2005.0,136.0,Channing Tatum,17000.0,Rick Gonzalez,807.0,Robert Ri'chard,730.0
1082,Changing Lanes,R,2002.0,91.0,Sydney Pollack,521.0,Matt Malloy,108.0,Bruce Altman,67.0
1083,Anaconda,PG-13,1997.0,89.0,Frank Welker,2000.0,Eric Stoltz,902.0,Kari Wuhrer,514.0
1084,Coyote Ugly,PG-13,2000.0,107.0,Adam Garcia,811.0,Tyra Banks,625.0,Izabella Miko,560.0
1085,Love Actually,R,2003.0,129.0,Colin Firth,14000.0,Liam Neeson,14000.0,Kris Marshall,548.0
1086,A Bug's Life,G,1998.0,95.0,Kevin Spacey,18000.0,Madeline Kahn,1000.0,John Ratzenberger,1000.0
1087,From Hell,R,2001.0,122.0,Johnny Depp,40000.0,Jason Flemyng,1000.0,Ian Richardson,140.0
1088,The Specialist,R,1994.0,110.0,Sylvester Stallone,13000.0,Rod Steiger,279.0,Emilio Estefan Jr.,20.0
1089,Tin Cup,R,1996.0,135.0,Don Johnson,982.0,Cheech Marin,844.0,Rene Russo,808.0
1090,"Yours, Mine and Ours",Unrated,1968.0,111.0,Lucille Ball,6000.0,Tom Bosley,584.0,Tim Matheson,559.0
1091,Kicking & Screaming,PG,2005.0,95.0,Josh Hutcherson,14000.0,Will Ferrell,8000.0,Robert Duvall,3000.0
1092,The Hitchhiker's Guide to the Galaxy,PG,2005.0,109.0,Zooey Deschanel,11000.0,Kelly Macdonald,2000.0,Thomas Lennon,651.0
1093,Fat Albert,PG,2004.0,93.0,Dania Ramirez,1000.0,Nick Zano,641.0,Alice Greczyn,631.0
1094,Resident Evil: Extinction,R,2007.0,94.0,Milla Jovovich,14000.0,Mike Epps,706.0,James Tumminia,443.0
1095,Blended,PG-13,2014.0,117.0,Bella Thorne,35000.0,Adam Sandler,11000.0,Joel McHale,734.0
1096,Last Holiday,PG-13,2006.0,112.0,LL Cool J,1000.0,Alicia Witt,976.0,Timothy Hutton,501.0
1097,The River Wild,PG-13,1994.0,111.0,Meryl Streep,11000.0,Glenn Morshower,894.0,William Lucking,132.0
1098,The Indian in the Cupboard,PG,1995.0,96.0,Steve Coogan,1000.0,Vincent Kartheiser,845.0,David Keith,563.0
1099,Savages,R,2012.0,141.0,Demián Bichir,749.0,Shea Whigham,463.0,Gary Stretch,404.0
1100,Cellular,PG-13,2004.0,94.0,Richard Burgi,550.0,Valerie Cruz,216.0,Will Beinbrink,167.0
1101,Johnny English,PG,2003.0,87.0,Kevin McNally,427.0,Natalie Imbruglia,304.0,Ben Miller,252.0
1102,The Ant Bully,PG,2006.0,88.0,Nicolas Cage,12000.0,Meryl Streep,11000.0,Julia Roberts,8000.0
1103,Dune,PG-13,1984.0,177.0,Virginia Madsen,913.0,Jürgen Prochnow,362.0,José Ferrer,202.0
1104,Across the Universe,PG-13,2007.0,133.0,Jim Sturgess,5000.0,T.V. Carpio,117.0,Robert Clohessy,107.0
1105,Revolutionary Road,R,2008.0,119.0,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Joe Komara,10000.0
1106,16 Blocks,PG-13,2006.0,102.0,Bruce Willis,13000.0,David Zayas,929.0,Sasha Roiz,795.0
1107,Babylon A.D.,PG-13,2008.0,101.0,Vin Diesel,14000.0,Charlotte Rampling,844.0,David Belle,510.0
1108,The Glimmer Man,R,1996.0,91.0,Alexa PenaVega,2000.0,Bob Gunton,461.0,Keenen Ivory Wayans,322.0
1109,Multiplicity,PG-13,1996.0,117.0,John de Lancie,905.0,Brian Doyle-Murray,484.0,Obba Babatundé,451.0
1110,Aliens in the Attic,PG,2009.0,86.0,Malese Jow,1000.0,Carter Jenkins,701.0,Tim Meadows,553.0
1111,The Pledge,R,2001.0,124.0,Costas Mandylor,723.0,Adrien Dorval,44.0,Nels Lennarson,19.0
1112,The Producers,PG-13,2005.0,134.0,Jon Lovitz,11000.0,Will Ferrell,8000.0,Matthew Broderick,2000.0
1113,The Phantom,PG,1996.0,100.0,Cary-Hiroyuki Tagawa,1000.0,Treat Williams,642.0,Kristy Swanson,579.0
1114,All the Pretty Horses,PG-13,2000.0,220.0,Matt Damon,13000.0,Henry Thomas,861.0,Sam Shepard,820.0
1115,Nixon,R,1995.0,212.0,Anthony Hopkins,12000.0,Bob Hoskins,5000.0,Joan Allen,805.0
1116,The Ghost Writer,PG-13,2010.0,128.0,Jim Belushi,854.0,Olivia Williams,766.0,Timothy Hutton,501.0
1117,Deep Rising,R,1998.0,106.0,Djimon Hounsou,3000.0,Jason Flemyng,1000.0,Wes Studi,855.0
1118,Miracle at St. Anna,R,2008.0,160.0,Joseph Gordon-Levitt,23000.0,Omari Hardwick,1000.0,Laz Alonso,826.0
1119,Curse of the Golden Flower,R,2006.0,114.0,Li Gong,879.0,Ye Liu,52.0,Man Li,10.0
1120,Bangkok Dangerous,R,2008.0,99.0,Nicolas Cage,12000.0,Charlie Yeung,68.0,James With,61.0
1121,Big Trouble,PG-13,2002.0,74.0,Zooey Deschanel,11000.0,Janeane Garofalo,1000.0,Omar Epps,865.0
1122,Love in the Time of Cholera,R,2007.0,139.0,Marcela Mar,267.0,Giovanna Mezzogiorno,202.0,Unax Ugalde,50.0
1123,The Returned,TV-MA,,52.0,Pierre Perrier,164.0,Clotilde Hesme,116.0,Céline Sallette,114.0
1124,Shadow Conspiracy,R,1997.0,103.0,Sam Waterston,849.0,Ben Gazzara,623.0,Nicholas Turturro,269.0
1125,Johnny English Reborn,PG,2011.0,101.0,Daniel Kaluuya,219.0,Tim McInnerny,141.0,Togo Igawa,104.0
1126,Foodfight!,PG,2012.0,91.0,Jerry Stiller,719.0,Larry Miller,611.0,Harvey Fierstein,500.0
1127,Argo,R,2012.0,130.0,Clea DuVall,1000.0,Scoot McNairy,660.0,Tate Donovan,650.0
1128,The Fugitive,PG-13,1993.0,130.0,Harrison Ford,11000.0,Daniel Roebuck,1000.0,Sela Ward,812.0
1129,The Bounty Hunter,PG-13,2010.0,110.0,Gerard Butler,18000.0,Dorian Missick,1000.0,Peter Greene,789.0
1130,Sleepers,R,1996.0,147.0,Robert De Niro,22000.0,Brad Pitt,11000.0,Minnie Driver,893.0
1131,Rambo: First Blood Part II,R,1985.0,96.0,Sylvester Stallone,13000.0,Julia Nickson,738.0,Martin Kove,668.0
1132,The Juror,R,1996.0,118.0,Joseph Gordon-Levitt,23000.0,Demi Moore,2000.0,Anne Heche,695.0
1133,Pinocchio,Approved,1940.0,88.0,Mel Blanc,1000.0,Dickie Jones,48.0,Cliff Edwards,40.0
1134,Heaven's Gate,R,1980.0,325.0,Jeff Bridges,12000.0,Sam Waterston,849.0,Isabelle Huppert,678.0
1135,Underworld: Evolution,R,2006.0,102.0,Sophia Myles,956.0,Tony Curran,845.0,Derek Jacobi,520.0
1136,Victor Frankenstein,PG-13,2015.0,110.0,Daniel Radcliffe,11000.0,Spencer Wilding,1000.0,Daniel Mays,287.0
1137,Finding Forrester,PG-13,2000.0,136.0,F. Murray Abraham,670.0,Rob Brown,370.0,Michael Nouri,225.0
1138,28 Days,PG-13,2000.0,103.0,Steve Buscemi,12000.0,Viggo Mortensen,10000.0,Elizabeth Perkins,664.0
1139,Unleashed,R,2005.0,103.0,Morgan Freeman,11000.0,Jet Li,5000.0,Bob Hoskins,5000.0
1140,The Sweetest Thing,R,2002.0,90.0,Judith Chapman,44.0,Lillian Adams,28.0,Chelsea Bond,16.0
1141,The Firm,R,1993.0,154.0,Tom Cruise,10000.0,Holly Hunter,1000.0,Wilford Brimley,957.0
1142,Charlie St. Cloud,PG-13,2010.0,99.0,Augustus Prew,405.0,Charlie Tahan,268.0,Valerie Tian,135.0
1143,The Mechanic,R,2011.0,93.0,Jason Statham,26000.0,Tony Goldwyn,956.0,Mini Anden,350.0
1144,21 Jump Street,R,2012.0,109.0,Channing Tatum,17000.0,Dax Flame,971.0,Rob Riggle,839.0
1145,Notting Hill,PG-13,1999.0,124.0,Julia Roberts,8000.0,Clarke Peters,437.0,Dylan Moran,427.0
1146,Chicken Run,G,2000.0,84.0,Imelda Staunton,579.0,Miranda Richardson,530.0,Julia Sawalha,206.0
1147,Along Came Polly,PG-13,2004.0,90.0,Philip Seymour Hoffman,22000.0,Masi Oka,923.0,Debra Messing,650.0
1148,Boomerang,R,1992.0,117.0,John Witherspoon,723.0,Eartha Kitt,558.0,Geoffrey Holder,547.0
1149,The Heat,R,2013.0,123.0,Michael Rapaport,975.0,William Xifaras,815.0,Demián Bichir,749.0
1150,Cleopatra,Approved,1963.0,251.0,Martin Landau,940.0,Richard Burton,726.0,Roddy McDowall,595.0
1151,Here Comes the Boom,PG,2012.0,105.0,Salma Hayek,4000.0,Reggie Lee,828.0,Charice,491.0
1152,High Crimes,PG-13,2002.0,115.0,Morgan Freeman,11000.0,Adam Scott,3000.0,Bruce Davison,505.0
1153,The Mirror Has Two Faces,PG-13,1996.0,122.0,Jeff Bridges,12000.0,Austin Pendleton,597.0,Mimi Rogers,292.0
1154,The Mothman Prophecies,PG-13,2002.0,119.0,Debra Messing,650.0,Will Patton,537.0,David Eigenberg,395.0
1155,Brüno,R,2009.0,81.0,Bono,468.0,Elton John,442.0,Slash,412.0
1156,Licence to Kill,PG-13,1989.0,133.0,Robert Davi,683.0,Talisa Soto,349.0,Anthony Zerbe,275.0
1157,Red Riding Hood,PG-13,2011.0,100.0,Gary Oldman,10000.0,Billy Burke,2000.0,Virginia Madsen,913.0
1158,15 Minutes,R,2001.0,120.0,Robert De Niro,22000.0,Charlize Theron,9000.0,Kelsey Grammer,808.0
1159,Super Mario Bros.,PG,1993.0,104.0,Bob Hoskins,5000.0,Fisher Stevens,922.0,Fiona Shaw,687.0
1160,Lord of War,R,2005.0,122.0,Nicolas Cage,12000.0,Jeremy Crutchley,43.0,Jared Burke,16.0
1161,Hero,PG-13,2002.0,80.0,Jet Li,5000.0,Tony Chiu Wai Leung,643.0,Maggie Cheung,576.0
1162,One for the Money,PG-13,2012.0,91.0,Fisher Stevens,922.0,Debbie Reynolds,786.0,Patrick Fischler,497.0
1163,The Interview,R,2014.0,112.0,James Franco,11000.0,Randall Park,392.0,Anders Holm,365.0
1164,The Warrior's Way,R,2010.0,100.0,Tony Cox,624.0,Dong-gun Jang,489.0,Jed Brophy,433.0
1165,McHale's Navy,TV-G,,30.0,Tim Conway,870.0,Gavin MacLeod,284.0,Bob Hastings,253.0
1166,Micmacs,R,2009.0,105.0,Omar Sy,1000.0,Dany Boon,172.0,André Dussollier,52.0
1167,8 Mile,R,2002.0,110.0,Mekhi Phifer,1000.0,Omar Benson Miller,418.0,Evan Jones,196.0
1168,Animal Kingdom: Let's go Ape,,2015.0,101.0,Jamel Debbouze,326.0,Youssef Hajdi,152.0,Mélissa Theuriau,6.0
1169,A Knight's Tale,PG-13,2001.0,144.0,Heath Ledger,13000.0,Rufus Sewell,3000.0,Bérénice Bejo,996.0
1170,The Medallion,PG-13,2003.0,108.0,Julian Sands,687.0,Lee Evans,312.0,Anthony Chau-Sang Wong,96.0
1171,The Sixth Sense,PG-13,1999.0,107.0,Bruce Willis,13000.0,Haley Joel Osment,3000.0,Olivia Williams,766.0
1172,Man on a Ledge,PG-13,2012.0,102.0,Robert Clohessy,107.0,Mandy Gonzalez,81.0,J. Smith-Cameron,54.0
1173,The Big Year,PG,2011.0,100.0,Joel McHale,734.0,Kevin Pollak,574.0,JoBeth Williams,296.0
1174,The Karate Kid,PG,1984.0,126.0,Martin Kove,668.0,William Zabka,641.0,William Bassett,225.0
1175,American Hustle,R,2013.0,138.0,Jennifer Lawrence,34000.0,Christian Bale,23000.0,Bradley Cooper,14000.0
1176,The Proposal,PG-13,2009.0,108.0,Ryan Reynolds,16000.0,Denis O'Hare,896.0,Craig T. Nelson,723.0
1177,Double Jeopardy,R,1999.0,105.0,Bruce Greenwood,991.0,Annabeth Gish,489.0,Bruce Campbell,298.0
1178,Back to the Future Part II,PG,1989.0,108.0,Lea Thompson,1000.0,Jeffrey Weissman,869.0,Thomas F. Wilson,690.0
1179,Lucy,R,2014.0,89.0,Scarlett Johansson,19000.0,Morgan Freeman,11000.0,Amr Waked,903.0
1180,Fifty Shades of Grey,R,2015.0,129.0,Jennifer Ehle,1000.0,Luke Grimes,935.0,Callum Rennie,716.0
1181,Spy Kids 3-D: Game Over,PG,2003.0,84.0,Sylvester Stallone,13000.0,Salma Hayek,4000.0,Alexa PenaVega,2000.0
1182,A Time to Kill,R,1996.0,149.0,Kevin Spacey,18000.0,Matthew McConaughey,11000.0,Oliver Platt,1000.0
1183,Cheaper by the Dozen,PG,2003.0,94.0,Tom Welling,3000.0,Alyson Stoner,2000.0,Bonnie Hunt,597.0
1184,Lone Survivor,R,2013.0,121.0,Jerry Ferrara,480.0,Scott Elrod,449.0,Dan Bilzerian,127.0
1185,A League of Their Own,PG,1992.0,128.0,Tom Hanks,15000.0,Lori Petty,923.0,Rosie O'Donnell,251.0
1186,The Conjuring 2,R,2016.0,134.0,Javier Botet,1000.0,Frances O'Connor,575.0,Robin Atkin Downes,336.0
1187,The Social Network,PG-13,2010.0,120.0,Andrew Garfield,10000.0,Dustin Fitzsimons,349.0,Marcella Lentz-Pope,81.0
1188,He's Just Not That Into You,PG-13,2009.0,129.0,Carmen Perez,97.0,Sabrina Revelle,50.0,Sachiko Ishida,49.0
1189,Scary Movie 4,PG-13,2006.0,89.0,Beau Mirchoff,2000.0,Carmen Electra,869.0,Regina Hall,807.0
1190,Scream 3,R,2000.0,116.0,Kelly Rutherford,287.0,Roger Jackson,157.0,Nancy O'Dell,71.0
1191,Back to the Future Part III,PG,1990.0,118.0,Lea Thompson,1000.0,Jeffrey Weissman,869.0,Thomas F. Wilson,690.0
1192,Get Hard,R,2015.0,107.0,Will Ferrell,8000.0,Alison Brie,2000.0,Craig T. Nelson,723.0
1193,Bram Stoker's Dracula,R,1992.0,155.0,Keanu Reeves,18000.0,Anthony Hopkins,12000.0,Gary Oldman,10000.0
1194,Julie & Julia,PG-13,2009.0,123.0,Meryl Streep,11000.0,Mary Lynn Rajskub,935.0,Vanessa Ferlito,923.0
1195,42,PG-13,2013.0,128.0,Harrison Ford,11000.0,Christopher Meloni,3000.0,Nicole Beharie,898.0
1196,The Talented Mr. Ripley,R,1999.0,139.0,Philip Seymour Hoffman,22000.0,Matt Damon,13000.0,Jack Davenport,1000.0
1197,Dumb and Dumber To,PG-13,2014.0,109.0,Bill Murray,13000.0,Kathleen Turner,899.0,Rob Riggle,839.0
1198,Eight Below,PG,2006.0,120.0,Paul Walker,23000.0,Bruce Greenwood,991.0,Wendy Crewson,249.0
1199,The Intern,PG-13,2015.0,121.0,Robert De Niro,22000.0,Anne Hathaway,11000.0,Rene Russo,808.0
1200,Ride Along 2,PG-13,2016.0,102.0,Olivia Munn,2000.0,Nadine Velazquez,874.0,Bruce McGill,655.0
1201,The Last of the Mohicans,R,1992.0,117.0,Wes Studi,855.0,Terry Kinney,363.0,Eric Schweig,322.0
1202,Ray,PG-13,2004.0,178.0,Bokeem Woodbine,904.0,Curtis Armstrong,876.0,Harry Lennix,748.0
1203,Sin City,R,2005.0,147.0,Rosario Dawson,3000.0,Powers Boothe,472.0,Jason Douglas,175.0
1204,Vantage Point,PG-13,2008.0,90.0,Dennis Quaid,2000.0,Edgar Ramírez,897.0,William Hurt,882.0
1205,"I Love You, Man",R,2009.0,105.0,J.K. Simmons,24000.0,Jon Favreau,4000.0,Jane Curtin,257.0
1206,Shallow Hal,PG-13,2001.0,114.0,Jason Alexander,700.0,Bruce McGill,655.0,Susan Ward,398.0
1207,JFK,R,1991.0,206.0,Sally Kirkland,433.0,Jay O. Sanders,256.0,Cheryl Penland,4.0
1208,Big Momma's House 2,PG-13,2006.0,99.0,Chloë Grace Moretz,17000.0,Nia Long,826.0,Marisol Nichols,633.0
1209,The Mexican,R,2001.0,123.0,J.K. Simmons,24000.0,Brad Pitt,11000.0,Julia Roberts,8000.0
1210,17 Again,PG-13,2009.0,102.0,Matthew Perry,2000.0,Hunter Parrish,2000.0,Thomas Lennon,651.0
