Subtitle,"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,"Instruction 
Mode","Start 
Date","End 
Date"
 ACCOUNTING ,45102.0,,ACC 202-A0BY,1,3,0,0,0,0,0.0,43759.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44531.0,,HFL 120-A0Z1,Infection Control and Prev,2,1,1,1,1,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44768.0,,FYE 100-A014,61,1,5,19,23,17,2.0,43696.0,43814.0
CHEMISTRY,44611.0,1,CHE 145-A001,Intro General Chemistry Lab,1,3,10,30,26,2.0,43696.0,43814.0
ECONOMICS,44639.0,5,ECO 202-A0Z1,47,3,1,1,1,1,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44558.0,2,BIO 139-A001,27,4,0,0,0,18,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44633.0,,CRJ 290-A001,Internship in Criminal Justice,3,4,1,1,DCSO,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44897.0,,12,45,,7,0,10,9,2.0,43696.0,43814.0
NURSING,44720.0,,NSG 101-A001,82,9,8,0,10,66,2.0,43696.0,43814.0
MEDICAL ASSISTING,45052.0,,MAI 140-A0L1,74,,6,15,18,SE258,2.0,43696.0,43814.0
HISTORY,44658.0,0,HIS 120-A001,66,3,2,10,20,59,2.0,43696.0,43814.0
ENGLISH,44573.0,6,ENG 102-A0Z1,59,3,1,1,1,1,1.0,43696.0,43814.0
WELDING,44510.0,,WLD 143-A001,Gas Metal Arc Wlding GrooveLab,3,0,21,18,79,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44760.0,,FYE 100-A005,61,1,6,19,43,33,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44533.0,,HFL 150-A0Z1,Planning Design Const I,3,1,1,1,1,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44898.0,,FYE 100-A006,61,1,6,19,23,39,2.0,43696.0,43814.0
CIS,44950.0,,CIT 271-A0Z1,SQL II	,3,1,1,1,1,1.0,43696.0,43814.0
COMMUNICATIONS,44487.0,4,COM 181-A007,39,3,2,5,24,35,2.0,43696.0,43814.0
MATHEMATICS,45431.0,9,MAT 150-A005,73,3,2,15,17,41,2.0,43696.0,43814.0
PSYCHOLOGY,44678.0,5,PSY 110-A003,91,3,0,19,23,19,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44556.0,,BIO 137-A0L1,26,,3,19,8,22,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44640.0,3,BIO 151-A001,Principles of Biology Lab I,2,0,15,14,24,2.0,43696.0,43814.0
MATHEMATICS,55587.0,,MAT 126S-A0H1,70,2,2,27,44,23,2.0,43696.0,43814.0
ART ,44478.0,,ART 113-A001,3-Dimensional Design,3,0,10,21,14,2.0,43696.0,43814.0
PSYCHOLOGY,44685.0,5,PSY 110-A0Z3,91,3,1,1,1,1,1.0,43696.0,43814.0
ENGLISH,44565.0,6,ENG 102-A003,59,3,0,15,17,36,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44419.0,,ELT 210-A001,53,4,2,29,2,46,2.0,43696.0,43814.0
RELIGIOUS STUDIES,54102.0,0,REL 121-A001,Introduction the New Testament,3,0,19,23,56,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44945.0,2,BIO 137-A0E1,26,4,2,17,06:15 PM,23,2.0,43696.0,43814.0
NURSING,44721.0,,NSG 101-A0L1,82,,8,7,30,67,2.0,43696.0,43814.0
CIS,45393.0,,CIT 111-A003,34,4,2,15,35,29,2.0,43696.0,43814.0
MATHEMATICS,55574.0,,MAT 116S-A0H1,Co-req Remed for Tech Math,1,1,1,1,1,0.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44418.0,,ELT 120-A0L1,52,,2,5,36,47,2.0,43696.0,43814.0
GEOGRAPHY,44647.0,"CS, SB",GEO 152-A0Z1,Regional Geography of World,3,1,1,1,1,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44442.0,,EET 151-A0Y1,Transformers Lab,1,6,04:30 PM,13,43,0.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44748.0,,ACR 130-A0E1,Electrical Components,3,2,4,5,2,2.0,43696.0,43814.0
COMMUNICATIONS,44483.0,4,COM 181-A003,39,3,0,19,23,34,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45367.0,,BIO 137-A0L5,26,,6,22,29,21,2.0,43696.0,43814.0
MATHEMATICS,44394.0,9,MAT 150-A001,73,3,0,0,0,61,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44967.0,1,BIO 113-A003,23,1,7,19,12:50 PM,20,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44461.0,,CMM 298-A001,38,1,4,1,1,4,2.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44468.0,,VET 110-A001,Intro to Veterinary Tech,5,0,24,22,77,2.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44466.0,,VET 220-A001,Parasitology and Clinical Lab,5,10,16,31,DT23,2.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44467.0,,VET 230-A001,Veterinary Lab Procedures II,5,2,16,8,77,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44715.0,,8,13,2,6,9,6,6,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55312.0,,7,13,2,7,0,10,10,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44571.0,,BIO 137-A0L2,26,,5,19,8,22,2.0,43696.0,43814.0
COMMUNICATIONS,44509.0,4,COM 252-A003,41,3,2,15,17,38,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44528.0,,AGR 240-A001,16,3,2,16,19,11,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44982.0,,11,44,,5,0,10,9,2.0,43696.0,43814.0
COMMUNICATIONS,44515.0,4,COM 254-A001,42,3,0,15,17,39,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44946.0,,BIO 137-A0EL,26,,6,11,16,21,2.0,43696.0,43814.0
HISTORY,44824.0,0,HIS 120-A0Z1,66,3,1,1,1,1,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44825.0,,AGR 150-A0L1,15,3,4,1,1,4,2.0,43696.0,43814.0
HISTORY,44654.0,0,HIS 108-A002,64,3,2,19,23,59,2.0,43696.0,43814.0
HISTORY,44656.0,0,HIS 109-A001,65,3,0,5,24,59,2.0,43696.0,43814.0
CIS,45101.0,,CIT 213-A0B1,Microsoft Client Configuration,3,5,14,37,30,2.0,43696.0,43751.0
MATHEMATICS,44805.0,9,MAT 126-A0ZH,69,3,1,1,1,1,1.0,43696.0,43814.0
CHEMISTRY,45011.0,1,CHE 170-A0Z1,32,4,1,1,1,1,1.0,43696.0,43814.0
 ACCOUNTING ,44601.0,,ACT 101-A0Z1,Fundamentals of Accounting I,3,1,1,1,1,1.0,43696.0,43751.0
COMMUNICATIONS,44518.0,4,COM 287-A0Z1,Persuasive Speaking,3,1,1,1,1,1.0,43696.0,43814.0
ART ,44477.0,,ART 110-A001,Drawing I,3,2,10,21,14,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44520.0,,AGR 150-A086,15,3,2,15,18,OWCHCA,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44757.0,,FYE 100-A002,61,1,5,19,23,49,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44714.0,,AUT 240-A0E1,12,3,6,8,12,5,2.0,43696.0,43814.0
RADIOGRAPHY,44970.0,,DMI 102-A001,Med Term for Radiographers,1,M-F,26,10,73,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45368.0,,BIO 137-A0L6,26,,7,22,29,21,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44667.0,,MIT 104-A0Z1,Medical Insurance,3,1,1,1,1,1.0,43696.0,43751.0
ENGLISH,45084.0,,ENG 100-A0H4,57,2,2,01:50 PM,41,53,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,11,2,5,12,16,6,2.0,43696.0,43814.0
WELDING,44491.0,,WLD 170-A001,Blueprint Reading for Welding,2,10,09:50 AM,9,80,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,11,2,6,13,16,6,2.0,43696.0,43814.0
CIS,45095.0,,CIT 161-A0Y1,Introduction to Networks,4,6,14,05:10 PM,30,0.0,43696.0,43814.0
MUSIC,44580.0,0,MUS 100-A0Z1,79,3,1,1,1,1,1.0,43696.0,43814.0
ENGLISH,44540.0,6,ENG 101-A001,58,3,0,0,0,54,2.0,43696.0,43814.0
RADIOGRAPHY,45108.0,,DMI 110-A0B2,Clinical Practicum I,1,4,1,1,4,2.0,43759.0,43814.0
HUMAN SERVICES,44953.0,,HMS 101-A0Z1,Human Services Survey,3,1,1,1,1,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45106.0,,BAS 284-A0ZB,Applied Management Skills,3,1,1,1,1,1.0,43759.0,43814.0
WELDING,44492.0,,WLD 298-A001,Welding Practicum,2,2,16,9,81,2.0,43696.0,43814.0
WELDING,45114.0,,WLD 229-A0B2,Shield Metal ArcWld Pipe Lab B,3,14,36,42,79,2.0,43759.0,43814.0
SOCIOLOGY,44697.0,5,SOC 101-A0Z1,99,3,1,1,1,1,1.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44673.0,,OST 225-A0Z1,Intro to Desktop Publishing,3,1,1,1,1,1.0,43696.0,43814.0
PSYCHOLOGY,44689.0,5,PSY 223-A0Z1,93,3,1,1,1,1,1.0,43696.0,43814.0
RELIGIOUS STUDIES,44593.0,10,REL 130-A001,98,3,0,5,24,56,2.0,43696.0,43814.0
MATHEMATICS,44863.0,9,MAT 126-A0H1,69,3,2,19,23,23,2.0,43696.0,43814.0
MATHEMATICS,55585.0,,MAT 126S-A0M2,70,2,0,32,46,63,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44602.0,,BAS 160-A001,19,3,2,15,17,16,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55312.0,,7,13,2,6,6,10,10,2.0,43696.0,43814.0
WELDING,44507.0,,WLD 123-A001,Shield Metal Arc Wld GrooveLab,3,2,21,18,79,2.0,43696.0,43814.0
WELDING,45100.0,,WLD 225-A0B1,ShieldMetalArcWldOpenGrooveLab,3,14,36,42,79,2.0,43696.0,43751.0
MATHEMATICS,44803.0,9,MAT 126-A0M2,69,3,0,15,17,63,2.0,43696.0,43814.0
MATHEMATICS,44377.0,9,MAT 126-A001,69,3,0,5,24,61,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44459.0,,CMM 134-A0L1,37,,10,28,03:10 PM,32,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55319.0,,AUT 240-A001,12,3,6,0,9,10,2.0,43696.0,43814.0
NURSING,44737.0,,NSG 213-A0L1,84,,7,7,3,69,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44707.0,,ADX 150-A001,Engine Repair,3,6,0,9,5,2.0,43696.0,43814.0
MATHEMATICS,44397.0,9,MAT 150-A004,73,3,2,5,24,23,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44445.0,,ELT 265-A001,54,3,0,15,2,49,2.0,43696.0,43814.0
COMMUNICATIONS,44508.0,4,COM 252-A002,41,3,0,15,17,37,2.0,43696.0,43814.0
SOCIOLOGY,44694.0,5,SOC 101-A002,99,3,0,19,23,71,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44833.0,,OST 210-A0Z1,Adv Word Proc Application,3,1,1,1,1,1.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44884.0,,CMM 124-A001,Applied Machining,6,10,24,31,ATC213,2.0,43696.0,43814.0
ENERGY SYSTEMS,44840.0,,ESP 101-A0Z1,Introduction to Energy Systems,3,1,1,1,1,1.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44665.0,,IEC 170-A0Z1,Observation and Assessment,3,1,1,1,1,1.0,43696.0,43814.0
CIS,44624.0,,CIT 111-A002,34,4,2,26,36,29,2.0,43696.0,43814.0
MATHEMATICS,44387.0,,MAT 100-A0H3,72,2,0,30,45,41,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44672.0,,OST 110-A0Z1,Doc. Format. & Intro  Wrd Proc,3,1,1,1,1,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44644.0,2,BIO 227-A001,30,5,0,26,32,24,2.0,43696.0,43814.0
THEATRE,44777.0,,TA 195-A001,Special Projects Theatre Arts,0,4,1,1,4,2.0,43696.0,43814.0
ALLIED HEALTH,44609.0,,AHS 115-A0Z1,17,3,1,1,1,1,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45359.0,,AGR 205-A001,Forage Management,3,4,1,1,4,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44425.0,,EET 274-A001,Electrical Motor Controls,3,10,27,39,44,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44441.0,,EET 150-A0Y1,Transformers,2,1,1,1,1,0.0,43696.0,43814.0
CIS,45394.0,,CIT 120-A002,35,3,2,19,23,28,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44916.0,2,BIO 135-A001,25,4,2,10,20,12,0.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44530.0,,HFL 110-A0Z1,Intro Healthcare Industry,2,1,1,1,1,1.0,43696.0,43814.0
ENGLISH,45079.0,,ENG 100-A0H1,57,2,0,09:55 AM,29,53,2.0,43696.0,43814.0
RADIOGRAPHY,44973.0,,DMI 108-A001,95,4,5,26,4,73,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44820.0,,BIO 139-A0YL,27,,7,21,2,21,0.0,43696.0,43814.0
CIS,44612.0,,CIT 105-A001,33,3,0,5,24,27,2.0,43696.0,43814.0
POLITICAL SCIENCE,45370.0,5,POL 255-A0Z1,90,3,1,1,1,1,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44603.0,,BAS 212-A0Z1,Intro to Financial Management,3,1,1,1,1,1.0,43696.0,43814.0
MATHEMATICS,45424.0,QE,MAT 116-A001,68,3,0,19,23,41,2.0,43696.0,43814.0
MATHEMATICS,45427.0,9,MAT 141-A001,71,3,2,5,24,61,2.0,43696.0,43814.0
EDUCATION,44643.0,,EDU 270-A001,Elementary School Literature,3,2,19,23,42,2.0,43696.0,43814.0
RADIOGRAPHY,45375.0,,DMI 220-A0C1,Clinical Practicum IV,4,10,1,1,4,2.0,43696.0,43814.0
STATISTICS,44405.0,9,STA 220-A0E1,101,3,6,9,34,62,2.0,43696.0,43814.0
WELDING,44502.0,,WLD 120-A001,Shielded Metal Arc Welding,2,10,11:50 AM,33,58,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44670.0,,MIT 224-A0Z1,Medical Practice Management,3,1,1,1,1,1.0,43696.0,43814.0
WELDING,44493.0,,WLD 220-A001,Welding Certification,2,2,35,31,80,2.0,43696.0,43814.0
GEOLOGICAL SCIENCES,54072.0,1,GLY 110-A001,Environmental Geology,3,0,5,24,16,2.0,43696.0,43814.0
HISTORY,44650.0,0,HIS 104-A001,62,3,0,15,17,59,2.0,43696.0,43814.0
MATHEMATICS,44385.0,9,MAT 150-A0H2,73,3,0,15,17,23,2.0,43696.0,43814.0
MATHEMATICS,57272.0,,MAT100-A0H1,72,2,0,5,24,23,2.0,43696.0,43814.0
ENGLISH,44541.0,6,ENG 101-A002,58,3,0,0,0,33,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44427.0,,EET 276-A001,Programmable Logic Controllers,2,0,16,7,43,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45358.0,,AGR 145-A0Z1,Technology in Agriculture,3,1,1,1,1,1.0,43696.0,43814.0
RADIOGRAPHY,45373.0,,DMI 214-A001,97,4,6,21,43,73,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44413.0,,ELT 110-A002,50,5,10,15,2,46,2.0,43696.0,43814.0
HUMAN SERVICES,44954.0,,HMS 102-A0Z1,Values of Human Services,3,1,1,1,1,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44713.0,,ADX 171-A001,7,1,8,7,11,6,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44464.0,,CMM 230-A001,Conversational Programming,6,10,24,11:10 AM,32,2.0,43696.0,43814.0
PSYCHOLOGY,44683.0,5,PSY 110-A0E1,91,3,7,9,34,66,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44716.0,,5,10,3,6,12,15,5,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44759.0,,FYE 100-A004,61,1,1,1,1,4,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44663.0,,IEC 101-A0Z1,Orient to Early Childhood Ed,3,1,1,1,1,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,45109.0,,ELT 289-A0B2,Engineering Electr Tech Capstn,1,4,1,1,4,2.0,43759.0,43814.0
ENGLISH,44545.0,6,ENG 101-A006,58,3,0,14,21,39,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44854.0,,ACR 112-A001,Sheet Metal Fabrication,3,2,0,4,2,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44433.0,1,BIO 112-A002,22,3,0,10,20,18,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44664.0,,IEC 130-A0Z1,Early Childhood Development,3,1,1,1,1,1.0,43696.0,43814.0
CIS,44625.0,,CIT 120-A001,35,3,0,5,24,28,2.0,43696.0,43814.0
RADIOGRAPHY,45369.0,,DMI 222-A001,Image Analysis,2,6,26,4,73,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44566.0,2,BIO 139-A0Z1,27,4,1,1,1,1,1.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44444.0,,IMT 111-A086,Industrial Maint Electric Lab,2,0,10:15 AM,11:55 AM,60,2.0,43696.0,43814.0
