Index,budget,revenue,original_title,genres,release_year
5472,5000000,31724284,Spring Breakers,Crime,2013
5181,0,0,Blind Horizon,Thriller,2003
4748,0,0,Main dans la main,Drama,2012
8784,0,0,100 Girls,Drama,2000
8497,4500000,7011317,Bound,Drama,1996
4936,0,0,A Fairly Odd Christmas,Family,2012
1978,112000000,237382724,Gulliver's Travels,Comedy,2010
1960,130000000,321885765,Megamind,Action,2010
5905,0,0,The Monkey's Paw,Thriller,2013
533,0,0,The Barber,Thriller,2015
9358,8000000,2275557,Showdown in Little Tokyo,Action,1991
7510,5200000,14723313,KatyÅ„,War,2007
1713,0,0,St Trinian's 2: The Legend of Fritton's Gold,Comedy,2009
3781,0,0,The Captains,Science Fiction,2011
5401,1300000,0,Gummo,Drama,1997
3394,200000000,219851172,Green Lantern,Science Fiction,2011
817,0,4571025,Batman: Assault on Arkham,Thriller,2014
9099,0,0,Palmetto,Drama,1998
10480,15000000,60629159,The Fly,Science Fiction,1986
2483,82000000,47434430,Man on the Moon,Drama,1999
2395,0,0,Burakku Rokku ShÅ«tÄ,Action,2010
1788,0,0,Alabama Moon,Drama,2009
558,0,0,Anguish,Horror,2015
5577,60000000,60052138,Beautiful Creatures,Drama,2013
3681,0,0,Teen Spirit,Drama,2011
3495,0,908000,Perfect Sense,Romance,2011
754,0,0,Playing It Cool,Comedy,2014
9249,0,27843,Teen Witch,Comedy,1989
7560,0,0,Reservation Road,Crime,2007
2627,0,0,Come te nessuno mai,Foreign,1999
7491,80000000,15071514,The Invasion,Science Fiction,2007
3457,50000000,110206216,Moneyball,Drama,2011
5583,0,0,All Is Bright,Drama,2013
1357,3000000,0,The Hobbit,Animation,1977
9325,0,0,Bill & Ted's Bogus Journey,Fantasy,1991
7420,0,0,Planet Terror,Horror,2007
4836,10400,0,Head Over Heels,Romance,2012
990,0,0,Starry Eyes,Horror,2014
745,35000000,17508518,Sabotage,Action,2014
9043,70000000,116672912,The Siege,Crime,1998
6107,15000000,14643997,Clue: The Movie,Comedy,1985
6359,0,0,The Muppets' Wizard of Oz,Music,2005
9447,0,0,Dogfight,Romance,1991
4379,165000000,471222889,Wreck-It Ralph,Family,2012
1967,30000000,102820008,Love & Other Drugs,Drama,2010
2901,35000000,170000000,What Happens in Vegas,Romance,2008
2079,28000000,45236543,The Spy Next Door,Family,2010
9523,22000000,0,Moonwalker,Action,1988
5558,30000000,63372757,Side Effects,Drama,2013
6677,33000000,62022014,Snakes on a Plane,Crime,2006
2533,38000000,28121100,The Deep End of the Ocean,Mystery,1999
9150,0,7985929,My Giant,Family,1998
665,90000000,206172544,The Expendables 3,Adventure,2014
2875,185000000,1001921825,The Dark Knight,Crime,2008
10671,0,0,Performance,Music,1970
6842,0,0,Wilderness,Horror,2006
2120,0,0,Chatroom,Thriller,2010
2692,57000000,147845033,The Mexican,Romance,2001
1963,0,0,30 Days of Night: Dark Days,Thriller,2010
8789,13500000,7060876,Quills,Drama,2000
6423,7500000,143000,Man-Thing,Science Fiction,2005
9551,0,29300000,Shoot to Kill,Adventure,1988
2415,40000000,672806292,The Sixth Sense,Thriller,1999
10807,0,0,The Medusa Touch,Horror,1978
2671,102000000,147080413,Swordfish,Action,2001
537,3000000,0,Amnesiac,Drama,2015
4510,5000000,0,The Scorpion King 3 : Battle for Redemption,Adventure,2012
10832,4800000,0,Arabesque,Thriller,1966
9815,0,0,A Boy and His Dog,Comedy,1975
2096,7000000,382946,Hesher,Drama,2010
8692,95000000,190213455,Hollow Man,Action,2000
7000,37000000,96455697,13 Going On 30,Fantasy,2004
3940,48000000,249348933,The Ring,Horror,2002
3712,0,0,Doomsday Prophecy,Action,2011
5164,15000000,2281585,The Company,Drama,2003
3210,0,0,Blackout,Horror,2008
6806,0,0,London to Brighton,Crime,2006
5781,12000000,0,Officer Down,Drama,2013
1433,18500000,31912793,The Invention of Lying,Fantasy,2009
5410,0,0,Leave it to Beaver,Adventure,1997
6919,0,0,The Cheetah Girls 2,TV Movie,2006
8432,0,0,Condorman,Action,1981
10701,45000,0,"Faster, Pussycat! Kill! Kill!",Action,1965
3728,0,0,One Life,Documentary,2011
1234,0,0,Mostly Ghostly: Have You Met My Ghoulfriend?,Family,2014
10010,0,39404261,Joe Versus the Volcano,Comedy,1990
9299,0,0,Pink Cadillac,Drama,1989
1759,0,0,Across the Hall,Mystery,2009
10066,0,15645616,Revenge,Thriller,1990
10143,12000000,60000000,Spartacus,Action,1960
2793,34000000,19693891,Summer Catch,Comedy,2001
10178,24000000,52614445,King Kong,Drama,1976
3192,0,0,Pranzo di ferragosto,Foreign,2008
7760,0,0,In Tranzit,War,2007
9273,0,0,Millennium,Drama,1989
10550,0,0,Luxo Jr.,Animation,1986
7313,4500000,58853106,The Blue Lagoon,Adventure,1980
5648,8200000,0,Mr. Morgan's Last Love,Comedy,2013
9805,3000000,108981275,One Flew Over the Cuckoo's Nest,Drama,1975
9918,0,0,The Americanization of Emily,Romance,1964
10507,24500000,17218023,The Mission,Action,1986
3762,0,0,The Chaperone,Action,2011
10360,0,0,Cronos,Horror,1993
4884,0,0,Free Angela and All Political Prisoners,Documentary,2012
7346,0,11000000,The Mirror Crack'd,Thriller,1980
2949,0,0,Wild Child,Drama,2008
10382,0,0,Boiling Point,Thriller,1993
7677,0,36500000,Welcome,Drama,2007
451,0,0,Muck,Horror,2015
6312,18000000,46201432,The Fog,Horror,2005
2198,0,0,The Reef,Drama,2010
4933,0,0,It's Such a Beautiful Day,Comedy,2012
9750,0,0,Witchfinder General,Horror,1968
2506,0,0,Candyman: Day of the Dead,Horror,1999
3083,0,0,Picture This,Comedy,2008
6343,0,0,Santa's Slay,Comedy,2005
10746,0,0,Carry On Again Doctor,Comedy,1969
176,0,0,Tumbledown,Comedy,2015
1146,0,0,Queen and Country,Drama,2014
1060,0,0,Appleseed Alpha,Animation,2014
6578,100000000,170877916,Blood Diamond,Thriller,2006
8182,0,0,Lord of Illusions,Thriller,1995
220,0,8034,Every Thing Will Be Fine,Drama,2015
4064,27000000,0,Divine Secrets of the Ya-Ya Sisterhood,Drama,2002
2008,100000000,288347692,Sex and the City 2,Drama,2010
9709,0,34377585,Like Father Like Son,Comedy,1987
10734,0,0,Paint Your Wagon,Comedy,1969
7014,70000000,130293714,Man on Fire,Thriller,2004
5381,0,0,12 Angry Men,Crime,1997
10030,0,0,Alice,Romance,1990
4096,30000000,0,Like Mike,Comedy,2002
1492,100000000,100086793,Where the Wild Things Are,Fantasy,2009
10413,4000000,56666667,Guess Who's Coming to Dinner,Drama,1967
7191,0,0,"Wake Up, Ron Burgundy: The Lost Movie",Comedy,2004
8776,15000000,9902115,Whatever It Takes,Romance,2000
4098,0,0,Rose Red,Drama,2002
2518,10000000,3193102,The Limey,Thriller,1999
6201,100000000,230427240,Constantine,Drama,2005
6411,18000000,0,The Big White,Comedy,2005
3628,6600000,37710610,Jumping the Broom,Comedy,2011
10703,0,0,What's New Pussycat?,Comedy,1965
1217,0,0,Over the Garden Wall,Animation,2014
206,15000000,3020664,Rock the Kasbah,Comedy,2015
5111,5000000,4856298,Intermission,Action,2003
6638,10000000,163876815,Saw III,Thriller,2006
6346,10000000,91196419,White Noise,Thriller,2005
1359,0,0,Black Sunday,Drama,1977
5135,28000000,58795814,Agent Cody Banks,Action,2003
10207,0,0,Burnt Offerings,Horror,1976
4562,0,0,Chained,Thriller,2012
6570,270000000,391081192,Superman Returns,Action,2006
2778,87000000,351692268,Hannibal,Horror,2001
2470,51000000,36911617,The Bachelor,Comedy,1999
7969,1000000,35000000,Ghoulies,Horror,1984
2235,2500000,0,Dead Space: Aftermath,Animation,2010
3263,0,0,Seventh Moon,Horror,2008
1090,0,0,The Well,Thriller,2014
10492,25000000,12729917,Labyrinth,Fantasy,1986
10005,6000000,24078196,Lionheart,Thriller,1990
7649,0,0,The Cake Eaters,Romance,2007
6185,2410000,10755447,Missing in Action 2: The Beginning,Action,1985
368,0,0,I Smile Back,Drama,2015
5805,0,0,The Smurfs: The Legend of Smurfy Hollow,Family,2013
8706,0,0,For the Birds,Animation,2000
8232,0,0,Last of the Dogmen,Western,1995
2046,0,0,Beauty & the Briefcase,Comedy,2010
7608,0,0,Tin Man,Fantasy,2007
9259,0,0,The Package,Action,1989
9085,60000000,37141130,Psycho,Thriller,1998
9492,2800000,19170001,Friday the 13th Part VII: The New Blood,Thriller,1988
9046,65000000,0,Primary Colors,Drama,1998
1924,69000000,543513985,Despicable Me,Action,2010
864,50000000,80383113,Muppets Most Wanted,Comedy,2014
4380,17000000,115350426,Pitch Perfect,Comedy,2012
6664,1200000,0,Open Water 2: Adrift,Horror,2006
2256,0,0,Les 7 jours du talion,Drama,2010
10203,0,0,Obsession,Drama,1976
8475,14000000,173046663,Scream,Crime,1996
9470,7000000,50888000,Bull Durham,Comedy,1988
1342,0,126737428,Smokey and the Bandit,Adventure,1977
7576,16000000,5367030,The Lookout,Drama,2007
10460,0,0,The Nutty Professor,Family,1963
793,19800000,41296320,This Is Where I Leave You,Comedy,2014
9695,0,0,Escape from Sobibor,War,1987
10355,19885552,19724334,Fire in the Sky,Drama,1993
5508,255000000,89289910,The Lone Ranger,Western,2013
7716,0,0,Creepshow 3,Horror,2007
1352,6000000,30000000,Airport '77,Action,1977
2180,7000000,0,Cyrus,Romance,2010
6056,0,37884,Yip Man: The Final Fight,Drama,2013
9361,18000000,11657385,Rock-A-Doodle,Music,1991
8199,27000000,16140822,Devil in a Blue Dress,Drama,1995
6490,0,0,Dead & Breakfast,Horror,2005
2192,0,0,Free Willy: Escape From Pirate's Cove,Family,2010
2335,0,14870,The Perfect Host,Comedy,2010
3002,25000000,19844979,Blindness,Thriller,2008
5227,0,0,Matriculated,Drama,2003
4656,5300000,0,The Outback,Animation,2012
6652,0,0,Leroy & Stitch,Comedy,2006
8188,50000000,152000000,Congo,Adventure,1995
5129,0,0,Dead End,Mystery,2003
2054,0,0,Waiting for Forever,Romance,2010
8642,0,0,Crossworlds,Action,1996
10294,3000000,15,Jason Goes to Hell: The Final Friday,Thriller,1993
9511,0,20324096,The Presidio,Drama,1988
5451,38000000,90247624,Rush,Drama,2013
5334,30000000,51376861,Mortal Kombat: Annihilation,Fantasy,1997
2757,0,480811,Bully,Crime,2001
256,21000000,0,Robot Overlords,Action,2015
5464,60000000,90565421,The Mortal Instruments: City of Bones,Mystery,2013
2624,12000000,21001563,Tea with Mussolini,Comedy,1999
888,0,0,The Inbetweeners 2,Comedy,2014
2787,0,0,Lantana,Thriller,2001
2354,0,0,Alien vs. Ninja,Thriller,2010
1816,0,0,Mystery Team,Thriller,2009
1498,100000000,68688831,Land of the Lost,Comedy,2009
5307,0,1179002,Nightwatch,Mystery,1997
7568,0,0,Blood and Chocolate,Romance,2007
1428,50000000,155446362,Knowing,Mystery,2009
671,70000000,215529201,Dracula Untold,Action,2014
1733,75,134,Wanted,Thriller,2009
4181,30000000,350448145,Speed,Adventure,1994
6149,0,8800000,Gotcha!,Thriller,1985
9599,13000000,53000000,RoboCop,Thriller,1987
7298,0,0,Across 110th Street,Thriller,1972
11,176000003,183987723,Jupiter Ascending,Action,2015
7004,25000000,116766556,Finding Neverland,Drama,2004
3384,90000000,232617430,The Girl with the Dragon Tattoo,Drama,2011
3760,25000000,0,è³½å¾·å…‹Â·å·´èŠ (ä¸Š)  å¤ªé™½æ——,History,2011
7488,25000000,74237563,Elizabeth: The Golden Age,Drama,2007
4692,0,1697294,Song for Marion,Drama,2012
5127,0,0,The Statement,Drama,2003
1576,0,0,Wonder Woman,Action,2009
8397,32000000,40382659,Reds,History,1981
2496,21500000,0,Arlington Road,Drama,1999
8609,0,0,Darkman III: Die Darkman Die,Science Fiction,1996
4577,0,0,The Brass Teapot,Thriller,2012
3449,40000000,88100000,Season of the Witch,Adventure,2011
6641,50000000,49111202,The Black Dahlia,Drama,2006
10682,0,0,Deep End,Comedy,1970
6322,7000000,49084830,Capote,Crime,2005
8075,29500000,168840000,Twelve Monkeys,Science Fiction,1995
7033,10000000,183474602,The Grudge,Horror,2004
1419,26000000,183293131,Paul Blart: Mall Cop,Action,2009
7536,0,0,Jackass 2.5,Comedy,2007
716,65000000,163442937,Unbroken,War,2014
9645,5000000,0,Near Dark,Drama,1987
5964,0,0,Sunshine on Leith,Music,2013
6414,3000000,0,2001 Maniacs,Horror,2005
10686,0,0,And Soon the Darkness,Mystery,1970
10062,0,0,Europa Europa,History,1990
6650,64000000,101595121,Little Man,Crime,2006
4958,32000000,173398518,Elf,Family,2003
1087,0,0,Fort Bliss,War,2014
6607,135000000,163794509,Miami Vice,Adventure,2006
10228,26000000,206678440,Philadelphia,Mystery,1993
700,50000000,222809600,Non-Stop,Thriller,2014
1608,80000000,122444772,Surrogates,Thriller,2009
1340,3500000,237113184,Saturday Night Fever,Music,1977
361,0,0,Entertainment,Comedy,2015
4998,26000000,110230332,Freaky Friday,Comedy,2003
3347,0,0,Passchendaele,War,2008
10452,0,0,Hud,Action,1963
4105,1200000,0,Welcome to Collinwood,Crime,2002
1314,0,0,Main Tera Hero,Comedy,2014
9031,0,0,Addams Family Reunion,Family,1998
10620,0,0,Charlotte's Web,Animation,1973
7721,12000000,0,Urban Justice,Thriller,2007
10748,0,0,Hercules in New York,Adventure,1969
1742,0,0,Cold Souls,Science Fiction,2009
9625,3000000,3221568,Barfly,Romance,1987
6216,53000000,95226116,Be Cool,Crime,2005
9135,33000000,0,Knock Off,Thriller,1998
8980,35000000,0,Species II,Action,1998
1350,0,0,Audrey Rose,Drama,1977
78,25000000,52395996,The Night Before,Comedy,2015
4402,16000000,68263166,Moonrise Kingdom,Romance,2012
1338,3500000,16000000,Sinbad and the Eye of the Tiger,Action,1977
10087,0,0,Almost an Angel,Science Fiction,1990
4954,150000000,738599701,The Matrix Reloaded,Action,2003
2667,68000000,203388341,Vanilla Sky,Thriller,2001
4197,6000000,254700832,Four Weddings and a Funeral,Romance,1994
5887,0,0,Heatstroke,Thriller,2013
7802,0,0,He Was a Quiet Man,Drama,2007
10628,0,0,Walking Tall,Crime,1973
283,0,0,He Never Died,Drama,2015
10720,0,0,Ship of Fools,War,1965
555,0,0,Tiger House,Action,2015
7377,0,0,Death Ship,Mystery,1980
5696,5200000,0,Dead in Tombstone,Fantasy,2013
3099,0,0,Boogeyman 3,Horror,2008
1557,0,0,The Descent: Part 2,Adventure,2009
2515,75000000,19598588,The Astronaut's Wife,Thriller,1999
8605,42000000,0,The Mirror Has Two Faces,Comedy,1996
442,0,0,Ava's Possessions,Horror,2015
127,19500000,32189727,Secret in Their Eyes,Mystery,2015
9335,19000000,272742922,The Silence of the Lambs,Drama,1991
787,0,0,How to Make Love Like an Englishman,Comedy,2014
4086,0,0,Deathwatch,Thriller,2002
1557,0,0,The Descent: Part 2,Thriller,2009
448,0,0,Intruders,Thriller,2015
5333,0,0,Robinson Crusoe,Adventure,1997
3206,27000000,17286299,How to Lose Friends & Alienate People,Romance,2008
6683,17000000,374743,Southland Tales,Science Fiction,2006
8061,425000,10604986,The House on Sorority Row,Horror,1983
1578,0,0,Stargate SG-1: Children of the Gods,Adventure,2009
5453,11000000,32935319,Inside Llewyn Davis,Drama,2013
6412,0,3357075,Paradise Now,Drama,2005
10597,850000,90000000,Enter the Dragon,Action,1973
9641,15000000,35509515,No Way Out,Crime,1987
1356,0,0,The Message,Adventure,1977
3997,0,0,The Land Before Time IX: Journey to the Big Water,Animation,2002
5901,0,0,Hotel Inferno,Crime,2013
2166,0,0,Into the Universe with Stephen Hawking,Documentary,2010
9446,0,0,Mississippi Masala,Drama,1991
10801,0,0,The Fury,Thriller,1978
8096,26000000,19075720,Johnny Mnemonic,Science Fiction,1995
10284,34000000,32255440,The Age of Innocence,Drama,1993
5787,4000000,350006,The Face of Love,Romance,2013
8218,0,0,Land and Freedom,Romance,1995
3333,0,0,Coco Chanel,Drama,2008
4299,0,0,City Slickers II: The Legend of Curly's Gold,Action,1994
2675,30000000,17833000,AntiTrust,Crime,2001
9684,0,0,The Stepfather,Drama,1987
8669,100000000,169327687,The Emperor's New Groove,Animation,2000
8979,60000000,171757863,Antz,Family,1998
6105,17900000,6948633,Red Sonja,Adventure,1985
7546,21000000,54926886,We Own the Night,Crime,2007
8354,0,0,Husbands and Wives,Romance,1992
315,0,0,The Intruders,Thriller,2015
6209,70000000,368100420,Hitch,Comedy,2005
2257,7347125,0,Beneath Hill 60,War,2010
2231,0,215576,Happythankyoumoreplease,Romance,2010
7471,67000000,25037897,Grindhouse,Thriller,2007
5732,70000000,18662027,Legends of Oz: Dorothy's Return,Music,2013
6881,0,0,The Road to Guantanamo,Drama,2006
2145,5800000,0,Burning Palms,Drama,2010
6103,0,49364621,National Lampoonâ€™s European Vacation,Comedy,1985
1707,0,0,The Revenant,Horror,2009
726,50000000,97437106,The Book of Life,Adventure,2014
1555,12000000,0,Tell-Tale,Drama,2009
49,4000000,9064511,The Lobster,Science Fiction,2015
4005,7000000,0,Interstate 60,Adventure,2002
4512,58000000,50365377,Red Tails,Drama,2012
332,0,0,Ashby,Romance,2015
2143,20000000,346594,The Tempest,Drama,2010
2220,20000000,4634062,Dylan Dog: Dead of Night,Horror,2010
873,0,0,Hello Ladies: The Movie,Comedy,2014
4490,30000000,0,Passion,Thriller,2012
10281,18000000,74189677,Hard Target,Crime,1993
5703,0,1031243,Ain't Them Bodies Saints,Drama,2013
7770,0,0,Sublime,Horror,2007
3673,25000000,0,Ironclad,Adventure,2011
67,20000000,0,Survivor,Thriller,2015
9725,0,0,The Love Bug,Fantasy,1968
9802,0,0,Where the Red Fern Grows,Drama,1974
9833,0,0,Bug,Science Fiction,1975
8079,60000000,187436818,Heat,Drama,1995
2461,35000000,40263020,Blast from the Past,Romance,1999
8215,45000000,0,The Indian in the Cupboard,Adventure,1995
9182,35000000,411348924,Batman,Fantasy,1989
656,44000000,11305175,The Interview,Action,2014
5894,1800000,0,DrogÃ³wka,Crime,2013
9311,130000,0,Intruder,Thriller,1989
8114,25000000,6600000,Tank Girl,Science Fiction,1995
7414,60000000,361366633,Alvin and the Chipmunks,Fantasy,2007
6020,0,0,Death Comes to Pemberley,Mystery,2013
8956,32000000,0,Turkey Shoot,Horror,1982
10014,26000000,61489265,Flatliners,Science Fiction,1990
10122,4000000,0,The Misfits,Action,1961
2851,0,0,CQ,Science Fiction,2001
5256,116000000,178127760,Dante's Peak,Thriller,1997
3084,0,2960993,Killshot,Thriller,2008
6737,0,60896147,My Super Ex-Girlfriend,Drama,2006
1226,0,0,Delirium,Adventure,2014
6906,0,0,Mini's First Time,Comedy,2006
6993,75000000,367275019,Shark Tale,Action,2004
4504,0,0,Black Rock,Horror,2012
699,60000000,50549107,Jack Ryan: Shadow Recruit,Thriller,2014
4656,5300000,0,The Outback,Adventure,2012
5819,0,0,Hatchet III,Action,2013
4194,22000000,189833357,The Santa Clause,Drama,1994
3637,0,0,The Veteran,Thriller,2011
4948,0,0,The Invisible War,Drama,2012
8712,60000000,47383689,Almost Famous,Drama,2000
122,0,0,Everly,Thriller,2015
5394,0,310724,"O Que Ã‰ Isso, Companheiro?",Action,1997
9016,30000000,82150642,Elizabeth,Drama,1998
6197,50000000,104478416,The Hitchhiker's Guide to the Galaxy,Comedy,2005
7990,27500000,183700000,Octopussy,Action,1983
2149,0,0,Donkey's Christmas Shrektacular,Science Fiction,2010
6463,0,0,The Business,Action,2005
152,0,0,The Voices,Thriller,2015
6195,150000000,474968763,Charlie and the Chocolate Factory,Adventure,2005
1061,0,0,Savaged,Thriller,2014
111,20000000,208588,Dark Places,Drama,2015
4752,0,0,The Rise,Crime,2012
2053,13000000,0,Game of Death,Action,2010
853,0,0,Space Station 76,Drama,2014
7807,0,0,Steel Trap,Thriller,2007
4077,12000000,61141030,Crossroads,Drama,2002
7523,25000000,59192128,Good Luck Chuck,Drama,2007
5762,0,0,All Stars,Comedy,2013
81,80000000,466183544,Hotel Transylvania 2,Comedy,2015
6394,0,0,Shadowboxer,Drama,2005
10410,2000000,27379978,In the Heat of the Night,Mystery,1967
3462,120000000,227817248,The Green Hornet,Crime,2011
8087,0,0,It Takes Two,Comedy,1995
5277,70000000,131457682,Seven Years in Tibet,War,1997
9654,7200000,2300000,Mio min Mio,Adventure,1987
6778,0,0,Happily N'Ever After,Family,2006
8011,0,0,Under Fire,Drama,1983
1984,25000000,36993168,Don't Be Afraid of the Dark,Horror,2010
5563,10000000,21587700,Mud,Drama,2013
2310,0,0,Temple Grandin,Drama,2010
9679,1800000,31623833,Can't Buy Me Love,Romance,1987
2941,32000000,0,The Reader,Drama,2008
9155,0,0,The Odd Couple II,Comedy,1998
5350,0,0,Bent,Romance,1997
5909,8000000,0,Fright Night 2: New Blood,Horror,2013
2192,0,0,Free Willy: Escape From Pirate's Cove,Action,2010
5886,0,0,Phil Spector,TV Movie,2013
3730,100000,0,Assassin's Creed: Embers,Animation,2011
8031,27,0,Krull,Fantasy,1983
9020,26000000,65705772,EverAfter,Romance,1998
784,0,0,Frontera,Drama,2014
3811,0,0,Choose,Thriller,2011
6959,0,13022756,How to Eat Fried Worms,Comedy,2006
4356,0,0,Hercules and the Lost Kingdom,Fantasy,1994
7869,0,43885000,Love at First Bite,Comedy,1979
8889,10500000,792910554,E.T. the Extra-Terrestrial,Family,1982
6951,0,0,Idlewild,Crime,2006
10656,25485000,29548291,Tora! Tora! Tora!,History,1970
4629,0,0,The Motel Life,Thriller,2012
4200,45000000,117615211,The Client,Thriller,1994
7461,51500000,55112356,Eastern Promises,Thriller,2007
8080,2500000,5535405,Before Sunrise,Romance,1995
893,0,0,Bears,Family,2014
7718,1000000,274661,Taxi to the Dark Side,Documentary,2007
9329,42000000,62000000,The Rocketeer,Family,1991
6211,0,0,Prime,Romance,2005
4997,0,0,The Cat in the Hat,Comedy,2003
7734,0,4910682,Shrooms,Foreign,2007
9292,0,0,The Tall Guy,Comedy,1989
5997,0,0,Deep Dark Canyon,Thriller,2013
7934,0,45858563,"Greystoke: The Legend of Tarzan, Lord of the Apes",Action,1984
5363,0,0,The Odyssey,Family,1997
10555,0,0,Running Scared,Crime,1986
9893,0,0,Zulu,History,1964
4157,4000000,146402,Los lunes al sol,Foreign,2002
8899,4500000,27092880,Fast Times at Ridgemont High,Comedy,1982
1774,7000000,39462438,Crazy Heart,Drama,2009
1341,3400000,31063038,High Anxiety,Comedy,1977
2099,0,6467348,Cave of Forgotten Dreams,Family,2010
7017,33000000,54700105,The Punisher,Drama,2004
8220,16000000,81452156,Waiting to Exhale,Comedy,1995
9817,0,0,Love and Death,Comedy,1975
7392,150000000,585349010,I Am Legend,Science Fiction,2007
10640,0,0,The Seven-Ups,Thriller,1973
8257,12500000,10725228,Glengarry Glen Ross,Crime,1992
7839,8000000,43000000,Escape from Alcatraz,Drama,1979
705,120000000,239379423,RoboCop,Action,2014
9977,0,0,The Hospital,Comedy,1971
5938,0,0,Go Goa Gone,Comedy,2013
7457,50000000,90450008,Hairspray,Music,2007
2244,425000000,11087569,The Warrior's Way,Fantasy,2010
2801,12000000,17292381,Max Keeble's Big Move,Comedy,2001
6702,12000000,0,Home of the Brave,Drama,2006
231,0,0,Cobain: Montage of Heck,Music,2015
4226,0,0,Quiz Show,Drama,1994
10567,0,0,Caravaggio,Drama,1986
4595,0,0,The Last Will and Testament of Rosalind Leigh,Horror,2012
737,0,0,Marvel One-Shot: All Hail the King,Thriller,2014
10843,0,0,Khartoum,Action,1966
4078,100000000,7103973,The Adventures of Pluto Nash,Science Fiction,2002
9351,26000000,124033791,City Slickers,Western,1991
2025,20000000,65464324,The American,Drama,2010
4336,10300000,0,ã‚´ã‚¸ãƒ©vsã‚¹ãƒšãƒ¼ã‚¹ã‚´ã‚¸ãƒ©,Adventure,1994
3394,200000000,219851172,Green Lantern,Adventure,2011
6098,12000000,68706993,Witness,Drama,1985
3919,140000000,441818803,Men in Black II,Adventure,2002
8048,0,0,The Star Chamber,Action,1983
10037,0,1030938,Hidden Agenda,Drama,1990
3042,8500000,8936663,Ong Bak 2,Action,2008
2116,0,0,Barbie: A Fashion Fairytale,Animation,2010
4971,100000000,121975011,Peter Pan,Fantasy,2003
4221,27000000,101646581,Timecop,Science Fiction,1994
1833,0,0,Doctor Who: Planet of the Dead,Adventure,2009
8530,6000000,0,Albino Alligator,Thriller,1996
1550,35000000,155545279,Hannah Montana: The Movie,Comedy,2009
200,7000000,573335,Freeheld,Drama,2015
3720,0,957240,Texas Killing Fields,Mystery,2011
2520,50000000,58900031,The Story of Us,Comedy,1999
7331,0,0,Bronco Billy,Comedy,1980
6992,0,0,The Lion King 1Â½,Family,2004
3213,0,0,Solstice,Drama,2008
10244,30000000,36516012,Carlito's Way,Crime,1993
2670,92000000,143049560,Spy Game,Crime,2001
5305,0,0,Jungle 2 Jungle,Family,1997
2142,2500000,324138,Super,Drama,2010
2146,4466000,0,Sound of Noise,Comedy,2010
7423,65000000,84785914,Zodiac,Thriller,2007
7028,60000000,61347797,After the Sunset,Action,2004
5533,0,0,Pleasure or Pain,Thriller,2013
8198,50000000,10382407,The Scarlet Letter,History,1995
7696,0,0,Rise: Blood Hunter,Thriller,2007
10046,25000000,2075084,The Sheltering Sky,Adventure,1990
3184,0,0,æ±äº¬æ®‹é…·è­¦å¯Ÿ,Horror,2008
10018,0,33461269,Air America,Action,1990
8535,67000000,47267001,Last Man Standing,Action,1996
821,0,0,Housebound,Comedy,2014
7944,0,0,The Toxic Avenger,Comedy,1984
10362,5000000,0,Cyborg 2,Action,1993
6168,3200000,10000000,Once Bitten,Horror,1985
3331,0,0,The Family That Preys,Drama,2008
9211,18598420,78247647,K-9,Adventure,1989
1511,87000000,0,Arthur et la vengeance de Maltazard,Animation,2009
6983,116000000,102000000,The Aviator,Drama,2004
285,0,0,Kill Your Friends,Crime,2015
10814,0,0,The Cat from Outer Space,Comedy,1978
5960,0,0,The Contractor,Drama,2013
6842,0,0,Wilderness,Thriller,2006
1679,0,0,Miss March,Romance,2009
7433,25000000,229736344,Mr. Bean's Holiday,Comedy,2007
9332,25000000,78,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Comedy,1991
8871,0,0,Gangster No. 1,Thriller,2000
2134,80000000,201584141,Yogi Bear,Adventure,2010
6246,15000000,15785148,Kiss Kiss Bang Bang,Mystery,2005
5663,0,0,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Comedy,2013
176,0,0,Tumbledown,Romance,2015
7215,90,0,Farscape The Peacekeeper Wars,Science Fiction,2004
1726,0,0,Espion(s),Drama,2009
9305,0,0,Let It Ride,Comedy,1989
2517,11000000,0,A Midsummer Night's Dream,Comedy,1999
7408,3800000,0,Species: The Awakening,Thriller,2007
3157,0,0,Religulous,Documentary,2008
7509,60795000,73090611,Perfect Stranger,Thriller,2007
3461,30000000,0,Tinker Tailor Soldier Spy,Thriller,2011
1157,0,0,Perfect Sisters,Drama,2014
2196,80000000,74901339,Edge of Darkness,Crime,2010
5336,55000000,31987563,Metro,Action,1997
2431,80000000,176885658,Analyze This,Crime,1999
10467,0,0,The Servant,Drama,1963
8932,2500000,14400000,Halloween III: Season of the Witch,Mystery,1982
8806,0,0,Book of Shadows: Blair Witch 2,Thriller,2000
5531,32000000,57284237,The Physician,History,2013
3175,0,165888,Gigantic,Romance,2008
9451,12000000,78756177,The Naked Gun: From the Files of Police Squad!,Crime,1988
6416,0,0,School Of Life,Family,2005
5526,44000000,63327201,The Host,Thriller,2013
7320,0,41675194,Cheech & Chong's Next Movie,Comedy,1980
5727,18000000,7972967,Metallica: Through the Never,Music,2013
5097,75000000,51142659,Hollywood Homicide,Action,2003
712,103000000,500188435,Rio 2,Adventure,2014
901,30000000,25312387,And So It Goes,Comedy,2014
1985,0,0,Tinker Bell and the Great Fairy Rescue,Fantasy,2010
