Subtitle,"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
COOPERATIVE EDUCATION,44786.0,,COED 198-A001,40,4,1,1,4,Miller,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46368.0,,EMS 235-A003,59,3,15,12,52,62,2.0,43696.0,43814.0
MATHEMATICS,44388.0,10,MAT 150-A0H4,76,2,0,0,41,85,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44522.0,,AGR 101-A0Z1,Economics Food & Agriculture,1,1,1,1,9,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44526.0,,AGR 190-A001,Agricultural Internship II,1,1,1,4,11,2.0,43696.0,43814.0
MATHEMATICS,55574.0,,MAT 116S-A0H1,Co-req Remed for Tech Math,1,1,1,1,85,0.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44416.0,,ELT 110-A0L6,53,0,11,8:30 PM,46,56,2.0,43696.0,43814.0
WELDING,44503.0,,23,Shield Metal ArcWld Fillet Lab,10,12:40 PM,41,78,110,2.0,43696.0,43814.0
HISTORY,44654.0,0,HIS 108-A002,67,2,19,23,59,74,2.0,43696.0,43814.0
ART ,44809.0,,ART 220-A001,Painting I,0,18,22,14,16,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55240.0,,ADX 260-A001,10,3,0,9,10,7,2.0,43696.0,43814.0
MATHEMATICS,45425.0,10,MAT 116-A0H1,71,2,19,23,41,85,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44896.0,,DIT 152-A001,Powertrain Construction Equip,6,0,9,8,6,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,61045.0,,ELT 120-A002,55,2,0.520833333,2,47,54,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44568.0,,BIO 139-A0ZL,29,1,1,1,1,30,1.0,43696.0,43814.0
MATHEMATICS,44400.0,10,MAT 155-A001,Trigonometry,0,0,0,19,90,2.0,43696.0,43814.0
MATHEMATICS,44377.0,10,MAT 126-A001,72,0,5,24,61,86,2.0,43696.0,43814.0
POLITICAL SCIENCE,44674.0,6,POL 101-A001,92,0,15,17,41,77,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44419.0,,ELT 210-A001,56,2,29,2,46,56,2.0,43696.0,43814.0
ENGLISH,44564.0,7,ENG 102-A002,62,0,19,23,38,71,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45008.0,,ADX 260-A0E1,10,3,8,12,5,8,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44446.0,,ELT 265-A0L1,57,0,3,18,50,42,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,54060.0,2,BIO 141-A001,30,0,15,17,19,26,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44457.0,,CMM 114-A0L1,38,10,9:10 AM,27,31,41,2.0,43696.0,43814.0
MUSIC,44581.0,0,MUS 104-A0Z1,Introduction to Jazz History,1,1,1,1,72,1.0,43696.0,43814.0
ENGLISH,44861.0,7,ENG 101-A0HZ,61,1,1,1,1,66,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44426.0,,EET 275-A001,Electrical Motor Controls Lab,10,28,20,43,55,2.0,43696.0,43814.0
RADIOGRAPHY,44974.0,,DMI 108-A0L1,98,5,19,30,73,104,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,45003.0,,MIT 295-A0L1,80,4,1,1,4,43,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46363.0,,EMS 231-A001,58,3,15,3,52,60,2.0,43696.0,43814.0
HISTORY,44979.0,0,HIS 105-A0Z1,66,1,1,1,1,81,1.0,43696.0,43814.0
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46291.0,,16,63,MR,9,16,57,73,2.0,43696.0,43814.0
MATHEMATICS,44392.0,10,MAT 150-A0ZH,76,1,1,1,1,89,1.0,43696.0,43814.0
CIS,44616.0,,CIT 105-A004,35,2,5,24,27,7,2.0,43696.0,43814.0
CHEMISTRY,44611.0,1,CHE 145-A001,Intro General Chemistry Lab,3,10,30,26,35,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45092.0,,BAS 160-A0BY,21,0,19,22,16,20,0.0,43696.0,43751.0
PSYCHOLOGY,44687.0,6,PSY 223-A001,96,0,5,24,17,101,2.0,43696.0,43814.0
MATHEMATICS,44381.0,10,MAT 126-A0Z1,72,1,1,1,1,89,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44418.0,,15,55,2,5,36,47,54,2.0,43696.0,43814.0
WELDING,44500.0,,20,105,10,0,8:40 AM,58,110,2.0,43696.0,43814.0
RADIOGRAPHY,44971.0,,DMI 106-A001,97,3,26,4,73,104,2.0,43696.0,43814.0
RELIGIOUS STUDIES,54102.0,0,REL 121-A001,Introduction the New Testament,0,19,23,56,9,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44422.0,,ELT 110-A0L4,53,10,5,36,47,57,2.0,43696.0,43814.0
ENGLISH,45081.0,,ENG 100-A0H3,60,2,5,42,53,65,2.0,43696.0,43814.0
CIS,45393.0,,CIT 111-A003,36,2,15,35,29,38,2.0,43696.0,43814.0
POLITICAL SCIENCE,44926.0,6,POL 101-A002,92,0,0,0,41,77,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44423.0,,EET 254-A001,Electrical Construction,10,24,38,44,55,2.0,43696.0,43814.0
MATHEMATICS,44384.0,,MAT 100-A0H2,75,0,32,46,23,88,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44705.0,,0,6,3,6,10,6,5,2.0,43696.0,43814.0
WELDING,44505.0,,WLD 141-A001,Gas Metal Arc Weld Fillet Lab,2,2,3,78,110,2.0,43696.0,43814.0
COMMUNICATIONS,44486.0,4,COM 181-A006,41,2,0,0,33,44,2.0,43696.0,43814.0
ENGLISH,44570.0,7,ENG 102-A005,62,2,5,24,55,68,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44931.0,,ADX 171-A002,9,8,7,3,9,6,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44715.0,,8,15,6,9,6,6,8,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44946.0,,BIO 137-A0EL,28,6,11,16,21,31,2.0,43696.0,43814.0
WELDING,44492.0,,WLD 298-A001,Welding Practicum,2,16,9,80,113,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44553.0,1,BIO 121-A001,Introduction to Ecology Lab,6,6,26,20,26,2.0,43696.0,43814.0
CIS,44625.0,,CIT 120-A001,37,0,5,24,28,39,2.0,43696.0,43814.0
ENGLISH,44523.0,7,ENG 101-A0H1,61,0,16,19,53,64,2.0,43696.0,43814.0
ENGLISH,44939.0,0,ENG 190-A001,Intro to Dystopian Literature,2,0,0,36,64,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44914.0,2,BIO 135-A0Y1,27,1,1,1,1,28,0.0,43696.0,43814.0
ENGLISH,44792.0,7,ENG 101-A013,61,0,5,24,37,70,2.0,43696.0,43814.0
MUSIC,44585.0,,MUP 101-A001,81,4,1,1,HUMH0129,72,2.0,43696.0,43814.0
ENGLISH,44547.0,7,ENG 101-A008,61,2,5,24,13,37,2.0,43696.0,43814.0
PSYCHOLOGY,44681.0,6,PSY 110-A006,94,2,5,24,72,102,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44709.0,,1,7,7,0,10,7,5,2.0,43696.0,43814.0
SOCIOLOGY,44697.0,6,SOC 101-A0Z1,102,1,1,1,1,106,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44758.0,,FYE 100-A003,64,6,19,23,ATC231,53,2.0,43696.0,43814.0
ENGLISH,44540.0,7,ENG 101-A001,61,0,0,0,54,68,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44664.0,,IEC 130-A0Z1,Early Childhood Development,1,1,1,1,83,1.0,43696.0,43814.0
MATHEMATICS,55585.0,,MAT 126S-A0M2,73,0,32,46,63,89,2.0,43696.0,43814.0
PHILOSOPHY,44587.0,0,PHI 100-A001,Intro to Philosophy,2,15,17,55,99,2.0,43696.0,43814.0
MATHEMATICS,44867.0,10,MAT 126-A0H2,72,2,10,20,62,87,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44982.0,,13,47,5,0,10,9,6,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44766.0,,FYE 100-A012,64,5,19,23,36,75,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44869.0,,ELT 110-A0L5,53,10,3,41,47,58,2.0,43696.0,43814.0
SOCIOLOGY,44694.0,6,SOC 101-A002,102,0,19,23,71,106,2.0,43696.0,43814.0
MUSIC,45001.0,,MUP 201-A001,81,4,1,1,38,72,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45367.0,,BIO 137-A0L5,28,6,22,29,21,28,2.0,43696.0,43814.0
ECONOMICS,44638.0,6,ECO 202-A001,50,0,5,24,41,19,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46361.0,,EMS 250-A001,Medical Emergencies II,3,15,12,52,63,2.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44467.0,,VET 230-A001,Veterinary Lab Procedures II,2,16,8,77,15,2.0,43696.0,43814.0
WELDING,60364.0,,23,Shielded Metal Arc Weld Fillet Lab,2,0.770833333,0.895833333,80,112,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44438.0,,EET 265-A002,52,2,3,3,45,53,2.0,43696.0,43814.0
CIS,44624.0,,CIT 111-A002,36,2,26,36,29,38,2.0,43696.0,43814.0
PSYCHOLOGY,44682.0,6,PSY 110-A008,94,2,10,20,71,96,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44458.0,,CMM 134-A001,39,10,27,39,32,34,2.0,43696.0,43814.0
HUMAN SERVICES,44953.0,,HMS 101-A0Z1,Human Services Survey,1,1,1,1,Anderson,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45365.0,1,BIO 112-A0ZB,24,1,1,1,1,25,1.0,43759.0,43814.0
CIS,44617.0,,CIT 105-A005,35,2,10,20,27,7,2.0,43696.0,43814.0
ASTRONOMY,44912.0,1,AST 191-A0YE,The Solar System,3,9,25,12,18,0.0,43696.0,43814.0
EDUCATION,44641.0,,EDP 202-A001,Human Development & Learning,0,5,24,42,52,2.0,43696.0,43814.0
WELDING,44490.0,,WLD 171-A001,Blueprint Reading/Welding Lab,10,7:45 AM,19,80,113,2.0,43696.0,43814.0
RADIOGRAPHY,44973.0,,DMI 108-A001,98,5,26,4,73,14,2.0,43696.0,43814.0
CIS,44614.0,,CIT 105-A003,35,0,10,20,27,7,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44830.0,,ELT 265-A0E1,57,0,17,5:50 PM,49,42,2.0,43696.0,43814.0
MATHEMATICS,45428.0,10,MAT 141-A0M1,74,2,5,24,63,89,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44707.0,,ADX 150-A001,Engine Repair,6,0,9,5,5,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45361.0,,AGR 275-A001,Value Added Production,4,1,1,4,11,2.0,43696.0,43814.0
MUSIC,44582.0,,MUS 192-A0E1,University Chorus,3,12,16,38,92,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44464.0,,CMM 230-A001,Conversational Programming,10,24,11:10 AM,32,34,2.0,43696.0,43814.0
ENGLISH,44576.0,0,ENG 161-A0Z1,Intro to Literature,1,1,1,1,68,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44646.0,,BIO 227-A0L1,32,0,6,33,25,24,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,45022.0,,17,4,4,1,1,4,41,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44749.0,,ACR 131-A001,Electrical Components Lab,2,5:20 PM,6,3,2,2.0,43696.0,43814.0
CIS,45101.0,,CIT 213-A0B1,Microsoft Client Configuration,5,14,37,30,38,2.0,43696.0,43751.0
HISTORY,44653.0,0,HIS 108-A001,67,0,0,0,59,35,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,61049.0,,15,55,2,3,41,47,54,2.0,43696.0,43814.0
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46291.0,,16,63,S,0,5:00 PM,57,73,2.0,43696.0,43814.0
CIS,45095.0,,CIT 161-A0Y1,Introduction to Networks,6,14,5:10 PM,30,40,0.0,43696.0,43814.0
