Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"University of Phoenix, South Florida Campus, Plantation",,,,,
University of San Francisco,,,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,,
"City University of Seattle, Business and Hotel Management School",,,,,
"Colorado State University, Pueblo",,,,,
"Devry University, Tampa East Center",,,,,
"University of Phoenix, Ontario Learning Center, Ontario",,,,,
Marywood University,,,,,
University of Pittsburgh,,,,,
Upper Iowa University,,,,,
Virginia Polytechnic Institute and State University,,,,,
"Devry University, Arlington (Crystal City) Campus",,,,,
University of Pennsylvania,,,,,
Union Graduate College,,,,,
"Devry University, St. Louis Campus",,,,,
"California Baptist University, Riverside",,,,,
"University of Phoenix, Palm Beach Gardens Learning Center",,,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,,
Illinois State University,,,,,
"Long Island University, Post",,,,,
"University of Alabama, Birmingham",,,,,
"Texas A&M University, Commerce",,,,,
"Carnegie Mellon University, Australia",,,,,
"University of Phoenix, Western Washington Campus, Tukwila",,,,,
"Stony Brook University, State University of New York (SUNY)",,,,,
Xavier University,,,,,
"Devry University, Morrisville Campus",,,,,
University of Pennsylvania,,,,,
University of Oregon,,,,,
"Devry University, Anaheim Center",,,,,
Oral Roberts University,,,,,
"University of Phoenix, McDonough Learning Center, McDonough",,,,,
"University of Phoenix, North Davis Learning Center, Clearfield",,,,,
University of North Texas,,,,,
New York University,,,,,
Clarkson University,,,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,,
Western Kentucky University,,,,,
University of New Hampshire,,,,,
"City University of Seattle, Victoria",,,,,
Suffolk University,,,,,
Lutheran School of Theology at Chicago,,,,,
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,,
Boston University,,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,,
Missouri University of Science and Technology,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Lansing Learning Center, Lansing",,,,,
Massachusetts Institute of Technology,,,,,
University of Texas Medical Branch,,,,,
"Devry University, Stockbridge (Henry County) Center",,,,,
University of Portland,,,,,
Emory University,,,,,
Alverno College,,,,,
Pace University,,,,,
Northeastern University,,,,,
Yale University,,,,,
Massachusetts Institute of Technology,,,,,
Vanderbilt University,,,,,
University of South Carolina,,,,,
"University of Texas, Brownsville",,,,,
Spring Hill College,,,,,
University of Houston,,,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,,
"Devry University, Midtown Manhattan Campus",,,,,
San Jose State University,,,,,
University of Scranton,,,,,
Seton Hall University,,,,,
Eastern University,,,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,,
Yale University,,,,,
"University of Phoenix, Owasso Learning Center, Owasso",,,,,
"University of Colorado, Denver",,,,,
University of Pittsburgh,,,,,
University of Houston,,,,,
University of New Haven,,,,,
Columbia University,,,,,
Northern Arizona University,,,,,
"Devry University, Daly City Center",,,,,
"University of California, San Diego",,,,,
"University of Michigan, Dearborn",,,,,
"University of California, San Diego",,,,,
Syracuse University,,,,,
Cornell University,,,,,
Massachusetts Institute of Technology,,,,,
University of San Francisco,,,,,
Florida Atlantic University,,,,,
University of Texas Medical Branch,,,,,
Ohio State University,,,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,,
University of Portland,,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
"University of Phoenix, Savannah Campus, Savannah",,,,,
"University of Colorado, Boulder",,,,,
DePaul University,,,,,
"Devry University, Louisville Campus",,,,,
University of Scranton,,,,,
University of Dallas,,,,,
"University of Phoenix, Augusta Campus, Augusta",,,,,
Dominican University,,,,,
"University of Houston, Victoria",,,,,
University of Houston,,,,,
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,,
"New York Institute of Technology, Manhattan",,,,,
University of Virginia,,,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,,
University of Delaware,,,,,
Columbia University,,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Colorado, Boulder",,,,,
Florida International University,,,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,,
"Richmond, The American International University in London",,,,,
Maryland Institute College of Art,,,,,
Columbia University,,,,,
,7,,2,6,0
"University of Michigan, Dearborn",,,,,
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,,
University of Pittsburgh,,,,,
"University of Texas, Tyler",,,,,
University of New Haven,,,,,
"Texas A&M University, Commerce",,,,,
"University of Phoenix, Dallas Campus, Dallas",,,,,
St. Mary's University,,,,,
Eastern University,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,,
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,,
"University of Phoenix, Northwest Learning Center, Phoenix",,,,,
University of Findlay,,,,,
Tufts University,,,,,
"University of Phoenix, West Michigan Campus, Walker",,,,,
"Devry University, Kansas City Campus",,,,,
Syracuse University,,,,,
Massachusetts Institute of Technology,,,,,
Arkansas State University,,,,,
"University of Phoenix, Miramar Learning Center, Miramar",,,,,
University of Indianapolis,,,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,,
"Devry University, Bethesda Center",,,,,
Weber State University,,,,,
"University of Phoenix, Manassas Learning Center, Manassas",,,,,
American University,,,,,
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,,
"University of North Carolina, Wilmington",,,,,
George Washington University,,,,,
Kent State University,,,,,
Dominican University,,,,,
"University of Phoenix, Concord Learning Center, Concord",,,,,
University of Pennsylvania,,,,,
"University of Hawaii, Manoa",,,,,
Loyola Marymount University,,,,,
Dartmouth College,,,,,
"University of Colorado, Boulder",,,,,
"Colorado State University, Pueblo",,,,,
Upper Iowa University,,,,,
Henderson State University,,,,,
University of San Francisco,,,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,,
"University of Phoenix, Washington Learning Center, Washington",,,,,
University of Portland,,,,,
"Brigham Young University, Utah",,,,,
"Devry University, Kansas City Downtown",,,,,
"Devry University, Seven Hills Campus",,,,,
University of Pennsylvania,,,,,
Biola University,,,,,
Capella University (online),,,,,
"University of Phoenix, Southwest Learning Center, Las Vegas",,,,,
Howard University,,,,,
University of San Diego,,,,,
"University of Colorado, Boulder",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,,,,
Fordham University,,,,,
"Devry University, Milwaukee Campus",,,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,,
"Pennsylvania State University, Harrisburg",,,,,
Loyola University Chicago,,,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,,
"Devry University, Alahambra Center",,,,,
Bloomfield College,,,,,
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,,
"University of Phoenix, Murrietta Learning Center, Murrietta",,,,,
"University of Phoenix, Philadelphia Financial District Learning Center",,,,,
University of Pennsylvania,,,,,
University of Dallas,,,,,
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,,
"University of Phoenix, South Jordan Learning Center, South Jordan",,,,,
New School (The),,,,,
"Devry University, Manhattan Center",,,,,
"University of Phoenix, Whichita Student Resource Center, Whichita",,,,,
"University of Massachusetts, Boston",,,,,
"University of Michigan, Ann Arbor",,,,,
Kent State University,,,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,,
DePaul University,,,,,
Boise State University,,,,,
Columbia Southern University,,,,,
University of Baltimore,,,,,
University of Cincinnati,,,,,
Upper Iowa University,,,,,
Loma Linda University,,,,,
University of Houston,,,,,
Bellarmine University,,,,,
University of Pittsburgh,,,,,
University of Georgia,,,,,
"University of Colorado, Boulder",,,,,
Rice University,,,,,
"Devry University, Austin Campus",,,,,
"University of Phoenix, Northern Nevada Campus, Reno",,,,,
"University of Colorado, Boulder",,,,,
University of Pennsylvania,,,,,
"Carnegie Mellon University, Greece",,,,,
"University of Massachusetts, Amherst",,,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,,
"University of Phoenix, Macomb Learning Center, Clinton Township",,,,,
"University of Phoenix, Milwaukee Campus, Brookville",,,,,
Boston College,,,,,
"City University of Seattle, Victoria",,,,,
University of Hartford,,,,,
"University of Phoenix, La Palma Learning Center, La Palma",,,,,
New School (The),,,,,
"University of Phoenix, Lancaster Learning Center, Lancaster",,,,,
"Auburn University, Auburn",,,,,
University of Arizona,,,,,
Northwestern University,,,,,
"University of Massachusetts, Boston",,,,,
"University of Hawaii, Hilo",,,,,
Vanderbilt University,,,,,
"Devry University, Columbus North Center",,,,,
"Arizona State University, Tempe",,,,,
Boston College,,,,,
"Devry University, Charlotte Campus",,,,,
Vanderbilt University,,,,,
"Texas A&M University, Commerce",,,,,
Pace University,,,,,
Syracuse University,,,,,
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,,
"University of Phoenix, Nashville Campus, Nashville",,,,,
"University of Michigan, Ann Arbor",,,,,
"Devry University, Sherman Oaks Campus",,,,,
"University of Phoenix, Wyoming Campus, Cheyenne",,,,,
University of Pittsburgh,,,,,
Arkansas Tech University,,,,,
Framingham State University,,,,,
"University of Phoenix, Independence Learning Center, Independence",,,,,
Vanderbilt University,,,,,
"Devry University, Fresno Campus",,,,,
"University of Phoenix, West Loop Learning Center, Houston",,,,,
SIT Graduate Institute,,,,,
Johns Hopkins University,,,,,
New York Medical College,,,,,
University of New Haven,,,,,
Oregon Health & Science University,,,,,
"University of Phoenix, Westlake Learning Center, Westlake",,,,,
West Coast University,,,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,,
"University of Phoenix, Visalia Learning Center, Visalia",,,,,
University of Denver,,,,,
Columbia University,,,,,
"University of Phoenix, Lafayette, LA Campus, LaFayette",,,,,
"University of Phoenix, San Francisco Learning Center, San Francisco",,,,,
"University of Phoenix, Topeka Student Resource Center, Topeka",,,,,
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,,
"University of Phoenix, South Austin Student Resource Center, Austin",,,,,
Mississippi State University,,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,,
Widener University,,,,,
"Devry University, Edina Campus",,,,,
University of Virginia,,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Phoenix, Marietta Learning Center, Marietta",,,,,
"Devry University, Waukesha Center",,,,,
University of Portland,,,,,
"University of Massachusetts, Amherst",,,,,
University of Delaware,,,,,
University of Houston,,,,,
Saint Vincent College,,,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,,
Fuller Theological Seminary,,,,,
"Auburn University, Auburn",,,,,
Northwestern University,,,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,,
University of Oregon,,,,,
"Devry University, King of Prussia Center",,,,,
"St. John's University, Queens",,,,,
University of Denver,,,,,
Fordham University,,,,,
Nova Southeastern University,,,,,
"Pennsylvania State University, Harrisburg",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,,
New York University,,,,,
"Devry University, Colorado Springs Center",,,,,
Santa Clara University,,,,,
Massachusetts Institute of Technology,,,,,
Loma Linda University,,,,,
