Account Name,Membership Category,Membership Level,Website
Panasian Impve Pvt Ltd,12,2.0,www.panasian.co.in
Super Spinning Mills,7,2.0,
"Tejidos Royo, S.L.",5,2.0,www.royotextile.com
Civil Society,,,
Suppliers and Manufacturers,,,
"Zhonghua Group Co. ,Ltd",7,2.0,
Retailers and Brands,,,
Associate Members,,,
Suppliers and Manufacturers,,,
Hebei  Hongrun  New  Type  Material Co.Ltd,,2.0,www.ch-run.cn
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Maral Overseas,4,2.0,
"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",4,2.0,
Retailers and Brands,,,
Civil Society,,,
Suppliers and Manufacturers,,,
TCE Vina Denim Joint Stock Company,6,3.0,
Shivdhara Spinners & Spinners Pvt Ltd,7,2.0,www.shivdharagroup.com
"Ningbo Huadong Xufeng Textile Co.,Ltd",7,2.0,
JPP Mills Pvt Ltd,7,2.0,www.jppmills.com
Ming Tai Textiles Ltd,4,2.0,
Jihua 3542 Textile Co. Ltd.,4,2.0,
Hantex,4,2.0,
"Hunan Huihua Anjiang Textile Co.,Ltd",,2.0,
C.A. Textile Mills (Pvt) Ltd,7,2.0,
Hebi Chaoge Cotton Yarn Co. Ltd.,7,2.0,
Nantong Shuanglian,7,2.0,
"Shanghai Met Imp.&Exp.Co.,Ltd.",4,2.0,
Shijiazhuang Changshan Hengxin Textile Co. Ltd.,7,2.0,
Dadasons Pvt. Ltd.,12,2.0,www.dadasons.com
Yuyue Home Textile Co. Ltd.,4,2.0,
Sri Nukala Rama Koteswara Rao Textiles Pvt Ltd,7,2.0,
Rajapalayam Mills Limited,7,2.0,
Espintex S.A. de C.V.,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Bharat Vijay Mills,6,2.0,
Civil Society,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Jiangsu Xinguang Textile Co.,Ltd",4,2.0,
Zhejiang Changshan Textile Co.Ltd.,7,2.0,
Sutlej Textiles & Industries Ltd.,7,2.0,
Hussain Textile Corporation,10,3.0,
Morarjee Textiles Limited,7,2.0,
"TongXiang YiDe Textile Co.,Ltd.",,2.0,www.yidegroup.cn
"Shandong Dahai Synthetic Fiber Co., Ltd",4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Pee Vee Textiles Ltd,4,2.0,
Suryalakshmi Cotton Mills Ltd.,7,2.0,
Retailers and Brands,,,
Civil Society,,,
Suppliers and Manufacturers,,,
GRG Cotspin Pvt Ltd,7,2.0,www.grggroup.in
Reha Tekstil Dis Ticaret ve San A.S,9,3.0,
Erve Buying,Sourcing Agent,3.0,www.erve.com
Artistic Fabric and Garment Industries (Pvt.) Ltd,4,2.0,
Alok Industries Ltd.,4,2.0,
"JiangSu GTIG Eastar Co,Ltd",10,2.0,
Indus Group of Companies,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Amber Cotton Mills Ltd,7,2.0,
Beyteks Tekstil San. ve Tic. A.S.,4,2.0,
Oswal Woollen Mills Limited,4,2.0,
Celikaslan Tekstil San. ve Tic. A.S.,7,2.0,
Sindh Agro Industries,12,2.0,
Lotus Integrated Tex Park Ltd (Melange Unit),7,2.0,
Retailers and Brands,,,
Thomas Pink Ltd.,3,0.0,www.thomaspink.com
Suppliers and Manufacturers,,,
Ahmad Hassan Textile Mills Ltd.,7,2.0,
Jiangsu New Jinlan Textile Apparel Co. Ltd.,4,2.0,
Kikani Enterprises Pvt Ltd,10,3.0,
Memsa Tekstil Sanayi ve Ticaret LTD STI,12,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Antonio de Almeida & Filhos Texteis SA,7,2.0,www.moretextilegroup.com
"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",6,2.0,www.fzztfz.com
Lagnam Spintex Private Limited,7,2.0,
Chenniappa Yarn Spinners Pvt Ltd,7,2.0,www.chenniappa.com
"ZheJiang XinMian Textile Co.,Ltd",7,2.0,
Saif Textile Mills,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Chiem Patana Textiles Co. Ltd.,4,2.0,
Guangzhou Kangjian Textile and Clothing Co Ltd,6,2.0,
"Gildan Yarns, LLC",7,2.0,
XPCC No.5 Cotton&Linen Corp,12,2.0,
Sun Way International Trading Co. Ltd.,10,3.0,
Panther Textile Holding Co. Ltd. (Tat Fung Textile Co.),4,2.0,
Murat Yapi Tekstil San.Tic.A.S,7,2.0,
Yunus Textile Mills Ltd.,7,2.0,
Prasuna Vamsikrishna Spinning Mills Pvt Ltd,7,2.0,
Otto Stadtlander GmbH,12,2.0,
Raymond UCO Denim Pvt. Ltd.,4,2.0,
The Lakshmi Mills Company Ltd,7,2.0,www.lakshmimills.com
Shri Vallabh Pittie Industries Ltd,7,2.0,www.pittie.com
SVA Syntex Pvt Ltd,7,2.0,
Denim de L'Ile,4,2.0,
Kohinoor Mills Ltd,6,3.0,
Mem Tekstil Sanayi ve Ticaret A.S,4,2.0,
Eastern Spinning Mills Ltd,7,2.0,www.easterngroup-pk.com
"Yancheng Xue Er Textile co., Ltd",7,2.0,
Sri Sivajothi Spinning Mills Pvt Ltd,7,2.0,
"Taicang Longxin Textile Co.,Ltd",7,2.0,
"Tongxiang Chengnan Silk Spinning Co.,Ltd",7,2.0,
US Denim Mills Pvt. Ltd.,6,2.0,
Liberty Knitwear Ltd,9,3.0,
Sinha Spinning Group,7,2.0,
KAM International,9,2.0,
Sri Vaarri Spinning Mills,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Dhruv Cotton Processing Pvt. Ltd.,7,2.0,
Winsome Textile Industries Ltd.,7,2.0,
Iris Fabrics Ltd,6,3.0,
"Yixing Lucky Textiles Group Co., Ltd",6,2.0,
Grupo Industrial Miro SA de C V,4,2.0,www.grupomiro.com
NSL Textile Ltd.,4,2.0,
"Jiangsu Sunshine Textile Co.,Ltd",4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Kuk Il Spinning Co., Ltd",7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Jiangsu Sanfangxiang Industrial Stock Co.,Ltd",4,2.0,
"Gemma Knits (Thailand) Co., Ltd.",6,3.0,
Santaram Spinners Ltd.,12,2.0,
Zahidjee Textile Mills Limited,4,2.0,www.zahidjee.com.pk
Soktas Tekstil Sanayi ve Ticaret A.S.,4,2.0,
Shakthi Knitting Ltd,6,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Isil Tekstil San. ve Tic. Ltd. Sti.,4,2.0,
Navjyot International Trading Pvt. Ltd.,12,2.0,
Spot Tekstil San. ve Tic.,5,2.0,
Sree Santosh Garments,5,3.0,
"Black Peony Textile Co.,Ltd",4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Sichuan Tian Yi Textiles Co.,Ltd",7,2.0,
Pratibha Syntex Ltd.,4,2.0,
Nithin Textiles Pvt. Ltd.,7,2.0,
Abishek Industries Ltd./ Trident,4,2.0,
"Changzhou Mao qi textile co., LTD",7,2.0,
Machiyara Group,9,2.0,
Mahmud Group,4,2.0,
"Anhui Hanlian Textile co.,Ltd",7,2.0,
Vicunha Europe SARL,4,2.0,
Quality Textile Mills Ltd.,7,2.0,
S. B. T. Apparels Pvt Ltd,4,2.0,
Far Group,5,2.0,www.fargroupbd.com
Technocraft Industries Limited,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Nishat Mills,4,2.0,
Rameswar Udyog Pvt Ltd,4,2.0,
Buhler Group,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Tung Ho Textile Co.,Ltd",7,2.0,www.tungho.com.tw
Vallabh Textiles Company Ltd,4,2.0,www.vtcl.co.in
Civil Society,,,
Suppliers and Manufacturers,,,
Ayabe Co. Ltd,7,2.0,
Gaotang Hongtai Textile Limited Company,7,2.0,
Singhal Spintex Pvt. Ltd.,7,2.0,
Prabhu Spinning Mills Pvt. Ltd. - OE Division,7,2.0,
"Zhengzhou Chenglin Textile Co.,Ltd",4,2.0,
"Shandong Lichang Textile Science and Technology Co.,Ltd",4,2.0,
Super Sales India Ltd,7,2.0,www.supersales.co.in
Dongguang Yiming Textile Co.Ltd,4,2.0,
"Wuxi YGM Textile Co.,Ltd",4,2.0,
Marteks Maras Tekstil Sanayi A.S.,7,2.0,www.marteksmaras.com
Al - Karam Towel Industries (Pvt.) Ltd.,6,3.0,www.alkaramtowelindustries.com
Premier Tex Products Private Ltd.,7,2.0,
Sigma Spinning NV,7,2.0,
"Jiaozuo Haihua Textile Co.,Ltd",7,2.0,
FM Denim Co Ltd,4,2.0,
Shao Guan Shun Chang Weaving Factory Ltd,6,2.0,
Orteks Tekstil Urunleri San. ve Tic. A.S.,7,2.0,
Sadaqat Ltd.,6,3.0,
Sangeeth Textiles Pvt Ltd,7,2.0,
"DNM Textile for Spinning, Weaving and Dyeing",4,2.0,
"Turbo Yarn, S.A. de C.V.",7,2.0,www.turboyarn.com.mx
Rana Polycot Ltd,7,2.0,
Hateks Hatay Tekstil,4,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Wuxi JHT Homewares Co.,Ltd",9,2.0,
Plexus,12,2.0,
"Shandong Zhide Textile Company.,Ltd",4,2.0,
"Fujian Province Putian Tianlong Textile Co., Ltd.",,2.0,
Shahbaz Garments Pvt. Ltd.,7,2.0,
Tintex Textiles S.A.,9,3.0,
JinYuan HengBo Group,7,2.0,
"Kyungbang Vietnam Co., Ltd",7,2.0,Kyungbangvn.com
Aman Cotton Fibrous Limited,7,2.0,
"Zhejiang Zhuoyi Textile Co.,Ltd",7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"PiZhou Yinchao Textile Co.,Ltd",4,2.0,
Deniz Tekstil San. ve Tic. A.S.,4,2.0,
"Ningbo Shenzhou Knitting Co.,Ltd",5,2.0,
Orta Anadolu Tic.ve San. Isletmesi T.A.S,4,2.0,
"Omnicotton, Inc.",12,2.0,
Raghukaushal Textile Pvt Ltd,Garment Manufacturer,3.0,
NRG Hometex Ltd.,7,2.0,
"Weishi  Textile  Co.,Ltd.",5,2.0,www.wshtex.com
"Tianjin Tianfang Investment Holding Co.,Ltd",4,2.0,
"Jiangyin Kangni Textiles Co.,Ltd.",7,2.0,
Chin Hung Fibres Ltd,7,2.0,
Sorabh Traders,12,2.0,
Mandhana Industries Ltd.,6,3.0,
"Shandong Ruyi Technology Group Co., Ltd",4,2.0,
Kardem Tekstil San. ve Tic. AS,9,2.0,
"Wuhan Yudahua Textlie And Garment Group Co., Ltd.",4,2.0,http://www.yudahua.com.cn/
Grospinz Fabz Limited,7,2.0,
"Jining Delong Textile Co.,Ltd",4,2.0,
PT Indo-Rama Synthetics TBK.,4,2.0,
Jiangsu Lugang Science & Technology Co. Ltd.,4,2.0,
"Changzhou Jiekai Textile Co.,Ltd",7,2.0,
Dongguan UPW Ltd,7,2.0,
Changzhou Keteng Textile Co. Ltd.,12,2.0,
"Changzhou Qunda Textile Co. Ltd., Jiangsu Daoda Textile Technology Co. Ltd.",7,2.0,
Green House Ltd,7,2.0,
Bimeco Garnhandel,10,3.0,
K. T. Spinning Mills Pvt Ltd,7,2.0,
South Asia Textile Industries Lanka (Pvt) Ltd.,6,3.0,
Changzhou Wujin Mahang Yarn-Dyed Fabric Co. Ltd.,6,2.0,
"Ilshin Vietnam Co., Ltd",4,2.0,www.ilshinvn.com
Midland Knitwear Ltd,9,3.0,www.mfgbd.net
"Yangzhou Yitai Textile CO.,LTD.",7,2.0,
Alkas Spinning Mills Pvt Ltd,7,2.0,
Kikani Exports Pvt Ltd,4,2.0,www.kikaniexports.com
DBL Group,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Cotlink International,12,2.0,www.cotlinkcom.pk
Indo Count Group,4,2.0,
Anita's Textiles Ltd,6,2.0,
Delta Spinners Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Kyungbang Limited,4,2.0,www.kyungbang.co.kr
Anwara Mannan Textile Mills Limited,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
PT Kahatex,4,2.0,
Jiangsu Huabao Textile Group,7,2.0,
Textiles Camones S. A.,5,3.0,www.textilescamones.com
Bhuvneswari Cotspin India Pvt Ltd,4,2.0,
Sree Lalitha Parameswari Spinning Mills Pvt Ltd,7,2.0,
Asia Composite Mills Ltd,7,2.0,
Siruvani Yarns,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Gill & Co Pvt. Ltd.,12,2.0,
Sharmanji Yarns Pvt. Ltd.,7,2.0,
Omax Cotspin,7,2.0,
Winsome Yarns Ltd.,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Meezan Enterprises Pvt. Ltd.,12,2.0,
Sri Alamelu Ammal Mills India Pvt Ltd,7,2.0,
Azgard Nine Ltd,4,2.0,
"Danyang City Yongtai Textile CO., LTD",4,2.0,
Senthilkumar Textile Mills Pvt Ltd,7,2.0,
Menderes,7,2.0,
Saiham Cotton Mills Ltd.,7,2.0,
Tulip Towel Industries (Pvt) Ltd.,9,3.0,www.tuliptowel.com.pk
"Ningbo Zhongxin Wool Textile Group Co.,Ltd",7,2.0,
"Vilartex - Empresa de Malhas Vilarinho, Lda",6,3.0,
Envoy Textiles Ltd,7,2.0,www.envoytextiles.com
Bussa Tekstil ve Enerji Ltd.Sti,12,2.0,www.bussatekstil.com
Retailers and Brands,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Zaber & Zubair Fabrics Ltd.,4,2.0,
Olimpias Group srl,6,3.0,www.olimpias.com
DML World Trade Pvt Ltd,12,2.0,www.dmlgroup.in
SAF Mensucat  San. ve Tic. A.S.,4,2.0,
K G Denim Ltd,6,3.0,www.kgdenim.com
Ucak Tekstil Turizm A.S.,4,2.0,
Silteks Tekstil San Tic A.S,7,2.0,
Riaz Textile Mills Pvt. Ltd,7,2.0,
Thapar Group / JCT Ltd.,7,2.0,
PT Pacific Texindo Industry,7,2.0,
United Spinning Mills (Pvt) Ltd.,7,2.0,
Cofco Agri Ltd.,12,2.0,
Zhejiang Longyuan Textile Corporation Ltd.,7,2.0,
Syed Spinning & Cotton Mills Ltd.,7,2.0,
Societe de Developpement et des Fibres Textiles (SODEFITEX),11,2.0,
Shujabad Weaving Mills Ltd,6,2.0,
Sportking India Ltd.,7,2.0,
"Jing Chain Textile Shu Yang Co.,Ltd",7,2.0,
RMP Fab Sourcing Pvt Ltd,6,3.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Jiangsu Donghua Textile Co., Ltd",7,2.0,
Matrix Sourcing,9,3.0,
"Suwan Spinning & Weaving Co., Ltd.",4,2.0,
IFC,Financial Institutions,0.0,www.ifc.org
Yancheng Risheng Textile Logistics Co.Ltd,7,2.0,
"Yancheng Haicheng Cotton Industry Co.,Ltd",7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Loftex Industries Ltd.,,2.0,www.loftex.com.cn
Sandipkumar Dharmendrakumar,12,2.0,
"Changzhou Yingjie Environmental Technology Co., Ltd",4,2.0,
"Jiangyin Qiangli Textile Co.,Ltd",7,2.0,
ACS Textiles (Bangladesh) Ltd.,9,3.0,
Thien Nam Investment and Development Joint Stock Company,7,2.0,
Ravali Spinners Pvt Ltd,7,2.0,
RCMA Asia Pte Limited,12,2.0,
Matam Fibre Mills Ltd,7,2.0,
Gucbirligi Tekstil San. ve Tic. A.S.,7,2.0,
Crescent Fibres Limited,7,2.0,
Naveena Group of Industries,4,2.0,
Garg Acrylics Ltd.,7,2.0,
Pride Manufacturing de R.L.,4,2.0,www.grupokarimsyarn.com
Sustainable Textile and Agriculture Commodities (STAC) Pvt. Ltd.,12,2.0,
Heinrich Otto K.-G.,8,3.0,www.heinrichotto.com
Arvind Ltd.,4,2.0,
Marfani Denim Mills,4,2.0,
Reedisha Blended Yarn Ltd,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
TATA Group of Industries,7,2.0,
His Tekstil Sanayi ve Ticaret Ltd Sti,7,2.0,www.histekstil.com.tr
Elkins Tradelink Ltd.,12,2.0,
Ettlin Spinnerei und Weberei Productions GMBH & Co. KG,7,2.0,
Brastex S/A,4,2.0,www.gso.br/brastex/index.htm
"Suzhou Flying Fashions Co., Ltd",,2.0,
T C Terrytex Ltd,5,3.0,www.tctl.in
M.Y Bari Mills Pvt Ltd,5,3.0,www.barimills.com.pk
Norfil S/A Industria Textil,7,2.0,
Avaneetha Textiles Pvt. Ltd.,7,2.0,
Cotton Blossom (India) Pvt Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Jyotirmaye Textiles Pvt Ltd,7,2.0,
Mambo Commodities,12,2.0,
Grupo Mundifios,12,2.0,
Aarti International Ltd.,7,2.0,
Topkapi Iplik San. ve Tic. A.S.,7,2.0,
Impress-Newtex Composite Textiles Ltd,5,3.0,
Soorty Enterprises (Pvt.) Ltd.,4,2.0,
KKP Textiles Ltd.,7,2.0,
Ashik Composite Textile Mills Ltd.,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Sri Shanmugavel Mills Pvt. Ltd.,7,2.0,
Subarna Textile,7,2.0,
The Delta Spinning Mills Ltd,7,2.0,
"MCM Industrias Texteis, S.A.",4,2.0,
Spectrum International Pvt. Ltd.,12,2.0,
Idupulapadu Cotton Mills Pvt. Ltd.,7,2.0,
Mehmud Industries Pvt Ltd,7,2.0,
"Sunrise Spinning( Vietnam) Co.,Ltd",,2.0,
Balsuyu Mensucat San. ve Tic. A.S.,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Bafna Ginning & Pressing Pvt Ltd,12,2.0,
Sitaram Spinners Private Limited,7,2.0,
Artistic Denim Mills Ltd.,4,2.0,
Pak Kuwait Textiles Limited,7,2.0,
Adamjee Enterprises,9,3.0,
J.K Spinning Mills Ltd,7,2.0,
Davas Tekstil Sanayi Ticaret A.S,7,2.0,www.davastekstil.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Pioneer Knitwears (BD) Ltd,6,3.0,
Shandong Binzhou Nongxi Cotton Professional Cooperative,12,0.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Zouping Tongda Textile Co., Ltd.",7,2.0,
