Subtitle,"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
CIS,44932.0,,CIT 105-A0Z4,35,1,1,1,1,37,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44705.0,,0,6,5,0,10,6,5,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44897.0,,14,48,6,6,4,9,6,2.0,43696.0,43814.0
COMPUTER AIDED DRAFTING,44837.0,,CAD 100-A0ZL,33,1,1,1,1,34,1.0,43696.0,43814.0
ENGLISH,44887.0,7,ENG 101-A0E1,61,6,9,34,53,Jones,2.0,43696.0,43814.0
CIS,44950.0,,CIT 271-A0Z1,SQL II	,1,1,1,1,39,1.0,43696.0,43814.0
SOCIAL WORK,44955.0,6,SWK 275-A0Z1,The Family,1,1,1,1,82,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44412.0,,ELT 110-A0L1,53,10,5,36,46,56,2.0,43696.0,43814.0
ENGLISH,44789.0,7,ENG 101-A012,61,2,10,20,37,70,2.0,43696.0,43814.0
ENGLISH,44567.0,7,ENG 102-A004,62,0,10,20,56,71,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44767.0,,FYE 100-A013,64,5,19,23,49,60,2.0,43696.0,43814.0
CIS,44627.0,,CIT 180-A0Z1,Security Fundamentals,1,1,1,1,40,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44566.0,2,BIO 139-A0Z1,29,1,1,1,1,30,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44820.0,,BIO 139-A0YL,29,7,21,2,21,29,0.0,43696.0,43814.0
RADIOGRAPHY,44971.0,,DMI 106-A001,97,3,26,4,73,104,2.0,43696.0,43814.0
NURSING,44742.0,,NSG 225-A001,Pharmacology II,5,25,22,67,97,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44759.0,,FYE 100-A004,64,1,1,1,4,5,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44908.0,,IEC 235-A0Z1,Intro to Inclusive Education,1,1,1,1,83,1.0,43696.0,43814.0
ENGLISH,44575.0,0,ENG 105-A001,Writing: An Accelerated Course,0,0,0,36,67,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44604.0,,BAS 267-A0Z1,Introduction to Business Law,1,1,1,1,Carter,1.0,43696.0,43814.0
MATHEMATICS,44385.0,10,MAT 150-A0H2,76,0,15,17,23,88,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44705.0,,0,6,3,6,10,6,5,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44472.0,,IMT 150-A001,Maintaining Industrial Equip I,2,3,3,49,42,2.0,43696.0,43814.0
MATHEMATICS,44400.0,10,MAT 155-A001,Trigonometry,0,0,0,19,90,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45365.0,1,BIO 112-A0ZB,24,1,1,1,1,25,1.0,43759.0,43814.0
ENGLISH,45082.0,,ENG 100-A0HZ,60,1,1,1,1,66,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45357.0,,AGR 135-A001,Herbaceous Plant Production,4,1,1,4,10,2.0,43696.0,43814.0
WELDING,44507.0,,WLD 123-A001,Shield Metal Arc Wld GrooveLab,2,21,18,81,112,2.0,43696.0,43814.0
ENGLISH,44545.0,7,ENG 101-A006,61,0,14,21,39,48,2.0,43696.0,43814.0
NURSING,44733.0,,NSG 211-A001,86,6,26,4,68,95,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44603.0,,BAS 212-A0Z1,Intro to Financial Management,1,1,1,1,1,1.0,43696.0,43814.0
RELIGIOUS STUDIES,44595.0,11,REL 130-A0Z1,101,1,1,1,1,105,1.0,43696.0,43814.0
HISTORY,51389.0,0,HIS 101-A001,World Civilization I,0,10,20,59,81,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44719.0,,12,46,11,0,4,9,6,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,54063.0,,BIO 141-A0L1,30,3,10,3:50 PM,20,26,2.0,43696.0,43814.0
CIS,44616.0,,CIT 105-A004,35,2,5,24,27,7,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44830.0,,ELT 265-A0E1,57,0,17,5:50 PM,49,42,2.0,43696.0,43814.0
HISTORY,44655.0,0,HIS 108-A0Z1,67,1,1,1,1,78,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44716.0,,5,12,6,12,15,5,8,2.0,43696.0,43814.0
WELDING,45004.0,,WLD 152-A0E1,109,0,4,7:45 PM,80,12,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44438.0,,EET 265-A002,52,2,3,3,45,53,2.0,43696.0,43814.0
GEOLOGICAL SCIENCES,54072.0,1,GLY 110-A001,Environmental Geology,0,5,24,16,22,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44894.0,,OST 160-A001,Records & Database Mgmt.,2,19,23,27,7,2.0,43696.0,43814.0
RADIOGRAPHY,45374.0,,DMI 214-A0L1,100,6,3,11,73,14,2.0,43696.0,43814.0
COMMUNICATIONS,44509.0,4,COM 252-A003,43,2,15,17,38,45,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44420.0,,ELT 210-A0L1,56,2,3,41,46,56,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45104.0,,BAS 282-A0ZB,22,1,1,1,1,20,1.0,43759.0,43814.0
POLITICAL SCIENCE,44926.0,6,POL 101-A002,92,0,0,0,41,77,2.0,43696.0,43814.0
 ACCOUNTING ,44601.0,,ACT 101-A0Z1,Fundamentals of Accounting I,1,1,1,1,1,1.0,43696.0,43751.0
ENGLISH,44939.0,0,ENG 190-A001,Intro to Dystopian Literature,2,0,0,36,64,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44443.0,,IMT 110-A086,Industrial Maint Electric Prin,0,26,32,60,84,2.0,43696.0,43814.0
NURSING ASSISTANT,44702.0,,NAA 100-A0Y1,84,6,16,31,65,93,0.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44553.0,1,BIO 121-A001,Introduction to Ecology Lab,6,6,26,20,26,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44640.0,3,BIO 151-A001,Principles of Biology Lab I,0,15,14,24,24,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44982.0,,13,47,5,0,10,9,6,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44528.0,,AGR 240-A001,18,2,16,19,11,13,2.0,43696.0,43814.0
ART ,44474.0,0,ART 100-A001,20,2,10,20,13,16,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44606.0,,BIO 137-A0L3,28,3,5,27,21,30,2.0,43696.0,43814.0
ENGLISH,44542.0,7,ENG 101-A003,61,0,19,23,55,69,2.0,43696.0,43814.0
MATHEMATICS,44384.0,,MAT 100-A0H2,75,0,32,46,23,88,2.0,43696.0,43814.0
CIS,44617.0,,CIT 105-A005,35,2,10,20,27,7,2.0,43696.0,43814.0
PHYSICS,44873.0,3,PHY 202-A0E1,College Physics I Laboratory,5,9,7:30 PM,22,18,2.0,43696.0,43814.0
PSYCHOLOGY,44772.0,6,PSY 110-A0Z1,94,1,1,1,1,96,1.0,43696.0,43814.0
MATHEMATICS,44401.0,,MAT 205-A001,Math Elem/Middle SchoolTeach I,0,15,17,61,86,2.0,43696.0,43814.0
MATHEMATICS,55585.0,,MAT 126S-A0M2,73,0,32,46,63,89,2.0,43696.0,43814.0
CIS,44629.0,,CIT 217-A0Z1,UNIX/Linux Administration,1,1,1,1,40,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45025.0,2,BIO 139-A002,29,2,15,17,18,31,2.0,43696.0,43814.0
ENGLISH,45083.0,,ENG 100-A0ZH,60,1,1,1,1,67,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44715.0,,8,15,6,9,6,6,8,2.0,43696.0,43814.0
MUSIC,44940.0,0,MUS 222-A001,83,2,19,23,38,92,2.0,43696.0,43814.0
MEDICAL ASSISTING,45019.0,,MAI 105-A001,Introduction Medical Assisting,2,0,0,64,49,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44426.0,,EET 275-A001,Electrical Motor Controls Lab,10,28,20,43,55,2.0,43696.0,43814.0
CIS,45397.0,,CIT 293-A0Z1,CIT Employability Studies,1,1,1,1,39,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45008.0,,ADX 260-A0E1,10,3,8,12,5,8,2.0,43696.0,43814.0
ENGLISH,44573.0,7,ENG 102-A0Z1,62,1,1,1,1,69,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44442.0,,EET 151-A0Y1,Transformers Lab,6,4:30 PM,13,43,53,0.0,43696.0,43814.0
WELDING,60366.0,,21,106,0,0.770833333,0.895833333,78,111,2.0,43696.0,43814.0
PSYCHOLOGY,44684.0,6,PSY 110-A0Z2,94,1,1,1,1,101,1.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44673.0,,OST 225-A0Z1,Intro to Desktop Publishing,1,1,1,1,98,1.0,43696.0,43814.0
ENGLISH,44572.0,7,ENG 102-A006,62,2,19,23,13,69,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,60213.0,,BAS 160-A0ZM,21,,1,,1,20,1.0,43724.0,43785.0
MATHEMATICS,55583.0,,MAT 126S-A0H2,73,2,30,45,62,87,2.0,43696.0,43814.0
PSYCHOLOGY,44681.0,6,PSY 110-A006,94,2,5,24,72,102,2.0,43696.0,43814.0
PHILOSOPHY,44590.0,0,PHI 120-A001,Introductory Logic,0,5,24,55,99,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46368.0,,EMS 235-A003,59,3,15,12,52,62,2.0,43696.0,43814.0
ENGLISH,44560.0,7,ENG 101-A0Z2,61,1,1,1,1,71,1.0,43696.0,43814.0
COMMUNICATIONS,44821.0,,COM 284-A001,42,1,1,1,36,44,2.0,43696.0,43814.0
THEATRE,44776.0,,THA 193-A001,Performance Practicum,4,1,1,4,109,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,45109.0,,ELT 289-A0B2,Engineering Electr Tech Capstn,4,1,1,4,56,2.0,43759.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45361.0,,AGR 275-A001,Value Added Production,4,1,1,4,11,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44770.0,,FYE 100-A016,64,5,19,23,59,Thomas,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44456.0,,CMM 114-A001,38,10,24,38,31,41,2.0,43696.0,43814.0
MATHEMATICS,44388.0,10,MAT 150-A0H4,76,2,0,0,41,85,2.0,43696.0,43814.0
PSYCHOLOGY,44683.0,6,PSY 110-A0E1,94,7,9,34,66,11,2.0,43696.0,43814.0
NURSING,44734.0,,NSG 211-A0L1,86,6,2,14,69,94,2.0,43696.0,43814.0
CIS,45376.0,,CIT 105-A0ZB,35,1,1,1,1,21,1.0,43759.0,43814.0
CIS,45101.0,,CIT 213-A0B1,Microsoft Client Configuration,5,14,37,30,38,2.0,43696.0,43751.0
NURSING,44721.0,,NSG 101-A0L1,85,8,7,30,67,94,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44778.0,,FYE 100-A008,64,6,19,23,37,67,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44825.0,,AGR 150-A0L1,17,4,1,1,4,12,2.0,43696.0,43814.0
NURSING,44738.0,,NSG 213-A0C1,87,4,1,1,70,95,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44416.0,,ELT 110-A0L6,53,0,11,8:30 PM,46,56,2.0,43696.0,43814.0
ENGLISH,44559.0,7,ENG 101-A0Z1,61,1,1,1,1,Bruner,1.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44671.0,,MIT 295-A001,80,4,1,1,4,43,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55363.0,,4,13,7,7,11,6,7,2.0,43696.0,43814.0
CIS,45394.0,,CIT 120-A002,37,2,19,23,28,39,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44811.0,,CRJ 216-A001,Criminal Law,0,19,23,40,50,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45368.0,,BIO 137-A0L6,28,7,22,29,21,28,2.0,43696.0,43814.0
COMMUNICATIONS,44516.0,5,COM 254-A002,44,2,10,20,35,47,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44556.0,,BIO 137-A0L1,28,3,19,8,22,29,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44594.0,11,REL 130-A0Z2,101,1,1,1,1,71,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44415.0,,ELT 110-A0E1,53,0,9,13,46,56,2.0,43696.0,43814.0
COMMUNICATIONS,61183.0,4,10,43,1,1,1,1,Fancher,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59917.0,,ELT 210-A002,56,2,29,2,48,59,2.0,43696.0,43814.0
HISTORY,44651.0,0,HIS 104-A0Z1,65,1,1,1,1,81,1.0,43696.0,43814.0
NURSING,44736.0,,18,87,7,6,33,67,95,2.0,43696.0,43814.0
PSYCHOLOGY,44692.0,6,PSY 298-A0Z1,Essentials Abnormal Psychology,1,1,1,1,96,1.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44670.0,,MIT 224-A0Z1,Medical Practice Management,1,1,1,1,91,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44558.0,2,BIO 139-A001,29,0,0,0,18,28,2.0,43696.0,43814.0
SURGICAL TECHNOLOGY,44407.0,,SUR 130-A001,Prin Surgical Pharmacology,12,19,10,74,108,2.0,43696.0,43814.0
ART ,45124.0,,ART 241-A001,Ceramics II,2,5,24,15,17,2.0,43696.0,43814.0
ENGLISH,44539.0,7,ENG 101-A0ZH,61,1,1,1,1,67,1.0,43696.0,43814.0
CIS,45393.0,,CIT 111-A003,36,2,15,35,29,38,2.0,43696.0,43814.0
NURSING,44736.0,,18,87,5,15,11,68,95,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44600.0,,BIO 139-A0LY,29,6,21,2,22,32,2.0,43696.0,43814.0
ENGLISH,44861.0,7,ENG 101-A0HZ,61,1,1,1,1,66,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44703.0,,ADX 120-A001,Basic Automotive Electricity,0,0,9,5,5,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44709.0,,1,7,6,6,4,7,5,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44886.0,,HFL 240-A0Z1,Maintenance and Operations II,1,1,1,1,80,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45115.0,,BAS 270-A0ZB,Business Employability Seminar,1,1,1,1,21,1.0,43759.0,43793.0
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46291.0,,16,63,S,0,5:00 PM,57,73,2.0,43696.0,43814.0
COMMUNICATIONS,44517.0,5,COM 254-A0Z1,44,1,1,1,1,46,1.0,43696.0,43814.0
NURSING,44737.0,,NSG 213-A0L1,87,7,7,3,69,95,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44898.0,,FYE 100-A006,64,6,19,23,39,76,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44419.0,,ELT 210-A001,56,2,29,2,46,56,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44747.0,,ACR 101-A001,3,2,3,3,3,2,2.0,43696.0,43814.0
ENGLISH,44976.0,8,ENG 282-A001,International Film Studies,0,0,0,38,71,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44749.0,,ACR 131-A001,Electrical Components Lab,2,5:20 PM,6,3,2,2.0,43696.0,43814.0
NUTRITION AND FOOD SCIENCE,44450.0,,NFS 101-A0Z1,Human Nutrition & Wellness,1,1,1,1,Foster,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44424.0,,EET 255-A001,Electrical Construction Lab,10,9:05 AM,40,45,55,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44473.0,,IMT 151-A001,Maintaining Indust Equip I Lab,2,8,21,50,42,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59918.0,,ELT 210-A0L2,56,2,3,41,48,59,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45106.0,,BAS 284-A0ZB,Applied Management Skills,1,1,1,1,20,1.0,43759.0,43814.0
BIOLOGICAL SCIENCES,44646.0,,BIO 227-A0L1,32,0,6,33,25,24,2.0,43696.0,43814.0
 ACCOUNTING ,45364.0,,ACC 201-A0Z2,0,1,1,1,1,1,1.0,43759.0,43814.0
MATHEMATICS,45427.0,10,MAT 141-A001,74,2,5,24,61,86,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44663.0,,IEC 101-A0Z1,Orient to Early Childhood Ed,1,1,1,1,83,1.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44535.0,,HFL 260-A0Z1,Healthcare Fac Leadrshp Cap I,1,1,1,1,80,1.0,43696.0,43814.0
PHYSICS,45002.0,,PHY 201-A0EL,91,1,1,1,4,18,2.0,43696.0,43814.0
STATISTICS,44403.0,10,STA 220-A002,104,0,19,23,62,107,2.0,43696.0,43814.0
KINESIOLOGY AND HEALTH PROMOTION,45096.0,,KHP 100-A0ZB,70,1,1,1,1,76,1.0,43696.0,43751.0
PSYCHOLOGY,44685.0,6,PSY 110-A0Z3,94,1,1,1,1,103,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44538.0,1,BIO 113-A001,25,3,6,26,20,26,2.0,43696.0,43814.0
ENERGY SYSTEMS,44840.0,,ESP 101-A0Z1,Introduction to Energy Systems,1,1,1,1,54,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44434.0,1,BIO 112-A003,24,2,5,24,19,22,2.0,43696.0,43814.0
COMMUNICATIONS,44498.0,4,COM 181-A0Z1,41,1,1,1,1,Bryant,1.0,43696.0,43814.0
HISTORY,44652.0,0,HIS 105-A001,66,2,5,24,59,81,2.0,43696.0,43814.0
ENGLISH,45079.0,,ENG 100-A0H1,60,0,9:55 AM,29,53,64,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44884.0,,CMM 124-A001,Applied Machining,10,24,31,ATC213,42,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44550.0,1,BIO 120-A0Z1,26,1,1,1,1,26,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44773.0,,AGR 240-A0L1,18,1,1,1,11,13,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45360.0,,AGR 215-A001,Weed Management,4,1,1,4,10,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45362.0,,AGR 285-A0Z1,Farm Financial Management,1,1,1,1,11,1.0,43696.0,43814.0
ECONOMICS,44637.0,6,ECO 201-A0Z1,49,1,1,1,1,51,1.0,43696.0,43814.0
WELDING,44519.0,,WLD 151-A0L2,108,0,12:00 AM,12:00 AM,HC102,12,2.0,43696.0,43814.0
MATHEMATICS,44377.0,10,MAT 126-A001,72,0,5,24,61,86,2.0,43696.0,43814.0
PHILOSOPHY,44589.0,0,PHI 110-A0Z1,90,1,1,1,1,99,1.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46366.0,,EMS 235-A001,59,3,15,12,52,60,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44753.0,,ACR 299-A001,5,4,1,1,4,2,2.0,43696.0,43814.0
ART ,44475.0,0,ART 100-A0Z1,20,1,1,1,1,16,1.0,43696.0,43814.0
DIESEL TECHNOLOGY,44719.0,,12,46,7,7,30,9,6,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44897.0,,14,48,7,0,10,9,6,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55240.0,,ADX 260-A001,10,3,0,9,10,7,2.0,43696.0,43814.0
COMMUNICATIONS,44488.0,4,COM 181-A008,41,2,5,24,33,44,2.0,43696.0,43814.0
SOCIOLOGY,44693.0,6,SOC 101-A001,102,0,5,24,71,106,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,54060.0,2,BIO 141-A001,30,0,15,17,19,26,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44766.0,,FYE 100-A012,64,5,19,23,36,75,2.0,43696.0,43814.0
WELDING,44744.0,,WLD 151-A001,108,2,2,44,70,114,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,58176.0,,MIT228-A0Z1,Electornic Medical Records,,1,,1,43,1.0,43696.0,43814.0
CIS,44613.0,,CIT 105-A002,35,0,19,23,27,7,2.0,43696.0,43814.0
RADIOGRAPHY,45108.0,,DMI 110-A0B2,Clinical Practicum I,4,1,1,4,14,2.0,43759.0,43814.0
RELIGIOUS STUDIES,54102.0,0,REL 121-A001,Introduction the New Testament,0,19,23,56,9,2.0,43696.0,43814.0
ENGLISH,44557.0,7,ENG 101-A011,61,2,15,17,37,67,2.0,43696.0,43814.0
ENGLISH,44525.0,7,ENG 101-A0H3,61,2,0,0,53,65,2.0,43696.0,43814.0
 ACCOUNTING ,45091.0,,ACC 201-A0ZB,0,1,1,1,1,1,1.0,43696.0,43751.0
FRENCH LANGUAGE AND LITERATURE,44577.0,9,FRE 101-A0Z1,Elemen French I,1,1,1,1,72,1.0,43696.0,43814.0
 ACCOUNTING ,45090.0,,ACC 201-A0BY,0,0,0,0,0,0,0.0,43696.0,43751.0
COMMUNICATIONS,44513.0,4,10,43,1,1,1,1,46,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44757.0,,FYE 100-A002,64,5,19,23,49,74,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44896.0,,DIT 152-A001,Powertrain Construction Equip,6,0,9,8,6,2.0,43696.0,43814.0
NURSING,44740.0,,NSG 230-A0L1,89,7,1,1,4,97,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44854.0,,ACR 112-A001,Sheet Metal Fabrication,2,0,4,2,4,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44669.0,,MIT 217-A0Z1,79,1,1,1,1,43,1.0,43759.0,43814.0
CIS,44622.0,,CIT 105-A0Z3,35,1,1,1,1,21,1.0,43696.0,43751.0
ENGINEERING TECHNOLOGY,44445.0,,ELT 265-A001,57,0,15,2,49,42,2.0,43696.0,43814.0
WELDING,44494.0,,WLD 221-A001,Welding Certification Lab,2,15,11,80,113,2.0,43696.0,43814.0
COOPERATIVE EDUCATION,44630.0,,COE 199-A001,Cooperative Education,1,1,1,4,43,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44427.0,,EET 276-A001,Programmable Logic Controllers,0,16,7,43,53,2.0,43696.0,43814.0
WELDING,44490.0,,WLD 171-A001,Blueprint Reading/Welding Lab,10,7:45 AM,19,80,113,2.0,43696.0,43814.0
CHEMISTRY,44431.0,1,9,34,2,0,0,17,35,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44915.0,,BIO 135-A0YL,27,6,19,8,21,28,0.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44665.0,,IEC 170-A0Z1,Observation and Assessment,1,1,1,1,83,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44537.0,1,BIO 112-A0Z1,24,1,1,1,1,25,1.0,43696.0,43814.0
HISTORY,44657.0,0,HIS 109-A0Z1,68,1,1,1,1,78,1.0,43696.0,43814.0
