cuisine_style,ranking,rating,reviews_number
 European,1623.0,3.5,10.0
Mediterranean,916.0,4.5,111.0
 Fusion,916.0,4.5,111.0
 International,916.0,4.5,111.0
 Vegan Options,916.0,4.5,111.0
European,321.0,4.0,82.0
unknown,3240.0,3.5,7.0
Seafood,4725.0,4.5,58.0
 Delicatessen,4725.0,4.5,58.0
 Healthy,4725.0,4.5,58.0
 Mediterranean,4725.0,4.5,58.0
 Gluten Free Options,4725.0,4.5,58.0
Italian,1850.0,4.5,241.0
 Vegetarian Friendly,1850.0,4.5,241.0
 Vegan Options,1850.0,4.5,241.0
 Gluten Free Options,1850.0,4.5,241.0
unknown,2373.0,2.0,NaN
Cafe,1111.0,5.0,3.0
 Fast Food,1111.0,5.0,3.0
 British,1111.0,5.0,3.0
 Delicatessen,1111.0,5.0,3.0
unknown,6615.0,3.5,25.0
French,11959.0,3.5,4.0
European,3369.0,5.0,NaN
 Portuguese,3369.0,5.0,NaN
German,6060.0,3.0,222.0
 Austrian,6060.0,3.0,222.0
 European,6060.0,3.0,222.0
 Central European,6060.0,3.0,222.0
 Vegetarian Friendly,6060.0,3.0,222.0
Italian,5448.0,3.5,73.0
 Pizza,5448.0,3.5,73.0
 Mediterranean,5448.0,3.5,73.0
 European,5448.0,3.5,73.0
 Vegetarian Friendly,5448.0,3.5,73.0
Belgian,2925.0,2.0,193.0
 Seafood,2925.0,2.0,193.0
 European,2925.0,2.0,193.0
French,9031.0,4.5,2.0
European,1816.0,3.5,82.0
 Hungarian,1816.0,3.5,82.0
 Steakhouse,1816.0,3.5,82.0
 Pub,1816.0,3.5,82.0
 Central European,1816.0,3.5,82.0
Thai,7018.0,4.0,30.0
Fast Food,11638.0,4.0,14.0
 Turkish,11638.0,4.0,14.0
 Middle Eastern,11638.0,4.0,14.0
 Mediterranean,11638.0,4.0,14.0
 Halal,11638.0,4.0,14.0
unknown,5339.0,4.0,9.0
Asian,8.0,4.5,675.0
 Indonesian,8.0,4.5,675.0
 Vegetarian Friendly,8.0,4.5,675.0
 Vegan Options,8.0,4.5,675.0
 Gluten Free Options,8.0,4.5,675.0
unknown,13198.0,3.5,7.0
Cafe,11531.0,4.0,20.0
 Vegetarian Friendly,11531.0,4.0,20.0
European,895.0,3.5,502.0
 Eastern European,895.0,3.5,502.0
 Hungarian,895.0,3.5,502.0
 International,895.0,3.5,502.0
 Vegetarian Friendly,895.0,3.5,502.0
American,12991.0,3.0,7.0
 French,12991.0,3.0,7.0
European,2327.0,4.5,16.0
 Portuguese,2327.0,4.5,16.0
Italian,4345.0,3.5,14.0
 Pizza,4345.0,3.5,14.0
French,269.0,4.0,81.0
 European,269.0,4.0,81.0
 Gastropub,269.0,4.0,81.0
 Pub,269.0,4.0,81.0
 Vegetarian Friendly,269.0,4.0,81.0
 Vegan Options,269.0,4.0,81.0
Japanese,72.0,4.5,545.0
 Seafood,72.0,4.5,545.0
 Sushi,72.0,4.5,545.0
 Asian,72.0,4.5,545.0
 Fusion,72.0,4.5,545.0
 Vegetarian Friendly,72.0,4.5,545.0
 Vegan Options,72.0,4.5,545.0
 Gluten Free Options,72.0,4.5,545.0
unknown,5798.0,2.5,12.0
unknown,8260.0,4.5,14.0
Fast Food,11626.0,3.0,165.0
 Mediterranean,11626.0,3.0,165.0
 Greek,11626.0,3.0,165.0
Italian,171.0,4.5,859.0
 Mediterranean,171.0,4.5,859.0
 European,171.0,4.5,859.0
 Vegetarian Friendly,171.0,4.5,859.0
 Vegan Options,171.0,4.5,859.0
 Gluten Free Options,171.0,4.5,859.0
Pub,2094.0,4.5,15.0
 Cafe,2094.0,4.5,15.0
Seafood,3039.0,4.0,7.0
Italian,1595.0,4.0,68.0
 Bar,1595.0,4.0,68.0
 Gastropub,1595.0,4.0,68.0
 Vegetarian Friendly,1595.0,4.0,68.0
 Gluten Free Options,1595.0,4.0,68.0
Bar,1483.0,4.0,52.0
 European,1483.0,4.0,52.0
 Czech,1483.0,4.0,52.0
 Central European,1483.0,4.0,52.0
 Pub,1483.0,4.0,52.0
 Eastern European,1483.0,4.0,52.0
Italian,692.0,4.5,19.0
unknown,6038.0,2.5,3.0
French,341.0,4.5,846.0
 European,341.0,4.5,846.0
 British,341.0,4.5,846.0
 Vegetarian Friendly,341.0,4.5,846.0
 Vegan Options,341.0,4.5,846.0
 Gluten Free Options,341.0,4.5,846.0
Dutch,553.0,4.0,214.0
 Cafe,553.0,4.0,214.0
 European,553.0,4.0,214.0
 Vegetarian Friendly,553.0,4.0,214.0
 Vegan Options,553.0,4.0,214.0
 Gluten Free Options,553.0,4.0,214.0
African,723.0,4.0,37.0
 Bar,723.0,4.0,37.0
 Barbecue,723.0,4.0,37.0
 Grill,723.0,4.0,37.0
 Pub,723.0,4.0,37.0
 Fusion,723.0,4.0,37.0
 Wine Bar,723.0,4.0,37.0
Italian,105.0,4.5,490.0
 Pizza,105.0,4.5,490.0
 Street Food,105.0,4.5,490.0
 Vegetarian Friendly,105.0,4.5,490.0
 Vegan Options,105.0,4.5,490.0
 Gluten Free Options,105.0,4.5,490.0
Cafe,6307.0,5.0,2.0
 European,6307.0,5.0,2.0
 Contemporary,6307.0,5.0,2.0
Mediterranean,2881.0,4.0,78.0
unknown,5212.0,5.0,8.0
British,15905.0,5.0,2.0
unknown,5878.0,4.0,NaN
Spanish,6783.0,3.5,62.0
 Mediterranean,6783.0,3.5,62.0
French,4987.0,4.5,33.0
 European,4987.0,4.5,33.0
unknown,11047.0,3.5,3.0
Spanish,4733.0,4.0,6.0
 Argentinean,4733.0,4.0,6.0
 South American,4733.0,4.0,6.0
unknown,12251.0,3.5,4.0
Vegetarian Friendly,5614.0,3.5,18.0
Chinese,3048.0,3.0,37.0
 Asian,3048.0,3.0,37.0
Peruvian,299.0,4.5,111.0
 Latin,299.0,4.5,111.0
 Vegetarian Friendly,299.0,4.5,111.0
 Gluten Free Options,299.0,4.5,111.0
 Vegan Options,299.0,4.5,111.0
Italian,4525.0,4.5,11.0
 Pizza,4525.0,4.5,11.0
Italian,4240.0,4.5,3.0
International,3076.0,3.5,13.0
 Mediterranean,3076.0,3.5,13.0
 Healthy,3076.0,3.5,13.0
 Portuguese,3076.0,3.5,13.0
unknown,1848.0,4.5,6.0
American,4888.0,3.5,433.0
 Italian,4888.0,3.5,433.0
 Mexican,4888.0,3.5,433.0
 Chinese,4888.0,3.5,433.0
 Indian,4888.0,3.5,433.0
 Vegetarian Friendly,4888.0,3.5,433.0
 Halal,4888.0,3.5,433.0
 Vegan Options,4888.0,3.5,433.0
 Gluten Free Options,4888.0,3.5,433.0
Italian,2335.0,4.5,10.0
unknown,1445.0,4.0,8.0
British,9970.0,4.0,33.0
Mediterranean,7655.0,1.5,889.0
 Spanish,7655.0,1.5,889.0
unknown,1271.0,4.5,7.0
Lebanese,10264.0,4.0,31.0
 Middle Eastern,10264.0,4.0,31.0
 Mediterranean,10264.0,4.0,31.0
 Halal,10264.0,4.0,31.0
International,6290.0,3.5,32.0
 Mediterranean,6290.0,3.5,32.0
Italian,705.0,4.5,127.0
 Mediterranean,705.0,4.5,127.0
 European,705.0,4.5,127.0
 Wine Bar,705.0,4.5,127.0
 Vegetarian Friendly,705.0,4.5,127.0
 Vegan Options,705.0,4.5,127.0
French,13410.0,2.5,5.0
Indian,9052.0,5.0,2.0
Mediterranean,615.0,4.0,1340.0
 European,615.0,4.0,1340.0
 Spanish,615.0,4.0,1340.0
 Vegetarian Friendly,615.0,4.0,1340.0
 Vegan Options,615.0,4.0,1340.0
 Gluten Free Options,615.0,4.0,1340.0
Asian,1744.0,3.0,29.0
 Thai,1744.0,3.0,29.0
 Chinese,1744.0,3.0,29.0
 Fusion,1744.0,3.0,29.0
 Singaporean,1744.0,3.0,29.0
 Vegetarian Friendly,1744.0,3.0,29.0
European,194.0,4.5,221.0
 Eastern European,194.0,4.5,221.0
 Central European,194.0,4.5,221.0
 Hungarian,194.0,4.5,221.0
 Vegetarian Friendly,194.0,4.5,221.0
 Vegan Options,194.0,4.5,221.0
 Gluten Free Options,194.0,4.5,221.0
Cafe,1115.0,4.0,135.0
 European,1115.0,4.0,135.0
 Dutch,1115.0,4.0,135.0
 Vegetarian Friendly,1115.0,4.0,135.0
unknown,5069.0,4.5,33.0
unknown,2029.0,2.5,3.0
unknown,618.0,4.5,8.0
unknown,3890.0,3.0,63.0
French,7.0,4.5,449.0
 European,7.0,4.5,449.0
 Vegetarian Friendly,7.0,4.5,449.0
International,2594.0,3.0,35.0
 European,2594.0,3.0,35.0
 Grill,2594.0,3.0,35.0
Bar,5991.0,4.0,74.0
 British,5991.0,4.0,74.0
 Pub,5991.0,4.0,74.0
 Gluten Free Options,5991.0,4.0,74.0
Eastern European,134.0,4.5,1659.0
 Central European,134.0,4.5,1659.0
Mediterranean,4948.0,4.5,79.0
 Turkish,4948.0,4.5,79.0
 Barbecue,4948.0,4.5,79.0
 Middle Eastern,4948.0,4.5,79.0
 Halal,4948.0,4.5,79.0
 Vegetarian Friendly,4948.0,4.5,79.0
Indian,1817.0,5.0,4.0
 Asian,1817.0,5.0,4.0
 Nepali,1817.0,5.0,4.0
Italian,10630.0,3.5,14.0
 Mediterranean,10630.0,3.5,14.0
Cafe,1121.0,4.0,14.0
unknown,1803.0,4.0,13.0
Bar,346.0,4.0,250.0
 Mediterranean,346.0,4.0,250.0
 European,346.0,4.0,250.0
 Portuguese,346.0,4.0,250.0
 Vegetarian Friendly,346.0,4.0,250.0
Cafe,1153.0,5.0,7.0
Italian,683.0,4.0,66.0
 Mediterranean,683.0,4.0,66.0
 European,683.0,4.0,66.0
Chinese,3746.0,4.0,88.0
 Asian,3746.0,4.0,88.0
 Vegetarian Friendly,3746.0,4.0,88.0
 Vegan Options,3746.0,4.0,88.0
 Gluten Free Options,3746.0,4.0,88.0
European,1919.0,4.5,76.0
 British,1919.0,4.5,76.0
European,3721.0,3.0,NaN
 Czech,3721.0,3.0,NaN
Spanish,2140.0,4.0,27.0
Mexican,8079.0,4.0,29.0
 Fast Food,8079.0,4.0,29.0
 Latin,8079.0,4.0,29.0
 Spanish,8079.0,4.0,29.0
 South American,8079.0,4.0,29.0
 Central American,8079.0,4.0,29.0
 Vegetarian Friendly,8079.0,4.0,29.0
 Vegan Options,8079.0,4.0,29.0
unknown,15352.0,3.0,3.0
Steakhouse,644.0,3.5,78.0
 American,644.0,3.5,78.0
 Bar,644.0,3.5,78.0
 Grill,644.0,3.5,78.0
Sushi,1483.0,4.0,9.0
 Japanese,1483.0,4.0,9.0
European,1652.0,4.0,28.0
 Portuguese,1652.0,4.0,28.0
Italian,277.0,4.0,444.0
 Mediterranean,277.0,4.0,444.0
 Vegetarian Friendly,277.0,4.0,444.0
 Gluten Free Options,277.0,4.0,444.0
Fast Food,2244.0,4.0,22.0
 Turkish,2244.0,4.0,22.0
 Middle Eastern,2244.0,4.0,22.0
Italian,2650.0,3.5,255.0
 Seafood,2650.0,3.5,255.0
 Mediterranean,2650.0,3.5,255.0
 Soups,2650.0,3.5,255.0
Italian,1278.0,4.5,13.0
 Mediterranean,1278.0,4.5,13.0
unknown,8123.0,2.5,5.0
Italian,2014.0,4.5,76.0
 Mediterranean,2014.0,4.5,76.0
 European,2014.0,4.5,76.0
 Pizza,2014.0,4.5,76.0
 Cafe,2014.0,4.5,76.0
 Wine Bar,2014.0,4.5,76.0
 Vegetarian Friendly,2014.0,4.5,76.0
 Vegan Options,2014.0,4.5,76.0
Mediterranean,1348.0,4.0,231.0
 European,1348.0,4.0,231.0
 Spanish,1348.0,4.0,231.0
 Gluten Free Options,1348.0,4.0,231.0
Seafood,1158.0,4.0,167.0
 Mediterranean,1158.0,4.0,167.0
 European,1158.0,4.0,167.0
 Gluten Free Options,1158.0,4.0,167.0
 Vegetarian Friendly,1158.0,4.0,167.0
Mexican,735.0,4.0,16.0
 American,735.0,4.0,16.0
Pizza,123.0,4.0,471.0
 Italian,123.0,4.0,471.0
 Vegetarian Friendly,123.0,4.0,471.0
 Vegan Options,123.0,4.0,471.0
Bar,14110.0,3.5,4.0
 British,14110.0,3.5,4.0
 Pub,14110.0,3.5,4.0
unknown,3255.0,3.5,3.0
Portuguese,2664.0,4.5,3.0
unknown,1741.0,4.0,8.0
Vietnamese,2481.0,4.5,17.0
unknown,4298.0,5.0,NaN
unknown,1247.0,4.5,3.0
Mexican,3657.0,4.0,225.0
 Fast Food,3657.0,4.0,225.0
 Central American,3657.0,4.0,225.0
 Gluten Free Options,3657.0,4.0,225.0
Italian,841.0,4.0,597.0
unknown,829.0,4.5,29.0
unknown,866.0,4.5,16.0
French,1280.0,3.0,NaN
 Mediterranean,1280.0,3.0,NaN
 European,1280.0,3.0,NaN
unknown,1705.0,4.5,5.0
European,1831.0,3.0,18.0
German,1935.0,3.5,51.0
 European,1935.0,3.5,51.0
 Central European,1935.0,3.5,51.0
 Bar,1935.0,3.5,51.0
 Pub,1935.0,3.5,51.0
French,87.0,4.5,633.0
 European,87.0,4.5,633.0
 Vegetarian Friendly,87.0,4.5,633.0
Belgian,13996.0,3.0,135.0
Steakhouse,714.0,4.5,12.0
Bar,7387.0,3.5,48.0
 British,7387.0,3.5,48.0
 Pub,7387.0,3.5,48.0
 Gastropub,7387.0,3.5,48.0
unknown,5121.0,4.0,NaN
unknown,7156.0,3.5,29.0
Bar,1682.0,4.5,121.0
 British,1682.0,4.5,121.0
 Pub,1682.0,4.5,121.0
unknown,4274.0,5.0,NaN
Gluten Free Options,600.0,4.0,144.0
 Vegan Options,600.0,4.0,144.0
Mediterranean,1266.0,4.5,135.0
 European,1266.0,4.5,135.0
 Spanish,1266.0,4.5,135.0
 Vegetarian Friendly,1266.0,4.5,135.0
 Vegan Options,1266.0,4.5,135.0
French,7565.0,4.5,11.0
European,728.0,4.5,39.0
 Spanish,728.0,4.5,39.0
 Vegetarian Friendly,728.0,4.5,39.0
Mediterranean,208.0,4.5,218.0
 European,208.0,4.5,218.0
 Spanish,208.0,4.5,218.0
 Fusion,208.0,4.5,218.0
 Israeli,208.0,4.5,218.0
 Vegetarian Friendly,208.0,4.5,218.0
 Vegan Options,208.0,4.5,218.0
 Gluten Free Options,208.0,4.5,218.0
Cafe,4790.0,4.5,30.0
 Vegetarian Friendly,4790.0,4.5,30.0
Fast Food,2634.0,4.0,6.0
 Turkish,2634.0,4.0,6.0
 Diner,2634.0,4.0,6.0
Bar,6404.0,4.0,41.0
 British,6404.0,4.0,41.0
 Wine Bar,6404.0,4.0,41.0
 Vegetarian Friendly,6404.0,4.0,41.0
Italian,2388.0,3.0,2.0
 European,2388.0,3.0,2.0
 Swedish,2388.0,3.0,2.0
European,202.0,4.0,26.0
 Italian,202.0,4.0,26.0
 French,202.0,4.0,26.0
Cafe,2264.0,4.5,3.0
unknown,4330.0,5.0,NaN
unknown,1778.0,3.5,5.0
Portuguese,172.0,4.0,232.0
 International,172.0,4.0,232.0
 Mediterranean,172.0,4.0,232.0
 Vegetarian Friendly,172.0,4.0,232.0
 Vegan Options,172.0,4.0,232.0
 Gluten Free Options,172.0,4.0,232.0
European,4000.0,4.0,59.0
 Mediterranean,4000.0,4.0,59.0
 Vegetarian Friendly,4000.0,4.0,59.0
Asian,286.0,4.5,206.0
 Vietnamese,286.0,4.5,206.0
 Soups,286.0,4.5,206.0
 Vegetarian Friendly,286.0,4.5,206.0
 Vegan Options,286.0,4.5,206.0
 Gluten Free Options,286.0,4.5,206.0
Italian,2307.0,4.0,127.0
 Pizza,2307.0,4.0,127.0
 Mediterranean,2307.0,4.0,127.0
Italian,480.0,3.5,137.0
 Mediterranean,480.0,3.5,137.0
 European,480.0,3.5,137.0
 Vegetarian Friendly,480.0,3.5,137.0
French,2421.0,3.0,23.0
 Fast Food,2421.0,3.0,23.0
unknown,14319.0,3.5,5.0
Italian,425.0,4.5,37.0
unknown,15394.0,2.5,3.0
French,700.0,4.0,1429.0
 European,700.0,4.0,1429.0
 Gastropub,700.0,4.0,1429.0
 Vegetarian Friendly,700.0,4.0,1429.0
unknown,7992.0,4.5,5.0
French,12697.0,3.5,41.0
Japanese,197.0,4.5,93.0
 Sushi,197.0,4.5,93.0
 Asian,197.0,4.5,93.0
 Vegetarian Friendly,197.0,4.5,93.0
Fast Food,9631.0,4.0,25.0
 Middle Eastern,9631.0,4.0,25.0
 Halal,9631.0,4.0,25.0
French,4613.0,4.0,112.0
European,1156.0,4.0,377.0
 Portuguese,1156.0,4.0,377.0
 Italian,1156.0,4.0,377.0
 Mediterranean,1156.0,4.0,377.0
 Vegetarian Friendly,1156.0,4.0,377.0
unknown,3441.0,5.0,NaN
Chinese,4514.0,3.5,37.0
 International,4514.0,3.5,37.0
 Asian,4514.0,3.5,37.0
Caribbean,10133.0,3.5,10.0
International,5407.0,3.5,48.0
 French,5407.0,3.5,48.0
Mediterranean,3620.0,3.0,530.0
 Spanish,3620.0,3.0,530.0
 European,3620.0,3.0,530.0
 Vegetarian Friendly,3620.0,3.0,530.0
 Gluten Free Options,3620.0,3.0,530.0
Chinese,694.0,4.0,104.0
 Asian,694.0,4.0,104.0
 Vegetarian Friendly,694.0,4.0,104.0
French,8085.0,5.0,NaN
Indian,446.0,4.5,401.0
 Asian,446.0,4.5,401.0
 Vegetarian Friendly,446.0,4.5,401.0
 Vegan Options,446.0,4.5,401.0
 Gluten Free Options,446.0,4.5,401.0
Italian,61.0,4.5,483.0
 Pizza,61.0,4.5,483.0
 European,61.0,4.5,483.0
 Vegetarian Friendly,61.0,4.5,483.0
 Vegan Options,61.0,4.5,483.0
 Gluten Free Options,61.0,4.5,483.0
Asian,1883.0,4.5,60.0
 Thai,1883.0,4.5,60.0
 Vegetarian Friendly,1883.0,4.5,60.0
 Vegan Options,1883.0,4.5,60.0
unknown,1593.0,4.0,11.0
Italian,362.0,4.5,88.0
 European,362.0,4.5,88.0
 Mediterranean,362.0,4.5,88.0
 Vegetarian Friendly,362.0,4.5,88.0
Italian,13403.0,3.5,57.0
 Pizza,13403.0,3.5,57.0
unknown,1077.0,4.5,4.0
Wine Bar,406.0,4.5,383.0
 Vegetarian Friendly,406.0,4.5,383.0
unknown,3556.0,4.0,8.0
Bar,815.0,4.0,346.0
 British,815.0,4.0,346.0
 Pub,815.0,4.0,346.0
 Vegetarian Friendly,815.0,4.0,346.0
unknown,6372.0,4.0,8.0
Mediterranean,8756.0,1.0,NaN
Vegetarian Friendly,3730.0,4.5,28.0
 Vegan Options,3730.0,4.5,28.0
unknown,4490.0,3.5,16.0
unknown,1220.0,2.5,5.0
unknown,1771.0,4.0,6.0
Italian,3719.0,4.0,89.0
 Pizza,3719.0,4.0,89.0
 Vegetarian Friendly,3719.0,4.0,89.0
European,376.0,4.0,67.0
 Wine Bar,376.0,4.0,67.0
 Italian,376.0,4.0,67.0
 French,376.0,4.0,67.0
 Vegetarian Friendly,376.0,4.0,67.0
unknown,1896.0,2.5,4.0
unknown,2030.0,5.0,10.0
Italian,738.0,4.0,462.0
 Mediterranean,738.0,4.0,462.0
 Vegetarian Friendly,738.0,4.0,462.0
Japanese,6695.0,4.5,11.0
 Asian,6695.0,4.5,11.0
 Thai,6695.0,4.5,11.0
 Chinese,6695.0,4.5,11.0
unknown,6185.0,3.5,8.0
unknown,2775.0,4.5,3.0
Mediterranean,4975.0,3.5,92.0
 European,4975.0,3.5,92.0
 Spanish,4975.0,3.5,92.0
Bar,7922.0,3.5,118.0
 British,7922.0,3.5,118.0
 Pub,7922.0,3.5,118.0
 Vegetarian Friendly,7922.0,3.5,118.0
Italian,378.0,4.0,61.0
 European,378.0,4.0,61.0
 Central European,378.0,4.0,61.0
unknown,1194.0,4.5,6.0
American,1444.0,3.5,60.0
 Fast Food,1444.0,3.5,60.0
 European,1444.0,3.5,60.0
Mediterranean,762.0,4.0,125.0
 Spanish,762.0,4.0,125.0
 Fusion,762.0,4.0,125.0
 Vegetarian Friendly,762.0,4.0,125.0
Chinese,454.0,4.5,28.0
 Asian,454.0,4.5,28.0
 Sushi,454.0,4.5,28.0
 Vegetarian Friendly,454.0,4.5,28.0
French,5492.0,4.0,192.0
unknown,1487.0,5.0,NaN
European,4601.0,3.5,12.0
Spanish,368.0,4.0,1285.0
 Grill,368.0,4.0,1285.0
unknown,1646.0,3.0,11.0
Cafe,2174.0,4.0,NaN
Sushi,491.0,4.0,11.0
International,246.0,5.0,63.0
 European,246.0,5.0,63.0
 Delicatessen,246.0,5.0,63.0
 Fast Food,246.0,5.0,63.0
 Central European,246.0,5.0,63.0
 Vegetarian Friendly,246.0,5.0,63.0
 Vegan Options,246.0,5.0,63.0
 Gluten Free Options,246.0,5.0,63.0
Cafe,2388.0,4.5,3.0
Portuguese,1262.0,4.5,46.0
 Mediterranean,1262.0,4.5,46.0
 European,1262.0,4.5,46.0
unknown,552.0,5.0,NaN
American,519.0,5.0,28.0
 European,519.0,5.0,28.0
 Pub,519.0,5.0,28.0
 Czech,519.0,5.0,28.0
 Barbecue,519.0,5.0,28.0
 Central European,519.0,5.0,28.0
Pizza,14975.0,3.0,47.0
 Italian,14975.0,3.0,47.0
 American,14975.0,3.0,47.0
 Bar,14975.0,3.0,47.0
 British,14975.0,3.0,47.0
 Vegetarian Friendly,14975.0,3.0,47.0
Mediterranean,5530.0,4.0,36.0
 Italian,5530.0,4.0,36.0
 Spanish,5530.0,4.0,36.0
Chinese,3270.0,5.0,3.0
Pizza,1625.0,4.5,73.0
 Cafe,1625.0,4.5,73.0
 Mediterranean,1625.0,4.5,73.0
 European,1625.0,4.5,73.0
 Vegetarian Friendly,1625.0,4.5,73.0
 Vegan Options,1625.0,4.5,73.0
 Gluten Free Options,1625.0,4.5,73.0
Fast Food,1944.0,3.5,47.0
 Dutch,1944.0,3.5,47.0
unknown,2552.0,4.0,7.0
Mediterranean,1444.0,4.0,356.0
 European,1444.0,4.0,356.0
 Spanish,1444.0,4.0,356.0
Indian,2326.0,4.0,227.0
 Asian,2326.0,4.0,227.0
 Vegetarian Friendly,2326.0,4.0,227.0
 Vegan Options,2326.0,4.0,227.0
 Halal,2326.0,4.0,227.0
 Gluten Free Options,2326.0,4.0,227.0
Spanish,694.0,4.5,28.0
Mediterranean,2216.0,4.0,67.0
Street Food,13887.0,1.5,3.0
Asian,3689.0,4.5,47.0
 Thai,3689.0,4.5,47.0
 Vegetarian Friendly,3689.0,4.5,47.0
Turkish,4107.0,4.0,62.0
Japanese,4713.0,4.5,20.0
unknown,8200.0,5.0,2.0
Cafe,2222.0,3.0,NaN
Bar,882.0,4.0,95.0
 Czech,882.0,4.0,95.0
 Central European,882.0,4.0,95.0
 European,882.0,4.0,95.0
Spanish,4071.0,4.0,13.0
unknown,2093.0,5.0,NaN
Cafe,2966.0,4.0,NaN
Indian,1657.0,4.5,125.0
 Asian,1657.0,4.5,125.0
 Nepali,1657.0,4.5,125.0
 Vegetarian Friendly,1657.0,4.5,125.0
 Vegan Options,1657.0,4.5,125.0
 Gluten Free Options,1657.0,4.5,125.0
Mediterranean,200.0,4.0,937.0
 European,200.0,4.0,937.0
 Spanish,200.0,4.0,937.0
 Argentinean,200.0,4.0,937.0
 Vegetarian Friendly,200.0,4.0,937.0
Moroccan,1349.0,4.0,20.0
Asian,190.0,4.5,81.0
 Sri Lankan,190.0,4.5,81.0
 Vegetarian Friendly,190.0,4.5,81.0
Vegetarian Friendly,1014.0,5.0,16.0
French,11124.0,4.5,11.0
Bar,3772.0,3.5,535.0
 British,3772.0,3.5,535.0
 Pub,3772.0,3.5,535.0
 Vegetarian Friendly,3772.0,3.5,535.0
Lebanese,2170.0,4.0,172.0
 Mediterranean,2170.0,4.0,172.0
 Turkish,2170.0,4.0,172.0
 Middle Eastern,2170.0,4.0,172.0
 Halal,2170.0,4.0,172.0
 Vegetarian Friendly,2170.0,4.0,172.0
 Vegan Options,2170.0,4.0,172.0
Italian,410.0,4.5,154.0
 Pizza,410.0,4.5,154.0
 European,410.0,4.5,154.0
 Vegetarian Friendly,410.0,4.5,154.0
 Vegan Options,410.0,4.5,154.0
Mediterranean,7190.0,3.0,92.0
 European,7190.0,3.0,92.0
 Spanish,7190.0,3.0,92.0
 Argentinean,7190.0,3.0,92.0
unknown,1515.0,4.0,NaN
Italian,3784.0,3.5,68.0
 International,3784.0,3.5,68.0
 Mediterranean,3784.0,3.5,68.0
 European,3784.0,3.5,68.0
unknown,4896.0,3.5,11.0
Bar,406.0,4.0,1832.0
 European,406.0,4.0,1832.0
 Pub,406.0,4.0,1832.0
 Czech,406.0,4.0,1832.0
 Eastern European,406.0,4.0,1832.0
 Central European,406.0,4.0,1832.0
 Vegetarian Friendly,406.0,4.0,1832.0
Spanish,7598.0,3.0,32.0
Italian,299.0,4.5,77.0
 Mediterranean,299.0,4.5,77.0
 Vegetarian Friendly,299.0,4.5,77.0
British,25.0,4.5,301.0
 European,25.0,4.5,301.0
 Scottish,25.0,4.5,301.0
 Vegetarian Friendly,25.0,4.5,301.0
 Vegan Options,25.0,4.5,301.0
 Gluten Free Options,25.0,4.5,301.0
Japanese,2126.0,4.5,4.0
 Thai,2126.0,4.5,4.0
 Vietnamese,2126.0,4.5,4.0
European,1359.0,4.0,36.0
 French,1359.0,4.0,36.0
French,366.0,4.5,56.0
French,243.0,4.0,134.0
 Belgian,243.0,4.0,134.0
 European,243.0,4.0,134.0
unknown,10522.0,4.5,2.0
unknown,2418.0,2.0,NaN
Japanese,771.0,4.0,15.0
 Sushi,771.0,4.0,15.0
unknown,2169.0,5.0,3.0
Italian,620.0,4.0,595.0
 Seafood,620.0,4.0,595.0
 Mediterranean,620.0,4.0,595.0
 European,620.0,4.0,595.0
 Gluten Free Options,620.0,4.0,595.0
European,396.0,5.0,99.0
 British,396.0,5.0,99.0
 Scottish,396.0,5.0,99.0
 Vegetarian Friendly,396.0,5.0,99.0
 Gluten Free Options,396.0,5.0,99.0
Lebanese,249.0,4.5,159.0
 Moroccan,249.0,4.5,159.0
 Mediterranean,249.0,4.5,159.0
 European,249.0,4.5,159.0
 Middle Eastern,249.0,4.5,159.0
 Israeli,249.0,4.5,159.0
 Vegetarian Friendly,249.0,4.5,159.0
 Vegan Options,249.0,4.5,159.0
 Gluten Free Options,249.0,4.5,159.0
Italian,5757.0,3.5,346.0
 American,5757.0,3.5,346.0
 Pizza,5757.0,3.5,346.0
 Vegetarian Friendly,5757.0,3.5,346.0
 Gluten Free Options,5757.0,3.5,346.0
Italian,3140.0,4.5,40.0
 American,3140.0,4.5,40.0
 Spanish,3140.0,4.5,40.0
unknown,899.0,4.5,9.0
Vegetarian Friendly,1483.0,4.0,76.0
Chinese,2182.0,4.0,33.0
 Asian,2182.0,4.0,33.0
European,2106.0,5.0,3.0
 Portuguese,2106.0,5.0,3.0
unknown,733.0,3.5,2.0
unknown,6840.0,3.0,NaN
Georgian,245.0,4.5,34.0
 Vegetarian Friendly,245.0,4.5,34.0
unknown,3608.0,4.5,14.0
Italian,6753.0,4.0,45.0
 European,6753.0,4.0,45.0
 Pizza,6753.0,4.0,45.0
Fast Food,14689.0,3.5,85.0
 Asian,14689.0,3.5,85.0
 Thai,14689.0,3.5,85.0
 Vegetarian Friendly,14689.0,3.5,85.0
unknown,471.0,4.5,64.0
French,11712.0,3.5,451.0
 Bar,11712.0,3.5,451.0
 European,11712.0,3.5,451.0
 Vegetarian Friendly,11712.0,3.5,451.0
Bar,4437.0,4.5,40.0
 Pub,4437.0,4.5,40.0
unknown,1332.0,5.0,4.0
French,13717.0,2.5,603.0
 European,13717.0,2.5,603.0
Steakhouse,871.0,4.0,284.0
 Mediterranean,871.0,4.0,284.0
 European,871.0,4.0,284.0
 Spanish,871.0,4.0,284.0
Mexican,1878.0,4.0,165.0
 Latin,1878.0,4.0,165.0
 Central American,1878.0,4.0,165.0
unknown,5067.0,3.5,8.0
