Institution,Specific Graduate Program,Minimum Score Requirement,City,State
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,
"University of Phoenix, Houston Campus, Houston",,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,
"University of Phoenix, Idaho Campus, Meridian",,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,
"University of Phoenix, Independence Learning Center, Independence",,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,
"University of Phoenix, Jackson Campus, Flowood",,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,
"University of Phoenix, Killeen Learning Center, Killeen",,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,
"University of Phoenix, Knoxville Campus, Knoxville",,,,
"University of Phoenix, Lafayette, LA Campus, LaFayette",,,,
"University of Phoenix, Lancaster Learning Center, Lancaster",,,,
"University of Phoenix, Lansing Learning Center, Lansing",,,,
"University of Phoenix, La Palma Learning Center, La Palma",,,,
"University of Phoenix, Las Colinas Learning Center, Irving",,,,
"University of Phoenix, Las Vegas Campus, Las Vegas",,,,
"University of Phoenix, Lathrop Learning Center, Lathrop",,,,
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,
"University of Phoenix, Little Rock Campus, Little Rock",,,,
"University of Phoenix, Livermore Learning Center, Livermore",,,,
"University of Phoenix, Livonia Learning Center, Livonia",,,,
"University of Phoenix, Louisiana Campus, Metairie",,,,
"University of Phoenix, Louisville Learning Center, Louisville",,,,
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,
"University of Phoenix, Macomb Learning Center, Clinton Township",,,,
"University of Phoenix, Macon Learning Center, Macon",,,,
"University of Phoenix, Madison Campus, Madison",,,,
"University of Phoenix, Magic View learning Center, Meridian",,,,
"University of Phoenix, Manassas Learning Center, Manassas",,,,
"University of Phoenix, Marietta Learning Center, Marietta",,,,
"University of Phoenix, Maryland Campus, Columbia",,,,
"University of Phoenix, McAllen Campus, Allen",,,,
"University of Phoenix, McDonough Learning Center, McDonough",,,,
"University of Phoenix, Memphis Campus, Cordova",,,,
"University of Phoenix, Mesa Learning Center, Mesa",,,,
"University of Phoenix, Miami Learning Center, Miami",,,,
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,
"University of Phoenix, Mililani Learning Center, Mililani",,,,
"University of Phoenix, Milwaukee Campus, Brookville",,,,
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,
"University of Phoenix, Miramar Learning Center, Miramar",,,,
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,
"University of Phoenix, Murrietta Learning Center, Murrietta",,,,
"University of Phoenix, Nashville Campus, Nashville",,,,
"University of Phoenix, New Mexico Campus, Albuquerque",,,,
"University of Phoenix, Nogales Learning Center, Nogales",,,,
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,
"University of Phoenix, North Davis Learning Center, Clearfield",,,,
"University of Phoenix, Northern Nevada Campus, Reno",,,,
"University of Phoenix, Northern Virginia Campus, Reston",,,,
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,
"University of Phoenix, Northland Learning Center, Kansas City",,,,
"University of Phoenix, North Milwaukee Learning Center, Milwaukee",,,,
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,,,
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,
"University of Phoenix, Northwest Learning Center, Las Vegas",,,,
"University of Phoenix, Northwest Learning Center, Phoenix",,,,
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,
"University of Phoenix, Oakland Learning Center, Oakland",,,,
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,,,
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,
"University of Phoenix, Omaha Campus, Omaha",,,,
"University of Phoenix, Ontario Learning Center, Ontario",,,,
"University of Phoenix, Oregon Campus, Tigard",,,,
"University of Phoenix, Owasso Learning Center, Owasso",,,,
"University of Phoenix, Palm Beach Gardens Learning Center",,,,
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,
"University of Phoenix, Pasadena Learning Center, Pasadena",,,,
"University of Phoenix, Philadelphia Campus, Wayne",,,,
"University of Phoenix, Philadelphia Financial District Learning Center",,,,
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,,,
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,,,
"University of Phoenix, Plainfield Learning Center, Plainfield",,,,
"University of Phoenix, Plano Student Resource Center, Plano",,,,
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,
"University of Phoenix, Portage Learning Center, Portage",,,,
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,,,
"University of Phoenix, Puerto Rico Campus, Guaynabo",,,,
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,
"University of Phoenix, Richmond Campus, Richmond",,,,
"University of Phoenix, River Road Learning Center, Tucson",,,,
"University of Phoenix, Rockville Learning Center, Rockville",,,,
"University of Phoenix, Roseville Learning Center, Roseville",,,,
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,
"University of Phoenix, Salem Learning Center, Salem",,,,
"University of Phoenix, San Antonio Campus, San Antonio",,,,
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,,,
"University of Phoenix, San Diego Campus, San Diego",,,,
"University of Phoenix, San Francisco Learning Center, San Francisco",,,,
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,,,
"University of Phoenix, Sarasota Learning Center, Sarasota",,,,
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,
"University of Phoenix, Savannah Campus, Savannah",,,,
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,,,
"University of Phoenix, Snellville Learning Center, Snellville",,,,
"University of Phoenix, South Austin Student Resource Center, Austin",,,,
"University of Phoenix, Southern Arizona Center",,,,
"University of Phoenix, Southern California Campus, Costa Mesa",,,,
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,
"University of Phoenix, Southfield Learning Center, Southfield",,,,
"University of Phoenix, South Florida Campus, Plantation",,,,
"University of Phoenix, Southglen Learning Center, Centennial",,,,
"University of Phoenix, South Jordan Learning Center, South Jordan",,,,
"University of Phoenix, Southlands Learning Center, Aurora",,,,
"University of Phoenix, South Orlando Learning Center, Orlando",,,,
"University of Phoenix, Southwest Learning Center, Las Vegas",,,,
"University of Phoenix, Springfield Campus, Springfield",,,,
"University of Phoenix, St. George Learning Center, St. George",,,,
"University of Phoenix, St. Louis Campus, St. Louis",,,,
"University of Phoenix, St. Paul Learning Center, Woodbury",,,,
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,,,
"University of Phoenix, Stonecrest Learning Center, San Diego",,,,
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,,,
"University of Phoenix, Timonium Learning Center, Timonium",,,,
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,
"University of Phoenix, Topeka Student Resource Center, Topeka",,,,
"University of Phoenix, Town Center Learning Center, Southfield",,,,
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,
"University of Phoenix, Tulsa Campus, Tulsa",,,,
"University of Phoenix, Turnpike Learning Center, Westminster",,,,
"University of Phoenix, Utah Campus, Salt Lake City",,,,
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,
"University of Phoenix, Visalia Learning Center, Visalia",,,,
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,
"University of Phoenix, Washington D.C. Campus, Washington",,,,
"University of Phoenix, Washington Learning Center, Washington",,,,
"University of Phoenix, Western Washington Campus, Tukwila",,,,
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,
"University of Phoenix, Westlake Learning Center, Westlake",,,,
"University of Phoenix, West Loop Learning Center, Houston",,,,
"University of Phoenix, West Michigan Campus, Walker",,,,
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,,,
"University of Phoenix, Westshore Learning Center, Tampa",,,,
"University of Phoenix, West Valley Learning Center, Phoenix",,,,
"University of Phoenix, Whichita Campus, Whichita",,,,
"University of Phoenix, Whichita Student Resource Center, Whichita",,,,
"University of Phoenix, Windsor Park Learning Center, Windcrest",,,,
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,
"University of Phoenix, Woodlands Learning Center, Spring",,,,
"University of Phoenix, Wyoming Campus, Cheyenne",,,,
"University of Phoenix, Yuma Learning Center, Yuma",,,,
University of Pittsburgh,,,,
,29,5.0,17,16
,1,5.0,17,16
,Dietreich College - Arts and Sciences,5.0,17,16
,27,5.0,17,16
,7,5.0,17,16
,Swanson School of Engineering,12.0,17,16
,School of Health and Rehabilitation,12.0,17,16
,13,12.0,17,16
,57,5.0,17,16
,14,12.0,17,16
,School of Information Sciences,12.0,17,16
,School of Public and International Affairs,5.0,17,16
,15,5.0,17,16
University of Pittsburgh-Carnegie Mellon University,,,,
University of Portland,,,,
,Communication Studies,7.0,59,36
,60,5.0,59,36
,Drama,5.0,59,36
,65,5.0,59,36
,Music,7.0,59,36
,Nursing,7.0,59,36
,Engineering,5.0,59,36
University of Puget Sound,,,,
,School of Physical Therapy,12.0,93,29
University of Redlands,,,,
University of Rhode Island,,,,
,College of Environmental and Life Sciences,,140,41
,Department of Communication Studies,,140,41
University of Rochester,,,,
,Warner School of Education,,141,0
University of San Diego,,,,
University of San Francisco,,,,
,Ph.D,5.0,75,9
,Office of Graduate Studies,15.0,75,9
,45,12.0,75,9
,Masagung Graduate School of Management,5.0,75,9
,50,5.0,75,9
,31,5.0,75,9
University of Scranton,,,,
,52,12.0,84,16
,1,6.0,84,16
,Counseling Programs,12.0,84,16
,Master of Health Administration,12.0,84,16
,Software Engineering,12.0,84,16
,Human Resources Administration,6.0,84,16
University of South Carolina,,,,
,Moore School of Business,12.0,130,22
,13,,130,22
University of South Dakota,,,,
University of Southern Mississippi,,,,
,College of Arts and Letters,12.0,142,40
"University of St. Thomas, Minneapolis",,,,
"University of Texas, Austin",,,,
"University of Texas, Brownsville",,,,
"University of Texas, Tyler",,,,
University of Texas Medical Branch,,,,
,7,12.0,143,11
,School of Allied Health Sciences,12.0,143,11
University of the Pacific,,,,
University of Virginia,,,,
,Darden School of Business,5.0,144,23
,7,,144,23
,Curry School of Education,5.0,144,23
,Mcinitre School of Commerce,7.0,144,23
,43,5.0,144,23
,3,5.0,144,23
"University of Washington, Bothell",,,,
"University of Wisconsin, Madison",,,,
"University of Wisconsin, Stout",,,,
Upper Iowa University,,,,
,Master of Higher Education Administration,6.0,145,45
,1,6.0,145,45
Vanderbilt University,,,,
,Master of Science in Nutrition and Dietetics,,54,18
,Owen Graduate School of Management,5.0,54,18
,2,,54,18
,7,,54,18
,35,,54,18
,3,,54,18
Virginia Polytechnic Institute and State University,,,,
,MS in Biomedical Technology Development and Managemen,5.0,146,23
,School of Architecture and Design,12.0,146,23
,58,6.0,146,23
,College of Natural Resources,6.0,146,23
,Department of English,3.0,146,23
,Pamplin College of Business,6.0,146,23
,16,12.0,146,23
,College of Agriculture and Life Sciences,12.0,146,23
,College of Science,12.0,146,23
Washburn University,,,,
Washington University in St. Louis,,,,
,Olin Business School,6.0,65,34
,George Warren Brown School of Social Work MPH Program,5.0,65,34
Weber State University,,,,
Wesleyan University,,,,
West Coast University,,,,
Western Kentucky University,,,,
"Wheaton College, Illinois",,,,
,45,12.0,147,27
,20,7.0,147,27
Widener University,,,,
,School of Hospitality Management,5.0,148,16
,30,5.0,148,16
,49,5.0,148,16
Willamette University,,,,
Williams College,,,,
Winthrop University,,,,
Xavier University,,,,
Yale University,,,,
,Divinity School and Institute for Sacred Music,5.0,149,38
,School of Forestry and Environmental Studies,,149,38
York College of Pennsylvania,,,,
